,BasisOfRec,Binomial,CatalogNo,Citation,CollectID,Compiler,Data_sens,Dec_Lat,Dec_Long,Dist_comm,Event_Year,Origin,Presence,Seasonal,Sens_comm,SpatialRef,YrCompiled,recordedBy
216,PRESERVED_SPECIMEN,Agonandra macrocarpa,00252910,GBIF,,Manuel Vargas,,18.20639,-89.50667,En Campamento Costa Maya a 6 Km al W de Narciso Mendoza,1998.0,1,1,1,,WGS84,2020,Esteban Manuel Martínez S.
221,PRESERVED_SPECIMEN,Agonandra macrocarpa,00189942,GBIF,,Manuel Vargas,,18.82333,-90.00583,No locality name provided.,1998.0,1,1,1,,WGS84,2020,E. Martínez Salas|D. Alvarez M.|S. Ramírez
307,HUMAN_OBSERVATION,Agonandra macrocarpa,,GBIF,,Manuel Vargas,,11.0,-85.5,,2019.0,1,1,1,,WGS84,2020,
331,HUMAN_OBSERVATION,Agonandra macrocarpa,,GBIF,,Manuel Vargas,,11.0,-85.5,,2019.0,1,1,1,,WGS84,2020,
1064,PRESERVED_SPECIMEN,Agonandra macrocarpa,XAL0001650,GBIF,,Manuel Vargas,,18.605278,-89.863333,"9 km al NE de Conhuás, camino a Nadzcaan",2002.0,1,1,1,,WGS84,2020,E.M. Martínez S.; J. Calónico S.; D. Álvarez M.
2405,PRESERVED_SPECIMEN,Agonandra macrocarpa,,GBIF,,Manuel Vargas,,10.84,-85.61,"Costa Rica:Area de Conservacion Guanacaste, Sector Santa Rosa, Bosque San Emilio",2008.0,1,1,1,,WGS84,2020,Roberto Espinoza
2427,PRESERVED_SPECIMEN,Agonandra macrocarpa,,GBIF,,Manuel Vargas,,10.84,-85.61,"Costa Rica:Area de Conservacion Guanacaste, Sector Santa Rosa, Bosque San Emilio",2008.0,1,1,1,,WGS84,2020,Roberto Espinoza
2430,PRESERVED_SPECIMEN,Agonandra macrocarpa,,GBIF,,Manuel Vargas,,10.84,-85.61,"Costa Rica:Area de Conservacion Guanacaste, Sector Santa Rosa, Bosque San Emilio",2008.0,1,1,1,,WGS84,2020,Roberto Espinoza
2438,PRESERVED_SPECIMEN,Agonandra macrocarpa,,GBIF,,Manuel Vargas,,10.84,-85.61,"Costa Rica:Area de Conservacion Guanacaste, Sector Santa Rosa, Bosque San Emilio",2008.0,1,1,1,,WGS84,2020,Roberto Espinoza
2456,PRESERVED_SPECIMEN,Agonandra macrocarpa,,GBIF,,Manuel Vargas,,10.84,-85.61,"Costa Rica:Area de Conservacion Guanacaste, Sector Santa Rosa, Bosque San Emilio",2008.0,1,1,1,,WGS84,2020,Roberto Espinoza
2638,PRESERVED_SPECIMEN,Agonandra macrocarpa,101131040,GBIF,Tapia-Muñoz 1432,Manuel Vargas,,19.708333,-90.5,"5 km al NW de Chiná, antiguo camino a Campeche.",2003.0,1,1,1,,WGS84,2020,J.L. Tapia-Muñoz|Thomas F. Daniel|Celso Gutiérrez Báez
2760,PRESERVED_SPECIMEN,Agonandra macrocarpa,101043602,GBIF,Stevens 40535,Manuel Vargas,,13.633944,-86.526472,5.4 km W of Ocotal (highway) along road to Macuelizo; thorn forest on schist,2018.0,1,1,1,,WGS84,2020,W. D. Stevens|O. M. Montiel J.
2939,PRESERVED_SPECIMEN,Agonandra macrocarpa,100915213,GBIF,Espinoza Obando 1004,Manuel Vargas,,10.9,-85.72,P.N. Santa Rosa. Península de Santa Elena. Murciélago; Río Cachimbo.,1993.0,1,1,1,,WGS84,2020,Roberto Espinoza
3035,MATERIAL_SAMPLE,Agonandra macrocarpa,BioBot00262,GBIF,,Manuel Vargas,,10.844000000000001,-85.61399999999999,"Area de Conservacion Guanacaste, Sector Santa Rosa, Bosque San Emilio",2008.0,1,1,1,,WGS84,2020,Roberto Espinoza
3050,MATERIAL_SAMPLE,Agonandra macrocarpa,BioBot00265,GBIF,,Manuel Vargas,,10.844000000000001,-85.61399999999999,"Area de Conservacion Guanacaste, Sector Santa Rosa, Bosque San Emilio",2008.0,1,1,1,,WGS84,2020,Roberto Espinoza
3053,MATERIAL_SAMPLE,Agonandra macrocarpa,BioBot00264,GBIF,,Manuel Vargas,,10.844000000000001,-85.61399999999999,"Area de Conservacion Guanacaste, Sector Santa Rosa, Bosque San Emilio",2008.0,1,1,1,,WGS84,2020,Roberto Espinoza
4602,PRESERVED_SPECIMEN,Agonandra macrocarpa,00252910,GBIF,,Manuel Vargas,,18.206389,-89.50666700000001,En Campamento Costa Maya a 6 Km al W de Narciso Mendoza,1998.0,1,1,1,,WGS84,2020,E. M. Martínez S.
4691,PRESERVED_SPECIMEN,Agonandra macrocarpa,23618,GBIF,,Manuel Vargas,,18.206389,-89.50666700000001,"En Campamento costa Maya, a 6 km al W de Narciso Mendoza",1998.0,1,1,1,,WGS84,2020,E. M. Martínez S.; D. Álvarez M.
4692,PRESERVED_SPECIMEN,Agonandra macrocarpa,23702,GBIF,,Manuel Vargas,,18.775555999999998,-89.356667,3.5 km al SE de La Nueva Vida,1998.0,1,1,1,,WGS84,2020,E. M. Martínez S.; D. Álvarez M.
4747,HUMAN_OBSERVATION,Agonandra macrocarpa,NO APLICA,GBIF,,Manuel Vargas,,18.277222000000002,-89.82777800000001,Reserva de la Biosfera Calakmul a 30 km. de Conhuas,,1,1,1,,WGS84,2020,
4748,HUMAN_OBSERVATION,Agonandra macrocarpa,NO APLICA,GBIF,,Manuel Vargas,,21.158056,-89.89,Reserva Estatal Balam-Kin 2 (Antes Ampliación Forestal del Ejido Dzibalchén),,1,1,1,,WGS84,2020,
4919,PRESERVED_SPECIMEN,Agonandra macrocarpa,NO DISPONIBLE,GBIF,,Manuel Vargas,,18.529167,-89.575556,"A 1.6 km al O de Plan de San Luis, carr. Xpujil-Escárcega",2003.0,1,1,1,,WGS84,2020,D. Álvarez M.; C. Jiménez J.
4920,PRESERVED_SPECIMEN,Agonandra macrocarpa,1040283,GBIF,,Manuel Vargas,,18.605278,-89.863333,"A 9 km al NE de Conhuás, camino a Nadzcaan",2002.0,1,1,1,,WGS84,2020,E. Martínez S.; D. Álvarez M.; J. Calónico S.
4921,PRESERVED_SPECIMEN,Agonandra macrocarpa,1030207,GBIF,,Manuel Vargas,,18.815556,-89.228611,A 6.5 km al O de Flores Magón,2002.0,1,1,1,,WGS84,2020,J. Calónico S.; D. Álvarez M.; E. Martínez S.
