,BasisOfRec,Binomial,CatalogNo,Citation,CollectID,Compiler,Data_sens,Dec_Lat,Dec_Long,Dist_comm,Event_Year,Origin,Presence,Seasonal,Sens_comm,SpatialRef,YrCompiled,recordedBy
3909,PRESERVED_SPECIMEN,Alibertia utleyorum,01095909,GBIF,11120,Manuel Vargas,,8.7,-83.5153,"Distrito: Sierpe. Reserva Forestal Golfo Dulce; Rincón, Cuenca Oeste de la Quebrada Aguabuena, fin de campo de aterrizaje Centro Boscosa, bosques alrededor",2008.0,1,1,1,,WGS84,2020,R. Aguilar
3995,PRESERVED_SPECIMEN,Alibertia utleyorum,01241029,GBIF,13162,Manuel Vargas,,8.7,-83.5153,"Distrito: Sierpe. Reserva Forestal Golfo Dulce; Rincón, Cuenca Oeste de la Quebrada Aguabuena, fin de campo de aterrizaje Centro Boscosa, bosques alrededor",2011.0,1,1,1,,WGS84,2020,R. Aguilar
7688,PRESERVED_SPECIMEN,Alibertia utleyorum,900476,GBIF,Hammel 18063,Manuel Vargas,,8.66,-83.56,R.F. Golfo Dulce; Península de Osa. Rancho Quemado; camino a lo largo de Quebrada Quebradon hasta donde se junta con Río Riyito.,1991.0,1,1,1,,WGS84,2020,Barry E. Hammel|María Marta Chavarría|Paul J. M. Maas|Hiltje Maas
8848,PRESERVED_SPECIMEN,Alibertia utleyorum,537504,GBIF,Hammel 17526,Manuel Vargas,,9.52,-82.92,"Cantón de Talamanca Amubri; camino al noreste del pueblo, entre Katsi y Sheuab. Lomas de Sheuab. Pequeño parche de bosque primario en la cima de una loma.",1989.0,1,1,1,,WGS84,2020,Barry E. Hammel|Abelardo Chacón|Gerardo Herrera Ch.
8891,PRESERVED_SPECIMEN,Alibertia utleyorum,536109,GBIF,Alvarado Murillo 57,Manuel Vargas,,10.405,-84.05833299999999,Parque Nacional Braulio Carrillo Estación Magsasay.,1990.0,1,1,1,,WGS84,2020,Celso Alvarado
8975,PRESERVED_SPECIMEN,Alibertia utleyorum,529046,GBIF,Jiménez Madrigal 650,Manuel Vargas,,8.68,-83.56,Rancho Quemado,1989.0,1,1,1,,WGS84,2020,Quírico Jiménez|E. Vargas|Juan J. Jiménez
9214,PRESERVED_SPECIMEN,Alibertia utleyorum,518726,GBIF,Aguilar Fernández 1478,Manuel Vargas,,8.705556,-83.525,"R.F. Golfo Dulce, Península de Osa. Agua Buena sur, Don Toño.",1992.0,1,1,1,,WGS84,2020,Reinaldo Aguilar|Nora Martín|Nelson Zamora|Gerald F. Bills|Víctor H. Ramírez
9353,PRESERVED_SPECIMEN,Alibertia utleyorum,514881,GBIF,Herrera Chacón 3059,Manuel Vargas,,9.49,-82.99,Amubri. Margen derecho del Río Lari. Lomas aledañas a Cachabri.,1989.0,1,1,1,,WGS84,2020,Gerardo Herrera Ch.
9588,PRESERVED_SPECIMEN,Alibertia utleyorum,507817,GBIF,Grayum 4459,Manuel Vargas,,9.56,-82.66,"Hills between headwaters of Quebrada Mata de Limón and upper branches of Quebrada Tigre, and lowland forest of Quebrada Tigre drainage, Finca Anai. Elev. 25-30 m. 9º34'N, 82º40'W. (Sixaola region).",1984.0,1,1,1,,WGS84,2020,Michael H. Grayum|Gerardo Herrera Ch.|Felipe Chavarría D.
13682,PRESERVED_SPECIMEN,Alibertia utleyorum,1898812,GBIF,Liesner 3208A,Manuel Vargas,,8.6,-83.7,"Corcovado National Park. Primary forest, slopes above Llorona.",1977.0,1,1,1,,WGS84,2020,Ronald L. Liesner
