,BasisOfRec,Binomial,CatalogNo,Citation,CollectID,Compiler,Data_sens,Dec_Lat,Dec_Long,Dist_comm,Event_Year,Origin,Presence,Seasonal,Sens_comm,SpatialRef,YrCompiled,recordedBy
323,HUMAN_OBSERVATION,Amyris brenesii,,GBIF,,Manuel Vargas,,10.95025,-85.311722,,2016.0,1,1,1,,WGS84,2020,
337,HUMAN_OBSERVATION,Amyris brenesii,,GBIF,,Manuel Vargas,,10.943333,-85.31788900000001,,2019.0,1,1,1,,WGS84,2020,
2205,PRESERVED_SPECIMEN,Amyris brenesii,B 10 0036354,GBIF,,Manuel Vargas,,13.666670000000002,-89.25,"El Salvador: Depto. La Libertad, Municipio Antiguo Cuscatlán, Laderas de La Laguna, Área D, Árbol # 40270. Inner slope of an ancient volcanic crater. Scandent shrub, DBH=17cm. . Alt.: 830 m.1986-12-23, Leg.: Cruz,R. 0 [WB-00452].",1986.0,1,1,1,,WGS84,2020,"Cruz,R."
3632,PRESERVED_SPECIMEN,Amyris brenesii,MA-01-00761063,GBIF,2829,Manuel Vargas,,9.6333,-82.6406,Limón: Talamanca. R.V.S. Gandoca-Manzanillo. Puerto Viejo. Colecta en sendero  a orilla de la costa de Manzanillo hacia Gandoca,2000.0,1,1,1,,WGS84,2020,"L. Acosta, V. Ramírez, G. Soto & G. Sancho"
3641,PRESERVED_SPECIMEN,Amyris brenesii,MA-01-00760807,GBIF,4044,Manuel Vargas,,10.2186,-84.5997,Alajuela: San Ramón. R.B. Alberto Manuel Brenes. Cuenca del San Carlos. Sendero Saino,2002.0,1,1,1,,WGS84,2020,E. Alfaro
6234,PRESERVED_SPECIMEN,Amyris brenesii,JBL04926,GBIF,,Manuel Vargas,,13.85,-89.91667,"Depto. Ahuachapán, Municipio Tacuba. [El Imposible]. P.N. El Imposible, sector La Campana; Mirador El Puma. Alt. 1300 m. Fire-induced grass vegetation with scattered trees, on the ridge; on charred log.",1999.0,1,1,1,,WGS84,2020,"Bohnke,J."
6235,PRESERVED_SPECIMEN,Amyris brenesii,JBL04928,GBIF,,Manuel Vargas,,13.85,-89.91667,"Depto. Ahuachapán, Municipio Tacuba. [El Imposible]. P.N. El Imposible, sector La Campana; near the shelter, descending ridge. Alt. 1150 m. Primary Quercus forest on the ridge; on Roble (Quercus corrugat",1999.0,1,1,1,,WGS84,2020,"Bohnke,J."
6236,PRESERVED_SPECIMEN,Amyris brenesii,WB-00452,GBIF,,Manuel Vargas,,13.666670000000002,-89.25,"Depto. La Libertad, Municipio Antiguo Cuscatlán, Laderas de La Laguna, Área D, Árbol # 40270.",1986.0,1,1,1,,WGS84,2020,"Cruz,R."
6237,PRESERVED_SPECIMEN,Amyris brenesii,JBL04927,GBIF,,Manuel Vargas,,13.85,-89.91667,"Depto. Ahuachapán, Municipio Tacuba. [El Imposible]. P.N. El Imposible, sector La Campana; near the shelter, descending ridge. Alt. 1150 m. Primary Quercus forest on the ridge; on Roble (Quercus corrugat",1999.0,1,1,1,,WGS84,2020,"Bohnke,J."
7317,PRESERVED_SPECIMEN,Amyris brenesii,983837,GBIF,Morales Quirós 3517,Manuel Vargas,,9.85,-84.16,"Z.P. Cerros de Escazú; Cerros Escazú-La Carpintera. Palmichal, Río Tabarcia, Salvaje, bosque alterado y potreros en el sendero a Cerro Cedral.",1995.0,1,1,1,,WGS84,2020,J. F. Morales
7395,PRESERVED_SPECIMEN,Amyris brenesii,957449,GBIF,Hammel 17750,Manuel Vargas,,10.33,-83.95,Llanura de San Carlos. Horquetas. A lo largo del Río San Rafael aguas abajo del puente.,1990.0,1,1,1,,WGS84,2020,Barry E. Hammel|Randall J. Evans|Barry O'Connor
7401,PRESERVED_SPECIMEN,Amyris brenesii,957307,GBIF,Hammel 17693,Manuel Vargas,,10.33,-83.95,"Llanura de San Carlos. Horquetas, Río San Rafael. Bosque por la orilla del río.",1989.0,1,1,1,,WGS84,2020,Barry E. Hammel
7698,PRESERVED_SPECIMEN,Amyris brenesii,900079,GBIF,Bello Carranza 5120,Manuel Vargas,,10.42527,-84.90638,"R.B. Monteverde; Cord. de Tilarán, Quebrada Grande, La Chiripa, División del Río Chiquito y R. Cañas.",1993.0,1,1,1,,WGS84,2020,Erick Bello C.|William A. Haber
11038,PRESERVED_SPECIMEN,Amyris brenesii,2804138,GBIF,Rodríguez González 4781,Manuel Vargas,,10.1,-84.46666,"No protegida, cuenca del Tárcoles, ruta a Los Angeles, parche de bosque, a orilla de la carretera",1999.0,1,1,1,,WGS84,2020,Alexánder Rodríguez|Luis Diego Vargas
13380,PRESERVED_SPECIMEN,Amyris brenesii,1972816,GBIF,Smith 171,Manuel Vargas,,10.17805,-84.42166,"San Luis de Zarcero, within area Vae.",1937.0,1,1,1,,WGS84,2020,Austin Smith
13381,PRESERVED_SPECIMEN,Amyris brenesii,1973199,GBIF,Smith A85,Manuel Vargas,,10.185830000000001,-84.39305,Region of Zarcero,,1,1,1,,WGS84,2020,Austin Smith
13382,PRESERVED_SPECIMEN,Amyris brenesii,1973281,GBIF,Carvajal Ugalde 335,Manuel Vargas,,10.226111,-84.664167,Reserva Forestal San Ramón.,1983.0,1,1,1,,WGS84,2020,Alonso Carvajal U.
13383,PRESERVED_SPECIMEN,Amyris brenesii,1972031,GBIF,Poveda Álvarez 4134,Manuel Vargas,,10.354439999999999,-84.21805,En los borde del bosque de la laguna de Río Cuatro de San Carlos,1986.0,1,1,1,,WGS84,2020,Luis J. Poveda Álvarez
13384,PRESERVED_SPECIMEN,Amyris brenesii,1972408,GBIF,Poveda Álvarez 4010,Manuel Vargas,,10.355,-84.21722,In ladera del bosque que circumda a la Laguna de Río Cuarto de San Carlos,1985.0,1,1,1,,WGS84,2020,Luis J. Poveda Álvarez|Nelson Zamora|Carlos Hasbun
14773,PRESERVED_SPECIMEN,Amyris brenesii,1386178,GBIF,Poveda Álvarez 4029,Manuel Vargas,,9.65,-83.08,Parque Nac. Hitoy-Cerere. En sotobosque de un secundario avenzado.,1985.0,1,1,1,,WGS84,2020,Luis J. Poveda Álvarez
15341,PRESERVED_SPECIMEN,Amyris brenesii,117915,GBIF,Robles González 2099,Manuel Vargas,,10.58,-83.53,Cerro Tortuguero Junto a la Barra de Tortuguero. Suelos bien drenados y pendientes medianamente pronunciadas.,1988.0,1,1,1,,WGS84,2020,Rafael Robles
16205,PRESERVED_SPECIMEN,Amyris brenesii,100491439,GBIF,Quesada Quesada 389,Manuel Vargas,,10.882909,-85.40165,Sendero hacia el vivero.,1996.0,1,1,1,,WGS84,2020,Freddy A. Quesada
16334,PRESERVED_SPECIMEN,Amyris brenesii,100471224,GBIF,Quesada Quesada 389,Manuel Vargas,,10.938830000000001,-85.767774,"P.N. Santa Rosa, Golfo de Santa Elean.  Sendero hacia el vivero.",1996.0,1,1,1,,WGS84,2020,Freddy A. Quesada
