,BasisOfRec,Binomial,CatalogNo,Citation,CollectID,Compiler,Data_sens,Dec_Lat,Dec_Long,Dist_comm,Event_Year,Origin,Presence,Seasonal,Sens_comm,SpatialRef,YrCompiled,recordedBy
4086,PRESERVED_SPECIMEN,Arachnothryx brenesii,131608,GBIF,4747,Manuel Vargas,,9.352396,-83.692948,Basin of El General.,1940.0,1,1,1,,WGS84,2020,A. F. Skutch
5735,PRESERVED_SPECIMEN,Arachnothryx brenesii,0079090,GBIF,,Manuel Vargas,,8.78389,-83.1725,"Costa Rica, prov. Puntarenas. Vicinity of Virgen de Briceño beeing a small settlement up at the Fila Costeña near km 37 of the Interamericana. Gorge of Rio Esquinas, ca. 200 m upstream from small bridge near Finca of Astrid and Werner Klar.",2013.0,1,1,1,,WGS84,2020,"Berger,A. & Etl,F."
7509,PRESERVED_SPECIMEN,Arachnothryx brenesii,907611,GBIF,Jiménez Madrigal 1191,Manuel Vargas,,10.2,-84.53,"Reserva Forestal San Ramón, Cordillera de Tilarán, Ribera del Río Cataratitas, camino a Bajo Rodríguez",1993.0,1,1,1,,WGS84,2020,Quírico Jiménez|Luis J. Poveda Álvarez|Nora Martín|J. F. Morales
7747,PRESERVED_SPECIMEN,Arachnothryx brenesii,897389,GBIF,Fuentes Alvarado 212,Manuel Vargas,,10.27,-84.82,"Cordillera de Tilarán. Finca Buen Amigo, San Luis. Monteverde.",1993.0,1,1,1,,WGS84,2020,Zobeida Fuentes|Nelson Zamora|Eduardo Lépiz
7817,PRESERVED_SPECIMEN,Arachnothryx brenesii,894627,GBIF,Bello Carranza 1999,Manuel Vargas,,10.3,-84.75,Reserva Biológica Monteverde Río Peñas Blancas. Alemán.,1990.0,1,1,1,,WGS84,2020,Erick Bello C.
7995,PRESERVED_SPECIMEN,Arachnothryx brenesii,809548,GBIF,Herrera Chacón 528,Manuel Vargas,,10.21472,-84.60777,"Reserva Forestal de San Ramón, por sendero que sube a la fila hacia el suroeste de la estación",1987.0,1,1,1,,WGS84,2020,Gerardo Herrera Ch.
9305,PRESERVED_SPECIMEN,Arachnothryx brenesii,515876,GBIF,Haber 1794,Manuel Vargas,,10.286944,-84.828889,"San Luis river valley, 1.5 km upstream from village of San Luis.",1985.0,1,1,1,,WGS84,2020,William A. Haber|Barry E. Hammel
9333,PRESERVED_SPECIMEN,Arachnothryx brenesii,515268,GBIF,Haber 4406,Manuel Vargas,,10.416667,-84.833333,"El Dos de Tilaran, 4 km N, Cerro La Chirripa.",1986.0,1,1,1,,WGS84,2020,William A. Haber|Erick Bello C.|L. Lierheimer
9384,PRESERVED_SPECIMEN,Arachnothryx brenesii,514338,GBIF,Haber 8328,Manuel Vargas,,10.31666,-84.71666,Reserva Biológica Monteverde Río Peñas Blancas,1988.0,1,1,1,,WGS84,2020,William A. Haber|Erick Bello C.
9420,PRESERVED_SPECIMEN,Arachnothryx brenesii,513338,GBIF,Haber 6798,Manuel Vargas,,10.33333,-84.71666,"Reserva Biológica Monteverde Río Peñas Blancas, Bosque pluvial premontano",1987.0,1,1,1,,WGS84,2020,William A. Haber|Erick Bello C.
9457,PRESERVED_SPECIMEN,Arachnothryx brenesii,512716,GBIF,Haber 840,Manuel Vargas,,10.299719999999999,-84.75083000000001,"Monteverde Reserve, Atlantic slope, Río Peñas Blancas valley",1984.0,1,1,1,,WGS84,2020,William A. Haber
9954,PRESERVED_SPECIMEN,Arachnothryx brenesii,3494802,GBIF,Penneys 481,Manuel Vargas,,10.716660000000001,-85.01666,Z.P. Tenorio. Cordillera de Guanacaste. Bijagua. Primary forest on a ridge at Volcán Tenorio. Premontane rain forest.,1995.0,1,1,1,,WGS84,2020,Darin S. Penneys|William A. Haber|Willow Zuchowski
11426,PRESERVED_SPECIMEN,Arachnothryx brenesii,2568150,GBIF,Smith H1704,Manuel Vargas,,10.28388,-84.43,"Sucre, Caribbean rain forest, edge forest",1939.0,1,1,1,,WGS84,2020,Austin Smith
12806,PRESERVED_SPECIMEN,Arachnothryx brenesii,2226049,GBIF,Florpan 2745,Manuel Vargas,,8.60833,-80.11666,"Colectado de frente a la finca San Rafael, El Macho, El Valle de Antón.",1997.0,1,1,1,,WGS84,2020,Florpan|Carlos Guerra
12849,PRESERVED_SPECIMEN,Arachnothryx brenesii,2220816,GBIF,Haber 374,Manuel Vargas,,10.308333,-84.815278,"Monteverde community, cliff edge",1980.0,1,1,1,,WGS84,2020,William A. Haber
12857,PRESERVED_SPECIMEN,Arachnothryx brenesii,2220166,GBIF,Boyle 6429,Manuel Vargas,,10.216660000000001,-83.58333,"Estación Biológica Alberto Brenes (San Ramón), along road to station ca. 1 Km before house, premontane pluvial forest",2002.0,1,1,1,,WGS84,2020,Brad Boyle|Charlotte M. Taylor
12868,PRESERVED_SPECIMEN,Arachnothryx brenesii,2219679,GBIF,Almeda 4610,Manuel Vargas,,9.98916,-84.40361,Approx. 20-30 km SE of Cataratas de San Ramón,1978.0,1,1,1,,WGS84,2020,Frank Almeda|K. Nakai|David S. Verity
12889,PRESERVED_SPECIMEN,Arachnothryx brenesii,2218619,GBIF,Hartshorn 2124,Manuel Vargas,,10.29,-84.77,"Peñas Blancas, Monteverde Cloud Forest Reserve, tropical premontane rain forest life zone",1978.0,1,1,1,,WGS84,2020,Gary S. Hartshorn
12912,PRESERVED_SPECIMEN,Arachnothryx brenesii,2217152,GBIF,Hartshorn 2257,Manuel Vargas,,10.25555,-84.1725,"Along Sarapiquí road, near Cuesta Angel",1980.0,1,1,1,,WGS84,2020,Gary S. Hartshorn
14657,PRESERVED_SPECIMEN,Arachnothryx brenesii,1416520,GBIF,Almeda 4310,Manuel Vargas,,9.989167,-84.403611,Approx. 20-30 km SE of Cataratas de San Ramón,1978.0,1,1,1,,WGS84,2020,Frank Almeda|K. Nakai|David S. Verity
14826,PRESERVED_SPECIMEN,Arachnothryx brenesii,1367977,GBIF,Skutch 4747,Manuel Vargas,,9.37222,-83.65333000000001,Basin of El General,1940.0,1,1,1,,WGS84,2020,Alexander F. Skutch
15567,PRESERVED_SPECIMEN,Arachnothryx brenesii,100893016,GBIF,Berger 1447,Manuel Vargas,,8.783889,-83.1725,"Vicinity of Virgen de Briceño beeing a small settlement up at the Fila Costeña near km 37 of the Interamericana. Gorge of Rio Esquinas, ca. 200 m upstream from small bridge near Finca of Astrid and Werner Klar.",2013.0,1,1,1,,WGS84,2020,A. Berger
15854,PRESERVED_SPECIMEN,Arachnothryx brenesii,100572667,GBIF,Rodríguez González 6246,Manuel Vargas,,10.441944,-84.691389,"P.N. Arenal. Cuenca del San Carlos. Cerro Chato, sendero que lleva a la Laguna.",2000.0,1,1,1,,WGS84,2020,Alexánder Rodríguez|et al.
15920,PRESERVED_SPECIMEN,Arachnothryx brenesii,100524889,GBIF,Vargas Salazar 4393,Manuel Vargas,,10.454694,-84.75808,Z.P. Embalse Arenal. Cuenca del San Carlos. Sendero La Península.,2011.0,1,1,1,,WGS84,2020,Luis Diego Vargas|G. Villalobos|F. Solano
16119,PRESERVED_SPECIMEN,Arachnothryx brenesii,100501102,GBIF,Chaves Chaves 1447,Manuel Vargas,,10.536945,-84.92139,Z.P. Embalse Arenal. Cuenca del San Carlos. Isla Santa Elena.,2002.0,1,1,1,,WGS84,2020,José Luis Chaves|C. Alvarado|I. López|F. Moreira
17509,PRESERVED_SPECIMEN,Arachnothryx brenesii,4283603,GBIF,,Manuel Vargas,,10.454694,-84.758083,Arenal.,2011.0,1,1,1,,WGS84,2020,Luis Diego Vargas; Guillermo Villalobos ; Federico Solano
17510,PRESERVED_SPECIMEN,Arachnothryx brenesii,4283602,GBIF,,Manuel Vargas,,10.454694,-84.758083,Arenal.,2011.0,1,1,1,,WGS84,2020,Luis Diego Vargas; Guillermo Villalobos ; Federico Solano
17511,PRESERVED_SPECIMEN,Arachnothryx brenesii,4283601,GBIF,,Manuel Vargas,,10.454694,-84.758083,Arenal.,2011.0,1,1,1,,WGS84,2020,Luis Diego Vargas; Guillermo Villalobos ; Federico Solano
17512,PRESERVED_SPECIMEN,Arachnothryx brenesii,4283600,GBIF,,Manuel Vargas,,10.454694,-84.758083,Arenal.,2011.0,1,1,1,,WGS84,2020,Luis Diego Vargas; Guillermo Villalobos ; Federico Solano
17513,PRESERVED_SPECIMEN,Arachnothryx brenesii,4283604,GBIF,,Manuel Vargas,,10.454694,-84.758083,Arenal.,2011.0,1,1,1,,WGS84,2020,Luis Diego Vargas; Guillermo Villalobos ; Federico Solano
17804,PRESERVED_SPECIMEN,Arachnothryx brenesii,4195331,GBIF,,Manuel Vargas,,10.15,-83.95,Primary forest. Good soil. Riverbank of Rio Sucio.,2005.0,1,1,1,,WGS84,2020,Luis Diego Vargas
20327,PRESERVED_SPECIMEN,Arachnothryx brenesii,3492182,GBIF,,Manuel Vargas,,10.536945,-84.921389,Isla Santa Elena.,2002.0,1,1,1,,WGS84,2020,Jose Luis Chaves; Celso Alvarado ; Isaac López ; F. Moreira
20328,PRESERVED_SPECIMEN,Arachnothryx brenesii,3492181,GBIF,,Manuel Vargas,,10.536945,-84.921389,Isla Santa Elena.,2002.0,1,1,1,,WGS84,2020,Jose Luis Chaves; Celso Alvarado ; Isaac López ; F. Moreira
20329,PRESERVED_SPECIMEN,Arachnothryx brenesii,3492178,GBIF,,Manuel Vargas,,10.536945,-84.921389,Isla Santa Elena.,2002.0,1,1,1,,WGS84,2020,Jose Luis Chaves; Celso Alvarado ; Isaac López ; F. Moreira
20330,PRESERVED_SPECIMEN,Arachnothryx brenesii,3492179,GBIF,,Manuel Vargas,,10.536945,-84.921389,Isla Santa Elena.,2002.0,1,1,1,,WGS84,2020,Jose Luis Chaves; Celso Alvarado ; Isaac López ; F. Moreira
20331,PRESERVED_SPECIMEN,Arachnothryx brenesii,3492180,GBIF,,Manuel Vargas,,10.536945,-84.921389,Isla Santa Elena.,2002.0,1,1,1,,WGS84,2020,Jose Luis Chaves; Celso Alvarado ; Isaac López ; F. Moreira
20497,PRESERVED_SPECIMEN,Arachnothryx brenesii,3437048,GBIF,,Manuel Vargas,,10.441868,-84.69137099999999,Cerro Chato,2000.0,1,1,1,,WGS84,2020,Alexánder Francisco Rodríguez González; Victor Ramírez ; Gerardo Soto
20498,PRESERVED_SPECIMEN,Arachnothryx brenesii,3437047,GBIF,,Manuel Vargas,,10.441868,-84.69137099999999,Cerro Chato,2000.0,1,1,1,,WGS84,2020,Alexánder Francisco Rodríguez González; Victor Ramírez ; Gerardo Soto
20502,PRESERVED_SPECIMEN,Arachnothryx brenesii,3437049,GBIF,,Manuel Vargas,,10.441868,-84.69137099999999,Cerro Chato,2000.0,1,1,1,,WGS84,2020,Alexánder Francisco Rodríguez González; Victor Ramírez ; Gerardo Soto
20503,PRESERVED_SPECIMEN,Arachnothryx brenesii,3437046,GBIF,,Manuel Vargas,,10.441868,-84.69137099999999,Cerro Chato,2000.0,1,1,1,,WGS84,2020,Alexánder Francisco Rodríguez González; Victor Ramírez ; Gerardo Soto
21352,PRESERVED_SPECIMEN,Arachnothryx brenesii,2916073,GBIF,,Manuel Vargas,,10.333333,-84.716667,Rio Penas Blancas. Bosque pluvial premontano.,1987.0,1,1,1,,WGS84,2020,William Haber
22663,PRESERVED_SPECIMEN,Arachnothryx brenesii,1605293,GBIF,,Manuel Vargas,,10.716667,-85.016667,Bijagua. Primary forest on a ridge at Volcan Tenorio. Premontane rain forest.,1995.0,1,1,1,,WGS84,2020,Darin Penneys
23259,PRESERVED_SPECIMEN,Arachnothryx brenesii,1572592,GBIF,,Manuel Vargas,,10.272222,-84.825001,"Finca Buen Amigo, San Luis. Monteverde.",1993.0,1,1,1,,WGS84,2020,Zobeida Fuentes
23267,PRESERVED_SPECIMEN,Arachnothryx brenesii,1572308,GBIF,,Manuel Vargas,,10.3,-84.75,Rio Penas Blancas. Aleman.,1990.0,1,1,1,,WGS84,2020,Erick Bello
23754,PRESERVED_SPECIMEN,Arachnothryx brenesii,1554092,GBIF,,Manuel Vargas,,10.202778,-84.533333,"Ribera del rio Cataratitas, camino a Bajo Rodriguez.",1993.0,1,1,1,,WGS84,2020,Quirico Jiménez
24355,PRESERVED_SPECIMEN,Arachnothryx brenesii,V0070840F,GBIF,6757,Manuel Vargas,,10.0114,-83.9519,,1929.0,1,1,1,,WGS84,2020,A. M. Brenes
24808,PRESERVED_SPECIMEN,Arachnothryx brenesii,V0069274F,GBIF,4747,Manuel Vargas,,10.0114,-83.9519,,1940.0,1,1,1,,WGS84,2020,A. F. Skutch
25002,PRESERVED_SPECIMEN,Arachnothryx brenesii,,GBIF,1191,Manuel Vargas,,10.5,-84.5,,1993.0,1,1,1,,WGS84,2020,Q. Jiménez M.
25075,PRESERVED_SPECIMEN,Arachnothryx brenesii,,GBIF,4310,Manuel Vargas,,10.5,-84.5,,1978.0,1,1,1,,WGS84,2020,F. Almeda
26400,PRESERVED_SPECIMEN,Arachnothryx brenesii,1953,GBIF,,Manuel Vargas,,8.766417,-83.042194,,,1,1,1,,WGS84,2020,
27195,PRESERVED_SPECIMEN,Arachnothryx brenesii,214489,GBIF,,Manuel Vargas,,10.71,-85.01,Z. P. Tenorio Cordillera de Guanacaste. Primary forest on a ridge at Volcàn Tenorio. Premontane rain forest.,1995.0,1,1,1,,WGS84,2020,"Penneys, Darin S."
27217,PRESERVED_SPECIMEN,Arachnothryx brenesii,183191,GBIF,,Manuel Vargas,,10.27,-84.82,"Finca Buen Amigo, San Luis. Monteverde.",1993.0,1,1,1,,WGS84,2020,"Fuentes, Zobeida"
27223,PRESERVED_SPECIMEN,Arachnothryx brenesii,169063,GBIF,,Manuel Vargas,,10.2,-84.53,"Ribera del Rìo Cataratitas, camino a Bajo Rodrìguez.",1993.0,1,1,1,,WGS84,2020,"Jiménez, Quírico"
