,BasisOfRec,Binomial,CatalogNo,Citation,CollectID,Compiler,Data_sens,Dec_Lat,Dec_Long,Dist_comm,Event_Year,Origin,Presence,Seasonal,Sens_comm,SpatialRef,YrCompiled,recordedBy
241,PRESERVED_SPECIMEN,Astrocasia peltata,00090258,GBIF,,Manuel Vargas,,19.5,-105.05,"Estación de Biología Chamela, Camino Antiguo N",1982.0,1,1,1,,WGS84,2020,Emily J. Lott
1331,PRESERVED_SPECIMEN,Astrocasia peltata,662928,GBIF,986,Manuel Vargas,,21.45,-106.45,"Isla Marías, Parte E de la Isla Ma. Ma. Magdalena, rumbo al O de los Aguajes",1986.0,1,1,1,,WGS84,2020,"Chiang C., Fernando; Flores F., G."
1332,PRESERVED_SPECIMEN,Astrocasia peltata,662927,GBIF,1130,Manuel Vargas,,21.583333,-106.58333300000001,"Isla Marías, Isla Ma. madre, antena de telecomunicaciones",1986.0,1,1,1,,WGS84,2020,"Chiang C., Fernando; Flores F., G."
1333,PRESERVED_SPECIMEN,Astrocasia peltata,662930,GBIF,1574,Manuel Vargas,,19.5,-105.05,Estación de Biología de Chamela,1982.0,1,1,1,,WGS84,2020,"Lott, Emily J."
3091,HUMAN_OBSERVATION,Astrocasia peltata,23828466,GBIF,,Manuel Vargas,,23.179445,-106.42610900000001,,2019.0,1,1,1,,WGS84,2020,Fernando Pío León
3101,HUMAN_OBSERVATION,Astrocasia peltata,18617678,GBIF,,Manuel Vargas,,21.306604,-106.23623500000001,,2018.0,1,1,1,,WGS84,2020,Fernando Pío León
3102,HUMAN_OBSERVATION,Astrocasia peltata,18617702,GBIF,,Manuel Vargas,,21.317255,-106.241739,,2018.0,1,1,1,,WGS84,2020,Fernando Pío León
3399,HUMAN_OBSERVATION,Astrocasia peltata,19760382,GBIF,,Manuel Vargas,,23.178155,-106.426372,,2019.0,1,1,1,,WGS84,2020,Sergio Escutia Zúñiga
3405,PRESERVED_SPECIMEN,Astrocasia peltata,1157388,GBIF,19941,Manuel Vargas,,19.581,-104.49600000000001,"Crucero del Naranjito;  16 mi SW of Autlán, 6.5 mi below the hwy pass.",1960.0,1,1,1,,WGS84,2020,Rogers McVaugh
3407,PRESERVED_SPECIMEN,Astrocasia peltata,1157390,GBIF,279,Manuel Vargas,,19.5287,-104.98100000000001,"El Salatillo (Salto);  La Huerta;  Chamela, Estación de Investigación, Experimentación y Difusión",1976.0,1,1,1,,WGS84,2020,J. Arturo S. Magallanes
3588,PRESERVED_SPECIMEN,Astrocasia peltata,V0476288F,GBIF,10405,Manuel Vargas,,23.0,-102.0,,1932.0,1,1,1,,WGS84,2020,J. T. Howell
3591,PRESERVED_SPECIMEN,Astrocasia peltata,V0476286F,GBIF,1574,Manuel Vargas,,20.3333,-103.6667,,1982.0,1,1,1,,WGS84,2020,E. J. Lott
3593,PRESERVED_SPECIMEN,Astrocasia peltata,V0476289F,GBIF,4215,Manuel Vargas,,23.0,-102.0,,1897.0,1,1,1,,WGS84,2020,E. W. Nelson
