,BasisOfRec,Binomial,CatalogNo,Citation,CollectID,Compiler,Data_sens,Dec_Lat,Dec_Long,Dist_comm,Event_Year,Origin,Presence,Seasonal,Sens_comm,SpatialRef,YrCompiled,recordedBy
17,PRESERVED_SPECIMEN,Casearia coronata,4353,GBIF,166,Manuel Vargas,,5.902833,-74.973297,"El paso de la plaza, cerca a la desembocadura de la quebrada El Picudo al río Chumurro",,1,1,1,,WGS84,2020,Hector F Salazar | Leidy Perdomo
130,PRESERVED_SPECIMEN,Casearia coronata,CM341190,GBIF,10897,Manuel Vargas,,8.833333,-79.56666700000001,"Canal Area, on hilltop W of canal and Panama City",1987.0,1,1,1,,WGS84,2020,"McPherson, G.; Stockwell, H."
306,HUMAN_OBSERVATION,Casearia coronata,,GBIF,,Manuel Vargas,,10.765722,-85.201833,,2019.0,1,1,1,,WGS84,2020,
312,HUMAN_OBSERVATION,Casearia coronata,,GBIF,,Manuel Vargas,,10.77375,-85.2835,,2017.0,1,1,1,,WGS84,2020,
1836,PRESERVED_SPECIMEN,Casearia coronata,U.1584885,GBIF,"McPherson, GD  11734 ",Manuel Vargas,,9.416667,-79.666667,,1987.0,1,1,1,,WGS84,2020,McPherson GD
2356,PRESERVED_SPECIMEN,Casearia coronata,101147943,GBIF,Stevens 41814,Manuel Vargas,,12.964389,-85.283028,"2.2 km W of W edge of Río Blanco, then 8.8 km N along road to Las Peñitas, skirting W base of Cerro Musún; moist forest at Río Paiwas ford",2019.0,1,1,1,,WGS84,2020,W. D. Stevens|G. Calero Ch.
2399,PRESERVED_SPECIMEN,Casearia coronata,,GBIF,,Manuel Vargas,,10.9,-85.47,"Costa Rica:Area de Conservacion Guanacaste, Sector Cacao, Camino a Cacao, 2 km al norte de la entrada principal de Gongora.",2010.0,1,1,1,,WGS84,2020,Adrian Guadamuz
2464,PRESERVED_SPECIMEN,Casearia coronata,,GBIF,,Manuel Vargas,,10.92,-85.47,"Costa Rica:Area de Conservacion Guanacaste, Sector Cacao, Sendero Arenales",2010.0,1,1,1,,WGS84,2020,Adrian Guadamuz
2487,PRESERVED_SPECIMEN,Casearia coronata,,GBIF,,Manuel Vargas,,10.92,-85.47,"Costa Rica:Area de Conservacion Guanacaste, Sector Cacao, Sendero Arenales",2010.0,1,1,1,,WGS84,2020,Adrian Guadamuz
2524,PRESERVED_SPECIMEN,Casearia coronata,,GBIF,,Manuel Vargas,,10.9,-85.47,"Costa Rica:Area de Conservacion Guanacaste, Sector Cacao, Camino a Cacao, 2 km al norte de la entrada principal de Gongora.",2010.0,1,1,1,,WGS84,2020,Adrian Guadamuz
2691,PRESERVED_SPECIMEN,Casearia coronata,101070690,GBIF,Aguilar Fernández 6476,Manuel Vargas,,10.731389,-85.018056,Distrito: Bijagua.  Parque Nacional Tenorio.,2001.0,1,1,1,,WGS84,2020,Reinaldo Aguilar
2884,PRESERVED_SPECIMEN,Casearia coronata,100955957,GBIF,Dressler 3404,Manuel Vargas,,9.329167,-79.8,"Santa Rita lumber road, 15 km E of Colón",1968.0,1,1,1,,WGS84,2020,Robert L. Dressler
2885,PRESERVED_SPECIMEN,Casearia coronata,100955959,GBIF,Lewis 2194,Manuel Vargas,,7.561389,-80.51333299999999,"Loma Prieta, Cerro Grande.",1967.0,1,1,1,,WGS84,2020,Walter H. Lewis|Richard K. Baker|Bruce  MacBryde|Royce L. Oliver
2896,PRESERVED_SPECIMEN,Casearia coronata,100949424,GBIF,Sytsma 2033,Manuel Vargas,,9.383333,-79.658333,"Santa Ridge Road, 18-20 km from Transismithian Hwy. [Coordinates on original label: 09º24'N, 079º39'W]",1980.0,1,1,1,,WGS84,2020,Kenneth J. Sytsma
