,BasisOfRec,Binomial,CatalogNo,Citation,CollectID,Compiler,Data_sens,Dec_Lat,Dec_Long,Dist_comm,Event_Year,Origin,Presence,Seasonal,Sens_comm,SpatialRef,YrCompiled,recordedBy
264,PRESERVED_SPECIMEN,Casimiroa sapota,101184491,GBIF,Quezada Bonilla 588,Manuel Vargas,,13.054889,-85.934361,"Carretera vieja Matagalpa-Jinotega, sobre el camino hacia La Fundadora",2017.0,1,1,1,,WGS84,2020,J.B. Quezada B.
661,PRESERVED_SPECIMEN,Casimiroa sapota,HEM 38473,GBIF,,Manuel Vargas,,15.10025,-92.17433299999999,"Ejido El Águila-Tres Cruces, en los alrededores de la boquetoma.",2014.0,1,1,1,,WGS84,2020,M.M.M.; A.L.C.
711,PRESERVED_SPECIMEN,Casimiroa sapota,XAL0140169,GBIF,,Manuel Vargas,,18.5181,-95.1412,"Ejido Calería, por la antena, por el Ejido Ruiz Cortínez, faldas del Volcán San Martín",2005.0,1,1,1,,WGS84,2020,E. Velasco-Sinaca
733,PRESERVED_SPECIMEN,Casimiroa sapota,XAL0129282,GBIF,,Manuel Vargas,,20.393611,-104.536111,"Balneario el Limón, 5 km al W de Atenguillo, río abajo",2000.0,1,1,1,,WGS84,2020,J.A. Lomelí S.; D. Livada
796,PRESERVED_SPECIMEN,Casimiroa sapota,V064862,GBIF,,Manuel Vargas,,19.552778,-96.89361099999999,Santa Rosa,1963.0,1,1,1,,WGS84,2020,L. Vela G.
847,PRESERVED_SPECIMEN,Casimiroa sapota,V022476,GBIF,,Manuel Vargas,,17.28,-94.546667,NO DISPONIBLE,1972.0,1,1,1,,WGS84,2020,R. Cedillo T.
893,PRESERVED_SPECIMEN,Casimiroa sapota,P12652,GBIF,,Manuel Vargas,,21.230556,-99.34527800000001,3-4 km al SSW de El Saucillo,1990.0,1,1,1,,WGS84,2020,E. Carranza G.
967,PRESERVED_SPECIMEN,Casimiroa sapota,71239,GBIF,,Manuel Vargas,,19.571667,-98.82,Tepetlaoxtoc,1983.0,1,1,1,,WGS84,2020,S.D. Koch
1021,PRESERVED_SPECIMEN,Casimiroa sapota,XAL0133144,GBIF,,Manuel Vargas,,18.539219,-95.140908,"Reserva Ecológica de Ruiz Cortines, 16.5 km al NE de San Andrés Tuxtla",2011.0,1,1,1,,WGS84,2020,A. Campos V.; R. Coates
1076,PRESERVED_SPECIMEN,Casimiroa sapota,V099411,GBIF,,Manuel Vargas,,18.3875,-94.93944,"El Bastonal, 10 km al NE de Tebanca, camino a Coyame",1985.0,1,1,1,,WGS84,2020,S. Sinaca C.
1119,PRESERVED_SPECIMEN,Casimiroa sapota,V064861,GBIF,,Manuel Vargas,,22.087778,-98.15055500000001,5 km al NE de Pánuco,1967.0,1,1,1,,WGS84,2020,L.I. Nevling; A. Gómez-Pompa
1251,PRESERVED_SPECIMEN,Casimiroa sapota,71238,GBIF,,Manuel Vargas,,17.8,-91.533333,"100 m del límite con México, carretera 15-E",1975.0,1,1,1,,WGS84,2020,A. Novelo R.
