,BasisOfRec,Binomial,CatalogNo,Citation,CollectID,Compiler,Data_sens,Dec_Lat,Dec_Long,Dist_comm,Event_Year,Origin,Presence,Seasonal,Sens_comm,SpatialRef,YrCompiled,recordedBy
2653,PRESERVED_SPECIMEN,Cecropia pittieri,101097724,GBIF,Quesada Quesada 1064,Manuel Vargas,,5.544444,-87.05555600000001,P.N. Isla del Coco. Isla del Coco. De Bahía Wafer a Catarata Wesler.,1994.0,1,1,1,,WGS84,2020,F. J. Quesada
3214,HUMAN_OBSERVATION,Cecropia pittieri,21320075,GBIF,,Manuel Vargas,,5.543423000000001,-87.05673,,2019.0,1,1,1,,WGS84,2020,Richard Joyce
10541,PRESERVED_SPECIMEN,Cecropia pittieri,2988714,GBIF,Gómez-Laurito 6943,Manuel Vargas,,5.53555,-87.06083000000001,"Isla de Cocos, Bahía de Wafer",1981.0,1,1,1,,WGS84,2020,Jorge Gómez-Laurito
11235,PRESERVED_SPECIMEN,Cecropia pittieri,2710288,GBIF,González Ramírez 1213,Manuel Vargas,,5.544444,-87.05555600000001,P.N. Isla del Coco.  Isla del Coco.  Camino de Bahía Chatam a Bahía Wafer.,1996.0,1,1,1,,WGS84,2020,José Á. González R.
13505,PRESERVED_SPECIMEN,Cecropia pittieri,1950444,GBIF,Carrasquilla 362,Manuel Vargas,,5.551111,-87.05111099999999,"Bahía Chatham, Isla del Coco",1973.0,1,1,1,,WGS84,2020,Luis G. Carrasquilla
13508,PRESERVED_SPECIMEN,Cecropia pittieri,1950445,GBIF,Jiménez Muñoz 3184,Manuel Vargas,,5.55166,-87.05027,"Isla de Coco, Bahía de Chatham",1965.0,1,1,1,,WGS84,2020,Alfonso Jiménez M.
13510,PRESERVED_SPECIMEN,Cecropia pittieri,1950441,GBIF,Rojas Alvarado 3672,Manuel Vargas,,5.5375,-87.03194,"Isla del Coco. Sendera a Cabo Atrevido, parte alta.",1997.0,1,1,1,,WGS84,2020,Alexander Rojas
19294,PRESERVED_SPECIMEN,Cecropia pittieri,3978737,GBIF,,Manuel Vargas,,5.541148000000001,-87.054819,Isla del Coco.,2001.0,1,1,1,,WGS84,2020,Jennifer Trusty
22442,PRESERVED_SPECIMEN,Cecropia pittieri,1585231,GBIF,,Manuel Vargas,,5.544444,-87.05555600000001,De Bahia Wafer a Catarata Wesler.,1994.0,1,1,1,,WGS84,2020,Javier Quesada
23823,PRESERVED_SPECIMEN,Cecropia pittieri,1514725,GBIF,,Manuel Vargas,,5.544444,-87.05555600000001,Camino de Bahia Chatam a Bahia Wafer.,1996.0,1,1,1,,WGS84,2020,Jose González
23926,PRESERVED_SPECIMEN,Cecropia pittieri,1534270,GBIF,,Manuel Vargas,,5.5375,-87.031944,"Sendero a Cabo Atrevido, parte alta.",1997.0,1,1,1,,WGS84,2020,Alexander Rojas
23927,PRESERVED_SPECIMEN,Cecropia pittieri,1534268,GBIF,,Manuel Vargas,,5.5375,-87.031944,"Sendero a Cabo Atrevido, parte alta.",1997.0,1,1,1,,WGS84,2020,Alexander Rojas
23928,PRESERVED_SPECIMEN,Cecropia pittieri,1534271,GBIF,,Manuel Vargas,,5.5375,-87.031944,"Sendero a Cabo Atrevido, parte alta.",1997.0,1,1,1,,WGS84,2020,Alexander Rojas
23929,PRESERVED_SPECIMEN,Cecropia pittieri,1534269,GBIF,,Manuel Vargas,,5.5375,-87.031944,"Sendero a Cabo Atrevido, parte alta.",1997.0,1,1,1,,WGS84,2020,Alexander Rojas
28966,PRESERVED_SPECIMEN,Cecropia pittieri,231151,GBIF,,Manuel Vargas,,5.54,-87.05,P.N. Isla del Coco Isla del Coco. Camino de bahía Chatam a Bahía Wafer.,1996.0,1,1,1,,WGS84,2020,"González, José"
28967,PRESERVED_SPECIMEN,Cecropia pittieri,231073,GBIF,,Manuel Vargas,,5.53,-87.01,P.N. Isla del Coco,2002.0,1,1,1,,WGS84,2020,"Trusty, Jennifer"
28970,PRESERVED_SPECIMEN,Cecropia pittieri,221158,GBIF,,Manuel Vargas,,5.55,-87.04,"P.N. Isla del Coco sendero a Cabo Atrevido, parte alta.",1997.0,1,1,1,,WGS84,2020,"Rojas, Alexander"
28976,PRESERVED_SPECIMEN,Cecropia pittieri,201182,GBIF,,Manuel Vargas,,5.54,-87.05,P.N. Isla del Coco Isla del Coco. De Bahía Wafer a Catarata Wesler.,1994.0,1,1,1,,WGS84,2020,"Quesada, Francisco"
28998,PRESERVED_SPECIMEN,Cecropia pittieri,16237,GBIF,,Manuel Vargas,,5.55,-87.04,"P.N. Isla del Coco Région inferiére, sur le littoral ouest et nord. Cocos Island. Pacifique.",,1,1,1,,WGS84,2020,"Pittier, Henry"
