,BasisOfRec,Binomial,CatalogNo,Citation,CollectID,Compiler,Data_sens,Dec_Lat,Dec_Long,Dist_comm,Event_Year,Origin,Presence,Seasonal,Sens_comm,SpatialRef,YrCompiled,recordedBy
7258,PRESERVED_SPECIMEN,Cestrum acuminatum,468191,GBIF,Herrera Chacón 2736,Manuel Vargas,,9.78,-83.12,"Cantón de Limón El Progreso. Siguiendo la fila a Cerro Matama. Area de suelos inundados entre 1500 a 1700 m. Fila Matama, Valle de La Estrella.",1989.0,1,1,1,,WGS84,2020,Gerardo Herrera Ch.|Abelardo Chacón
7264,PRESERVED_SPECIMEN,Cestrum acuminatum,466177,GBIF,van der Werff 6505,Manuel Vargas,,8.866667,-82.55,"Distrito Bugaba, Cerro Punta; Around STRI house.",1985.0,1,1,1,,WGS84,2020,H. van der Werff|Juan Herrera
7285,PRESERVED_SPECIMEN,Cestrum acuminatum,457739,GBIF,McPherson 12313,Manuel Vargas,,8.833333,-82.416667,"Above Boquete, on trail to Pate Macho on continental divide.",1988.0,1,1,1,,WGS84,2020,Gordon McPherson
7556,PRESERVED_SPECIMEN,Cestrum acuminatum,905148,GBIF,Herrera Chacón 5917,Manuel Vargas,,9.34,-83.22,P.N. Cordillera de Talamanca; Cordillera de Talamanca. Bosque achaparrado entre Quebrada Kuisa y Río Lori. Camino de Ujarrás a San José Cabécar.,1993.0,1,1,1,,WGS84,2020,Gerardo Herrera Ch.
11334,PRESERVED_SPECIMEN,Cestrum acuminatum,2606558,GBIF,Monro 4467,Manuel Vargas,,9.084166999999999,-82.74555500000001,"Ridge north of Campamiento Luchio. Trees 20-25 m, dbhs 30-45 cm, canopy emergents ca. 35 m, evidence of frequent branch falls from canopy emergents, Ocotea sp., Quercus sp., Sapium sp. appear to be canopy dominants; landscape of narrow ridges and steep narrow valleys, ca. 6000-6500 mm rain pa.",2004.0,1,1,1,,WGS84,2020,Alex K. Monro|Evelio Alfaro
11784,PRESERVED_SPECIMEN,Cestrum acuminatum,2379241,GBIF,Utley 4523,Manuel Vargas,,9.7,-83.78,"Tapantí Hydroelectric Project, along well maintained trail to meteorological station about 6 km beyond gate",1976.0,1,1,1,,WGS84,2020,John F. Utley|K. Burt-Utley
12946,PRESERVED_SPECIMEN,Cestrum acuminatum,2168626,GBIF,Knapp 1642,Manuel Vargas,,8.916667,-82.733333,East slopes of Cerro Pando.,1981.0,1,1,1,,WGS84,2020,Sandy Knapp
13081,PRESERVED_SPECIMEN,Cestrum acuminatum,2099485,GBIF,Standley 52237,Manuel Vargas,,10.06,-84.04,"Cerro de las Caricias, north of San Isidro",1926.0,1,1,1,,WGS84,2020,Paul C. Standley|Juvenal Valerio R.
13396,PRESERVED_SPECIMEN,Cestrum acuminatum,1962269,GBIF,Davidson 433,Manuel Vargas,,8.85,-82.516667,Bajo Chorro. Rain forest,1938.0,1,1,1,,WGS84,2020,Mary E. Davidson
13398,PRESERVED_SPECIMEN,Cestrum acuminatum,1962267,GBIF,Wilbur 13535,Manuel Vargas,,8.833333,-82.466667,Forested slopes above the village of San Ramón near Bajo Mono and 4 miles northwest of Boquete.,1971.0,1,1,1,,WGS84,2020,Robert L. Wilbur|James A. Teeri|Robin B. Foster
