,BasisOfRec,Binomial,CatalogNo,Citation,CollectID,Compiler,Data_sens,Dec_Lat,Dec_Long,Dist_comm,Event_Year,Origin,Presence,Seasonal,Sens_comm,SpatialRef,YrCompiled,recordedBy
1952,PRESERVED_SPECIMEN,Chrysophyllum hirsutum,U.1596412,GBIF,"McPherson, GD  12398 ",Manuel Vargas,,9.25,-79.0,"Panama, El Llano-carti road, near San Blas border.",1988.0,1,1,1,,WGS84,2020,McPherson GD
1969,PRESERVED_SPECIMEN,Chrysophyllum hirsutum,U.1596413,GBIF,"McPherson, GD  12398 ",Manuel Vargas,,9.25,-79.0,"Panama, El Llano-carti road, near San Blas border.",1988.0,1,1,1,,WGS84,2020,McPherson GD
2087,PRESERVED_SPECIMEN,Chrysophyllum hirsutum,L.2651839,GBIF,"McPherson, GD  12551 ",Manuel Vargas,,8.75,-82.25,,1988.0,1,1,1,,WGS84,2020,McPherson GD
5932,PRESERVED_SPECIMEN,Chrysophyllum hirsutum,3642475,GBIF,703,Manuel Vargas,,10.95,-83.47,"Santa Cecilia, La Cruz, Estacion Pitilla, Faldas Cerro Orosilito.",1989.0,1,1,1,,WGS84,2020,"Q. Jiménez Madrigal, B. Hammel, M. Chavarría & Grupo Biodiv."
5934,PRESERVED_SPECIMEN,Chrysophyllum hirsutum,3510659,GBIF,12816,Manuel Vargas,,8.5,-81.17,"Vicinity of Cerro Arizona-Tute, above Santa Fe and Altos de Piedra, along trail to summit.",1998.0,1,1,1,,WGS84,2020,G. D. McPherson
5936,PRESERVED_SPECIMEN,Chrysophyllum hirsutum,3637612,GBIF,12398,Manuel Vargas,,9.25,-79.0,"El Llano-Carti road, near San Blas border.",1988.0,1,1,1,,WGS84,2020,G. D. McPherson
6953,PRESERVED_SPECIMEN,Chrysophyllum hirsutum,MG139169,GBIF,12135,Manuel Vargas,,9.25,-79.5,Panamá,1988.0,1,1,1,,WGS84,2020,"McPherson, G."
6954,PRESERVED_SPECIMEN,Chrysophyllum hirsutum,MG139224,GBIF,12816,Manuel Vargas,,8.5,-81.166667,Panamá,1988.0,1,1,1,,WGS84,2020,"McPherson, G."
6955,PRESERVED_SPECIMEN,Chrysophyllum hirsutum,MG139178,GBIF,12551,Manuel Vargas,,8.75,-82.25,Panamá,1988.0,1,1,1,,WGS84,2020,"McPherson, G."
6956,PRESERVED_SPECIMEN,Chrysophyllum hirsutum,MG138645,GBIF,4394,Manuel Vargas,,10.416667,-84.833333,Costa Rica,1986.0,1,1,1,,WGS84,2020,"Haber, W.A."
7351,PRESERVED_SPECIMEN,Chrysophyllum hirsutum,982780,GBIF,Morales Quirós 4591,Manuel Vargas,,9.7,-84.22,"Valle del Candelaria. Hda. Tiquires. Bosque primario y paredones alterrados en la cima de la Fila Zoncuano, por sendero a Tiquiritos.",1995.0,1,1,1,,WGS84,2020,J. F. Morales|José Á. González R.
7590,PRESERVED_SPECIMEN,Chrysophyllum hirsutum,904034,GBIF,Rodríguez Ramírez 129,Manuel Vargas,,10.61,-84.99,Z.P. Tenorio; Cordillera de Tilarán. Tierras Morenas; Río San Lorenzo.,1993.0,1,1,1,,WGS84,2020,Gladys Rodríguez|Quírico Jiménez
7703,PRESERVED_SPECIMEN,Chrysophyllum hirsutum,899534,GBIF,Bello Carranza 4883,Manuel Vargas,,10.4,-84.77,"Cord. de Tilarán. Palmital, Quebrada Malanga, Río Caño Negro.",1993.0,1,1,1,,WGS84,2020,Erick Bello C.|Eladio Cruz L.
7825,PRESERVED_SPECIMEN,Chrysophyllum hirsutum,894304,GBIF,Bello Carranza 1887,Manuel Vargas,,10.36,-84.8,"P.N. Arenal; Cordillera de Tilarán. Quebrada San Gerardo, Río Caño Negro. Finca de Los Mejías.",1990.0,1,1,1,,WGS84,2020,Erick Bello C.
7829,PRESERVED_SPECIMEN,Chrysophyllum hirsutum,894130,GBIF,Hammel 19530,Manuel Vargas,,10.56,-84.04,Llanura de San Carlos. Lomas Sardinal; bosque intervenido y primario; ca. 15 km linea recta N de Puerto Viejo.,1994.0,1,1,1,,WGS84,2020,Barry E. Hammel|Michael Garita
9681,PRESERVED_SPECIMEN,Chrysophyllum hirsutum,409397,GBIF,McPherson 12551,Manuel Vargas,,8.784167,-82.181111,"Along road towards Chiriquí Grande, along trail leaving road at 500 m and rising to 700 m.",1988.0,1,1,1,,WGS84,2020,Gordon McPherson
9683,PRESERVED_SPECIMEN,Chrysophyllum hirsutum,409256,GBIF,McPherson 12451,Manuel Vargas,,9.416667,-79.666667,"Santa Rita ridge, 8-12 miles from Transisthmian highway.",1988.0,1,1,1,,WGS84,2020,Gordon McPherson
9686,PRESERVED_SPECIMEN,Chrysophyllum hirsutum,409164,GBIF,McPherson 12398,Manuel Vargas,,9.25,-79.0,"El Llano-Carti road, near San Blas border.",1988.0,1,1,1,,WGS84,2020,Gordon McPherson
9690,PRESERVED_SPECIMEN,Chrysophyllum hirsutum,408887,GBIF,McPherson 12135,Manuel Vargas,,9.25,-79.5,"Cerro Jefe, along road a few hundred yards below summit into Chagres Valley",1988.0,1,1,1,,WGS84,2020,Gordon McPherson
9700,PRESERVED_SPECIMEN,Chrysophyllum hirsutum,408648,GBIF,McPherson 12816,Manuel Vargas,,8.5,-81.166667,"Vicinity of Cerro Arizona-Tute, above Santa Fe and Altos de Piedra, along trail to summit.",1988.0,1,1,1,,WGS84,2020,Gordon McPherson
9712,PRESERVED_SPECIMEN,Chrysophyllum hirsutum,408230,GBIF,Gómez-Laurito 11790,Manuel Vargas,,10.21,-84.61,Reserva Forestal San Ramón Campamento Río San Lorencito.,1989.0,1,1,1,,WGS84,2020,Jorge Gómez-Laurito
9728,PRESERVED_SPECIMEN,Chrysophyllum hirsutum,407038,GBIF,Jiménez Madrigal 703,Manuel Vargas,,10.95,-85.466667,"Santa Cecilia, La Cruz. Estación Pitilla, faldas del Cerro Orosilito.",1989.0,1,1,1,,WGS84,2020,Quírico Jiménez|Barry E. Hammel|María Marta Chavarría|Grupo Estudiantes de Biodiversidad
9746,PRESERVED_SPECIMEN,Chrysophyllum hirsutum,406558,GBIF,Herrera Chacón 1513,Manuel Vargas,,10.8,-85.31,"Parque Rincón de la Vieja, Siguiendo el canal hasta Quebrada Provisión y de ahí por el canal secunda- rio hasta la quebrada siguiente",1988.0,1,1,1,,WGS84,2020,Gerardo Herrera Ch.
9772,PRESERVED_SPECIMEN,Chrysophyllum hirsutum,405612,GBIF,Haber 4394,Manuel Vargas,,10.416667,-84.833333,"El Dos de Tilaran, 4 km N, Cerro La Chirripa.",1986.0,1,1,1,,WGS84,2020,William A. Haber|Erick Bello C.|L. Lierheimer
10081,PRESERVED_SPECIMEN,Chrysophyllum hirsutum,3362042,GBIF,Bonifaz B. 3266,Manuel Vargas,,0.16666,-80.18333,"Parroquia Jama. Bosque Don Juan, Quebrada del río Sándalo. Bosque seco tropical microhabitat húmedo.",1995.0,1,1,1,,WGS84,2020,Carmen Bonifaz B.|Xavier Cornejo S.
11436,PRESERVED_SPECIMEN,Chrysophyllum hirsutum,2558707,GBIF,Espinoza Obando 1536,Manuel Vargas,,10.95166,-85.46916,"P.N. Guanacaste. Cuenca del Tempisque. Estacion Martiza, Sendero a Cacao.",1996.0,1,1,1,,WGS84,2020,Roberto Espinoza
