,BasisOfRec,Binomial,CatalogNo,Citation,CollectID,Compiler,Data_sens,Dec_Lat,Dec_Long,Dist_comm,Event_Year,Origin,Presence,Seasonal,Sens_comm,SpatialRef,YrCompiled,recordedBy
269,PRESERVED_SPECIMEN,Citharexylum costaricense,101194367,GBIF,Vargas Salazar 3428,Manuel Vargas,,10.052194,-84.023472,"No Protegida. Cuenca del Tarcoles. P.N. Braulio Carrillo, entrado por Santa Elena.",2008.0,1,1,1,,WGS84,2020,Luis Diego Vargas
2386,PRESERVED_SPECIMEN,Citharexylum costaricense,,GBIF,,Manuel Vargas,,10.89,-85.48,"Costa Rica:Area de Conservacion Guanacaste, Sector Cacao, Sendero al Bananal Gongora",2009.0,1,1,1,,WGS84,2020,Adrian Guadamuz
2435,PRESERVED_SPECIMEN,Citharexylum costaricense,,GBIF,,Manuel Vargas,,10.89,-85.48,"Costa Rica:Area de Conservacion Guanacaste, Sector Cacao, Sendero al Bananal Gongora",2009.0,1,1,1,,WGS84,2020,Adrian Guadamuz
2463,PRESERVED_SPECIMEN,Citharexylum costaricense,,GBIF,,Manuel Vargas,,10.89,-85.48,"Costa Rica:Area de Conservacion Guanacaste, Sector Cacao, Sendero al Bananal Gongora",2009.0,1,1,1,,WGS84,2020,Adrian Guadamuz
2530,PRESERVED_SPECIMEN,Citharexylum costaricense,,GBIF,,Manuel Vargas,,10.89,-85.48,"Costa Rica:Area de Conservacion Guanacaste, Sector Cacao, Sendero al Bananal Gongora",2009.0,1,1,1,,WGS84,2020,Adrian Guadamuz
2554,PRESERVED_SPECIMEN,Citharexylum costaricense,2654879,GBIF,27946,Manuel Vargas,,11.6,-84.42,2 km S of Verdún.,1983.0,1,1,1,,WGS84,2020,M. Nee & S. Vega
2801,PRESERVED_SPECIMEN,Citharexylum costaricense,101022261,GBIF,Rueda 20758,Manuel Vargas,,13.2,-85.55,"Municipio de Rancho Grande, carretera entre Rancho Grande y La Castilla",2017.0,1,1,1,,WGS84,2020,R. M. Rueda|I. Coronado G.|B. Bustos
2927,PRESERVED_SPECIMEN,Citharexylum costaricense,100919514,GBIF,Chacón Coto 409,Manuel Vargas,,9.451389,-83.996111,Savegre.  Santo Domingo. Camino a Rio Blanco,2002.0,1,1,1,,WGS84,2020,Rafael Chacón|G. Alvarado
2992,MATERIAL_SAMPLE,Citharexylum costaricense,BioBot10739,GBIF,,Manuel Vargas,,10.889000000000001,-85.476,"Area de Conservacion Guanacaste, Sector Cacao, Sendero al Bananal Gongora",2009.0,1,1,1,,WGS84,2020,Adrian Guadamuz
3027,MATERIAL_SAMPLE,Citharexylum costaricense,BioBot10759,GBIF,,Manuel Vargas,,10.889000000000001,-85.476,"Area de Conservacion Guanacaste, Sector Cacao, Sendero al Bananal Gongora",2009.0,1,1,1,,WGS84,2020,Adrian Guadamuz
4624,PRESERVED_SPECIMEN,Citharexylum costaricense,00099796,GBIF,,Manuel Vargas,,19.54948150238288,-105.0281247902115,Estación Biológica Chamela,1978.0,1,1,1,,WGS84,2020,L. A. Pérez J.
4625,PRESERVED_SPECIMEN,Citharexylum costaricense,00099794,GBIF,,Manuel Vargas,,19.54948150238288,-105.0281247902115,"Estación de Investigación, Experimentación y Difusión Chamela, UNAM, La Huerta",1978.0,1,1,1,,WGS84,2020,J. A. Solís M.
4626,PRESERVED_SPECIMEN,Citharexylum costaricense,00099795,GBIF,,Manuel Vargas,,19.54948150238288,-105.0281247902115,"Estación de Investigación, Experimentación y Difusión Chamela, UNAM, La Huerta",1983.0,1,1,1,,WGS84,2020,J. A. Solís M.
4627,PRESERVED_SPECIMEN,Citharexylum costaricense,00099793,GBIF,,Manuel Vargas,,19.54948150238288,-105.0281247902115,"Eje Centra M 200, Estación de Biología Chamela (UNAM)",1982.0,1,1,1,,WGS84,2020,S. H. Bullock
7291,PRESERVED_SPECIMEN,Citharexylum costaricense,442106,GBIF,Sandino 4490,Manuel Vargas,,11.58333,-84.41666,"El Almacén, 8 km SW de Nueva Guinea; bosque húmedo tropical",1983.0,1,1,1,,WGS84,2020,J. C. Sandino
7292,PRESERVED_SPECIMEN,Citharexylum costaricense,442287,GBIF,Rivera Elizondo 493,Manuel Vargas,,10.769445,-85.31666700000001,"P. Nac. Rincón de la Vieja, sendero a aguas azufradas, Quebrada Azufrales, aguas arriba.",1990.0,1,1,1,,WGS84,2020,Gerardo Rivera
7322,PRESERVED_SPECIMEN,Citharexylum costaricense,983697,GBIF,Morales Quirós 3380,Manuel Vargas,,10.04,-83.99,"Cordillera Central. Alto La Palma, Bosque secundario camino al bajo La Hondura.",1995.0,1,1,1,,WGS84,2020,J. F. Morales|Viviana Ureña
7469,PRESERVED_SPECIMEN,Citharexylum costaricense,926231,GBIF,Stevens 14575,Manuel Vargas,,12.4,-85.55,"Upper SW slope of Cerro Mombachito, S of road between Boaco and Camoapa.",1979.0,1,1,1,,WGS84,2020,W. D. Stevens|Alfredo Grijalva P.|M. Araquistain
7576,PRESERVED_SPECIMEN,Citharexylum costaricense,904596,GBIF,Rodríguez González 323,Manuel Vargas,,9.83,-83.57,"Valle del Reventazón, Tuis, entrada de Rivel",1994.0,1,1,1,,WGS84,2020,Alexánder Rodríguez
7843,PRESERVED_SPECIMEN,Citharexylum costaricense,892960,GBIF,Haber 11101,Manuel Vargas,,10.3,-84.8,"Cordillera de Tilarán. Monteverde, Pacific slope, wet forest. John Campbell farm.",1992.0,1,1,1,,WGS84,2020,William A. Haber|Willow Zuchowski
