,BasisOfRec,Binomial,CatalogNo,Citation,CollectID,Compiler,Data_sens,Dec_Lat,Dec_Long,Dist_comm,Event_Year,Origin,Presence,Seasonal,Sens_comm,SpatialRef,YrCompiled,recordedBy
3671,PRESERVED_SPECIMEN,Clethra consimilis,MA-01-00734740,GBIF,4470,Manuel Vargas,,9.7444,-83.9764,"Cartago: El Guarco. No protegida. Cuenca del Reventazón. Carretera Interamericana, a orillas de la carretera, entre la Sierra y el Empalme",2003.0,1,1,1,,WGS84,2020,E. Alfaro
3907,PRESERVED_SPECIMEN,Clethra consimilis,232970,GBIF,NY1221,Manuel Vargas,,10.212014,-84.380936,Palmira,1938.0,1,1,1,,WGS84,2020,A. F. Smith
4009,PRESERVED_SPECIMEN,Clethra consimilis,38759,GBIF,H1221,Manuel Vargas,,10.211761,-84.380936,Alfaro Ruiz Canton. Palmira,1938.0,1,1,1,,WGS84,2020,A. F. Smith
7750,PRESERVED_SPECIMEN,Clethra consimilis,897116,GBIF,Bello Carranza 2848,Manuel Vargas,,10.28,-84.75,"Bosque Eterno de los Niños, Río Peñas Blancas, Campo 3, Cerro la Pipilacha.",1991.0,1,1,1,,WGS84,2020,Erick Bello C.|Eladio Cruz L.
8079,PRESERVED_SPECIMEN,Clethra consimilis,767399,GBIF,McPherson 12680,Manuel Vargas,,8.517222,-81.794167,"Vicinity of Cerro Colorado, above San Félix. Near continental divide, along mining roads and nearby trails. [Coordinates on original label: 8º35'N, 81º50'W]",1988.0,1,1,1,,WGS84,2020,Gordon McPherson
9801,PRESERVED_SPECIMEN,Clethra consimilis,390726,GBIF,Lent 986,Manuel Vargas,,9.74,-83.78,"Remnant tree in newly cleared pasture over Río Grande de Orosi, 4 km southeast of Tapantí",1967.0,1,1,1,,WGS84,2020,Roy W. Lent
9802,PRESERVED_SPECIMEN,Clethra consimilis,390603,GBIF,Herrera Chacón 3358,Manuel Vargas,,9.38,-83.0,Cantón de Talamanca Alto Urén. Subiendo por la fila entre la margen derecha de la Quebrada Chaho y la margen izquierda del Río Lorni. Cerro Láubeta.,1989.0,1,1,1,,WGS84,2020,Gerardo Herrera Ch.
9970,PRESERVED_SPECIMEN,Clethra consimilis,3478132,GBIF,Aizprúa B4232,Manuel Vargas,,8.72777,-82.26416,Reserva Forestal de Fortuna. Sendero Samudio.,2004.0,1,1,1,,WGS84,2020,Rafael Aizprúa|I. Alvarez
14292,PRESERVED_SPECIMEN,Clethra consimilis,1548490,GBIF,Galdames 3332,Manuel Vargas,,8.911111,-82.708333,"Jurutungo, alrededoers de Cerro Pando. Desde Los Quetzales hacia El Monumento (limite fronterizo).",1996.0,1,1,1,,WGS84,2020,Carmen Galdames|Jorge E. Aranda B.|L. Guillén|Blanca Araúz|A. Fuentes
14298,PRESERVED_SPECIMEN,Clethra consimilis,1545176,GBIF,Mori 5812,Manuel Vargas,,8.54055,-81.82333,"N of San Félix at Chiriquí-Bocas del Toro border, on Cerro Colorado copper mine road along continental divide. Lower montane rain forest (cloud forest, trees to 5 m tall)",1975.0,1,1,1,,WGS84,2020,Scott A. Mori|Jacquelyn A. Kallunki
14300,PRESERVED_SPECIMEN,Clethra consimilis,1545174,GBIF,Smith 1221,Manuel Vargas,,10.21,-84.37,"Alfaro Ruiz, Palmira, in pasture, not common",1938.0,1,1,1,,WGS84,2020,Austin Smith
14728,PRESERVED_SPECIMEN,Clethra consimilis,1404768,GBIF,Mori 7768,Manuel Vargas,,8.531667,-81.813333,"Cerro Colorado, 50 km N of San Félix on the continental divide.",1975.0,1,1,1,,WGS84,2020,Scott A. Mori|Robert L. Dressler
15222,PRESERVED_SPECIMEN,Clethra consimilis,1199347,GBIF,Smith H1221,Manuel Vargas,,10.21,-84.37,Palmira,1938.0,1,1,1,,WGS84,2020,Austin Smith
15451,PRESERVED_SPECIMEN,Clethra consimilis,112448,GBIF,Croat 69087,Manuel Vargas,,8.532778,-81.8225,"Cerro Colorado, 8.3 mi W of Chame, then down road S toward old construction camp for copper ore exploration. [Coordinates on original labels: 08º35'N, 81º.50'W]",1988.0,1,1,1,,WGS84,2020,Thomas B. Croat
16189,PRESERVED_SPECIMEN,Clethra consimilis,100492421,GBIF,Morales Quirós 10695,Manuel Vargas,,9.777778,-83.979167,"Z.P. Río Navarro y Río Sombrero.  Cuenca del Reventazón.  Cabeceras Quebrada Bonita, camino a Estrella, por Vuelta Ventolera.",2004.0,1,1,1,,WGS84,2020,J. F. Morales
16191,PRESERVED_SPECIMEN,Clethra consimilis,100492416,GBIF,Morales Quirós 10682,Manuel Vargas,,9.777778,-83.979167,"Z.P. Río Navarro y Río Sombrero.  Cuenca del Reventazón.  Cabeceras Quebrada Bonita, camino a Estrella, por Vuelta Ventolera.",2004.0,1,1,1,,WGS84,2020,J. F. Morales
16305,PRESERVED_SPECIMEN,Clethra consimilis,100477311,GBIF,Mori 5809,Manuel Vargas,,8.540556,-81.82333299999999,"N of San Félix at Chiriquí-Bocas del Toro border, on Cerro Colorado copper mine road along continental divide. Lower montane rain forest (cloud forest, trees to 5 m tall)",1975.0,1,1,1,,WGS84,2020,Scott A. Mori|Jacquelyn A. Kallunki
17245,PRESERVED_SPECIMEN,Clethra consimilis,4328561,GBIF,,Manuel Vargas,,9.692944,-83.782389,"Cartago. Paraíso, Valle de Orosi, P. N. Tapantí, Río Orosi watershed, main road to El Destierro Planta ICE, Dos Amigos bridge.",2012.0,1,1,1,,WGS84,2020,Nelson A. Zamora Villalobos; Soo-Yong Kim
17246,PRESERVED_SPECIMEN,Clethra consimilis,4328559,GBIF,,Manuel Vargas,,9.692944,-83.782389,"Cartago. Paraíso, Valle de Orosi, P. N. Tapantí, Río Orosi watershed, main road to El Destierro Planta ICE, Dos Amigos bridge.",2012.0,1,1,1,,WGS84,2020,Nelson A. Zamora Villalobos; Soo-Yong Kim
17247,PRESERVED_SPECIMEN,Clethra consimilis,4328560,GBIF,,Manuel Vargas,,9.692944,-83.782389,"Cartago. Paraíso, Valle de Orosi, P. N. Tapantí, Río Orosi watershed, main road to El Destierro Planta ICE, Dos Amigos bridge.",2012.0,1,1,1,,WGS84,2020,Nelson A. Zamora Villalobos; Soo-Yong Kim
17248,PRESERVED_SPECIMEN,Clethra consimilis,4328562,GBIF,,Manuel Vargas,,9.692944,-83.782389,"Cartago. Paraíso, Valle de Orosi, P. N. Tapantí, Río Orosi watershed, main road to El Destierro Planta ICE, Dos Amigos bridge.",2012.0,1,1,1,,WGS84,2020,Nelson A. Zamora Villalobos; Soo-Yong Kim
17541,PRESERVED_SPECIMEN,Clethra consimilis,4267646,GBIF,,Manuel Vargas,,9.791658,-83.983328,"Cartago, Casamata, cercanías de la carretera Interamericana.",2010.0,1,1,1,,WGS84,2020,Frank  Alonso González Brenes; Daniel Santamaría ; Juan Francisco Morales Quirós
17542,PRESERVED_SPECIMEN,Clethra consimilis,4267644,GBIF,,Manuel Vargas,,9.791658,-83.983328,"Cartago, Casamata, cercanías de la carretera Interamericana.",2010.0,1,1,1,,WGS84,2020,Frank  Alonso González Brenes; Daniel Santamaría ; Juan Francisco Morales Quirós
17543,PRESERVED_SPECIMEN,Clethra consimilis,4267645,GBIF,,Manuel Vargas,,9.791658,-83.983328,"Cartago, Casamata, cercanías de la carretera Interamericana.",2010.0,1,1,1,,WGS84,2020,Frank  Alonso González Brenes; Daniel Santamaría ; Juan Francisco Morales Quirós
17544,PRESERVED_SPECIMEN,Clethra consimilis,4267647,GBIF,,Manuel Vargas,,9.791658,-83.983328,"Cartago, Casamata, cercanías de la carretera Interamericana.",2010.0,1,1,1,,WGS84,2020,Frank  Alonso González Brenes; Daniel Santamaría ; Juan Francisco Morales Quirós
19078,PRESERVED_SPECIMEN,Clethra consimilis,4014169,GBIF,,Manuel Vargas,,9.777778,-83.979167,"Cartago, cabeceras Quebrada Bonita, camino a Estrella por Vuelta Ventolera.",2004.0,1,1,1,,WGS84,2020,Juan Francisco Morales Quirós
19079,PRESERVED_SPECIMEN,Clethra consimilis,4014170,GBIF,,Manuel Vargas,,9.777778,-83.979167,"Cartago, cabeceras Quebrada Bonita, camino a Estrella por Vuelta Ventolera.",2004.0,1,1,1,,WGS84,2020,Juan Francisco Morales Quirós
19080,PRESERVED_SPECIMEN,Clethra consimilis,4014171,GBIF,,Manuel Vargas,,9.777778,-83.979167,"Cartago, cabeceras Quebrada Bonita, camino a Estrella por Vuelta Ventolera.",2004.0,1,1,1,,WGS84,2020,Juan Francisco Morales Quirós
19081,PRESERVED_SPECIMEN,Clethra consimilis,4014128,GBIF,,Manuel Vargas,,9.777778,-83.979167,"Cartago, cabeceras Quebrada Bonita, camino a Estrella por Vuelta Ventolera.",2004.0,1,1,1,,WGS84,2020,Juan Francisco Morales Quirós
19084,PRESERVED_SPECIMEN,Clethra consimilis,4014127,GBIF,,Manuel Vargas,,9.777778,-83.979167,"Cartago, cabeceras Quebrada Bonita, camino a Estrella por Vuelta Ventolera.",2004.0,1,1,1,,WGS84,2020,Juan Francisco Morales Quirós
19087,PRESERVED_SPECIMEN,Clethra consimilis,4014125,GBIF,,Manuel Vargas,,9.777778,-83.979167,"Cartago, cabeceras Quebrada Bonita, camino a Estrella por Vuelta Ventolera.",2004.0,1,1,1,,WGS84,2020,Juan Francisco Morales Quirós
19088,PRESERVED_SPECIMEN,Clethra consimilis,4014126,GBIF,,Manuel Vargas,,9.777778,-83.979167,"Cartago, cabeceras Quebrada Bonita, camino a Estrella por Vuelta Ventolera.",2004.0,1,1,1,,WGS84,2020,Juan Francisco Morales Quirós
19106,PRESERVED_SPECIMEN,Clethra consimilis,4008327,GBIF,,Manuel Vargas,,9.775,-83.783333,"Cabeceras Quebrada Casa Blanca, carretera a Tuasito.",2003.0,1,1,1,,WGS84,2020,Juan Francisco Morales Quirós
19107,PRESERVED_SPECIMEN,Clethra consimilis,4008328,GBIF,,Manuel Vargas,,9.775,-83.783333,"Cabeceras Quebrada Casa Blanca, carretera a Tuasito.",2003.0,1,1,1,,WGS84,2020,Juan Francisco Morales Quirós
19538,PRESERVED_SPECIMEN,Clethra consimilis,3911098,GBIF,,Manuel Vargas,,10.086944,-84.07305600000001,Cerro Chompipe.,2003.0,1,1,1,,WGS84,2020,Ricardo Kriebel
19539,PRESERVED_SPECIMEN,Clethra consimilis,3911097,GBIF,,Manuel Vargas,,10.086944,-84.07305600000001,Cerro Chompipe.,2003.0,1,1,1,,WGS84,2020,Ricardo Kriebel
19542,PRESERVED_SPECIMEN,Clethra consimilis,3911096,GBIF,,Manuel Vargas,,10.086944,-84.07305600000001,Cerro Chompipe.,2003.0,1,1,1,,WGS84,2020,Ricardo Kriebel
20028,PRESERVED_SPECIMEN,Clethra consimilis,3762251,GBIF,,Manuel Vargas,,9.744444,-83.976389,Km 34 Carretera Interamenticana Sur. Ruta 2.,2003.0,1,1,1,,WGS84,2020,Evelio Alfaro
20030,PRESERVED_SPECIMEN,Clethra consimilis,3762246,GBIF,,Manuel Vargas,,9.744444,-83.976389,Km 34 Carretera Interamenticana Sur. Ruta 2.,2003.0,1,1,1,,WGS84,2020,Evelio Alfaro
