,BasisOfRec,Binomial,CatalogNo,Citation,CollectID,Compiler,Data_sens,Dec_Lat,Dec_Long,Dist_comm,Event_Year,Origin,Presence,Seasonal,Sens_comm,SpatialRef,YrCompiled,recordedBy
590,PRESERVED_SPECIMEN,Coccoloba escuintlensis,HEM 19160,GBIF,,Manuel Vargas,,15.752778,-93.032555,Ejido 21 de Marzo,2006.0,1,1,1,,WGS84,2020,J.M.M.
598,PRESERVED_SPECIMEN,Coccoloba escuintlensis,HEM 12401,GBIF,,Manuel Vargas,,15.459332999999999,-92.657611,Camino ejido Las Golondrinas al ejido Tres Cruces,2005.0,1,1,1,,WGS84,2020,N.M.M.
604,PRESERVED_SPECIMEN,Coccoloba escuintlensis,HEM 21821,GBIF,,Manuel Vargas,,15.738917,-93.14908299999999,"Comunidad El Cerron, Bienes Comunales San Antonio",2007.0,1,1,1,,WGS84,2020,N.M.M.
615,PRESERVED_SPECIMEN,Coccoloba escuintlensis,HEM 21815,GBIF,,Manuel Vargas,,15.738917,-93.14908299999999,"Comunidad El Cerron, Bienes Comunales San Antonio",2007.0,1,1,1,,WGS84,2020,N.M.M.
662,PRESERVED_SPECIMEN,Coccoloba escuintlensis,HEM 5212,GBIF,,Manuel Vargas,,15.108332999999998,-92.408333,"A 15 km. al NE de Huixtla, camino a ejido José María Morelos.",1987.0,1,1,1,,WGS84,2020,E.M.S.; A.M.G.; G.U.
1161,PRESERVED_SPECIMEN,Coccoloba escuintlensis,K411092,GBIF,,Manuel Vargas,,20.016667,-96.975,Francisco Sarabia,1993.0,1,1,1,,WGS84,2020,M. Ambrosio M.
1163,PRESERVED_SPECIMEN,Coccoloba escuintlensis,K411284,GBIF,,Manuel Vargas,,20.022778,-96.872222,Arroyo Hondo,1993.0,1,1,1,,WGS84,2020,M. Ambrosio M.
1171,PRESERVED_SPECIMEN,Coccoloba escuintlensis,P24315,GBIF,,Manuel Vargas,,15.35,-92.233333,"La Victoria, 5 km al N de Belisario Domínguez",1988.0,1,1,1,,WGS84,2020,E. Ventura V.; E.T. López P.
1180,PRESERVED_SPECIMEN,Coccoloba escuintlensis,104132,GBIF,,Manuel Vargas,,17.237222,-94.63972199999999,"4-6 km del Campamento Hermanos Cedillo, camino a Río Alegre",1974.0,1,1,1,,WGS84,2020,J. Dorantes L.
1802,PRESERVED_SPECIMEN,Coccoloba escuintlensis,U.1535420,GBIF,"Zomer, H  289 ",Manuel Vargas,,16.566667000000002,-90.233333,"Dept. Peten, Puerto Chimono, Laguna Petexbatun, 20 km south of Sayaxche.",1990.0,1,1,1,,WGS84,2020,Zomer H
2045,PRESERVED_SPECIMEN,Coccoloba escuintlensis,U.1535419,GBIF,"Zomer, H  224 ",Manuel Vargas,,16.566667000000002,-90.233333,"Dept. Peten, Puerto Chimono, Laguna Petexbatun, 20 km south of Sayaxche.",1990.0,1,1,1,,WGS84,2020,Zomer H
2617,PRESERVED_SPECIMEN,Coccoloba escuintlensis,ASU0029540,GBIF,5121,Manuel Vargas,,15.367991,-92.24431899999999,"Mpio. de Motozintla. La Victoria, 5 km al norte de Belizario Domínguez.",1988.0,1,1,1,,WGS84,2020,E.Ventura; E.López
3884,PRESERVED_SPECIMEN,Coccoloba escuintlensis,01269290,GBIF,1002,Manuel Vargas,,14.37,-90.82,Lado sur del casco de la Finca Sabana Grande.,1990.0,1,1,1,,WGS84,2020,J. J. Castillo Mont
3924,PRESERVED_SPECIMEN,Coccoloba escuintlensis,38485,GBIF,413,Manuel Vargas,,15.448889000000001,-92.568056,Escuíntha,1937.0,1,1,1,,WGS84,2020,E. Matuda
4335,PRESERVED_SPECIMEN,Coccoloba escuintlensis,NO DISPONIBLE,GBIF,,Manuel Vargas,,15.349167000000001,-92.65472199999999,Acacoyagua,1948.0,1,1,1,,WGS84,2020,Matuda
4336,PRESERVED_SPECIMEN,Coccoloba escuintlensis,NO DISPONIBLE,GBIF,,Manuel Vargas,,17.713333,-94.614722,"Hermanos Cedillo, carretera a Río Alegre, Jesús Carranza",1974.0,1,1,1,,WGS84,2020,J. Dorantes
4337,PRESERVED_SPECIMEN,Coccoloba escuintlensis,NO DISPONIBLE,GBIF,,Manuel Vargas,,15.335278,-92.383333,La Victoria 5 km al Norte de Belizario Dominguez,1988.0,1,1,1,,WGS84,2020,E. Ventura; E. López
4561,PRESERVED_SPECIMEN,Coccoloba escuintlensis,00109623,GBIF,,Manuel Vargas,,17.232286,-94.651444,Km 4-6 camino hemanos Cedillo Río Alegre,1974.0,1,1,1,,WGS84,2020,J. Dorantes; et al.
4562,PRESERVED_SPECIMEN,Coccoloba escuintlensis,00109624,GBIF,,Manuel Vargas,,16.324719,-93.871111,"Along Méx Hwy 195, near Monte Bonito",1967.0,1,1,1,,WGS84,2020,A. Shilom T.
4563,PRESERVED_SPECIMEN,Coccoloba escuintlensis,00109621,GBIF,,Manuel Vargas,,15.27777671993707,-92.41437134038635,"La Victoria, 5 km al N de Belizario Domínguez",1988.0,1,1,1,,WGS84,2020,E. Ventura V.; E. López
4685,PRESERVED_SPECIMEN,Coccoloba escuintlensis,1409,GBIF,,Manuel Vargas,,15.241667000000001,-92.633889,La Esperanza,1940.0,1,1,1,,WGS84,2020,E. Matuda
4688,PRESERVED_SPECIMEN,Coccoloba escuintlensis,1410,GBIF,,Manuel Vargas,,15.339444,-92.67416700000001,Acacoyagua,1948.0,1,1,1,,WGS84,2020,E. Matuda
4689,PRESERVED_SPECIMEN,Coccoloba escuintlensis,9726,GBIF,,Manuel Vargas,,15.241667000000001,-92.633889,La Esperanza,1938.0,1,1,1,,WGS84,2020,E. Matuda
4912,PRESERVED_SPECIMEN,Coccoloba escuintlensis,05811,GBIF,,Manuel Vargas,,17.621489999999998,-92.4728,"Parque Nacional Agua Blanca, Km. 64 carretera Villahermosa-Escarcega.",2000.0,1,1,1,,WGS84,2020,O. Castillo A.; L. Ruiz P. ; R. Cano Domínguez; L. Martínez G. ; M. López P. ; F. L. Ascencio Frías
5059,UNKNOWN,Coccoloba escuintlensis,NO DISPONIBLE,GBIF,,Manuel Vargas,,15.425,-92.608333,MT. OVANDO,,1,1,1,,WGS84,2020,Matuda E.
5125,PRESERVED_SPECIMEN,Coccoloba escuintlensis,99738,GBIF,,Manuel Vargas,,16.325,-91.998333,"LAS MARGARITAS CHIAPAS, CHIS.",1938.0,1,1,1,,WGS84,2020,E. Matuda
5409,PRESERVED_SPECIMEN,Coccoloba escuintlensis,21931,GBIF,,Manuel Vargas,,16.341667,-93.891667,"Along Mexican Highway 195, near Monte Bonito, Mpio. of Arriaga",1964.0,1,1,1,,WGS84,2020,A. Shilom T.
5446,UNKNOWN,Coccoloba escuintlensis,NO DISPONIBLE,GBIF,,Manuel Vargas,,15.440833,-92.522778,La Esperanza,1938.0,1,1,1,,WGS84,2020,A. Alvarez Alvarez
5447,UNKNOWN,Coccoloba escuintlensis,NO DISPONIBLE,GBIF,,Manuel Vargas,,15.276389000000002,-92.4125,"La Victoria, 5 km al N de Belisario Domínguez",1988.0,1,1,1,,WGS84,2020,A. Alvarez Alvarez
5448,UNKNOWN,Coccoloba escuintlensis,NO DISPONIBLE,GBIF,,Manuel Vargas,,15.440833,-92.522778,La Esperanza,1940.0,1,1,1,,WGS84,2020,A. Alvarez Alvarez
6769,PRESERVED_SPECIMEN,Coccoloba escuintlensis,00370547,GBIF,,Manuel Vargas,,15.31944,-92.65833,Escuintla,1936.0,1,1,1,,WGS84,2020,L. E. Matuda
13196,PRESERVED_SPECIMEN,Coccoloba escuintlensis,2059853,GBIF,Veintimilla B. G-46,Manuel Vargas,,14.181389000000001,-91.294722,km 127 en la via Cocales a La Nueva Concepción. Crece en bosque secundario,2000.0,1,1,1,,WGS84,2020,César I. Veintimilla B.
13210,PRESERVED_SPECIMEN,Coccoloba escuintlensis,2058356,GBIF,Ibarra Manríquez 648,Manuel Vargas,,18.56666,-95.06666,Estación de Biología Tropical Los Tuxtlas. Lote 67. Veg. Selva Alta Perennifolia.,1983.0,1,1,1,,WGS84,2020,Guillermo Ibarra Manríquez
13213,PRESERVED_SPECIMEN,Coccoloba escuintlensis,2057654,GBIF,Sinaca Colín 613,Manuel Vargas,,18.56666,-95.06666,"Laguna Escondida, 2.5 km NO de la Estación de Biología Tropical Los Tuxtlas. Selva alta perennifolia.",1986.0,1,1,1,,WGS84,2020,Santiago Sinaca C.|Fidel Chigo Seba
13623,PRESERVED_SPECIMEN,Coccoloba escuintlensis,1914609,GBIF,Acosta Vargas 1137,Manuel Vargas,,10.91,-85.46,"P.N. Guanacaste. Cuenca del Tempisque. sector Cacao, bosque en la entrada hacia la estacion",2000.0,1,1,1,,WGS84,2020,Luis Acosta
13624,PRESERVED_SPECIMEN,Coccoloba escuintlensis,1914612,GBIF,Rodríguez González 3145,Manuel Vargas,,10.92,-85.47,P.N. Guanacaste. Cuenca del Tempisque. Estación Cacao; sendero a la Cima,1998.0,1,1,1,,WGS84,2020,Alexánder Rodríguez|Luis Diego Vargas|José Á. González R.|Roberto Espinoza
13628,PRESERVED_SPECIMEN,Coccoloba escuintlensis,1913159,GBIF,Villalobos Abarca 60,Manuel Vargas,,10.92,-85.46,P.N. Guanacaste; Cordillera de Guanacaste. Estación Cacao; Cerro Cacao,1995.0,1,1,1,,WGS84,2020,Ronald Villalobos|H. Picado|A. Mora|Evelio Alfaro
13631,PRESERVED_SPECIMEN,Coccoloba escuintlensis,1913091,GBIF,Espinoza Obando 849,Manuel Vargas,,10.88,-85.4,"Parque Nacional Guanacaste, Cordillera de Guanacaste, Estación San Ramón, Dos Ríos, Sendero La Tepescuintle",1993.0,1,1,1,,WGS84,2020,Roberto Espinoza|Rodolfo Zúñiga|Dunia García
13640,PRESERVED_SPECIMEN,Coccoloba escuintlensis,1911670,GBIF,Ventura V. 5121,Manuel Vargas,,16.31,-92.44,"La Victoria, 5 km al Norte de Belizario Domínguez. Ladera de cerro; parcela de cultivo",1988.0,1,1,1,,WGS84,2020,E. Ventura V.|E. López
13650,PRESERVED_SPECIMEN,Coccoloba escuintlensis,1911441,GBIF,Saunders 1075,Manuel Vargas,,14.77527,-87.39471999999999,"San José de Valle, ca. 10 km SE Tela",1981.0,1,1,1,,WGS84,2020,Janice G. Saunders
15131,PRESERVED_SPECIMEN,Coccoloba escuintlensis,1256343,GBIF,Morales Quirós 5944,Manuel Vargas,,9.67,-84.07,"Cerros de Caraigres, Falda SE Fila Aguabuena, entre Quebrada Pilas y Quebrada Ceniza.",1996.0,1,1,1,,WGS84,2020,J. F. Morales
16033,PRESERVED_SPECIMEN,Coccoloba escuintlensis,100516929,GBIF,Boyle 7233,Manuel Vargas,,10.930121,-85.459903,"P.N. Guanacaste.  Cuenca del Tempisque.  Estación Biológica Cacao.  Trail to Cacao summit, aprox. 1 km from station, along-side trail.  Premontane Moist Forest.  Tenth ha transect Cacao -1.",2003.0,1,1,1,,WGS84,2020,Brad Boyle
16363,PRESERVED_SPECIMEN,Coccoloba escuintlensis,100455254,GBIF,Castillo Mont 1002,Manuel Vargas,,14.366667000000001,-90.81666700000001,Lado sur del casco de la Finca Sabana Grande.,1990.0,1,1,1,,WGS84,2020,Juan José Castillo Mont|M.J. Castillo
18428,PRESERVED_SPECIMEN,Coccoloba escuintlensis,4104241,GBIF,,Manuel Vargas,,10.926667,-85.468333,"Estacion Cacao, a sus alrededores.",2007.0,1,1,1,,WGS84,2020,Armando Soto; Michael H. Grayum ; Alexander Rojas
19685,PRESERVED_SPECIMEN,Coccoloba escuintlensis,3931609,GBIF,,Manuel Vargas,,10.930121,-85.459903,Est. Cacao,2003.0,1,1,1,,WGS84,2020,Brad Boyle
19686,PRESERVED_SPECIMEN,Coccoloba escuintlensis,3931606,GBIF,,Manuel Vargas,,10.930121,-85.459903,Est. Cacao,2003.0,1,1,1,,WGS84,2020,Brad Boyle
19689,PRESERVED_SPECIMEN,Coccoloba escuintlensis,3931607,GBIF,,Manuel Vargas,,10.930121,-85.459903,Est. Cacao,2003.0,1,1,1,,WGS84,2020,Brad Boyle
19699,PRESERVED_SPECIMEN,Coccoloba escuintlensis,3931608,GBIF,,Manuel Vargas,,10.930121,-85.459903,Est. Cacao,2003.0,1,1,1,,WGS84,2020,Brad Boyle
20601,PRESERVED_SPECIMEN,Coccoloba escuintlensis,3383917,GBIF,,Manuel Vargas,,10.917222,-85.463889,"Volcan Cacao, sendero hasta la cima del volcan.",2000.0,1,1,1,,WGS84,2020,L. Acosta; Victor Ramírez ; Gerardo Soto ; Geovanny Sancho
20602,PRESERVED_SPECIMEN,Coccoloba escuintlensis,3383919,GBIF,,Manuel Vargas,,10.917222,-85.463889,"Volcan Cacao, sendero hasta la cima del volcan.",2000.0,1,1,1,,WGS84,2020,L. Acosta; Victor Ramírez ; Gerardo Soto ; Geovanny Sancho
20603,PRESERVED_SPECIMEN,Coccoloba escuintlensis,3383916,GBIF,,Manuel Vargas,,10.917222,-85.463889,"Volcan Cacao, sendero hasta la cima del volcan.",2000.0,1,1,1,,WGS84,2020,L. Acosta; Victor Ramírez ; Gerardo Soto ; Geovanny Sancho
20604,PRESERVED_SPECIMEN,Coccoloba escuintlensis,3383920,GBIF,,Manuel Vargas,,10.917222,-85.463889,"Volcan Cacao, sendero hasta la cima del volcan.",2000.0,1,1,1,,WGS84,2020,L. Acosta; Victor Ramírez ; Gerardo Soto ; Geovanny Sancho
20605,PRESERVED_SPECIMEN,Coccoloba escuintlensis,3383918,GBIF,,Manuel Vargas,,10.917222,-85.463889,"Volcan Cacao, sendero hasta la cima del volcan.",2000.0,1,1,1,,WGS84,2020,L. Acosta; Victor Ramírez ; Gerardo Soto ; Geovanny Sancho
21811,PRESERVED_SPECIMEN,Coccoloba escuintlensis,2836867,GBIF,,Manuel Vargas,,10.9275,-85.47,Estacion Cacao; bosque primario y secundario.,1998.0,1,1,1,,WGS84,2020,Alexánder Francisco Rodríguez González; Luis Diego Vargas ; Jose González ; Roberto Espinoza
21814,PRESERVED_SPECIMEN,Coccoloba escuintlensis,2836866,GBIF,,Manuel Vargas,,10.9275,-85.47,Estacion Cacao; bosque primario y secundario.,1998.0,1,1,1,,WGS84,2020,Alexánder Francisco Rodríguez González; Luis Diego Vargas ; Jose González ; Roberto Espinoza
21815,PRESERVED_SPECIMEN,Coccoloba escuintlensis,2836869,GBIF,,Manuel Vargas,,10.9275,-85.47,Estacion Cacao; bosque primario y secundario.,1998.0,1,1,1,,WGS84,2020,Alexánder Francisco Rodríguez González; Luis Diego Vargas ; Jose González ; Roberto Espinoza
21817,PRESERVED_SPECIMEN,Coccoloba escuintlensis,2836868,GBIF,,Manuel Vargas,,10.9275,-85.47,Estacion Cacao; bosque primario y secundario.,1998.0,1,1,1,,WGS84,2020,Alexánder Francisco Rodríguez González; Luis Diego Vargas ; Jose González ; Roberto Espinoza
22607,PRESERVED_SPECIMEN,Coccoloba escuintlensis,1606217,GBIF,,Manuel Vargas,,10.928611,-85.469445,Estacion Cacao; Cerro Cacao.,1995.0,1,1,1,,WGS84,2020,Ronald Villalobos
22969,PRESERVED_SPECIMEN,Coccoloba escuintlensis,1594144,GBIF,,Manuel Vargas,,10.880556,-85.401389,Estacion San Ramon. Dos Rios. Sendero La Tepescuintle.,1993.0,1,1,1,,WGS84,2020,Roberto Espinoza
24188,PRESERVED_SPECIMEN,Coccoloba escuintlensis,1518152,GBIF,,Manuel Vargas,,9.677778,-84.079167,"Cerros de Caraigres, Falda SE Fila Aguabuena, entre Quebrada Pilas y Quebrada Ceniza.",1996.0,1,1,1,,WGS84,2020,Juan Francisco Morales Quirós
24190,PRESERVED_SPECIMEN,Coccoloba escuintlensis,1518151,GBIF,,Manuel Vargas,,9.677778,-84.079167,"Cerros de Caraigres, Falda SE Fila Aguabuena, entre Quebrada Pilas y Quebrada Ceniza.",1996.0,1,1,1,,WGS84,2020,Juan Francisco Morales Quirós
24495,PRESERVED_SPECIMEN,Coccoloba escuintlensis,V0067544F,GBIF,S687,Manuel Vargas,,17.25,-88.75,,1934.0,1,1,1,,WGS84,2020,W. A. Schipp
24822,PRESERVED_SPECIMEN,Coccoloba escuintlensis,V0067549F,GBIF,39533,Manuel Vargas,,15.7422,-90.1792,,1940.0,1,1,1,,WGS84,2020,J. A. Steyermark
24849,PRESERVED_SPECIMEN,Coccoloba escuintlensis,V0067521F,GBIF,413,Manuel Vargas,,23.0,-102.0,,,1,1,1,,WGS84,2020,E. Matuda
25130,PRESERVED_SPECIMEN,Coccoloba escuintlensis,V0067522F,GBIF,413,Manuel Vargas,,23.0,-102.0,,,1,1,1,,WGS84,2020,E. Matuda
