,BasisOfRec,Binomial,CatalogNo,Citation,CollectID,Compiler,Data_sens,Dec_Lat,Dec_Long,Dist_comm,Event_Year,Origin,Presence,Seasonal,Sens_comm,SpatialRef,YrCompiled,recordedBy
104,PRESERVED_SPECIMEN,Coccoloba liportizii,CM340612,GBIF,474,Manuel Vargas,,10.214722,-84.607778,"Reserva Forestal de San Ramón, Río San Lorenzito.",1987.0,1,1,1,,WGS84,2020,"HerreraCh, G.; Mora, V.; Chacón, R.; González, A.; Ortiz, R."
163,PRESERVED_SPECIMEN,Coccoloba liportizii,101214250,GBIF,Kriebel Haehner 5203,Manuel Vargas,,10.718333,-85.14471999999999,Z.P. Miravalles. Cuenca del Tempisque. Miravalles. Estación Cabro Muco.,2007.0,1,1,1,,WGS84,2020,Ricardo Kriebel
4348,PRESERVED_SPECIMEN,Coccoloba liportizii,NO DISPONIBLE,GBIF,,Manuel Vargas,,10.774444,-85.832222,"Parque Rincón de La Vieja Liberia, Puesto Bullarengo, Fila que sube Meseta Aguacatales, entre Quebrada Leiva y Quebrada Gutiérrez, Guanacaste",1987.0,1,1,1,,WGS84,2020,G. Herrera
7350,PRESERVED_SPECIMEN,Coccoloba liportizii,982863,GBIF,Morales Quirós 4674,Manuel Vargas,,10.91,-85.46,"P.N. Guanacaste; Cordillera de Guanacaste. Estación Cacao, bosque secundario y primario en la antigua caldera del V. Cacao.",1995.0,1,1,1,,WGS84,2020,J. F. Morales
7518,PRESERVED_SPECIMEN,Coccoloba liportizii,907308,GBIF,Morales Quirós 1399,Manuel Vargas,,10.21,-84.59,"Reserva Forestal San Ramón, Cordillera de Tilarán, bosque primario y secundario en el sendero a las cataratas, Río San Lorencito",1993.0,1,1,1,,WGS84,2020,J. F. Morales|Flor Araya|Hazel Gutiérrez|Rosa Guzmán|Marianela Segura
7738,PRESERVED_SPECIMEN,Coccoloba liportizii,897670,GBIF,Fuentes Alvarado 306,Manuel Vargas,,10.22,-84.59,"Reserva Forestal San Ramón, Cordillera de Tilarán, Sendero Volcán Muerto.",1993.0,1,1,1,,WGS84,2020,Zobeida Fuentes|Nelson Zamora|Freddy A. Quesada|Eduardo Lépiz
7774,PRESERVED_SPECIMEN,Coccoloba liportizii,895847,GBIF,Bello Carranza 2420,Manuel Vargas,,10.41,-84.71,"Parque Nacional Arenal, Río Aguas Gatas, Alto del Castillo.",1990.0,1,1,1,,WGS84,2020,Erick Bello C.
8051,PRESERVED_SPECIMEN,Coccoloba liportizii,781336,GBIF,Churchill 4684,Manuel Vargas,,8.766667,-82.2,Fortuna Dam area. North fork of the Quebrada de Arena. Along river.,1984.0,1,1,1,,WGS84,2020,H. W. Churchill|Greg C. de Nevers|Henry Stockwell
8062,PRESERVED_SPECIMEN,Coccoloba liportizii,776747,GBIF,Haber 6709,Manuel Vargas,,10.433333,-84.916667,"Quebrada Grande, Tilarán Sendero Esperanza-Las Nubes, División Continental.",1987.0,1,1,1,,WGS84,2020,William A. Haber|Erick Bello C.
8134,PRESERVED_SPECIMEN,Coccoloba liportizii,732837,GBIF,Chávez Obando 282,Manuel Vargas,,10.929167,-85.470833,"Parque Nacional Guanacaste, Estación Cacao, Liberia",1990.0,1,1,1,,WGS84,2020,Carlos Chávez
8135,PRESERVED_SPECIMEN,Coccoloba liportizii,732329,GBIF,Haber 9504,Manuel Vargas,,10.366660000000001,-84.85,"Las Nubes, 1 km N Las Nubes village, 8 km NW Monteverde, premontane rain forest",1989.0,1,1,1,,WGS84,2020,William A. Haber|Willow Zuchowski
8138,PRESERVED_SPECIMEN,Coccoloba liportizii,731468,GBIF,Herrera Chacón 193,Manuel Vargas,,10.21472,-84.60777,Reserva Forestal de San Ramón,1986.0,1,1,1,,WGS84,2020,Gerardo Herrera Ch.|Víctor Mora
8139,PRESERVED_SPECIMEN,Coccoloba liportizii,731477,GBIF,Herrera Chacón 474,Manuel Vargas,,10.21472,-84.60777,"Reserva Forestal de San Ramón, Río San Lorenzito",1987.0,1,1,1,,WGS84,2020,Gerardo Herrera Ch.|Víctor Mora|Rafael Chacón|A. Gonzalez|Rodolfo Ortiz
8141,PRESERVED_SPECIMEN,Coccoloba liportizii,731441,GBIF,Herrera Chacón 1500,Manuel Vargas,,10.79,-85.32,"Parque Rincón de La Vieja Liberia. Puesto Bullarengo. Fila que sube Meseta Aguacatales, entre Quebrada Leiva y Quebrada Gutiérrez.",1987.0,1,1,1,,WGS84,2020,Gerardo Herrera Ch.
8145,PRESERVED_SPECIMEN,Coccoloba liportizii,731003,GBIF,Haber 4372,Manuel Vargas,,10.41666,-84.83333,"Upper Río Chiquito valley, 5 km N of Santa Elena, Atlantic slope rain forest.",1986.0,1,1,1,,WGS84,2020,William A. Haber|Erick Bello C.|L. Lierheimer
13626,PRESERVED_SPECIMEN,Coccoloba liportizii,1913913,GBIF,Almeda 5666,Manuel Vargas,,10.24,-84.63,"Reserva Forestal de San Ramón, approx. 40 km by road from the church in San Ramón and about 20 km beyond the Río Cataratitas. Virgin rainforest slopes",1986.0,1,1,1,,WGS84,2020,Frank Almeda|B. Anderson|Nelson Zamora|Jorge Gómez-Laurito
13630,PRESERVED_SPECIMEN,Coccoloba liportizii,1913080,GBIF,Rodríguez Ramírez 145,Manuel Vargas,,10.61,-85.0,Z.P. Tenorio: Cordillera de Guanacaste. Tierras Morenas; alrededores Río San Lorenzo,1993.0,1,1,1,,WGS84,2020,Gladys Rodríguez
