,BasisOfRec,Binomial,CatalogNo,Citation,CollectID,Compiler,Data_sens,Dec_Lat,Dec_Long,Dist_comm,Event_Year,Origin,Presence,Seasonal,Sens_comm,SpatialRef,YrCompiled,recordedBy
133,PRESERVED_SPECIMEN,Coussapoa nymphaeifolia,CM345654,GBIF,1565,Manuel Vargas,,10.766667,-85.283333,"Parque Rincon de La Vieja Upala. Siguiendo el canal hasta Los Naranjos, cuenca de quebrada",1988.0,1,1,1,,WGS84,2020,"Herrera, G."
2097,PRESERVED_SPECIMEN,Coussapoa nymphaeifolia,L.1592958,GBIF,"Herrera C, G  505 ",Manuel Vargas,,10.2,-84.6,costa ricaprov. alajuelacamino entre la estacioon de la reserva forestal de san ramon y el camino a la colonia palmarena finca de don bolivar ruizmargen derecha rio san lorenzito,1987.0,1,1,1,,WGS84,2020,Herrera C G
2593,PRESERVED_SPECIMEN,Coussapoa nymphaeifolia,ASU0039292,GBIF,10321,Manuel Vargas,,10.428045,-84.009945,"La Selva Research Station of OTS, STR 800.",2002.0,1,1,1,,WGS84,2020,"L. R. Landrum; A. Salywon, K. Bagstad, D. Damrel, R. Schoeninger, E. Gilbert & E. Makings"
2621,PRESERVED_SPECIMEN,Coussapoa nymphaeifolia,ASU0039291,GBIF,10321,Manuel Vargas,,10.428045,-84.009945,"La Selva Research Station of OTS, STR 800.",2002.0,1,1,1,,WGS84,2020,"L. R. Landrum; A. Salywon, K. Bagstad, D. Damrel, R. Schoeninger, E. Gilbert, E. Makings"
2622,PRESERVED_SPECIMEN,Coussapoa nymphaeifolia,ASU0039290,GBIF,10321,Manuel Vargas,,10.428045,-84.009945,"La Selva Research Station of OTS, STR 800.",2002.0,1,1,1,,WGS84,2020,"L. R. Landrum; A. Salywon, K. Bagstad, D. Damrel, R. Schoeninger, E. Gilbert, E. Makings"
2947,PRESERVED_SPECIMEN,Coussapoa nymphaeifolia,488137,GBIF,GW1412,Manuel Vargas,,9.766667,-83.75,La Selva,2001.0,1,1,1,,WGS84,2020,"Weiblen, G.D."
6940,PRESERVED_SPECIMEN,Coussapoa nymphaeifolia,MG139195,GBIF,505,Manuel Vargas,,10.214722,-84.607778,Costa Rica,1987.0,1,1,1,,WGS84,2020,"Herrera,  C.G."
7520,PRESERVED_SPECIMEN,Coussapoa nymphaeifolia,907143,GBIF,Lépiz Villalobos 308,Manuel Vargas,,10.22,-84.55,"Reserva Forestal San Ramón, Cordillera de Tilarán, alrededores de finca Santa Cecilia, tacotales por el río",1994.0,1,1,1,,WGS84,2020,Eduardo Lépiz|J. F. Morales
7523,PRESERVED_SPECIMEN,Coussapoa nymphaeifolia,907038,GBIF,Morales Quirós 1254,Manuel Vargas,,10.99,-85.42,P.N. Guanacaste; Cordillera de Guanacaste. Estación Pitilla. Bosque primario en Senderos adyacentes a la estación.,1993.0,1,1,1,,WGS84,2020,J. F. Morales|Nelson Zamora|Nora Martín|Ulises Chavarría
7524,PRESERVED_SPECIMEN,Coussapoa nymphaeifolia,907040,GBIF,Morales Quirós 1255,Manuel Vargas,,10.99,-85.42,P.N. Guanacaste; Cordillera de Guanacaste. Estación Pitilla. Bosque primario en Senderos adyacentes a la estación.,1993.0,1,1,1,,WGS84,2020,J. F. Morales|Nelson Zamora|Nora Martín|Ulises Chavarría
