,BasisOfRec,Binomial,CatalogNo,Citation,CollectID,Compiler,Data_sens,Dec_Lat,Dec_Long,Dist_comm,Event_Year,Origin,Presence,Seasonal,Sens_comm,SpatialRef,YrCompiled,recordedBy
2615,PRESERVED_SPECIMEN,Coussarea loftonii,ASU0033931,GBIF,1735,Manuel Vargas,,9.2333,-79.35,Area que está entre la región de Cerro Jefe y la Eneida.,1971.0,1,1,1,,WGS84,2020,M. D. Correa; R. L. Dressler & Novencido Escobar
2616,PRESERVED_SPECIMEN,Coussarea loftonii,ASU0033930,GBIF,818,Manuel Vargas,,9.2333,-79.35,"Región de Cerro Jefe. Antes de la La Eneida en el nuevo camino, que comienza al lado de casa de López.",1968.0,1,1,1,,WGS84,2020,M. D. Correa; R. L. Dressler
3248,PRESERVED_SPECIMEN,Coussarea loftonii,383355,GBIF,584,Manuel Vargas,,3.916667,-77.0,"Bajo Calima, concesión Pulpapel.",1984.0,1,1,1,,WGS84,2020,M. Monsalve B.
4117,PRESERVED_SPECIMEN,Coussarea loftonii,0101829,GBIF,,Manuel Vargas,,8.7,-83.2,"Costa Rica. Parque Nacional Esquinas, Puntarenas, Golfito, in the forest near the Esquinas Rainforest Lodge (Don Victor), 8°41'N, 83°13'W, 120 m.",1998.0,1,1,1,,WGS84,2020,"Huber,W."
5904,PRESERVED_SPECIMEN,Coussarea loftonii,0082537,GBIF,,Manuel Vargas,,8.65889,-83.25222,"Costa Rica, Puntarenas Province, Canton Golfito. Piedras Blancas National Park, on trail from Valle Bonito Ranger Station to Playa San Josecito at Golfo Dulce. At descent to sea, almost down the hill.",2013.0,1,1,1,,WGS84,2020,"Berger,A."
6025,PRESERVED_SPECIMEN,Coussarea loftonii,3411114,GBIF,11515,Manuel Vargas,,9.33,-79.77,"Santa Rita Arriba, 2-4 km de la carretera Boyd-Roosevelt",1999.0,1,1,1,,WGS84,2020,"M. D. Corrêa-A., M. Sánchez & E. Montenegro"
6036,PRESERVED_SPECIMEN,Coussarea loftonii,3541619,GBIF,22255,Manuel Vargas,,8.8289,-80.6786,Teck Cominco Petaquilla mining concession,2007.0,1,1,1,,WGS84,2020,H. van der Werff & G. D. McPherson
6062,PRESERVED_SPECIMEN,Coussarea loftonii,3662681,GBIF,3134,Manuel Vargas,,9.1356,-82.5017,"Distrito de Changuinola, Nance de Risco. Bosque Protector Palo Seco. Rio Changuinola arriba",2013.0,1,1,1,,WGS84,2020,"A. Zapata, J. Aranda & H. Quintero"
6071,PRESERVED_SPECIMEN,Coussarea loftonii,3541620,GBIF,19878,Manuel Vargas,,8.8311,-80.685,Teck Cominco Petaquilla mining concession. Ridgetop forest along road,2007.0,1,1,1,,WGS84,2020,G. D. McPherson & H. van der Werff
7377,PRESERVED_SPECIMEN,Coussarea loftonii,977056,GBIF,Devia Alvarez 4324,Manuel Vargas,,3.83333,-76.58333,"Corregimiento Cordoba, San Cipriano, Reserva Natural del Río Escalerete, Bosque Pluvial Tropical, Región Fitogeográfica del Chocó. Transecto 15.",1993.0,1,1,1,,WGS84,2020,Wilson Devia A.|Álvaro Cogollo P.|et al.
8706,PRESERVED_SPECIMEN,Coussarea loftonii,543173,GBIF,de Nevers 7202,Manuel Vargas,,9.366667,-79.69166700000001,"Santa Rita Ridge, Km 13.8. [Coordinates on original label: 9º20'N, 79º45'W].",1986.0,1,1,1,,WGS84,2020,Greg C. de Nevers
8771,PRESERVED_SPECIMEN,Coussarea loftonii,539417,GBIF,Cordero 21,Manuel Vargas,,8.61,-83.52,"Reserva Indígena Guaymí Alto Laguna, Osa. Bosque Primario alterado.",1991.0,1,1,1,,WGS84,2020,Geovanny Cordero
8774,PRESERVED_SPECIMEN,Coussarea loftonii,539393,GBIF,Cordero 20,Manuel Vargas,,8.61,-83.52,"Reserva Indígena Guaymí Alto Laguna, Osa. Bosque Primario alterado.",1991.0,1,1,1,,WGS84,2020,Geovanny Cordero
8806,PRESERVED_SPECIMEN,Coussarea loftonii,538320,GBIF,Castro Hernández 298,Manuel Vargas,,8.62,-83.68,Parque Nacional Corcovado Los Planes (La Gloria),1991.0,1,1,1,,WGS84,2020,Emilio Castro
8843,PRESERVED_SPECIMEN,Coussarea loftonii,537553,GBIF,Hammel 14501,Manuel Vargas,,9.416667,-79.666667,"Santa Rita ridge road; ca. 22 km from transisthmian highway. In forest on ridges, slopes and draws near end of road.",1986.0,1,1,1,,WGS84,2020,Barry E. Hammel|Gordon McPherson|David W. Roubik
