,BasisOfRec,Binomial,CatalogNo,Citation,CollectID,Compiler,Data_sens,Dec_Lat,Dec_Long,Dist_comm,Event_Year,Origin,Presence,Seasonal,Sens_comm,SpatialRef,YrCompiled,recordedBy
2631,PRESERVED_SPECIMEN,Dilodendron elegans,1134,GBIF,,Manuel Vargas,,-19.866667,-40.533333,Comp. Vale do Rio Doce,,1,1,1,,WGS84,2020,
3662,PRESERVED_SPECIMEN,Dilodendron elegans,MA-01-00741419,GBIF,6310,Manuel Vargas,,-13.9005,-68.16552800000001,"Departamento La Paz, Provincia Abel Iturralde.",2001.0,1,1,1,,WGS84,2020,Manuel J. Macía & Javier Quisbert
3665,PRESERVED_SPECIMEN,Dilodendron elegans,MA-01-00741391,GBIF,6140,Manuel Vargas,,-13.8929,-68.1657,"Departamento La Paz, Provincia Abel Iturralde.",2001.0,1,1,1,,WGS84,2020,Manuel J. Macía & Javier Quisbert
3779,UNKNOWN,Dilodendron elegans,20295,GBIF,13,Manuel Vargas,,2.3336099999999997,-72.75028,,,1,1,1,,WGS84,2020,"López, B."
3780,UNKNOWN,Dilodendron elegans,25742,GBIF,2048,Manuel Vargas,,2.6857,-74.1674,,,1,1,1,,WGS84,2020,"Stevenson, P."
3781,UNKNOWN,Dilodendron elegans,68189,GBIF,5128,Manuel Vargas,,2.1861669999999997,-74.120222,,,1,1,1,,WGS84,2020,"Castro, F."
3945,PRESERVED_SPECIMEN,Dilodendron elegans,887206,GBIF,161/80,Manuel Vargas,,-19.39490022365429,-40.071853011445974,Reserva Florestal CVRD.,1980.0,1,1,1,,WGS84,2020,I. A. Silva
6000,PRESERVED_SPECIMEN,Dilodendron elegans,FMB-109230,GBIF,1307,Manuel Vargas,,6.359997,-71.895825,Sabana de la Vieja. La Casirba,2014.0,1,1,1,,WGS84,2020,"Mijares, Francisco | Aymard, Gerardo"
6103,PRESERVED_SPECIMEN,Dilodendron elegans,E00872716,GBIF,R.6320V,Manuel Vargas,,3.35,-61.516667000000005,"SEMA Ecological Reserve, Ilha de Maraca, Roraima. On Trilha de Preguica, c. 5km N of the Casa de Maraca.",1988.0,1,1,1,,WGS84,2020,"Ratter, J.A.; Milliken, W.; Ramos, J. & Lima, J."
6282,PRESERVED_SPECIMEN,Dilodendron elegans,1260,GBIF,,Manuel Vargas,,6.359997,-71.895825,"Vereda Sabanas de La Vieja, predio La Casirba",2014.0,1,1,1,,WGS84,2020,Francisco J. Mijares Santana | Gerardo Aymard-Corredor
