,BasisOfRec,Binomial,CatalogNo,Citation,CollectID,Compiler,Data_sens,Dec_Lat,Dec_Long,Dist_comm,Event_Year,Origin,Presence,Seasonal,Sens_comm,SpatialRef,YrCompiled,recordedBy
159,HUMAN_OBSERVATION,Duroia costaricensis,40262644,GBIF,,Manuel Vargas,,8.662219,-83.581725,,2020.0,1,1,1,,WGS84,2020,Leonardo Álvarez
3567,PRESERVED_SPECIMEN,Duroia costaricensis,0103390,GBIF,,Manuel Vargas,,8.7,-83.2,"Costa Rica, Province Puntarenas, Golfito. Seccion ""Bosque de los Austriacos"", on the way of the Fila Quebrada Negra, 8°41'N, 83°13'W. 270 m.",1997.0,1,1,1,,WGS84,2020,"Huber,W. & Weissenhofer,A."
3568,PRESERVED_SPECIMEN,Duroia costaricensis,0103393,GBIF,,Manuel Vargas,,8.7,-83.18333,"Costa Rica, P. N. Piedras Blancas, Bosque Esquinas, sendero a La Bolsa (near La Gamba), 8°41'N, 83°13'W.",2001.0,1,1,1,,WGS84,2020,"Schaber,D."
3569,PRESERVED_SPECIMEN,Duroia costaricensis,0103396,GBIF,,Manuel Vargas,,8.686110000000001,-83.20139,"Costa Rica, Province Puntarenas, Golfito. Seccion ""Bosque de los Austriacos"", Sendero Avilan from the research plot. 8°41'N, 83°13'W. 220 m.",1997.0,1,1,1,,WGS84,2020,"Huber,W. & Weissenhofer,A."
3570,PRESERVED_SPECIMEN,Duroia costaricensis,0103391,GBIF,,Manuel Vargas,,8.7,-83.2,"Costa Rica, Province Puntarenas, Golfito. Seccion ""Bosque de los Austriacos"", on the way of the Fila Quebrada Negra, 8°41'N, 83°13'W. 270 m.",1997.0,1,1,1,,WGS84,2020,"Huber,W. & Weissenhofer,A."
3571,PRESERVED_SPECIMEN,Duroia costaricensis,0103392,GBIF,,Manuel Vargas,,8.706389999999999,-83.175,"Costa Rica, Puntarenas, Golfito. P. N. Piedras Blancas, Bosque Esquinas, sendero Quebrada Chorro near La Gamba. 100 m.",2001.0,1,1,1,,WGS84,2020,"Schaber,D."
3572,PRESERVED_SPECIMEN,Duroia costaricensis,0103394,GBIF,,Manuel Vargas,,8.68333,-83.2,"Costa Rica, Puntarenas, Golfito. P. N. Esquinas, forest behind the Golfo Dulce Lodge, next to a quebrada. 8°39.868N, 83°15.139'W, 30 m.",2000.0,1,1,1,,WGS84,2020,"Huber,W. & Weissenhofer,A."
3573,PRESERVED_SPECIMEN,Duroia costaricensis,0103395,GBIF,,Manuel Vargas,,8.7,-83.2,"Costa Rica, Puntarenas, Golfito. Parque Nacional Esquinas, Bosque Esquinas [Don Victor] near La Gamba. 8°41'N, 83°13'W, 80 m.",1998.0,1,1,1,,WGS84,2020,"Huber,W. & Weissenhofer,A."
3660,PRESERVED_SPECIMEN,Duroia costaricensis,MA-01-00758789,GBIF,688,Manuel Vargas,,8.5667,-83.5167,Puntarenas: Golfito. P.N. Corcovado. Península de Osa. Sendero al Mirador,1998.0,1,1,1,,WGS84,2020,E. Fletes
5901,PRESERVED_SPECIMEN,Duroia costaricensis,0094144,GBIF,,Manuel Vargas,,8.7,-83.2,"Costa Rica. Puntarenas: Region Golfito, La Gamba.",1996.0,1,1,1,,WGS84,2020,"Kiehn,M."
