,BasisOfRec,Binomial,CatalogNo,Citation,CollectID,Compiler,Data_sens,Dec_Lat,Dec_Long,Dist_comm,Event_Year,Origin,Presence,Seasonal,Sens_comm,SpatialRef,YrCompiled,recordedBy
2173,MATERIAL_SAMPLE,Elaeagia nitidifolia,IAvH-CT-21746,GBIF,HMC 19415,Manuel Vargas,,5.892278,-75.193667,"Vereda El Porvenir, trocha hacia El Silencio, subiendo al occidente de la escuela por el filo de la montaña",2016.0,1,1,1,,WGS84,2020,Humberto Mendoza | Julian Aguirre | Luz Mary Gómez | Raul Orozco
3714,MATERIAL_SAMPLE,Elaeagia nitidifolia,Temp-ACY931,GBIF,19415,Manuel Vargas,,5.892278,-75.193667,"Vereda El Porvenir, trocha hacia El Silencio, subiendo al occidente de la escuela por el filo de la montaña",2016.0,1,1,1,,WGS84,2020,Humberto Mendoza | Julian Aguirre | Luz Mary Gómez | Raul Orozco
5997,PRESERVED_SPECIMEN,Elaeagia nitidifolia,FMB-22954,GBIF,3621,Manuel Vargas,,6.566667,-76.31666700000001,"Sector Venados, margen derecha del río Venados",1988.0,1,1,1,,WGS84,2020,"Cogollo-Pacheco, Álvaro | Cárdenas, Dairon | Álvarez, O."
6057,PRESERVED_SPECIMEN,Elaeagia nitidifolia,3563927,GBIF,4266,Manuel Vargas,,9.32,-78.92,"Comarca de San Blas: El Llano-Carti Road, 22 to 24.5 km from Interamerican Hwy",1984.0,1,1,1,,WGS84,2020,G. de Nevers & H. Herrera
6095,PRESERVED_SPECIMEN,Elaeagia nitidifolia,Temp-ACT323,GBIF,19415,Manuel Vargas,,5.892278,-75.193667,"Vereda El Porvenir, trocha hacia El Silencio, subiendo al occidente de la escuela por el filo de la montaña",2016.0,1,1,1,,WGS84,2020,Humberto Mendoza | Julian Aguirre | Luz Mary Gómez | Raul Orozco
7312,PRESERVED_SPECIMEN,Elaeagia nitidifolia,991123,GBIF,Croat 76627A,Manuel Vargas,,9.25,-79.483333,Cerro Jefe Region; 0.8 mi beyond turn-off to Altos de Pacora (near branch in road to antennas to Cerro Jefe).,1994.0,1,1,1,,WGS84,2020,Thomas B. Croat|Guang Hua Zhu
7905,PRESERVED_SPECIMEN,Elaeagia nitidifolia,891093,GBIF,Boyle 3082,Manuel Vargas,,10.29,-84.06,"Parque Nacional Braulio Carrillo, Estación El Ceibo, 1/4 km west of Río Guácimo, off trail that runs due east from Transect Trail at 730 m, Primary Premontane Wet Forest",1994.0,1,1,1,,WGS84,2020,Brad Boyle
7914,PRESERVED_SPECIMEN,Elaeagia nitidifolia,890694,GBIF,Boyle 2886,Manuel Vargas,,10.29,-84.07,"Parque Nacional Braulio Carrillo, Cordillera Central, Puesto El Ceibo, on ridge crest 250 m east of Transect Trail, primary premontane wet forest",1994.0,1,1,1,,WGS84,2020,Brad Boyle|L. Esquivel|S. Kelly
8074,PRESERVED_SPECIMEN,Elaeagia nitidifolia,769865,GBIF,Vargas Ramírez 128,Manuel Vargas,,10.28,-84.03,"Rara Avis, ca. 15 km al suroeste de Horquetas. Camino Leví hacia Catarata y Río Atelopus, aguas arriba.",1989.0,1,1,1,,WGS84,2020,Orlando Vargas
8669,PRESERVED_SPECIMEN,Elaeagia nitidifolia,544430,GBIF,Boyle 1287,Manuel Vargas,,10.277222,-84.0825,"Parque Nacional Braulio Carrillo, Sendero del Transecto, immediately to right of trail, one half hour below refugio at 1070 m, Primary Premontane Wet Forest, Treeplot 1000-1",1992.0,1,1,1,,WGS84,2020,Brad Boyle
