,BasisOfRec,Binomial,CatalogNo,Citation,CollectID,Compiler,Data_sens,Dec_Lat,Dec_Long,Dist_comm,Event_Year,Origin,Presence,Seasonal,Sens_comm,SpatialRef,YrCompiled,recordedBy
3034,MATERIAL_SAMPLE,Eugenia basilaris,BioBot06824,GBIF,,Manuel Vargas,,10.885,-85.258,"Area de Conservacion Guanacaste, Sector Rincon Rain Forest, Finca Aurita",2012.0,1,1,1,,WGS84,2020,Jorge Hernandez
28591,PRESERVED_SPECIMEN,Eugenia basilaris,223560,GBIF,,Manuel Vargas,,10.58,-84.6,Lago Coter. Hotel Eco-lodge.,1996.0,1,1,1,,WGS84,2020,"Rivera, Gerardo"
28595,PRESERVED_SPECIMEN,Eugenia basilaris,220091,GBIF,,Manuel Vargas,,9.49,-84.01,Z.P. Cerro Nara,1998.0,1,1,1,,WGS84,2020,"Estrada, Armando"
28600,PRESERVED_SPECIMEN,Eugenia basilaris,212919,GBIF,,Manuel Vargas,,10.99,-85.42,"P.N. Guanacaste Estación Pitilla , Santa Cecilia. Sendero Fila Orosilito.",1991.0,1,1,1,,WGS84,2020,"Moraga, Calixto"
28604,PRESERVED_SPECIMEN,Eugenia basilaris,212854,GBIF,,Manuel Vargas,,10.78,-85.26,P.N. Rincón de la Vieja Camino a Colonia Blana. Finca Los Mora y límite del parque.,1991.0,1,1,1,,WGS84,2020,"Rivera, Gerardo"
28608,PRESERVED_SPECIMEN,Eugenia basilaris,201955,GBIF,,Manuel Vargas,,10.99,-85.42,"P.N. Guanacaste Estación Pitilla , Fila Orosilito y sendero El Mismo.",1991.0,1,1,1,,WGS84,2020,"Ríos, Petrona"
28610,PRESERVED_SPECIMEN,Eugenia basilaris,201397,GBIF,,Manuel Vargas,,10.99,-85.42,P.N. Guanacaste Estación Pitilla y sendero El Mismo.,1991.0,1,1,1,,WGS84,2020,"Ríos, Petrona"
28615,PRESERVED_SPECIMEN,Eugenia basilaris,194589,GBIF,,Manuel Vargas,,10.58,-84.93,"Cordillera de Tilarán. 1-2 km West of Lago de Cote, 13 km north of Tilarán, continental divide on SE slope  of Volcán Tenorio, Eco Lodge cloud.",1993.0,1,1,1,,WGS84,2020,"Haber, William"
28620,PRESERVED_SPECIMEN,Eugenia basilaris,185923,GBIF,,Manuel Vargas,,10.58,-84.93,Cordillera de Tilarán. 5 km norte del lago Arenal. Alrededores del lago Cote.,1994.0,1,1,1,,WGS84,2020,"Cascante, Alfredo"
28642,PRESERVED_SPECIMEN,Eugenia basilaris,148533,GBIF,,Manuel Vargas,,9.76,-84.53,"P.N. Carara Alrededores del puesto Carara, sendero Lalo Barboza, por río Sur.",1990.0,1,1,1,,WGS84,2020,"Zúñiga, Rodolfo"
28644,PRESERVED_SPECIMEN,Eugenia basilaris,140129,GBIF,,Manuel Vargas,,10.8,-85.31,"P.N. Rincón de la Vieja Hacienda Santa María, carretera a Colonia Blanca hasta quebrada Rancho Grande, 2 km aguas arriba.",1987.0,1,1,1,,WGS84,2020,"Herrera, Gerardo"
28645,PRESERVED_SPECIMEN,Eugenia basilaris,140104,GBIF,,Manuel Vargas,,10.91,-85.33,Siguiendo la margen izquierda del río Cucaracho 2 km aguas abajo a partir del puente camino a Brasilia.,1987.0,1,1,1,,WGS84,2020,"Herrera, Gerardo"
