,BasisOfRec,Binomial,CatalogNo,Citation,CollectID,Compiler,Data_sens,Dec_Lat,Dec_Long,Dist_comm,Event_Year,Origin,Presence,Seasonal,Sens_comm,SpatialRef,YrCompiled,recordedBy
320,HUMAN_OBSERVATION,Eugenia cerrocacaoensis,,GBIF,,Manuel Vargas,,10.927694,-85.474806,,2019.0,1,1,1,,WGS84,2020,
10345,PRESERVED_SPECIMEN,Eugenia cerrocacaoensis,314080,GBIF,Quesada Quesada 3,Manuel Vargas,,10.92722,-85.48638000000001,Parque Nacional Guanacaste Estación Cacao.,1990.0,1,1,1,,WGS84,2020,F. J. Quesada|Curso II de Parataxónomos
10424,PRESERVED_SPECIMEN,Eugenia cerrocacaoensis,309165,GBIF,Espinoza Obando 55,Manuel Vargas,,10.92,-85.47,Parque Nacional Guanacaste Estación Cacao.,1990.0,1,1,1,,WGS84,2020,Roberto Espinoza
10748,PRESERVED_SPECIMEN,Eugenia cerrocacaoensis,2865318,GBIF,Espinoza Obando 55,Manuel Vargas,,10.929160000000001,-85.47083,Estación Cacao. PN Guanacaste.,1990.0,1,1,1,,WGS84,2020,Roberto Espinoza
10959,PRESERVED_SPECIMEN,Eugenia cerrocacaoensis,2862303,GBIF,Alfaro Vindas 92,Manuel Vargas,,10.928611,-85.469444,"PN Guanacaste. Cordillera de Guanacaste. Estación de Cacao. Sendero Mirador, bosque secundario bosque 2º",1995.0,1,1,1,,WGS84,2020,Evelio Alfaro
16029,PRESERVED_SPECIMEN,Eugenia cerrocacaoensis,100517021,GBIF,Soto Solís 1765,Manuel Vargas,,10.927583,-85.47485999999999,"P.N. Guanacaste, Cuenca del Tempisque. Cacao, camino a Cerro Pedregal y su cumbre.",2007.0,1,1,1,,WGS84,2020,Armando Soto
17084,PRESERVED_SPECIMEN,Eugenia cerrocacaoensis,4439038,GBIF,,Manuel Vargas,,10.927694,-85.474806,"Área de Conservación Guanacaste, Estación Cacao, Cima del Sendero Cerro Pedregal.",2014.0,1,1,1,,WGS84,2020,Nelson A. Zamora Villalobos; Jie Cai ; Yu Min Shui ; G. Lianming ; M. Pengfei ; Roberto Espinoza ; Enia Navarro
17085,PRESERVED_SPECIMEN,Eugenia cerrocacaoensis,4439036,GBIF,,Manuel Vargas,,10.927694,-85.474806,"Área de Conservación Guanacaste, Estación Cacao, Cima del Sendero Cerro Pedregal.",2014.0,1,1,1,,WGS84,2020,Nelson A. Zamora Villalobos; Jie Cai ; Yu Min Shui ; G. Lianming ; M. Pengfei ; Roberto Espinoza ; Enia Navarro
17086,PRESERVED_SPECIMEN,Eugenia cerrocacaoensis,4439037,GBIF,,Manuel Vargas,,10.927694,-85.474806,"Área de Conservación Guanacaste, Estación Cacao, Cima del Sendero Cerro Pedregal.",2014.0,1,1,1,,WGS84,2020,Nelson A. Zamora Villalobos; Jie Cai ; Yu Min Shui ; G. Lianming ; M. Pengfei ; Roberto Espinoza ; Enia Navarro
18394,PRESERVED_SPECIMEN,Eugenia cerrocacaoensis,4105320,GBIF,,Manuel Vargas,,10.927583,-85.474861,Cima del cerro pedregoso,2007.0,1,1,1,,WGS84,2020,Armando Soto
18399,PRESERVED_SPECIMEN,Eugenia cerrocacaoensis,4105321,GBIF,,Manuel Vargas,,10.927583,-85.474861,Cima del cerro pedregoso,2007.0,1,1,1,,WGS84,2020,Armando Soto
18402,PRESERVED_SPECIMEN,Eugenia cerrocacaoensis,4105319,GBIF,,Manuel Vargas,,10.927583,-85.474861,Cima del cerro pedregoso,2007.0,1,1,1,,WGS84,2020,Armando Soto
22730,PRESERVED_SPECIMEN,Eugenia cerrocacaoensis,1603288,GBIF,,Manuel Vargas,,10.929167,-85.470834,Estacion Cacao.,1990.0,1,1,1,,WGS84,2020,Roberto Espinoza
22732,PRESERVED_SPECIMEN,Eugenia cerrocacaoensis,1603301,GBIF,,Manuel Vargas,,10.927222,-85.486389,Estacion Cacao.,1990.0,1,1,1,,WGS84,2020,Javier Quesada
22740,PRESERVED_SPECIMEN,Eugenia cerrocacaoensis,1603071,GBIF,,Manuel Vargas,,10.928611,-85.46944599999999,"Estacion Cacao; Sendero Mirador, bosque secundario.",1995.0,1,1,1,,WGS84,2020,Evelio Alfaro
24491,PRESERVED_SPECIMEN,Eugenia cerrocacaoensis,V0064932F,GBIF,92,Manuel Vargas,,10.0114,-83.9519,,1995.0,1,1,1,,WGS84,2020,E. Alfaro
