,BasisOfRec,Binomial,CatalogNo,Citation,CollectID,Compiler,Data_sens,Dec_Lat,Dec_Long,Dist_comm,Event_Year,Origin,Presence,Seasonal,Sens_comm,SpatialRef,YrCompiled,recordedBy
2580,PRESERVED_SPECIMEN,Eugenia glandulosopunctata,ASU0010087,GBIF,23444,Manuel Vargas,,9.9,-83.17,Asuncion. Rio Segundo. Estribaciones. Fila Matama. Cerro Matama.,1985.0,1,1,1,,WGS84,2020,"L.D. Gomez; G. Herrera, J. Berrocal."
3154,PRESERVED_SPECIMEN,Eugenia glandulosopunctata,3212617,GBIF,10378,Manuel Vargas,,8.7511,-82.2511,Vicinity of Fortuna Dam. Trail along contonental divide. Fores.,1987.0,1,1,1,,WGS84,2020,G. D. McPherson
6428,PRESERVED_SPECIMEN,Eugenia glandulosopunctata,K001001901,GBIF,378,Manuel Vargas,,8.72,-83.52,"Aguabuena, 3.5 km W on Rincon.",1993.0,1,1,1,,WGS84,2020,"Thomsen, K."
6429,PRESERVED_SPECIMEN,Eugenia glandulosopunctata,K001001900,GBIF,86,Manuel Vargas,,8.72,-83.52,"Aguabena, 3.5 km W of Rincon. Four-hectare permanent sample plot 1 km N of Boscosa station",1992.0,1,1,1,,WGS84,2020,"Thomsen, K."
6431,PRESERVED_SPECIMEN,Eugenia glandulosopunctata,K001001899,GBIF,310,Manuel Vargas,,10.28,-84.05,Heredia: Canton de Sarapiqui. Horquetas. Estacion El Plastico. 15 km de Horquetas. Sendero El Tigre.,1994.0,1,1,1,,WGS84,2020,"Vargas, G.; Cascante, A.; Sanchez, J.; Ruiz, A."
7766,PRESERVED_SPECIMEN,Eugenia glandulosopunctata,896281,GBIF,Gallardo Ramírez 97,Manuel Vargas,,9.359722,-82.99583299999999,"R.I. Talamanca; Cordillera de Talamanca. Alto Urén, 50 m del camino.",1992.0,1,1,1,,WGS84,2020,Gerardina Gallardo
8054,PRESERVED_SPECIMEN,Eugenia glandulosopunctata,779615,GBIF,Chacón Gamboa 795,Manuel Vargas,,10.11388,-83.825,"Cantón de Guápiles Los Angeles, San Miguel. Siguiendo el camino al Volcán Irazú, entre Río Blanco y Río Blanquito.",1990.0,1,1,1,,WGS84,2020,Abelardo Chacón|Gerardo Herrera Ch.
8075,PRESERVED_SPECIMEN,Eugenia glandulosopunctata,769854,GBIF,Vargas Ramírez 203,Manuel Vargas,,10.28333,-84.03333,"Rara Avis, ca. 15 km al suroeste de Horquetas. Camino Los Reos hacia el Río Guácimo, aguas arriba. Bosque Primario y Secundario.",1989.0,1,1,1,,WGS84,2020,Orlando Vargas
10268,PRESERVED_SPECIMEN,Eugenia glandulosopunctata,3171250,GBIF,Boyle 64,Manuel Vargas,,10.281939999999999,-84.04444000000001,No protegida. Cuenca del Sarapiquí. Rare Avis Lodge and reserve. Atlantic slope of Costa Rica.,2001.0,1,1,1,,WGS84,2020,Alice Boyle
10354,PRESERVED_SPECIMEN,Eugenia glandulosopunctata,313001,GBIF,McPherson 10378,Manuel Vargas,,8.769722,-82.21972199999999,"Vicinity of Fortuna Dam. Trail along continental divide.[Coordinates on orginal label: 8º55'4""N, 82º10'4""W].",1987.0,1,1,1,,WGS84,2020,Gordon McPherson
10465,PRESERVED_SPECIMEN,Eugenia glandulosopunctata,307043,GBIF,McPherson 10049,Manuel Vargas,,8.771666999999999,-82.216667,"Fortuna Dam region, along continental divide trail bordering Chiriqui. [Coordinates on orginal label: 8º45'4""N, 82º15'4W""].",1986.0,1,1,1,,WGS84,2020,Gordon McPherson|Jorge E. Aranda B.
10708,PRESERVED_SPECIMEN,Eugenia glandulosopunctata,2866132,GBIF,Sánchez-González 310,Manuel Vargas,,10.284167,-84.046389,"Horquetas. Estación El Plástico, 15 km de Horquetas. Sendero El Tigre creciendo in sotobosque",1994.0,1,1,1,,WGS84,2020,Joaquín Sánchez González
10709,PRESERVED_SPECIMEN,Eugenia glandulosopunctata,2866133,GBIF,Sánchez Vindas 389,Manuel Vargas,,10.15666,-83.94915999999999,"Parque Nacional Braulio Carrillo, cerca del Río Sucio",1984.0,1,1,1,,WGS84,2020,Pablo E. Sánchez V.|Nelson Zamora
10890,PRESERVED_SPECIMEN,Eugenia glandulosopunctata,2863098,GBIF,Gómez Pignataro 23444,Manuel Vargas,,9.88,-83.19,"Asunción [settlement], Río Segundo. Estribaciones Fila Matama, Cerro Matama.",1985.0,1,1,1,,WGS84,2020,Luis Diego Gómez P.|Gerardo Herrera Ch.|José Berrocal|Ángel Solís
10891,PRESERVED_SPECIMEN,Eugenia glandulosopunctata,2863099,GBIF,Rojas Mora 215,Manuel Vargas,,10.594439999999999,-83.8,RNFS Barra del Colorado; Llanura de Tortuguero. Sector Cocorí. bosque 1º,1991.0,1,1,1,,WGS84,2020,Elías Rojas
