,BasisOfRec,Binomial,CatalogNo,Citation,CollectID,Compiler,Data_sens,Dec_Lat,Dec_Long,Dist_comm,Event_Year,Origin,Presence,Seasonal,Sens_comm,SpatialRef,YrCompiled,recordedBy
286,HUMAN_OBSERVATION,Eugenia lithosperma,,GBIF,,Manuel Vargas,,10.863333,-85.326167,,2016.0,1,1,1,,WGS84,2020,
292,HUMAN_OBSERVATION,Eugenia lithosperma,,GBIF,,Manuel Vargas,,10.863333,-85.326167,,2016.0,1,1,1,,WGS84,2020,
7708,PRESERVED_SPECIMEN,Eugenia lithosperma,898853,GBIF,Bello Carranza 4446,Manuel Vargas,,10.305556,-84.752778,"Reserva Biológica Monteverde, Cordillera de Tilarán, Río Peñas Blancas, Refugio Aleman's, Quebrada Rojas.",1992.0,1,1,1,,WGS84,2020,Erick Bello C.
10432,PRESERVED_SPECIMEN,Eugenia lithosperma,308883,GBIF,Bello Carranza 1624,Manuel Vargas,,10.35,-84.66,Reserva Biológica Monteverde Río Peñas Blancas. Finca Toño González.,1989.0,1,1,1,,WGS84,2020,Erick Bello C.
10435,PRESERVED_SPECIMEN,Eugenia lithosperma,308854,GBIF,Bello Carranza 1175,Manuel Vargas,,10.31,-84.71,"Reserva Biológica Monteverde Río Peñas Blancas, Eladio's y alrededores.",1989.0,1,1,1,,WGS84,2020,Erick Bello C.
10454,PRESERVED_SPECIMEN,Eugenia lithosperma,307596,GBIF,Bello Carranza 531,Manuel Vargas,,10.31,-84.71,Reserva Biológica Monteverde Río Peñas Blancas.,1988.0,1,1,1,,WGS84,2020,Erick Bello C.
10868,PRESERVED_SPECIMEN,Eugenia lithosperma,2863510,GBIF,Penneys 448,Manuel Vargas,,10.366667,-84.783333,Cordillera de Tilarán. Monteverde. San Gerardo Biological Station. Sendero Tabacón.,1995.0,1,1,1,,WGS84,2020,Darin S. Penneys
10869,PRESERVED_SPECIMEN,Eugenia lithosperma,2863509,GBIF,Rivera Elizondo 3054,Manuel Vargas,,10.92222,-84.93055,Cordillera de Tilarán. Hotel Ecolodge. Sendero de las cabinas. 1º bosque,1997.0,1,1,1,,WGS84,2020,Gerardo Rivera
10888,PRESERVED_SPECIMEN,Eugenia lithosperma,2863130,GBIF,Frankie 78A,Manuel Vargas,,10.43138,-84.00361,"Finca La Selva, Puerto Viejo; undisturbed dry forest",1969.0,1,1,1,,WGS84,2020,G. W. Frankie
10889,PRESERVED_SPECIMEN,Eugenia lithosperma,2863131,GBIF,Bawa 594,Manuel Vargas,,10.42,-84.02,"Finca La Selva, wet evergreen tropical forest",1970.0,1,1,1,,WGS84,2020,K. S. Bawa
10952,PRESERVED_SPECIMEN,Eugenia lithosperma,2862386,GBIF,Wattenberg 59,Manuel Vargas,,10.216660000000001,-84.61666,"Reserva Forestal de San Ramón, 1º forest",1992.0,1,1,1,,WGS84,2020,I. Wattenberg|Hanno Schäfer
10954,PRESERVED_SPECIMEN,Eugenia lithosperma,2862385,GBIF,Gómez-Laurito 10281,Manuel Vargas,,10.22194,-84.59361,"Río S. Lorencito, límite E de la Reserva Forestal de San Ramón",1985.0,1,1,1,,WGS84,2020,Jorge Gómez-Laurito
14156,PRESERVED_SPECIMEN,Eugenia lithosperma,1704478,GBIF,Poveda Álvarez 186,Manuel Vargas,,9.93,-83.59,Chitaría.,1972.0,1,1,1,,WGS84,2020,Luis J. Poveda Álvarez
15992,PRESERVED_SPECIMEN,Eugenia lithosperma,100520456,GBIF,Penneys 448,Manuel Vargas,,10.366667,-84.78333,"Monteverde. San Gerardo Biological Station. Sendero Tabacon, 1 km E of Station. Primary forest. Premontane rain forest.",1995.0,1,1,1,,WGS84,2020,Darin S. Penneys
22727,PRESERVED_SPECIMEN,Eugenia lithosperma,1603322,GBIF,,Manuel Vargas,,10.305556,-84.752778,Rio Penas Blancas. Refugio Aleman s Quebrada Rojas.,1992.0,1,1,1,,WGS84,2020,Erick Bello
22746,PRESERVED_SPECIMEN,Eugenia lithosperma,1602972,GBIF,,Manuel Vargas,,10.366667,-84.783334,"Monteverde. San Gerardo Biological Station. Sendero Tabacon, 1 km E of Station. Primary forest. Premontane rain forest.",1995.0,1,1,1,,WGS84,2020,Darin Penneys
22915,PRESERVED_SPECIMEN,Eugenia lithosperma,1598624,GBIF,,Manuel Vargas,,10.316667,-84.716667,Rio Penas Blancas.,1988.0,1,1,1,,WGS84,2020,Erick Bello
22961,PRESERVED_SPECIMEN,Eugenia lithosperma,1596574,GBIF,,Manuel Vargas,,10.316667,-84.716668,"Rio Penas Blancas, Eladio s y alrededores.",1989.0,1,1,1,,WGS84,2020,Erick Bello
22963,PRESERVED_SPECIMEN,Eugenia lithosperma,1596495,GBIF,,Manuel Vargas,,10.35,-84.666667,Rio Penas Blancas. Finca Tono Gonzalez.,1989.0,1,1,1,,WGS84,2020,Erick Bello
24506,PRESERVED_SPECIMEN,Eugenia lithosperma,V0044399F,GBIF,4446,Manuel Vargas,,10.0114,-83.9519,,1992.0,1,1,1,,WGS84,2020,E. Bello C.
