,BasisOfRec,Binomial,CatalogNo,Citation,CollectID,Compiler,Data_sens,Dec_Lat,Dec_Long,Dist_comm,Event_Year,Origin,Presence,Seasonal,Sens_comm,SpatialRef,YrCompiled,recordedBy
7695,PRESERVED_SPECIMEN,Eugenia tilarana,900185,GBIF,Bello Carranza 5204,Manuel Vargas,,10.320833,-84.775,"Reserva Biológica Monteverde, Cordillera de Tilarán, Valle del Río Peñas Blancas, Quebrada el Valle.",1993.0,1,1,1,,WGS84,2020,Erick Bello C.|Eladio Cruz L.
7875,PRESERVED_SPECIMEN,Eugenia tilarana,892106,GBIF,Haber 10814,Manuel Vargas,,10.3,-84.8,Cordillera de Tilarán. Monteverde. Tract X. Pacific slope wet forest.,1991.0,1,1,1,,WGS84,2020,William A. Haber|Willow Zuchowski
10406,PRESERVED_SPECIMEN,Eugenia tilarana,310016,GBIF,Haber 5563,Manuel Vargas,,10.38333,-84.83333,"Río Chiquito de Arenal, Tilaran, Altos de San Bosco, 10 km NW Monteverde, Atlantic slope wet forest.",1986.0,1,1,1,,WGS84,2020,William A. Haber|Erick Bello C.|April Clagget|Michelle Powell
10412,PRESERVED_SPECIMEN,Eugenia tilarana,309727,GBIF,Herrera Chacón 1582,Manuel Vargas,,10.76,-85.3,Parque Rincón de La Vieja Liberia. Del Mirador siguiendo la fila al noroeste.,1988.0,1,1,1,,WGS84,2020,Gerardo Herrera Ch.
10433,PRESERVED_SPECIMEN,Eugenia tilarana,308862,GBIF,Haber 5817,Manuel Vargas,,10.333333,-84.75,"Monteverde Cloud Forest Reserve, Peñas Blancas river valley on Atlantic slope.",1986.0,1,1,1,,WGS84,2020,William A. Haber|Erick Bello C.
10445,PRESERVED_SPECIMEN,Eugenia tilarana,308043,GBIF,Gentry 71566,Manuel Vargas,,10.8,-84.83333,"Monteverde, cloud forest. Transect 4.",1990.0,1,1,1,,WGS84,2020,Alwyn H. Gentry|William A. Haber|Lindsay P. Woodruff|Brad Boyle
10453,PRESERVED_SPECIMEN,Eugenia tilarana,307639,GBIF,Bello Carranza 61,Manuel Vargas,,10.26,-84.83,"San Luis, Monteverde, Finca de Chepe Rojas, al oeste del pueblo.",1988.0,1,1,1,,WGS84,2020,Erick Bello C.|William A. Haber|Barry E. Hammel
10455,PRESERVED_SPECIMEN,Eugenia tilarana,307578,GBIF,Bello Carranza 117,Manuel Vargas,,10.26,-84.83,"San Luis, Monteverde, Finca de Chepe Rojas, al oeste del pueblo.",1988.0,1,1,1,,WGS84,2020,Erick Bello C.|William A. Haber|Barry E. Hammel
10722,PRESERVED_SPECIMEN,Eugenia tilarana,2865691,GBIF,Dryer 1057,Manuel Vargas,,10.301110000000001,-84.79916,"Vertiente Pacífico, Reserva Monteverde, Cordillera de Tilarán [covers parts of Alajuela, Puntarenas & Guanacaste] arriba de Quebrada Cuecha, en bosque maduro",1976.0,1,1,1,,WGS84,2020,Valerie J. Dryer
10755,PRESERVED_SPECIMEN,Eugenia tilarana,2865189,GBIF,Burger 9653,Manuel Vargas,,10.3,-84.8,"in & around the Monteverde Nature reserve, mostly on the Pacific watershed cloud forest & swamp forest",1975.0,1,1,1,,WGS84,2020,William C. Burger|Richard A. Baker
10787,PRESERVED_SPECIMEN,Eugenia tilarana,2864613,GBIF,Poveda Álvarez 1111,Manuel Vargas,,10.3,-84.8,Monteverde,1975.0,1,1,1,,WGS84,2020,Luis J. Poveda Álvarez
10788,PRESERVED_SPECIMEN,Eugenia tilarana,2864612,GBIF,Hartshorn 1781,Manuel Vargas,,10.3,-84.79,"In Mata's pasture, Monteverde",1975.0,1,1,1,,WGS84,2020,Gary S. Hartshorn
10822,PRESERVED_SPECIMEN,Eugenia tilarana,2864235,GBIF,Holdridge 6759,Manuel Vargas,,10.240833,-84.428333,Entre Zapote y Buena Vista,1972.0,1,1,1,,WGS84,2020,Leslie R. Holdridge
22538,PRESERVED_SPECIMEN,Eugenia tilarana,1580749,GBIF,,Manuel Vargas,,10.320833,-84.775,"Valle del Rio Penas Blancas, Quebrada El Valle",1993.0,1,1,1,,WGS84,2020,Erick Bello
23562,PRESERVED_SPECIMEN,Eugenia tilarana,1562686,GBIF,,Manuel Vargas,,10.3,-84.800007,Monteverde. Tract X. Pacific slope wet forest.,1991.0,1,1,1,,WGS84,2020,William Haber
23565,PRESERVED_SPECIMEN,Eugenia tilarana,1562682,GBIF,,Manuel Vargas,,10.25,-84.8,"Guacimal, Altos de Rio Veracruz. Finca Brenes.",1990.0,1,1,1,,WGS84,2020,Erick Bello
24416,PRESERVED_SPECIMEN,Eugenia tilarana,V0044410F,GBIF,1111,Manuel Vargas,,10.0114,-83.9519,,1975.0,1,1,1,,WGS84,2020,L. J. Poveda
