,BasisOfRec,Binomial,CatalogNo,Citation,CollectID,Compiler,Data_sens,Dec_Lat,Dec_Long,Dist_comm,Event_Year,Origin,Presence,Seasonal,Sens_comm,SpatialRef,YrCompiled,recordedBy
284,HUMAN_OBSERVATION,Eugenia truncata,,GBIF,,Manuel Vargas,,10.759056,-85.32266700000001,,2019.0,1,1,1,,WGS84,2020,
344,HUMAN_OBSERVATION,Eugenia truncata,,GBIF,,Manuel Vargas,,10.769333,-85.341833,,2016.0,1,1,1,,WGS84,2020,
357,HUMAN_OBSERVATION,Eugenia truncata,,GBIF,,Manuel Vargas,,10.967167,-85.49580999999999,,2019.0,1,1,1,,WGS84,2020,
363,HUMAN_OBSERVATION,Eugenia truncata,,GBIF,,Manuel Vargas,,10.773583,-85.415389,,2017.0,1,1,1,,WGS84,2020,
2498,PRESERVED_SPECIMEN,Eugenia truncata,,GBIF,,Manuel Vargas,,10.77,-85.34,"Costa Rica:Area de Conservacion Guanacaste, Sector Palilas, Estacion Pailas, despues de la interceccion al crater y cangreja",2010.0,1,1,1,,WGS84,2020,Adrian Guadamuz
2542,PRESERVED_SPECIMEN,Eugenia truncata,,GBIF,,Manuel Vargas,,10.77,-85.34,"Costa Rica:Area de Conservacion Guanacaste, Sector Palilas, Estacion Pailas, despues de la interceccion al crater y cangreja",2010.0,1,1,1,,WGS84,2020,Adrian Guadamuz
2594,PRESERVED_SPECIMEN,Eugenia truncata,ASU0080791,GBIF,39,Manuel Vargas,,10.928611,-85.469444,"P.N. Guanacaste, Cordillera de Guanacaste., Estacion Cacao; Cerro Cacao. Sendero Arenales",1995.0,1,1,1,,WGS84,2020,Fco. Alvarado
2980,MATERIAL_SAMPLE,Eugenia truncata,BioBot11535,GBIF,,Manuel Vargas,,10.77,-85.34100000000001,"Area de Conservacion Guanacaste, Sector Palilas, Estacion Pailas, despues de la interceccion al cra",2010.0,1,1,1,,WGS84,2020,Adrian Guadamuz
2984,MATERIAL_SAMPLE,Eugenia truncata,BioBot11536,GBIF,,Manuel Vargas,,10.77,-85.34100000000001,"Area de Conservacion Guanacaste, Sector Palilas, Estacion Pailas, despues de la interceccion al cra",2010.0,1,1,1,,WGS84,2020,Adrian Guadamuz
3025,MATERIAL_SAMPLE,Eugenia truncata,BioBot11537,GBIF,,Manuel Vargas,,10.77,-85.34100000000001,"Area de Conservacion Guanacaste, Sector Palilas, Estacion Pailas, despues de la interceccion al cra",2010.0,1,1,1,,WGS84,2020,Adrian Guadamuz
6101,PRESERVED_SPECIMEN,Eugenia truncata,RB01370560,GBIF,241,Manuel Vargas,,10.927222,-85.493889,Guanacaste: Cantón de La Cruz. Parque Nacional Guanacaste. Estación Maritza,1992.0,1,1,1,,WGS84,2020,R. Espinoza
6418,PRESERVED_SPECIMEN,Eugenia truncata,K001002002,GBIF,762,Manuel Vargas,,10.78,-85.35,"Guanacaste: Canton de Liberia, P. N. Rincon de la Vieja. Cordillera de Guanacaste. Estacion Las Pailas.",1992.0,1,1,1,,WGS84,2020,"Espinoza, R."
6419,PRESERVED_SPECIMEN,Eugenia truncata,K001002001,GBIF,780,Manuel Vargas,,10.78,-85.35,"Guanacaste: Canton de Liberia, P. N. Rincon de la Vieja. Cordillera de Guanacaste. Estacion Las Pailas. Sendero Catarata Cangrejo.",1993.0,1,1,1,,WGS84,2020,"Espinoza, R."
7402,PRESERVED_SPECIMEN,Eugenia truncata,957301,GBIF,Hammel 17792,Manuel Vargas,,10.91,-85.48,P.N. Guanacaste; Cordillera de Guanacaste. Estación Cacao; Quebrada Pedregal.,1990.0,1,1,1,,WGS84,2020,Barry E. Hammel|et al.
7795,PRESERVED_SPECIMEN,Eugenia truncata,895340,GBIF,García García 34,Manuel Vargas,,10.79,-85.35,P.N. Rincón de la Vieja; Cordillera de Guanacaste. Estación Las Pailas.,1993.0,1,1,1,,WGS84,2020,Dunia García
7951,PRESERVED_SPECIMEN,Eugenia truncata,887798,GBIF,Jiménez Madrigal 1530,Manuel Vargas,,10.18,-84.7,"Cordillera de Tilarán. Palmital, 9 km N luego de Miramar, camino a Cedral.",1994.0,1,1,1,,WGS84,2020,Quírico Jiménez|Luis J. Poveda Álvarez|Víctor H. Ramírez
7958,PRESERVED_SPECIMEN,Eugenia truncata,887582,GBIF,Jiménez Madrigal 1421,Manuel Vargas,,9.93,-84.05,"Valle Central. Universidad de Costa Rica, junto a Escuela de Biología.",1993.0,1,1,1,,WGS84,2020,Quírico Jiménez
8001,PRESERVED_SPECIMEN,Eugenia truncata,808948,GBIF,Herrera Chacón 108,Manuel Vargas,,10.079445,-84.44166700000001,San Isidro de San Ramón.,1986.0,1,1,1,,WGS84,2020,Gerardo Herrera Ch.
10382,PRESERVED_SPECIMEN,Eugenia truncata,311500,GBIF,Rivera Elizondo 1129,Manuel Vargas,,10.67,-85.29777800000001,"P. Nac. Rincón de la Vieja Colecta en camino a San Jorge, 3 Km. de La Casona Santa María.",1991.0,1,1,1,,WGS84,2020,Gerardo Rivera
10400,PRESERVED_SPECIMEN,Eugenia truncata,310650,GBIF,INBioI 97,Manuel Vargas,,10.96,-85.49333299999999,"Parque Nacional Guanacaste, Estación Maritza.",1989.0,1,1,1,,WGS84,2020,I INBio
10449,PRESERVED_SPECIMEN,Eugenia truncata,307889,GBIF,Rivera Elizondo 748,Manuel Vargas,,10.766667,-85.3125,P. Nac. Rincón de la Vieja Sendero Laguna Santa María. Finca Las Moras. Sendero Las Pailas.,1990.0,1,1,1,,WGS84,2020,Gerardo Rivera
10663,PRESERVED_SPECIMEN,Eugenia truncata,2866267,GBIF,Standley 46125,Manuel Vargas,,10.42,-84.93,"Quebrada Serena, SE of Tilarán",1926.0,1,1,1,,WGS84,2020,Paul C. Standley|Juvenal Valerio R.
10664,PRESERVED_SPECIMEN,Eugenia truncata,2866271,GBIF,Espinoza Obando 1776,Manuel Vargas,,11.03333,-85.52776999999999,PN Guanacaste. Cuenca del Sopoá. Los Almendros. Sector Hacha. Sendero La Bejuquilla.,1998.0,1,1,1,,WGS84,2020,Roberto Espinoza|Adrián Guadamuz|Daniel Pérez|Felipe Chavarría D.
10665,PRESERVED_SPECIMEN,Eugenia truncata,2866260,GBIF,Brenes Mora 22835,Manuel Vargas,,10.078330000000001,-84.50916,San Pedro de San Ramón,1939.0,1,1,1,,WGS84,2020,Alberto M. Brenes
10666,PRESERVED_SPECIMEN,Eugenia truncata,2866270,GBIF,Espinoza Obando 1777,Manuel Vargas,,11.03333,-85.52776999999999,PN Guanacaste. Cuenca del Sopoá. Los Almendros. Sector Hacha. Sendero La Bejuquilla.,1998.0,1,1,1,,WGS84,2020,Roberto Espinoza
10667,PRESERVED_SPECIMEN,Eugenia truncata,2866269,GBIF,Standley 46580,Manuel Vargas,,10.47,-84.96,Vicinity of Tilarán,1926.0,1,1,1,,WGS84,2020,Paul C. Standley|Juvenal Valerio R.
10668,PRESERVED_SPECIMEN,Eugenia truncata,2866265,GBIF,Williams 26616,Manuel Vargas,,10.66666,-85.48333000000001,"Dry forest on lower slopes of Volcán Rincón de la Vieja, along Rio Colorado.",1964.0,1,1,1,,WGS84,2020,Louis O. Williams|Antonio Molina R.|Terua P. Williams
10669,PRESERVED_SPECIMEN,Eugenia truncata,2866261,GBIF,Brenes Mora 20360,Manuel Vargas,,10.078330000000001,-84.50916,San Pedro de San Ramón,1935.0,1,1,1,,WGS84,2020,Alberto M. Brenes
10670,PRESERVED_SPECIMEN,Eugenia truncata,2866262,GBIF,Brenes Mora 21437,Manuel Vargas,,10.078330000000001,-84.50916,San Pedro de San Ramón,1936.0,1,1,1,,WGS84,2020,Alberto M. Brenes
10671,PRESERVED_SPECIMEN,Eugenia truncata,2866266,GBIF,Standley 46378,Manuel Vargas,,10.12,-84.93,Naranjos Agrios,1926.0,1,1,1,,WGS84,2020,Paul C. Standley|Juvenal Valerio R.
10672,PRESERVED_SPECIMEN,Eugenia truncata,2866268,GBIF,Standley 44240,Manuel Vargas,,10.47,-84.96,Vicinity of Tilarán,1926.0,1,1,1,,WGS84,2020,Paul C. Standley|Juvenal Valerio R.
10673,PRESERVED_SPECIMEN,Eugenia truncata,2866263,GBIF,Brenes Mora 21444,Manuel Vargas,,10.078330000000001,-84.50916,San Pedro de San Ramón,1936.0,1,1,1,,WGS84,2020,Alberto M. Brenes
10674,PRESERVED_SPECIMEN,Eugenia truncata,2866258,GBIF,Brenes Mora 18982,Manuel Vargas,,10.078330000000001,-84.50916,Colinas de San Pedro de San Ramón,1934.0,1,1,1,,WGS84,2020,Alberto M. Brenes
10675,PRESERVED_SPECIMEN,Eugenia truncata,2866264,GBIF,Jiménez Muñoz 1526,Manuel Vargas,,10.76944,-85.35,"Bordes del Río Colorado, entre Hacienda Guachipelín y Las [Lomas] Pailas, Liberia",1964.0,1,1,1,,WGS84,2020,Alfonso Jiménez M.
10676,PRESERVED_SPECIMEN,Eugenia truncata,2866259,GBIF,Brenes Mora 14923,Manuel Vargas,,10.115269999999999,-84.51694,San Miguel de San Ramón,1932.0,1,1,1,,WGS84,2020,Alberto M. Brenes
10677,PRESERVED_SPECIMEN,Eugenia truncata,2866257,GBIF,Brenes Mora 5388,Manuel Vargas,,10.078330000000001,-84.50916,Bois a San Pedro de San Ramón,1927.0,1,1,1,,WGS84,2020,Alberto M. Brenes
10707,PRESERVED_SPECIMEN,Eugenia truncata,2866139,GBIF,Standley 45410,Manuel Vargas,,10.47,-84.96,"Los Ayotes, near Tilarán",1926.0,1,1,1,,WGS84,2020,Paul C. Standley|Juvenal Valerio R.
10717,PRESERVED_SPECIMEN,Eugenia truncata,2865875,GBIF,Oersted 3955,Manuel Vargas,,9.83,-84.01,In monte Candelaria,,1,1,1,,WGS84,2020,A. S. Oersted
10719,PRESERVED_SPECIMEN,Eugenia truncata,2865694,GBIF,Espinoza Obando 762,Manuel Vargas,,10.777778,-85.351389,"PN Rincón de la Vieja, cordillera de Guanacaste. Est. Las Pailas",1992.0,1,1,1,,WGS84,2020,Roberto Espinoza
10733,PRESERVED_SPECIMEN,Eugenia truncata,2865430,GBIF,Valerio Alvarado 1524,Manuel Vargas,,9.83527,-84.02916,Tablazo,1936.0,1,1,1,,WGS84,2020,Manuel Valerio
10734,PRESERVED_SPECIMEN,Eugenia truncata,2865426,GBIF,Brenes Mora 3553,Manuel Vargas,,10.08194,-84.52055,Bois a San Pedro de San Ramón,1921.0,1,1,1,,WGS84,2020,Alberto M. Brenes
10736,PRESERVED_SPECIMEN,Eugenia truncata,2865428,GBIF,Espinoza Obando 1678,Manuel Vargas,,10.77777,-85.35276999999999,PN Rincón de la Vieja. Cuenca del Tempisque. ACG Las Pailas.,1997.0,1,1,1,,WGS84,2020,Roberto Espinoza
10737,PRESERVED_SPECIMEN,Eugenia truncata,2865427,GBIF,Brenes Mora 3575,Manuel Vargas,,10.078330000000001,-84.50916,Bois a San Pedro de San Ramón,1921.0,1,1,1,,WGS84,2020,Alberto M. Brenes
10752,PRESERVED_SPECIMEN,Eugenia truncata,2865193,GBIF,Herrera Chacón 108,Manuel Vargas,,10.079445,-84.44166700000001,San Isidro de San Ramón.,1986.0,1,1,1,,WGS84,2020,Gerardo Herrera Ch.
10815,PRESERVED_SPECIMEN,Eugenia truncata,2864295,GBIF,Brenes Mora 19246,Manuel Vargas,,10.115278,-84.516944,San Miguel de San Ramón,1934.0,1,1,1,,WGS84,2020,Alberto M. Brenes
10860,PRESERVED_SPECIMEN,Eugenia truncata,2863621,GBIF,Herrera Chacón 6497,Manuel Vargas,,8.79166,-82.96666,Jardín Botanico Wilson. OET. San Vito de Cote Brus. Concepción. Ladera de Cerro Paraguas.,1993.0,1,1,1,,WGS84,2020,Gerardo Herrera Ch.
10861,PRESERVED_SPECIMEN,Eugenia truncata,2863620,GBIF,Rodríguez González 3386,Manuel Vargas,,10.777778,-85.352778,"PN Rincón de la Vieja. Cuenca del Tempisque. Estación Pailas. Sendero que va al cráter del volcán, aprox. 200 m de la estación, bordes del bosque.",1998.0,1,1,1,,WGS84,2020,Alexánder Rodríguez
10908,PRESERVED_SPECIMEN,Eugenia truncata,2862848,GBIF,Pittier 3297,Manuel Vargas,,8.65,-82.38333,"Sabana de la Tortuga, between El Boquete and Caldera",1911.0,1,1,1,,WGS84,2020,Henri Pittier
10942,PRESERVED_SPECIMEN,Eugenia truncata,2862449,GBIF,Pennington 11499,Manuel Vargas,,10.75,-85.35,"Road to Rincón de la Vieja, Hacienda Guachipelín. Dry zone. Pasture",1984.0,1,1,1,,WGS84,2020,T. D. Pennington|Pablo E. Sánchez V.|Nelson Zamora
10944,PRESERVED_SPECIMEN,Eugenia truncata,2862448,GBIF,Oersted 3974,Manuel Vargas,,9.83,-84.01,In monte Candelaria,1849.0,1,1,1,,WGS84,2020,A. S. Oersted
11315,PRESERVED_SPECIMEN,Eugenia truncata,2619956,GBIF,Garwood 769,Manuel Vargas,,10.784722,-85.35,"Rincón de la Vieja National Park, path from Puesto [Hacienda] Santa Maria to hot springs.",1983.0,1,1,1,,WGS84,2020,Nancy C. Garwood|Mary Gibby|Rachel J. Hampshire|Christopher J. Humphries
12599,PRESERVED_SPECIMEN,Eugenia truncata,2275087,GBIF,Espinoza Obando 1476,Manuel Vargas,,10.961111,-85.494444,"P.N. Cuanacaste. Cordillera de Guanacaste. Estacion Maritza, Los gusaneros. en sendero Cacao.",1996.0,1,1,1,,WGS84,2020,Roberto Espinoza
12622,PRESERVED_SPECIMEN,Eugenia truncata,2273776,GBIF,Montenegro 1069,Manuel Vargas,,8.47333,-82.41,Colectado a orillas del Río Risacua en el punto de unión del Río David y Majagua en el Barrio de Santa Cruz,1995.0,1,1,1,,WGS84,2020,Eduardo Montenegro|E. Hidalgo de Montenegro
14144,PRESERVED_SPECIMEN,Eugenia truncata,1704722,GBIF,Garwood 787,Manuel Vargas,,10.784722,-85.35,"Rincón de la Vieja National Park, path from Puesto [Hacienda] Santa Maria to hot springs.",1983.0,1,1,1,,WGS84,2020,Nancy C. Garwood|Mary Gibby|Rachel J. Hampshire|Christopher J. Humphries
14390,PRESERVED_SPECIMEN,Eugenia truncata,1493822,GBIF,Alvarado Arce 39,Manuel Vargas,,10.92,-85.46,"P.N. Guanacaste. Estacion Cacao, Cerro Cacao. Sendero Arenales.",1995.0,1,1,1,,WGS84,2020,Francisco Alvarado
14398,PRESERVED_SPECIMEN,Eugenia truncata,1492971,GBIF,Espinoza Obando 690,Manuel Vargas,,10.77,-85.35,P.N. Rincon de la Vieja. Cordillera de Guanacaste. Estacion las Pailas.,1992.0,1,1,1,,WGS84,2020,Roberto Espinoza
14399,PRESERVED_SPECIMEN,Eugenia truncata,1492965,GBIF,Espinoza Obando 199,Manuel Vargas,,10.92,-85.49,"P.N. Guanacaste, Estacion Maritza.",1992.0,1,1,1,,WGS84,2020,Roberto Espinoza
14400,PRESERVED_SPECIMEN,Eugenia truncata,1492963,GBIF,Espinoza Obando 241,Manuel Vargas,,10.92,-85.49,P.N. Guanacaste. Estacion Maritza.,1992.0,1,1,1,,WGS84,2020,Roberto Espinoza
14474,PRESERVED_SPECIMEN,Eugenia truncata,1476273,GBIF,Carvajal Ugalde 275,Manuel Vargas,,10.08,-84.44,"Bosque a orillas de Río Grande, San Isidro.",1982.0,1,1,1,,WGS84,2020,Alonso Carvajal U.
14735,PRESERVED_SPECIMEN,Eugenia truncata,1401791,GBIF,Espinoza Obando 780,Manuel Vargas,,10.77,-85.35,P.N. Rincón de la Vieja. Cordillera de Guanacaste. Estación Las Pailas. Sendero Catarata Cangrejo.,1993.0,1,1,1,,WGS84,2020,Roberto Espinoza
14954,PRESERVED_SPECIMEN,Eugenia truncata,130711,GBIF,Rivera Elizondo 629,Manuel Vargas,,10.768056,-85.294444,"P. Nac. Rincón de la Vieja.  Sendero de la toma de agua, a 3 Km. de la estación.",1990.0,1,1,1,,WGS84,2020,Gerardo Rivera
15961,PRESERVED_SPECIMEN,Eugenia truncata,100522328,GBIF,Chaves Chaves 199,Manuel Vargas,,10.673611,-85.055,"Parque Nacional Volcán Tenorio. Cuenca del Tempisque. Río Naranjo, Finca Montezuma.",2000.0,1,1,1,,WGS84,2020,José Luis Chaves|I. López
16180,PRESERVED_SPECIMEN,Eugenia truncata,100493140,GBIF,Kriebel Haehner 2217,Manuel Vargas,,10.8,-85.35,P.N. Rincón de la Vieja. Cuenca del Pizote. Parque Nacional Rincón de la Vieja. Sector Las Pailas.  (Coordenadas y rango de elevacion de etiquetas impresas incorrectos).,2003.0,1,1,1,,WGS84,2020,Ricardo Kriebel|J. Larraguivel
16867,PRESERVED_SPECIMEN,Eugenia truncata,100152713,GBIF,Chaves Chaves 414,Manuel Vargas,,10.58,-84.98527800000001,P.N. Volcán Tenorio. Cuenca del San Carlos. Sector Rancho Capú. Colectado en bosque y en potrero.,2000.0,1,1,1,,WGS84,2020,José Luis Chaves
16993,PRESERVED_SPECIMEN,Eugenia truncata,4449883,GBIF,,Manuel Vargas,,10.955333,-85.493944,La Cruz. Estación Maritza. Sendero a la Estación Cacao.,2015.0,1,1,1,,WGS84,2020,Nelson A. Zamora Villalobos; Roberto Espinoza ; Enia Navarro ; Jose Antonio Azofeifa Zuñiga ; Róger Gutiérrez
16994,PRESERVED_SPECIMEN,Eugenia truncata,4449885,GBIF,,Manuel Vargas,,10.955333,-85.493944,La Cruz. Estación Maritza. Sendero a la Estación Cacao.,2015.0,1,1,1,,WGS84,2020,Nelson A. Zamora Villalobos; Roberto Espinoza ; Enia Navarro ; Jose Antonio Azofeifa Zuñiga ; Róger Gutiérrez
16995,PRESERVED_SPECIMEN,Eugenia truncata,4449884,GBIF,,Manuel Vargas,,10.955333,-85.493944,La Cruz. Estación Maritza. Sendero a la Estación Cacao.,2015.0,1,1,1,,WGS84,2020,Nelson A. Zamora Villalobos; Roberto Espinoza ; Enia Navarro ; Jose Antonio Azofeifa Zuñiga ; Róger Gutiérrez
