,BasisOfRec,Binomial,CatalogNo,Citation,CollectID,Compiler,Data_sens,Dec_Lat,Dec_Long,Dist_comm,Event_Year,Origin,Presence,Seasonal,Sens_comm,SpatialRef,YrCompiled,recordedBy
7813,PRESERVED_SPECIMEN,Eugenia zuchowskiae,894884,GBIF,Bello Carranza 2086,Manuel Vargas,,10.3,-84.8,"R.B. Monteverde; Cordillera de Tilarán. Río Guacimal, Comunidad- Reserva.",1990.0,1,1,1,,WGS84,2020,Erick Bello C.
7876,PRESERVED_SPECIMEN,Eugenia zuchowskiae,892070,GBIF,Haber 10802,Manuel Vargas,,10.3,-84.8,"Cordillera de Tilarán. Monteverde, upper comunity near Casona, Tract X, lower montane wet forest.",1991.0,1,1,1,,WGS84,2020,William A. Haber|Willow Zuchowski
10394,PRESERVED_SPECIMEN,Eugenia zuchowskiae,310875,GBIF,Haber 9960,Manuel Vargas,,10.3,-84.8,"Cantón de Puntarenas Monteverde, upper community, Pacific slope. T. Guindon farm and bullpen.",1990.0,1,1,1,,WGS84,2020,William A. Haber|Willow Zuchowski|S. Sargeant
10662,PRESERVED_SPECIMEN,Eugenia zuchowskiae,2866290,GBIF,Standley 45461,Manuel Vargas,,10.47,-84.96,"Los Ayotes, near Tilarán",1926.0,1,1,1,,WGS84,2020,Paul C. Standley|Juvenal Valerio R.
10753,PRESERVED_SPECIMEN,Eugenia zuchowskiae,2865217,GBIF,Dryer 905,Manuel Vargas,,10.3,-84.79,"Provincias Alajuela, Puntarenas o Guanacaste, en potrero cerca de Reserva Monteverde",1976.0,1,1,1,,WGS84,2020,Valerie J. Dryer
10812,PRESERVED_SPECIMEN,Eugenia zuchowskiae,2864325,GBIF,Dryer 1580,Manuel Vargas,,10.30916,-84.80027,"Provincias Alajuela, Puntarenas y Guanacaste, Reserva Monteverde, Cordillera de Tilarán, en portrero cerca de Reserva",1977.0,1,1,1,,WGS84,2020,Valerie J. Dryer
10813,PRESERVED_SPECIMEN,Eugenia zuchowskiae,2864324,GBIF,Primack 401,Manuel Vargas,,10.3,-84.78,"Monteverde Community along Chimoco Trail, running from Peñas Blancas road to the Río Guacimal. virgin forest",1972.0,1,1,1,,WGS84,2020,Richard B. Primack|James L. Luteyn|Donald E. Stone
10814,PRESERVED_SPECIMEN,Eugenia zuchowskiae,2864326,GBIF,Haber 10036,Manuel Vargas,,10.3,-84.8,"Monteverde, Pacific slope in community forest edge",1990.0,1,1,1,,WGS84,2020,William A. Haber|Willow Zuchowski
10836,PRESERVED_SPECIMEN,Eugenia zuchowskiae,2863994,GBIF,Dryer 1443,Manuel Vargas,,10.309167,-84.800278,"Reserva Monteverde, Cordillera de Tilarán, en faja de bosque perturbado cerca de Reserva",1977.0,1,1,1,,WGS84,2020,Valerie J. Dryer
10858,PRESERVED_SPECIMEN,Eugenia zuchowskiae,2863662,GBIF,Haber 554,Manuel Vargas,,10.309439999999999,-84.80388,Monteverde,1981.0,1,1,1,,WGS84,2020,William A. Haber
14143,PRESERVED_SPECIMEN,Eugenia zuchowskiae,1704751,GBIF,Hartshorn 1776,Manuel Vargas,,10.3,-84.79,"In Mata's pasture, Monteverde",1975.0,1,1,1,,WGS84,2020,Gary S. Hartshorn
22958,PRESERVED_SPECIMEN,Eugenia zuchowskiae,1596594,GBIF,,Manuel Vargas,,10.3,-84.80000600000001,"Monteverde, upper community, Pacific slope. T. Guindon farm and bullpen.",1990.0,1,1,1,,WGS84,2020,William Haber
23563,PRESERVED_SPECIMEN,Eugenia zuchowskiae,1562689,GBIF,,Manuel Vargas,,10.3,-84.80000600000001,"Monteverde, upper comunity near Casona, Tract X, lower montane wet forest.",1991.0,1,1,1,,WGS84,2020,William Haber
23564,PRESERVED_SPECIMEN,Eugenia zuchowskiae,1562687,GBIF,,Manuel Vargas,,10.3,-84.800003,"Monteverde, Pacific slope in community.",1990.0,1,1,1,,WGS84,2020,William Haber
23619,PRESERVED_SPECIMEN,Eugenia zuchowskiae,1557292,GBIF,,Manuel Vargas,,10.3,-84.80000600000001,"Rio Guacimal, Comunidad- Reserva.",1990.0,1,1,1,,WGS84,2020,Erick Bello
24708,PRESERVED_SPECIMEN,Eugenia zuchowskiae,V0044411F,GBIF,10036,Manuel Vargas,,10.0114,-83.9519,,1990.0,1,1,1,,WGS84,2020,W. A. Haber & W.  Zuchowski
