,BasisOfRec,Binomial,CatalogNo,Citation,CollectID,Compiler,Data_sens,Dec_Lat,Dec_Long,Dist_comm,Event_Year,Origin,Presence,Seasonal,Sens_comm,SpatialRef,YrCompiled,recordedBy
7298,PRESERVED_SPECIMEN,Faramea capulifolia,999631,GBIF,Fonnegra G. 4715,Manuel Vargas,,6.91666,-74.91666,Vereda Arenasblancas.,1994.0,1,1,1,,WGS84,2020,Ramiro Fonnegra G.|et al.
9174,PRESERVED_SPECIMEN,Faramea capulifolia,520439,GBIF,Haber 6235,Manuel Vargas,,10.3,-84.8,"Monteverde Cloud Forest Reserve. Swamp on continental divide, lower montane rain forest.",1986.0,1,1,1,,WGS84,2020,William A. Haber|Erick Bello C.
9428,PRESERVED_SPECIMEN,Faramea capulifolia,513065,GBIF,Haber 4716,Manuel Vargas,,10.333333,-84.833333,"Monteverde Cloud Forest Reserve, El Valle area on continental divide, lower montane rain forest",1986.0,1,1,1,,WGS84,2020,William A. Haber|Erick Bello C.|L. Lierheimer
12689,PRESERVED_SPECIMEN,Faramea capulifolia,2266441,GBIF,Folsom 4435,Manuel Vargas,,7.6666669999999995,-77.7,"Cerro Pirre, valley between between Pirre and next most southernly peak, sloping hillside. [The co-collectors Ronald L. Hartman & Robert L. Dressler are not printed on the original labels but are clearly indicated in Folsom's fieldbook.]",1977.0,1,1,1,,WGS84,2020,James P. Folsom|Ronald L. Hartman|Robert L. Dressler
12696,PRESERVED_SPECIMEN,Faramea capulifolia,2265233,GBIF,Rodríguez González 1929,Manuel Vargas,,10.1,-83.96666,Cantón de Vázquez de Coronado P.N. Braulio Carrillo. Cuenca del Sarapiquí. Bajo La Hondura.,1997.0,1,1,1,,WGS84,2020,Alexánder Rodríguez
12702,PRESERVED_SPECIMEN,Faramea capulifolia,2263718,GBIF,Zamora Villalobos 647,Manuel Vargas,,10.03,-83.95,"Parque Nacional Braulio Carrillo, Sendero Río Cascajal",1984.0,1,1,1,,WGS84,2020,Nelson Zamora|Pablo E. Sánchez V.|Silvia Lobo
13184,PRESERVED_SPECIMEN,Faramea capulifolia,2065166,GBIF,Hartman 4510,Manuel Vargas,,7.95,-77.716667,Serranía de Pirre 1.5-2.5 mi S on ridge from intersection with trail down to Rancho Frío. Cloud forest main ridge.,1977.0,1,1,1,,WGS84,2020,Ronald L. Hartman|James P. Folsom|Robert L. Dressler
13597,PRESERVED_SPECIMEN,Faramea capulifolia,1929096,GBIF,Folsom 4262,Manuel Vargas,,7.95,-77.7,"Cerro Pirre, ridge top near Rancho Plastico.",1977.0,1,1,1,,WGS84,2020,James P. Folsom
14638,PRESERVED_SPECIMEN,Faramea capulifolia,1417197,GBIF,Barringer 4194,Manuel Vargas,,10.28,-84.78,"Cordillera de Tilaran, Monteverde Reserva, Monteverde above Santa Elena, pacific side",1983.0,1,1,1,,WGS84,2020,Kerry Barringer|Eric A. Christenson|Blanca Pérez G.
15943,PRESERVED_SPECIMEN,Faramea capulifolia,100523861,GBIF,Acosta Vargas 3226,Manuel Vargas,,10.077778,-84.01111,"P.N. Braulio Carrillo. Cuenca del Sarapiquí. P.N. Braulio Carrillo, 500 m E del Tunel Zurquí, sendero El Relleno.",2003.0,1,1,1,,WGS84,2020,Luis Acosta|Luis Diego Vargas
16107,PRESERVED_SPECIMEN,Faramea capulifolia,100501713,GBIF,Acosta Vargas 3413,Manuel Vargas,,10.068694,-84.00147,"P.N. Braulio Carrillo. Cuenca del Sarapiquí. Puesto Zurquí, Sendero El Relleno, 500 m después del túnel hacia Guapiles.",2004.0,1,1,1,,WGS84,2020,Luis Acosta|G. Lizano
16121,PRESERVED_SPECIMEN,Faramea capulifolia,100500936,GBIF,Alfaro Vindas 5743,Manuel Vargas,,10.067028,-83.89041999999999,P.N. Braulio Carrillo. Cuenca del Sarapiquí. Ruta Volcán Irazú-Quebrada González.,2004.0,1,1,1,,WGS84,2020,Evelio Alfaro|José Á. González R.
16221,PRESERVED_SPECIMEN,Faramea capulifolia,100490675,GBIF,Solano Peralta 4678,Manuel Vargas,,9.804011000000001,-83.17289,"""Limon, Valle de la Estrella, Fila Matama. Cerca de 11 km SW del pueblo de Aguas Zarcas. Punto 5. Bosque Muy Humedo, siempreverde montano, con arboles de dosel 25-30 m. Dap 0.3-1.2 m. Dominado por Sapium megistocarpus, Guarea kunthiana, Casearia tacanensis, Cecropia obtusifolia y Dendropanax arboreus.                                                                                                                                                                                                     """,2007.0,1,1,1,,WGS84,2020,Daniel Solano
17954,PRESERVED_SPECIMEN,Faramea capulifolia,4193068,GBIF,,Manuel Vargas,,10.068694,-84.00147199999999,P. N. Braulio Carrillo. Sendero El Relleno.,2004.0,1,1,1,,WGS84,2020,L. Acosta; Gustavo Lizano
