,BasisOfRec,Binomial,CatalogNo,Citation,CollectID,Compiler,Data_sens,Dec_Lat,Dec_Long,Dist_comm,Event_Year,Origin,Presence,Seasonal,Sens_comm,SpatialRef,YrCompiled,recordedBy
277,HUMAN_OBSERVATION,Faramea permagnifolia,49911858,GBIF,,Manuel Vargas,,8.681632,-83.574262,,2015.0,1,1,1,,WGS84,2020,Eduardo Chacón-Madrigal
7098,PRESERVED_SPECIMEN,Faramea permagnifolia,4462168,GBIF,,Manuel Vargas,,8.691667,-83.591111,"Distrito de Sierpe, entre Rancho Quemado y Drake. Trocha al sur, sobre fila, antitos de la torre.",2016.0,1,1,1,,WGS84,2020,Barry Hammel; Reinaldo Aguilar ; Isabel Pérez ; Daniel Santamaría
7104,PRESERVED_SPECIMEN,Faramea permagnifolia,4462167,GBIF,,Manuel Vargas,,8.691667,-83.591111,"Distrito de Sierpe, entre Rancho Quemado y Drake. Trocha al sur, sobre fila, antitos de la torre.",2016.0,1,1,1,,WGS84,2020,Barry Hammel; Reinaldo Aguilar ; Isabel Pérez ; Daniel Santamaría
7229,PRESERVED_SPECIMEN,Faramea permagnifolia,100903819,GBIF,Hammel 27075,Manuel Vargas,,8.691667,-83.591111,"Distrito de Sierpe, entre Rancho Quemado y Drake.  Trocha al sur, sobre fila, antitos de la torre.",2016.0,1,1,1,,WGS84,2020,Barry E. Hammel|Reinaldo Aguilar|Isabel Pérez|Daniel Santamaría
7801,PRESERVED_SPECIMEN,Faramea permagnifolia,895176,GBIF,Aguilar Fernández 1761,Manuel Vargas,,8.659722,-83.554167,"R.F. Golfo Dulce; Península de Osa. Rancho Quemado, Chiquerón, Finca de Abelino Obando.",1993.0,1,1,1,,WGS84,2020,Reinaldo Aguilar
7952,PRESERVED_SPECIMEN,Faramea permagnifolia,887735,GBIF,Morales Quirós 2096,Manuel Vargas,,8.72,-83.58,R.F. Golfo Dulce; Península de Osa. Rancho Quemado; Fila Rancho; bosque primario en el sendero a Cerro Brujo.,1993.0,1,1,1,,WGS84,2020,J. F. Morales|et al.
9183,PRESERVED_SPECIMEN,Faramea permagnifolia,520109,GBIF,Hammel 15212,Manuel Vargas,,8.65,-83.53,Osa Peninsula; in forest west of Rincon; ca. 9 km west of Rincon on road to Rancho Quemado.,1986.0,1,1,1,,WGS84,2020,Barry E. Hammel|Michael H. Grayum|Greg C. de Nevers
11223,PRESERVED_SPECIMEN,Faramea permagnifolia,2729199,GBIF,Hammel 17864,Manuel Vargas,,8.66,-83.56,"R.F. Golfo Dulce; Península de Osa. En el valle de Rancho Quemado, ca. 15 km al oeste de Rincón, en el sur del valle por la Quebrada Quebradón y Río Riyito.",1990.0,1,1,1,,WGS84,2020,Barry E. Hammel|Helen Kennedy|James C. Solomon
12694,PRESERVED_SPECIMEN,Faramea permagnifolia,2265343,GBIF,Thomsen 373,Manuel Vargas,,8.716660000000001,-83.51666,"Upper Agabuena, 5 km W of Rincón. hilly terrain on the slope of high ridge. Secondary forest in sloping terrain on rocky soil.",1993.0,1,1,1,,WGS84,2020,Karsten Thomsen
12700,PRESERVED_SPECIMEN,Faramea permagnifolia,2264410,GBIF,Burger 7242,Manuel Vargas,,8.7,-83.51666,"Moist forest in Valley-bottoms, forest with open under story on steep slopes and ridges, and ares of secondary vegetation north and west of the air field at about 5 km west of Rincón de",1970.0,1,1,1,,WGS84,2020,William C. Burger|Ronald L. Liesner
13185,PRESERVED_SPECIMEN,Faramea permagnifolia,2065164,GBIF,Kennedy 1955,Manuel Vargas,,8.69,-83.52,"Osa Peninsula, trail from Rincón de Osa to Rancho Quemada, mature forest",1972.0,1,1,1,,WGS84,2020,Helen Kennedy
15087,PRESERVED_SPECIMEN,Faramea permagnifolia,1259271,GBIF,Aguilar Fernández 3648,Manuel Vargas,,8.71,-83.56,R.F. Golfo Dulce. Península de Osa. Fila Llegando a Rancho Quemado.,1994.0,1,1,1,,WGS84,2020,Reinaldo Aguilar
15162,PRESERVED_SPECIMEN,Faramea permagnifolia,1232823,GBIF,Croat 79294A,Manuel Vargas,,8.700277999999999,-83.51333299999999,Vicinity of Boscosa at Quebrada Aguabuena.,1996.0,1,1,1,,WGS84,2020,Thomas B. Croat|Dylan P. Hannon
17131,PRESERVED_SPECIMEN,Faramea permagnifolia,4401456,GBIF,,Manuel Vargas,,8.680667,-83.57602800000001,"Área de Conservación Osa, Reserva Forestal Golfo Dulce, Rancho Quemado, Fila Rancho Quemado. Sendero a Cero Brujo.",2014.0,1,1,1,,WGS84,2020,Nelson A. Zamora Villalobos; William Montero ; Guillermo Villalobos ; Jose Antonio Azofeifa Zuñiga
17132,PRESERVED_SPECIMEN,Faramea permagnifolia,4401458,GBIF,,Manuel Vargas,,8.680667,-83.57602800000001,"Área de Conservación Osa, Reserva Forestal Golfo Dulce, Rancho Quemado, Fila Rancho Quemado. Sendero a Cero Brujo.",2014.0,1,1,1,,WGS84,2020,Nelson A. Zamora Villalobos; William Montero ; Guillermo Villalobos ; Jose Antonio Azofeifa Zuñiga
