,BasisOfRec,Binomial,CatalogNo,Citation,CollectID,Compiler,Data_sens,Dec_Lat,Dec_Long,Dist_comm,Event_Year,Origin,Presence,Seasonal,Sens_comm,SpatialRef,YrCompiled,recordedBy
319,HUMAN_OBSERVATION,Galipea dasysperma,,GBIF,,Manuel Vargas,,10.965833,-85.32133,,2019.0,1,1,1,,WGS84,2020,
321,HUMAN_OBSERVATION,Galipea dasysperma,,GBIF,,Manuel Vargas,,10.965833,-85.32133,,2019.0,1,1,1,,WGS84,2020,
326,HUMAN_OBSERVATION,Galipea dasysperma,,GBIF,,Manuel Vargas,,11.551389,-85.52972199999999,,2016.0,1,1,1,,WGS84,2020,
355,HUMAN_OBSERVATION,Galipea dasysperma,,GBIF,,Manuel Vargas,,10.943333,-85.314944,,2017.0,1,1,1,,WGS84,2020,
361,HUMAN_OBSERVATION,Galipea dasysperma,,GBIF,,Manuel Vargas,,10.905,-85.278889,,2019.0,1,1,1,,WGS84,2020,
2359,PRESERVED_SPECIMEN,Galipea dasysperma,,GBIF,,Manuel Vargas,,10.9,-85.3,"Costa Rica:Area de Conservacion Guanacaste, Rincon Rainforest, Estacion Caribe",2010.0,1,1,1,,WGS84,2020,Jorge Hernandez
2397,PRESERVED_SPECIMEN,Galipea dasysperma,,GBIF,,Manuel Vargas,,11.01,-85.47,"Costa Rica:Area de Conservacion Guanacaste, El Oro, Monte Cristo",2010.0,1,1,1,,WGS84,2020,Roberto Espinoza
2402,PRESERVED_SPECIMEN,Galipea dasysperma,,GBIF,,Manuel Vargas,,11.01,-85.47,"Costa Rica:Area de Conservacion Guanacaste, El Oro, Monte Cristo",2010.0,1,1,1,,WGS84,2020,Roberto Espinoza
2417,PRESERVED_SPECIMEN,Galipea dasysperma,,GBIF,,Manuel Vargas,,11.01,-85.47,"Costa Rica:Area de Conservacion Guanacaste, El Oro, Monte Cristo",2010.0,1,1,1,,WGS84,2020,Roberto Espinoza
2423,PRESERVED_SPECIMEN,Galipea dasysperma,,GBIF,,Manuel Vargas,,10.9,-85.28,"Costa Rica:Area de Conservacion Guanacaste, Rincon Rainforest, Quebrada Escondida",2010.0,1,1,1,,WGS84,2020,Jorge Hernandez
2433,PRESERVED_SPECIMEN,Galipea dasysperma,,GBIF,,Manuel Vargas,,10.9,-85.3,"Costa Rica:Area de Conservacion Guanacaste, Rincon Rainforest, Estacion Caribe",2010.0,1,1,1,,WGS84,2020,Jorge Hernandez
2441,PRESERVED_SPECIMEN,Galipea dasysperma,,GBIF,,Manuel Vargas,,10.9,-85.3,"Costa Rica:Area de Conservacion Guanacaste, Rincon Rainforest, Estacion Caribe",2010.0,1,1,1,,WGS84,2020,Jorge Hernandez
2477,PRESERVED_SPECIMEN,Galipea dasysperma,,GBIF,,Manuel Vargas,,10.9,-85.28,"Costa Rica:Area de Conservacion Guanacaste, Rincon Rainforest, Quebrada Escondida",2010.0,1,1,1,,WGS84,2020,Jorge Hernandez
2534,PRESERVED_SPECIMEN,Galipea dasysperma,,GBIF,,Manuel Vargas,,10.9,-85.3,"Costa Rica:Area de Conservacion Guanacaste, Rincon Rainforest, Estacion Caribe",2010.0,1,1,1,,WGS84,2020,Jorge Hernandez
2963,MATERIAL_SAMPLE,Galipea dasysperma,BioBot06259,GBIF,,Manuel Vargas,,10.902000000000001,-85.303,"Area de Conservacion Guanacaste, Rincon Rainforest, Estacion Caribe",2010.0,1,1,1,,WGS84,2020,Jorge Hernandez
