,BasisOfRec,Binomial,CatalogNo,Citation,CollectID,Compiler,Data_sens,Dec_Lat,Dec_Long,Dist_comm,Event_Year,Origin,Presence,Seasonal,Sens_comm,SpatialRef,YrCompiled,recordedBy
22,HUMAN_OBSERVATION,Heisteria concinna,61573530,GBIF,,Manuel Vargas,,9.200735,-79.781177,,2020.0,1,1,1,,WGS84,2020,Hubert Szczygieł
124,PRESERVED_SPECIMEN,Heisteria concinna,CM371498,GBIF,1700,Manuel Vargas,,6.3,-77.35,"Quebrada Mutata (first tributary of Rio Mecana, on North).",1984.0,1,1,1,,WGS84,2020,"Juncosa, A."
153,HUMAN_OBSERVATION,Heisteria concinna,55964059,GBIF,,Manuel Vargas,,10.059167,-84.761111,,2020.0,1,1,1,,WGS84,2020,Leonardo Álvarez
177,HUMAN_OBSERVATION,Heisteria concinna,21368549,GBIF,,Manuel Vargas,,10.532222,-83.518608,,2019.0,1,1,1,,WGS84,2020,jeronimovanlamoen
338,HUMAN_OBSERVATION,Heisteria concinna,,GBIF,,Manuel Vargas,,10.956806,-85.48844,,2019.0,1,1,1,,WGS84,2020,
356,HUMAN_OBSERVATION,Heisteria concinna,,GBIF,,Manuel Vargas,,10.956806,-85.48844,,2019.0,1,1,1,,WGS84,2020,
382,HUMAN_OBSERVATION,Heisteria concinna,47046179,GBIF,,Manuel Vargas,,8.404306,-83.298624,,2020.0,1,1,1,,WGS84,2020,Leonardo Álvarez
2686,PRESERVED_SPECIMEN,Heisteria concinna,101071044,GBIF,Berger 1760,Manuel Vargas,,8.648889,-83.163611,"Hills behind Golfito, Refugio Nacional de Fauna Silvestre Golfito, trail from beneath ""Las Torres"" radio towers i.e. ""mirador"" to Golfito.",2015.0,1,1,1,,WGS84,2020,A. Berger
3499,HUMAN_OBSERVATION,Heisteria concinna,,GBIF,,Manuel Vargas,,0.482955,-79.200541,Toma de agua Canandé,2012.0,1,1,1,,WGS84,2020,Carlos Morales|Carolina Tapia|Byron Medina|Lorena Benitez|Janeth Santiana|Fabio Ortega|Lenin Beltran|Brigida Rodriguez
3520,HUMAN_OBSERVATION,Heisteria concinna,,GBIF,,Manuel Vargas,,0.477858,-79.20355500000001,Canandé,2012.0,1,1,1,,WGS84,2020,Carlos Morales|Carolina Tapia|Byron Medina|Lorena Benitez|Janeth Santiana|Fabio Ortega|Lenin Beltran|Brigida Rodriguez
3527,HUMAN_OBSERVATION,Heisteria concinna,,GBIF,,Manuel Vargas,,0.6602779999999999,-78.95756,"Sendero de Los chanules, entre rio Bravo y Bravito",2012.0,1,1,1,,WGS84,2020,Carlos Morales|Juan Guevara|Byron Medina|Janeth Santiana|Gicela Arias|Carolina Tapia|Fabio Ortega
