,BasisOfRec,Binomial,CatalogNo,Citation,CollectID,Compiler,Data_sens,Dec_Lat,Dec_Long,Dist_comm,Event_Year,Origin,Presence,Seasonal,Sens_comm,SpatialRef,YrCompiled,recordedBy
136,HUMAN_OBSERVATION,Hillia palmana,36196088,GBIF,,Manuel Vargas,,10.315841,-84.803336,,2005.0,1,1,1,,WGS84,2020,Ruth Ripley
148,HUMAN_OBSERVATION,Hillia palmana,36196259,GBIF,,Manuel Vargas,,10.333422,-84.809097,,2005.0,1,1,1,,WGS84,2020,Ruth Ripley
1999,PRESERVED_SPECIMEN,Hillia palmana,U.1561343,GBIF,"Stevens, WD; Krukoff, BA  11558 ",Manuel Vargas,,13.25,-85.7,"Flora de Nicaragua, Departamento de Jinotega: Macizos de Peñas Blancas, top and N slope of steep ridge SW of finca of Manuel Estrada (El Cielo), S of Río Gusaneras.",1979.0,1,1,1,,WGS84,2020,Stevens WD; Krukoff BA
2453,PRESERVED_SPECIMEN,Hillia palmana,,GBIF,,Manuel Vargas,,10.93,-85.47,"Costa Rica:Area de Conservacion Guanacaste, Sector Cacao, Sendero Arenales, 200 metros al este del sendero en margen de Quebrada",2010.0,1,1,1,,WGS84,2020,Adrian Guadamuz
2505,PRESERVED_SPECIMEN,Hillia palmana,,GBIF,,Manuel Vargas,,10.93,-85.47,"Costa Rica:Area de Conservacion Guanacaste, Sector Cacao, Sendero Arenales, 200 metros al este del sendero en margen de Quebrada",2010.0,1,1,1,,WGS84,2020,Adrian Guadamuz
2520,PRESERVED_SPECIMEN,Hillia palmana,,GBIF,,Manuel Vargas,,10.93,-85.47,"Costa Rica:Area de Conservacion Guanacaste, Sector Cacao, Sendero Arenales, 200 metros al este del sendero en margen de Quebrada",2010.0,1,1,1,,WGS84,2020,Adrian Guadamuz
3029,MATERIAL_SAMPLE,Hillia palmana,BioBot11055,GBIF,,Manuel Vargas,,10.927,-85.46799999999999,"Area de Conservacion Guanacaste, Sector Cacao, Sendero Arenales, 200 metros al este del sendero e",2010.0,1,1,1,,WGS84,2020,Adrian Guadamuz
3055,MATERIAL_SAMPLE,Hillia palmana,BioBot11053,GBIF,,Manuel Vargas,,10.927,-85.46799999999999,"Area de Conservacion Guanacaste, Sector Cacao, Sendero Arenales, 200 metros al este del sendero e",2010.0,1,1,1,,WGS84,2020,Adrian Guadamuz
7355,PRESERVED_SPECIMEN,Hillia palmana,982500,GBIF,Morales Quirós 4311,Manuel Vargas,,9.7,-84.18,"Fila Bustamante. Tiquires, bosque primaRío y potreros en el sitio Aguas Buenas, por La Laguna, falda NW de la cima de la fila Aguabuena",1995.0,1,1,1,,WGS84,2020,J. F. Morales
7360,PRESERVED_SPECIMEN,Hillia palmana,982357,GBIF,Haber 11527,Manuel Vargas,,10.3,-84.78,"Cordillera de Tilarán. La Chiripa, 16 km NW of Monteverde on road from Sta. Elena to Tilarán.",1993.0,1,1,1,,WGS84,2020,William A. Haber|Erick Bello C.
7583,PRESERVED_SPECIMEN,Hillia palmana,904227,GBIF,Rodríguez Ramírez 257,Manuel Vargas,,10.61,-84.99,Z.P. Tenorio; Cordillera de Tilarán. Tierras Morenas; Río San Lorenzo.,1993.0,1,1,1,,WGS84,2020,Gladys Rodríguez
7623,PRESERVED_SPECIMEN,Hillia palmana,902711,GBIF,Herrera Chacón 3910,Manuel Vargas,,10.96,-85.43,"Parque nacional Guanacaste La Cruz, Santa Cecilia, Estación Pitilla cuenca superior de Río Orosí.",1990.0,1,1,1,,WGS84,2020,Gerardo Herrera Ch.|Jorge F. Corrales
