,BasisOfRec,Binomial,CatalogNo,Citation,CollectID,Compiler,Data_sens,Dec_Lat,Dec_Long,Dist_comm,Event_Year,Origin,Presence,Seasonal,Sens_comm,SpatialRef,YrCompiled,recordedBy
219,PRESERVED_SPECIMEN,Lippia bicolor,00100398,GBIF,,Manuel Vargas,,17.616670000000003,-99.68333,"Along the rd to Filo de Caballo, 27 mi from Mex Hwy 95 ca Chilpancingo",1983.0,1,1,1,,WGS84,2020,James S. Miller|David A. Neill|Fred Neill
4589,PRESERVED_SPECIMEN,Lippia bicolor,00100399,GBIF,,Manuel Vargas,,17.650264898487478,-99.698138861214,"Along rd between Chilpancingo de los Bravos and Filo del Caballo via Chichihualco, 26.3 mi W of turn-off from Hwy 95, 8.1 mi W of turn-off to Chichihualco",1979.0,1,1,1,,WGS84,2020,T. B. Croat
4590,PRESERVED_SPECIMEN,Lippia bicolor,00100400,GBIF,,Manuel Vargas,,17.916667,-101.0,Zapo Dto Mina,1936.0,1,1,1,,WGS84,2020,G. H.
4591,PRESERVED_SPECIMEN,Lippia bicolor,00100398,GBIF,,Manuel Vargas,,17.616667,-99.68333299999999,"Along the rd to Filo de Caballo, 27 mi from Mex Hwy 95 ca Chilpancingo",1983.0,1,1,1,,WGS84,2020,J. S. Miller; D. Neill; F. Neil
5333,PRESERVED_SPECIMEN,Lippia bicolor,120598,GBIF,,Manuel Vargas,,19.025,-99.58555600000001,10 KM AL S DE VILLA GUERRERO SOBRE LA CARR. IXTAPAN DE LA SAL,1970.0,1,1,1,,WGS84,2020,J.M. Díaz M.
5334,PRESERVED_SPECIMEN,Lippia bicolor,120597,GBIF,,Manuel Vargas,,18.863138,-99.66199399999999,68.5 KM DE LA CARR. TOLUCA-IXTAPAN,1970.0,1,1,1,,WGS84,2020,E. SEGURA R.
5335,PRESERVED_SPECIMEN,Lippia bicolor,120599,GBIF,,Manuel Vargas,,19.673333,-103.255,15 KM AL E DE TAMAZULA BRRECHA A SAN JUAN DE LA MONTAÑA,1989.0,1,1,1,,WGS84,2020,J. Villa C.; et al.
5336,PRESERVED_SPECIMEN,Lippia bicolor,130903,GBIF,,Manuel Vargas,,18.735,-102.788333,"22 KM AL NW DE AGUILILLA, MICH.",1985.0,1,1,1,,WGS84,2020,J.C. Soto; et al.
5337,PRESERVED_SPECIMEN,Lippia bicolor,130102,GBIF,,Manuel Vargas,,17.921667000000003,-101.32,"14 KM AL NE DE VALLECITO DE ZARAGOZA, MPIO. AZUETA",1985.0,1,1,1,,WGS84,2020,J.C. Soto
5338,PRESERVED_SPECIMEN,Lippia bicolor,120596,GBIF,,Manuel Vargas,,20.195,-103.289167,"BARRANCA LA GLORIA, APROX. 3 KM AL W DE JIQUIALPAN",1987.0,1,1,1,,WGS84,2020,I. García
6719,PRESERVED_SPECIMEN,Lippia bicolor,138524,GBIF,,Manuel Vargas,,18.673111,-99.691722,Camino a Noxtepec.,2013.0,1,1,1,,WGS84,2020,RGJ; FMI; MAE; OGA
6720,PRESERVED_SPECIMEN,Lippia bicolor,138525,GBIF,,Manuel Vargas,,18.582167000000002,-99.57866700000001,A 1.5 km de la Caseta de cobro Taxco.,2013.0,1,1,1,,WGS84,2020,RGJ; MGM; FMI; GVD
13192,PRESERVED_SPECIMEN,Lippia bicolor,2060622,GBIF,Díaz Moreno 217-a,Manuel Vargas,,21.977222,-103.505,"10 Km al S de Villa Guerrero, sobre la carretera a Ixtapan de la Sal.",1970.0,1,1,1,,WGS84,2020,J.M. Díaz M.
13194,PRESERVED_SPECIMEN,Lippia bicolor,2060355,GBIF,Hinton 11100,Manuel Vargas,,17.55,-100.15,Las Juntas. District Mina,1937.0,1,1,1,,WGS84,2020,George B. Hinton|James C. Hinton
13195,PRESERVED_SPECIMEN,Lippia bicolor,2060312,GBIF,Woodruff 258,Manuel Vargas,,18.0,-101.23333000000001,"Along Hwy 134 to Mexico City, about 40-50 mi NE of Jct Hwy 200, in secondary oak forest.",1989.0,1,1,1,,WGS84,2020,Lindsay P. Woodruff|Carol A. Todzia|Alvaro Campos V.
13202,PRESERVED_SPECIMEN,Lippia bicolor,2059364,GBIF,Soto Núñez 2162,Manuel Vargas,,18.8025,-102.877778,"A 10 Km al E de Dos Aguas, Carr. Coalcomán-Aguilillas.",1980.0,1,1,1,,WGS84,2020,José C. Soto Núñez|Brian M. Boom
13203,PRESERVED_SPECIMEN,Lippia bicolor,2059527,GBIF,Miller 469,Manuel Vargas,,17.61666,-99.68333,"Along road to Filo de Caballo, 27 mi from Mex. Hwy 95 near Chilapancingo. Oak-Pine forest.",1983.0,1,1,1,,WGS84,2020,James S. Miller|David A. Neill|Frederick Neill
13205,PRESERVED_SPECIMEN,Lippia bicolor,2059569,GBIF,Hinton 14868,Manuel Vargas,,17.733333,-100.266667,Petlacala-Las Rosas. District Mina,1939.0,1,1,1,,WGS84,2020,George B. Hinton|James C. Hinton
