,BasisOfRec,Binomial,CatalogNo,Citation,CollectID,Compiler,Data_sens,Dec_Lat,Dec_Long,Dist_comm,Event_Year,Origin,Presence,Seasonal,Sens_comm,SpatialRef,YrCompiled,recordedBy
13032,PRESERVED_SPECIMEN,Meliosma isthmensis,2108256,GBIF,Mori 6411,Manuel Vargas,,9.366667,-79.616667,"On Santa Rita Ridge trail. Beyond end of Santa Rita Ridge Road (Panamanian Hwy R2OD), 17-35 km from Boyd-Roosevelt Hwy.",1975.0,1,1,1,,WGS84,2020,Scott A. Mori
13033,PRESERVED_SPECIMEN,Meliosma isthmensis,2108220,GBIF,Gómez Pignataro 20469,Manuel Vargas,,9.59,-82.87,7 km SW of Bribrí.,1983.0,1,1,1,,WGS84,2020,Luis Diego Gómez P.|Ronald L. Liesner|Emmet J. Judziewicz
14007,PRESERVED_SPECIMEN,Meliosma isthmensis,174099,GBIF,Herrera 1260,Manuel Vargas,,9.366667,-78.583333,Caminando de regreso entre Yannuadi y la costa; tierra firme de Nargana,1992.0,1,1,1,,WGS84,2020,Heraclio Herrera|Benjamin Obaldía|Demitrio Escobar
14032,PRESERVED_SPECIMEN,Meliosma isthmensis,173950,GBIF,McPherson 9207,Manuel Vargas,,9.4,-79.65,"Santa Rita Ridge, southeast of Colon.  Along ridge road, 10-12 miles from Transisthmian Highway. [Coordinates on original label: c. 9º20'N, 79º45'W].",1986.0,1,1,1,,WGS84,2020,Gordon McPherson
14034,PRESERVED_SPECIMEN,Meliosma isthmensis,173908,GBIF,Chacón Gamboa 135,Manuel Vargas,,9.39,-82.96,"Reserva Indígena Talamanca Quebrada Heliotropo, entre Sukut y Purisqui.",1989.0,1,1,1,,WGS84,2020,Abelardo Chacón
14309,PRESERVED_SPECIMEN,Meliosma isthmensis,1538331,GBIF,Duke 15213,Manuel Vargas,,9.225,-79.401111,Cerro Jefe; near Río Indio.,1968.0,1,1,1,,WGS84,2020,James A. Duke
14710,PRESERVED_SPECIMEN,Meliosma isthmensis,1415031,GBIF,Poveda Álvarez 183,Manuel Vargas,,9.93,-83.59,Chitaría,1972.0,1,1,1,,WGS84,2020,Luis J. Poveda Álvarez
14712,PRESERVED_SPECIMEN,Meliosma isthmensis,1414996,GBIF,Hammel 3450,Manuel Vargas,,8.716667,-80.65,Atlantic slope along Río San Juan above its fork with Río Tife,1978.0,1,1,1,,WGS84,2020,Barry E. Hammel
15110,PRESERVED_SPECIMEN,Meliosma isthmensis,1257774,GBIF,Aguilar Fernández 4177,Manuel Vargas,,10.43,-83.78,Finca La Suerte.,1995.0,1,1,1,,WGS84,2020,Reinaldo Aguilar|C. Woodward|Kelly Keefe
15602,PRESERVED_SPECIMEN,Meliosma isthmensis,100878550,GBIF,Vergara-Pérez 584,Manuel Vargas,,8.836389,-80.641667,"Area de concesión del Proyecto Minera Cobre Panamá S.A., antiguo campamento de Botija.",2014.0,1,1,1,,WGS84,2020,Irving Vergara-Pérez
22298,PRESERVED_SPECIMEN,Meliosma isthmensis,2815879,GBIF,,Manuel Vargas,,8.534815,-83.42666700000001,"A.C.O. Golfito, Reserva Ftal Golfo Dulce, Est Agujas",1997.0,1,1,1,,WGS84,2020,Alejandro Azofeifa Zúñiga
23024,PRESERVED_SPECIMEN,Meliosma isthmensis,1589143,GBIF,,Manuel Vargas,,10.441667,-83.788889,Finca La Suerte.,1995.0,1,1,1,,WGS84,2020,Reinaldo Aguilar
23606,PRESERVED_SPECIMEN,Meliosma isthmensis,1558101,GBIF,,Manuel Vargas,,9.391667,-82.963889,Sukut. Siguiendo el Sendero entre Sukut y Purisqui. Cabeceras de las Quebradas Heliotropo y Botcho.,1989.0,1,1,1,,WGS84,2020,Abelardo Chacon
