,BasisOfRec,Binomial,CatalogNo,Citation,CollectID,Compiler,Data_sens,Dec_Lat,Dec_Long,Dist_comm,Event_Year,Origin,Presence,Seasonal,Sens_comm,SpatialRef,YrCompiled,recordedBy
3646,PRESERVED_SPECIMEN,Monnina crepinii,MA-01-00759628,GBIF,99,Manuel Vargas,,9.6103,-83.8078,San José: Dota. R.F. Los Santos. Cuenca del Savegre. Ojo de Agua,1999.0,1,1,1,,WGS84,2020,M. Alfaro
28150,PRESERVED_SPECIMEN,Monnina crepinii,239391,GBIF,,Manuel Vargas,,10.01,-83.75,P. N. Volcán Turrialba Alrededores del crater.,2004.0,1,1,1,,WGS84,2020,"Chacón, Rafael"
28151,PRESERVED_SPECIMEN,Monnina crepinii,238507,GBIF,,Manuel Vargas,,9.45,-83.5,"P.N. Chirripó Sendero de las Maquinas, Monte Sin Fé, Disturbed, open burned area of Quercus, now mostly Ericaceae.",1999.0,1,1,1,,WGS84,2020,"Luteyn, James L."
28152,PRESERVED_SPECIMEN,Monnina crepinii,236586,GBIF,,Manuel Vargas,,9.45,-83.5,P. N. Chirripó  Sendero de las Machinas,1999.0,1,1,1,,WGS84,2020,"Luteyn, James L."
28155,PRESERVED_SPECIMEN,Monnina crepinii,218073,GBIF,,Manuel Vargas,,9.52,-83.59,P.N. Chirripó De Monte sin Fé a base crestones,1996.0,1,1,1,,WGS84,2020,"Alfaro, Evelio"
28161,PRESERVED_SPECIMEN,Monnina crepinii,197227,GBIF,,Manuel Vargas,,9.56,-83.8,"R.F. Los Santos San Gerardo, R.F Los Santos.",,1,1,1,,WGS84,2020,"van Omme, Liz"
28173,PRESERVED_SPECIMEN,Monnina crepinii,171573,GBIF,,Manuel Vargas,,9.62,-83.85,R.F. Los Santos,1994.0,1,1,1,,WGS84,2020,"Vargas, Gustavo"
28179,PRESERVED_SPECIMEN,Monnina crepinii,148940,GBIF,,Manuel Vargas,,9.57,-83.74,R.F. Los Santos Villa Mills - Cerro de la Muerte. Near access road.,1990.0,1,1,1,,WGS84,2020,"Mc Clintock, Tom"
28182,PRESERVED_SPECIMEN,Monnina crepinii,146103,GBIF,,Manuel Vargas,,9.55,-83.72,"R.F. Los Santos 96 km south of San Jose, on the Pan American Highway. Near the highest saddle of Cerro la Muerte.",1988.0,1,1,1,,WGS84,2020,"Wallace, B. J."
28186,PRESERVED_SPECIMEN,Monnina crepinii,118969,GBIF,,Manuel Vargas,,9.57,-83.75,"Cerro de la Muerte, Cordillera de Talamanca",,1,1,1,,WGS84,2020,"Skutch, Alexánder F."
28187,PRESERVED_SPECIMEN,Monnina crepinii,109629,GBIF,,Manuel Vargas,,9.59,-83.75,"R.F. Los Santos Cerro de la Muerte, between Cerros Estaquero and Sákira, about km 84.",1985.0,1,1,1,,WGS84,2020,"Horn, Sally P."
28188,PRESERVED_SPECIMEN,Monnina crepinii,108621,GBIF,,Manuel Vargas,,9.2,-82.98,Unnamend cordillera between the Río Terbí and the Río Siní,1984.0,1,1,1,,WGS84,2020,"Davidse, Gerrit"
28189,PRESERVED_SPECIMEN,Monnina crepinii,105350,GBIF,,Manuel Vargas,,9.08,-82.84,"Bocas del Toro. Cordillera de Talamanca. headwaters of the Río Culubre, 6 airline km NW of the peak of the Cerro Echandí on the Costa Rican Panamenian International  Border",,1,1,1,,WGS84,2020,"Davidse, Gerrit"
28190,PRESERVED_SPECIMEN,Monnina crepinii,101388,GBIF,,Manuel Vargas,,9.56,-83.66,"San José-Cartago. Cordillera de Talamanca, upper slopes, western ridges of Cerros Cuericí. Trail along ridge through oak forest with bamboo (Chusquea) understory",1983.0,1,1,1,,WGS84,2020,"Davidse, Gerrit"
28191,PRESERVED_SPECIMEN,Monnina crepinii,88003,GBIF,,Manuel Vargas,,9.56,-83.75,"R.F. Los Santos Cerro de la Muerte, route 2.",1981.0,1,1,1,,WGS84,2020,"Zika, Peter F."
28192,PRESERVED_SPECIMEN,Monnina crepinii,73629,GBIF,,Manuel Vargas,,9.61,-83.81,"Ojo de Agua, Carretera Panamericana",,1,1,1,,WGS84,2020,"Todzia, Carol A."
28193,PRESERVED_SPECIMEN,Monnina crepinii,59651,GBIF,,Manuel Vargas,,9.68,-83.91,Del Empalme a unos 9 km más al Sur,1976.0,1,1,1,,WGS84,2020,"Poveda, Luis Jorge"
28194,PRESERVED_SPECIMEN,Monnina crepinii,51970,GBIF,,Manuel Vargas,,9.66,-83.85,Cartago and San José. Along the Interamerican Hwy. ca. 15-20 km. SE by road from El Empalme. Roadsides and forest being cleraed for pasture.,1970.0,1,1,1,,WGS84,2020,"Lellinger, David B."
28195,PRESERVED_SPECIMEN,Monnina crepinii,44662,GBIF,,Manuel Vargas,,9.55,-83.73,R.F. Los Santos About 5 km east of the highest point on the Interamericana Hwy. ( west of Villa MIlls).,1967.0,1,1,1,,WGS84,2020,"Burger, William"
28196,PRESERVED_SPECIMEN,Monnina crepinii,44605,GBIF,,Manuel Vargas,,9.56,-83.7,"R.F. Los Santos Cerro de la Muerte, entre Villa Mills y División Carrtera Panamericana Sur.",1965.0,1,1,1,,WGS84,2020,"Jiménez, Alfonso"
28197,PRESERVED_SPECIMEN,Monnina crepinii,44604,GBIF,,Manuel Vargas,,9.66,-83.88,"En robledal de la Trinidad, al SE del Empalme",1964.0,1,1,1,,WGS84,2020,"Jiménez, Alfonso"
