,BasisOfRec,Binomial,CatalogNo,Citation,CollectID,Compiler,Data_sens,Dec_Lat,Dec_Long,Dist_comm,Event_Year,Origin,Presence,Seasonal,Sens_comm,SpatialRef,YrCompiled,recordedBy
261,PRESERVED_SPECIMEN,Monteverdia purpusii,00188533,GBIF,,Manuel Vargas,,17.79,-94.1,Playa Escondiada-Jicacal,1971.0,1,1,1,,WGS84,2020,Juan Calzada
709,PRESERVED_SPECIMEN,Monteverdia purpusii,V007016,GBIF,,Manuel Vargas,,19.25,-96.68333299999999,Rancho El Camarón,1922.0,1,1,1,,WGS84,2020,C.A. Purpus
719,PRESERVED_SPECIMEN,Monteverdia purpusii,XAL0140460,GBIF,,Manuel Vargas,,18.5786,-95.0904,"Lote 69 de la Estación Biológica de Los Tuxtlas, UNAM, alrededores de Laguna Azul",2005.0,1,1,1,,WGS84,2020,E. Velasco-Sinaca
763,PRESERVED_SPECIMEN,Monteverdia purpusii,XAL0106504,GBIF,,Manuel Vargas,,18.207994,-93.022522,6 km de la carretera a Tecoluta,1978.0,1,1,1,,WGS84,2020,J.I. Calzada
1000,PRESERVED_SPECIMEN,Monteverdia purpusii,XAL0133189,GBIF,,Manuel Vargas,,18.493333,-95.104444,Camino a la colonia Cuauhtémoc,2012.0,1,1,1,,WGS84,2020,A. Campos V.; R. Coates; I. Ramírez L.; A. Aguirre J.
1011,PRESERVED_SPECIMEN,Monteverdia purpusii,XAL0132952,GBIF,,Manuel Vargas,,18.620832999999998,-95.075,"Balzapote, Finca La Iguana",2013.0,1,1,1,,WGS84,2020,R. Coates
1013,PRESERVED_SPECIMEN,Monteverdia purpusii,XAL0140461,GBIF,,Manuel Vargas,,18.5786,-95.0904,"Lote 69 de la Estación Biológica de Los Tuxtlas, UNAM, alrededores de Laguna Azul",2005.0,1,1,1,,WGS84,2020,E. Velasco-Sinaca
1062,PRESERVED_SPECIMEN,Monteverdia purpusii,XAL0005318,GBIF,,Manuel Vargas,,18.207994,-93.022522,6 km de la carretera a Tecoluta,1978.0,1,1,1,,WGS84,2020,J.I. Calzada
2059,PRESERVED_SPECIMEN,Monteverdia purpusii,U.1194978,GBIF,"Jones, GC; Proctor, GR; Facey, L  3189 ",Manuel Vargas,,15.416667000000002,-89.208333,"East shores of Río Dulce near San Felipe, Vicinity of Lago Izabal.",1966.0,1,1,1,,WGS84,2020,Jones GC; Proctor GR; Facey L
4615,PRESERVED_SPECIMEN,Monteverdia purpusii,00188533,GBIF,,Manuel Vargas,,17.79,-94.1,Playa Escondiada-Jicacal,1971.0,1,1,1,,WGS84,2020,J. I. Calzada
