,BasisOfRec,Binomial,CatalogNo,Citation,CollectID,Compiler,Data_sens,Dec_Lat,Dec_Long,Dist_comm,Event_Year,Origin,Presence,Seasonal,Sens_comm,SpatialRef,YrCompiled,recordedBy
280,HUMAN_OBSERVATION,Monteverdia recondita,50788468,GBIF,,Manuel Vargas,,8.681632,-83.574304,,2015.0,1,1,1,,WGS84,2020,Eduardo Chacón-Madrigal
315,HUMAN_OBSERVATION,Monteverdia recondita,,GBIF,,Manuel Vargas,,10.924444,-85.4675,,2019.0,1,1,1,,WGS84,2020,
3980,PRESERVED_SPECIMEN,Monteverdia recondita,01096050,GBIF,11745,Manuel Vargas,,8.6528,-83.5717,"Distrito: Sierpe; Reserva Forestal Golfo Dulce; Rancho Quemado, camino a Chiqueron luego desviandose por un camino que lleva a y luego un lindero hasta llegar a la parte mas elevada",2009.0,1,1,1,,WGS84,2020,R. Aguilar
7358,PRESERVED_SPECIMEN,Monteverdia recondita,982391,GBIF,Haber 11544,Manuel Vargas,,10.4,-84.65,"Bosque Eterno De Los Niños, Cordillera de Tilarán, 5 km W of Chachagua, Quebrada Chachaguita drainage, Premontane rain forest, Zona Monteverde",1993.0,1,1,1,,WGS84,2020,William A. Haber|Jason C. Bradford|G. Céspedes
7608,PRESERVED_SPECIMEN,Monteverdia recondita,903297,GBIF,Herrera Chacón 4397,Manuel Vargas,,8.71,-83.53,"R.F. Golfo Dulce; Península de Osa. Rincón. Fila Casa Loma, por el antiguo camino a Rancho Quemado.",1990.0,1,1,1,,WGS84,2020,Gerardo Herrera Ch.
7717,PRESERVED_SPECIMEN,Monteverdia recondita,898494,GBIF,Fuentes Alvarado 583,Manuel Vargas,,10.275833,-84.795833,"Cordillera de Tilarán. San Luis, Cerro Amapola, Monteverde",1993.0,1,1,1,,WGS84,2020,Zobeida Fuentes|E. Fuentes
7728,PRESERVED_SPECIMEN,Monteverdia recondita,898046,GBIF,Bello Carranza 4164,Manuel Vargas,,10.35,-84.83,R.B. Monteverde; Cordillera de Tilarán. Hacienda Ira Rosa.,1991.0,1,1,1,,WGS84,2020,Erick Bello C.
7779,PRESERVED_SPECIMEN,Monteverdia recondita,895794,GBIF,Bello Carranza 2403,Manuel Vargas,,10.41,-84.71,"Parque Nacional Arenal, Río Aguas Gatas, Alto del Castillo.",1990.0,1,1,1,,WGS84,2020,Erick Bello C.
7805,PRESERVED_SPECIMEN,Monteverdia recondita,895092,GBIF,Bello Carranza 2156,Manuel Vargas,,10.38,-84.7,"Reserva Forestale Monteverde, Bosque Eterno De Los Niños, Cordillera de Tilarán, Río Peñas Blancas, Quebrada Gata, riachuelo de Fernando Villalobos.",1990.0,1,1,1,,WGS84,2020,Erick Bello C.|William A. Haber|Willow Zuchowski
7969,PRESERVED_SPECIMEN,Monteverdia recondita,887388,GBIF,Jiménez Madrigal 1327,Manuel Vargas,,10.258333,-84.258333,"Bajos del Toro, 3 km NW del Pueblo, en potrero cercano al bosque, Parque Nacional Juan Castro Blanco",1993.0,1,1,1,,WGS84,2020,Quírico Jiménez
13093,PRESERVED_SPECIMEN,Monteverdia recondita,2093055,GBIF,Stone 3261,Manuel Vargas,,10.16,-84.074167,"Northeast slopes of Volcán Barba, trees in open pasture and fringes of forest on upper slopes",1972.0,1,1,1,,WGS84,2020,Donald E. Stone
13095,PRESERVED_SPECIMEN,Monteverdia recondita,2092641,GBIF,Hartshorn 1895,Manuel Vargas,,10.3,-84.8,"In Mata's pasture, Monteverde",1977.0,1,1,1,,WGS84,2020,Gary S. Hartshorn
13098,PRESERVED_SPECIMEN,Monteverdia recondita,2092019,GBIF,Hartshorn 1470,Manuel Vargas,,10.3,-84.79,"In Mata's pasture, Monteverde",1974.0,1,1,1,,WGS84,2020,Gary S. Hartshorn
13099,PRESERVED_SPECIMEN,Monteverdia recondita,2092020,GBIF,Poveda Álvarez 1110,Manuel Vargas,,10.3,-84.8,Monteverde,1975.0,1,1,1,,WGS84,2020,Luis J. Poveda Álvarez
14180,PRESERVED_SPECIMEN,Monteverdia recondita,162919,GBIF,Bello Carranza 922,Manuel Vargas,,10.26,-84.7,Reserva Biológica Monteverde Cabeceras del Río Aranjuez.,1989.0,1,1,1,,WGS84,2020,Erick Bello C.
14183,PRESERVED_SPECIMEN,Monteverdia recondita,162910,GBIF,Bello Carranza 1376,Manuel Vargas,,10.35,-84.8,"Reserva Biológica Monteverde San Gerardo, altos del Río Caño Negro. Finca de Lolo Chuta.",1989.0,1,1,1,,WGS84,2020,Erick Bello C.
14186,PRESERVED_SPECIMEN,Monteverdia recondita,162776,GBIF,Haber 8737,Manuel Vargas,,10.366667,-84.81666700000001,"Monteverde 5 km N Santa Elena on road to Las Nubes, Finca San Bosco road, Río Negro. Atlantic slope.",1988.0,1,1,1,,WGS84,2020,William A. Haber|Willow Zuchowski
14187,PRESERVED_SPECIMEN,Monteverdia recondita,162766,GBIF,Gentry 48761,Manuel Vargas,,10.783333,-84.833333,Monteverde.,1984.0,1,1,1,,WGS84,2020,Alwyn H. Gentry|William A. Haber
14189,PRESERVED_SPECIMEN,Monteverdia recondita,162713,GBIF,Haber 692,Manuel Vargas,,10.309444000000001,-84.804167,"Monteverde, upper community",1984.0,1,1,1,,WGS84,2020,William A. Haber
14191,PRESERVED_SPECIMEN,Monteverdia recondita,162639,GBIF,Haber 5813,Manuel Vargas,,10.333333,-84.75,"Monteverde Cloud Forest Reserve, Peñas Blancas river valley on Atlantic slope.",1986.0,1,1,1,,WGS84,2020,William A. Haber|Erick Bello C.
14194,PRESERVED_SPECIMEN,Monteverdia recondita,162584,GBIF,Haber 3863,Manuel Vargas,,10.333333,-84.833333,"Three km N Santa Elena, Atlantic exposure near continental divide on Bello farm, lower montane wet forest",1985.0,1,1,1,,WGS84,2020,William A. Haber|Erick Bello C.
14195,PRESERVED_SPECIMEN,Monteverdia recondita,162579,GBIF,Haber 3673,Manuel Vargas,,10.333333,-84.833333,"Monteverde Cloud Forest Reserve, lower montane wet forest on Pacific slope.",1985.0,1,1,1,,WGS84,2020,William A. Haber|Erick Bello C.
14196,PRESERVED_SPECIMEN,Monteverdia recondita,162566,GBIF,Haber 3117,Manuel Vargas,,10.333333,-84.833333,"Monteverde, upper San Luis valley on Pacific slope, moist forest.",1985.0,1,1,1,,WGS84,2020,William A. Haber|Erick Bello C.
14197,PRESERVED_SPECIMEN,Monteverdia recondita,162559,GBIF,Haber 3100,Manuel Vargas,,10.333333,-84.833333,"Peñas Blancas River Valley, Atlantic slope, rain forest",1985.0,1,1,1,,WGS84,2020,William A. Haber|Erick Bello C.
14198,PRESERVED_SPECIMEN,Monteverdia recondita,162462,GBIF,Herrera Chacón 1474,Manuel Vargas,,10.79,-85.32,"Parque Rincón de La Vieja. Cabeceras de Quebrada Rancho Grande, bosque circundante a Meseta Aguacatales. [original label coordinates: 10º46'N, 85º49'W]",1987.0,1,1,1,,WGS84,2020,Gerardo Herrera Ch.
14199,PRESERVED_SPECIMEN,Monteverdia recondita,162412,GBIF,Herrera Chacón 2278,Manuel Vargas,,10.0,-83.43,"Cordillera de Talamanca. Frente a confluencia entre Río Caño Seco y Río Dantas. Margen derecha, subiendo por la fila.",1988.0,1,1,1,,WGS84,2020,Gerardo Herrera Ch.
14200,PRESERVED_SPECIMEN,Monteverdia recondita,162406,GBIF,Herrera Chacón 2008,Manuel Vargas,,10.72,-85.005556,"Bijagua El Pilón, Cerro La Carmela, entre Río Celeste y cabeceras del Río Chimurria.",1988.0,1,1,1,,WGS84,2020,Gerardo Herrera Ch.
14203,PRESERVED_SPECIMEN,Monteverdia recondita,162241,GBIF,Haber 9286,Manuel Vargas,,10.3,-84.8,"Monteverde community, Pacific slope, moist forest along cliff edge, Stuckey farm.  Pacific slope, moist forest along cliff edge, Stuckey farm.     10.18N 84.48W      1350 m 11 July 1989 William Haber & Willow Zuchowski",1989.0,1,1,1,,WGS84,2020,William A. Haber|Willow Zuchowski
14204,PRESERVED_SPECIMEN,Monteverdia recondita,162235,GBIF,Haber 7125,Manuel Vargas,,10.35,-84.81666700000001,"Río Negro, Tilarán. Finca Hermanos Bello.",1987.0,1,1,1,,WGS84,2020,William A. Haber|Erick Bello C.
14205,PRESERVED_SPECIMEN,Monteverdia recondita,162228,GBIF,Haber 693,Manuel Vargas,,10.309444000000001,-84.804167,"Monteverde, upper community",1984.0,1,1,1,,WGS84,2020,William A. Haber
14207,PRESERVED_SPECIMEN,Monteverdia recondita,162220,GBIF,Haber 4266,Manuel Vargas,,10.333333,-84.833333,"Monteverde Cloud Forest Reserve, Pacific slope, lower montane wet forest.",1986.0,1,1,1,,WGS84,2020,William A. Haber|Erick Bello C.
14208,PRESERVED_SPECIMEN,Monteverdia recondita,162213,GBIF,Haber 3831,Manuel Vargas,,10.333333,-84.833333,"Three km N Santa Elena, Atlantic exposure near continental divide on Bello farm, lower montane wet forest",1985.0,1,1,1,,WGS84,2020,William A. Haber|Erick Bello C.
14209,PRESERVED_SPECIMEN,Monteverdia recondita,162207,GBIF,Haber 3824,Manuel Vargas,,10.333333,-84.833333,"Three km N Santa Elena, Atlantic exposure near continental divide on Bello farm, lower montane wet forest",1985.0,1,1,1,,WGS84,2020,William A. Haber|Erick Bello C.
14210,PRESERVED_SPECIMEN,Monteverdia recondita,162200,GBIF,Haber 3108,Manuel Vargas,,10.333333,-84.833333,"Monteverde community, Pacific slope, lower montane wet forest. 10º20'N, 84º50'W",1985.0,1,1,1,,WGS84,2020,William A. Haber|Erick Bello C.
14211,PRESERVED_SPECIMEN,Monteverdia recondita,162193,GBIF,Haber 2989,Manuel Vargas,,10.350278,-84.806944,"Río Negro de Tilarán, quebrada San Bosco.",1985.0,1,1,1,,WGS84,2020,William A. Haber|Erick Bello C.
14220,PRESERVED_SPECIMEN,Monteverdia recondita,161765,GBIF,Haber 7738,Manuel Vargas,,10.283333,-84.766667,"Ojo de Agua, Monteverde Finca Méndez, Río Aranjuez.",1987.0,1,1,1,,WGS84,2020,William A. Haber|Erick Bello C.
14717,PRESERVED_SPECIMEN,Monteverdia recondita,1411077,GBIF,Haber 446,Manuel Vargas,,10.3,-84.8,Monteverde. Pasture tree in community.,1981.0,1,1,1,,WGS84,2020,William A. Haber
14718,PRESERVED_SPECIMEN,Monteverdia recondita,1411072,GBIF,Skutch 3765,Manuel Vargas,,10.17,-84.15,"Vicinity of Vara Blanca, north slope of Central Cordillera, between Poás and Barba volcanoes",1938.0,1,1,1,,WGS84,2020,Alexander F. Skutch
