,BasisOfRec,Binomial,CatalogNo,Citation,CollectID,Compiler,Data_sens,Dec_Lat,Dec_Long,Dist_comm,Event_Year,Origin,Presence,Seasonal,Sens_comm,SpatialRef,YrCompiled,recordedBy
41,HUMAN_OBSERVATION,Neea pittieri,59545418,GBIF,,Manuel Vargas,,10.299167,-84.79,,2020.0,1,1,1,,WGS84,2020,Leonardo Álvarez
2164,HUMAN_OBSERVATION,Neea pittieri,,GBIF,,Manuel Vargas,,10.211015,-84.596265,,2013.0,1,1,1,,WGS84,2020,Sergei Põlme
2697,PRESERVED_SPECIMEN,Neea pittieri,101044575,GBIF,Croat 12424,Manuel Vargas,,9.158611,-79.86805600000001,Barro Colorado Island; James Zetek Trail,1970.0,1,1,1,,WGS84,2020,Thomas B. Croat
2698,PRESERVED_SPECIMEN,Neea pittieri,101045287,GBIF,Hammel 1846,Manuel Vargas,,8.75,-80.483333,Near sawmill 16.7 kM N of turnoff to Coclesito from Llano Grande.,1978.0,1,1,1,,WGS84,2020,Barry E. Hammel
2699,PRESERVED_SPECIMEN,Neea pittieri,101045308,GBIF,Croat 37304,Manuel Vargas,,8.520556,-81.81,"Cerro Colorado, along road to copper mine, 34.1 km beyond bridge over Río San Félix near town of San Felix, (13.1 km beyond turnoff to Escopeta)",1976.0,1,1,1,,WGS84,2020,Thomas B. Croat
2700,PRESERVED_SPECIMEN,Neea pittieri,101045309,GBIF,Croat 22795,Manuel Vargas,,8.688056,-79.919444,Cerro Campana; lower slopes above FSU cabin,1973.0,1,1,1,,WGS84,2020,Thomas B. Croat
2701,PRESERVED_SPECIMEN,Neea pittieri,101044800,GBIF,Croat 7315,Manuel Vargas,,9.155555999999999,-79.852778,Barro Colorado Island. William Morton Wheeler Trail,1969.0,1,1,1,,WGS84,2020,Thomas B. Croat
2702,PRESERVED_SPECIMEN,Neea pittieri,101045301,GBIF,Poveda Álvarez 1151,Manuel Vargas,,9.62,-82.83,Bribri,1975.0,1,1,1,,WGS84,2020,Luis J. Poveda Álvarez
2703,PRESERVED_SPECIMEN,Neea pittieri,101044526,GBIF,D'Arcy 3913,Manuel Vargas,,9.15,-79.85,Barro Colorado Island.,1970.0,1,1,1,,WGS84,2020,William G. D'Arcy
2704,PRESERVED_SPECIMEN,Neea pittieri,101044779,GBIF,D'Arcy 14673,Manuel Vargas,,8.65,-80.133333,La Mesa N of El Valle de Antón.,1981.0,1,1,1,,WGS84,2020,William G. D'Arcy|Kenneth J. Sytsma
2705,PRESERVED_SPECIMEN,Neea pittieri,101044836,GBIF,Sullivan 375,Manuel Vargas,,8.532222,-81.820833,"Cerro Colorado, on road, 35.6 km. from Río San Félix bridge",1976.0,1,1,1,,WGS84,2020,Gene A. Sullivan
2706,PRESERVED_SPECIMEN,Neea pittieri,101044664,GBIF,Hartman 12313,Manuel Vargas,,7.679167,-77.777778,"W side of SW ridge leading to Alturas de Nique, headwaters of Río Coasí",1980.0,1,1,1,,WGS84,2020,Ronald L. Hartman
2707,PRESERVED_SPECIMEN,Neea pittieri,101044522,GBIF,Burger 11154,Manuel Vargas,,10.3,-84.16,"Along the upper Río Sarapiquí, near Cariblanco and along the road to Colonia Virgen del Socorro.",1978.0,1,1,1,,WGS84,2020,William C. Burger|Thomas M. Antonio
2708,PRESERVED_SPECIMEN,Neea pittieri,101044538,GBIF,Croat 44628,Manuel Vargas,,8.6725,-80.595555,"On Atlantic slope near the Continental Divide along lumbering road N of El Cope, 9.4 km above El Cope (2.2 km N of lumber sawmill).",1978.0,1,1,1,,WGS84,2020,Thomas B. Croat
2709,PRESERVED_SPECIMEN,Neea pittieri,101045282,GBIF,Correa A. 2947,Manuel Vargas,,8.75,-82.25,"Camino de Landau hasta Pittí, NE del campamento de Fortuna, sitio de presa",1976.0,1,1,1,,WGS84,2020,Mireya D. Correa A.|Robert L. Dressler|Noris Salazar A.|Jorge A. Mendieta M.|Cristina Garibaldi E.|Francisco Farnum|Tania Béliz
2710,PRESERVED_SPECIMEN,Neea pittieri,101044833,GBIF,McPherson 12433,Manuel Vargas,,8.633333,-80.583333,"North of El Cope near continental divide, mostly along trail west of old road.",1988.0,1,1,1,,WGS84,2020,Gordon McPherson
2711,PRESERVED_SPECIMEN,Neea pittieri,101044537,GBIF,Folsom 2444,Manuel Vargas,,8.683333,-80.6,New Works. Medium to tall montane forest.,1977.0,1,1,1,,WGS84,2020,James P. Folsom|R. Robinson
2712,PRESERVED_SPECIMEN,Neea pittieri,101044857,GBIF,Antonio 3273,Manuel Vargas,,8.683333,-80.6,North of El Copé on road past sawmill.,1980.0,1,1,1,,WGS84,2020,Thomas M. Antonio
2713,PRESERVED_SPECIMEN,Neea pittieri,101044783,GBIF,"Kirkbride, Jr. 1118",Manuel Vargas,,8.620833,-80.11555600000001,Cerro Caracoral. Below the elfin forest.,1968.0,1,1,1,,WGS84,2020,"Joseph H. Kirkbride, Jr."
2714,PRESERVED_SPECIMEN,Neea pittieri,101044777,GBIF,Sullivan 475,Manuel Vargas,,8.627778,-80.126389,"La Mesa, 2 km W of Cerro Pilón.",1976.0,1,1,1,,WGS84,2020,Gene A. Sullivan
2715,PRESERVED_SPECIMEN,Neea pittieri,101044666,GBIF,Bristan 1363,Manuel Vargas,,7.983333,-77.616667,El Río Aruza,1967.0,1,1,1,,WGS84,2020,Narciso Bristan
2716,PRESERVED_SPECIMEN,Neea pittieri,101044566,GBIF,Croat 4147,Manuel Vargas,,9.165278,-79.851389,Barro Colorado Island. Nemesia Trail,1967.0,1,1,1,,WGS84,2020,Thomas B. Croat
2717,PRESERVED_SPECIMEN,Neea pittieri,101044769,GBIF,Dwyer 8355,Manuel Vargas,,8.536667,-80.105,Cerro Pilón.,1968.0,1,1,1,,WGS84,2020,John D. Dwyer
2718,PRESERVED_SPECIMEN,Neea pittieri,101044827,GBIF,Liesner 730,Manuel Vargas,,8.636667,-80.108333,2 miles north of Cerro Pilón,1973.0,1,1,1,,WGS84,2020,Ronald L. Liesner
