,BasisOfRec,Binomial,CatalogNo,Citation,CollectID,Compiler,Data_sens,Dec_Lat,Dec_Long,Dist_comm,Event_Year,Origin,Presence,Seasonal,Sens_comm,SpatialRef,YrCompiled,recordedBy
1650,HUMAN_OBSERVATION,Ouratea valerioi,38266238,GBIF,,Manuel Vargas,,9.607987,-82.61623900000001,,2020.0,1,1,1,,WGS84,2020,Leonardo Álvarez
1695,HUMAN_OBSERVATION,Ouratea valerioi,37506222,GBIF,,Manuel Vargas,,9.603082,-82.620721,,2020.0,1,1,1,,WGS84,2020,Leonardo Álvarez
3697,PRESERVED_SPECIMEN,Ouratea valerioi,MA-01-00515046,GBIF,967,Manuel Vargas,,8.4667,-83.5833,"Puntarenas, Parque Nacional Corcovado Sirena, Corcovado Basin Trail",1989.0,1,1,1,,WGS84,2020,C. Kernan & P. Phillips
4070,PRESERVED_SPECIMEN,Ouratea valerioi,01095275,GBIF,11423,Manuel Vargas,,8.6717,-83.5047,"Distrito: Sierpe.  Reserva Forestal Golfo Dulce; Rincón, cerca de Banegas Los Charcos, 1 km. al Este del centro del pueblo Banegas, Estación Biológica Los Charcos de Osa",2008.0,1,1,1,,WGS84,2020,R. Aguilar
17180,PRESERVED_SPECIMEN,Ouratea valerioi,4374858,GBIF,,Manuel Vargas,,8.681806,-83.57458299999999,"Península de Osa, Rancho Quemado, bosque alrededor del puesto operativo, sendero al Cerro Brujo.",2013.0,1,1,1,,WGS84,2020,Reinaldo Aguilar; Nelson A. Zamora Villalobos ; Soo-Yong Kim ; Guillermo Villalobos ; Alejandro Azofeifa Zúñiga ; D. Solorzano
17181,PRESERVED_SPECIMEN,Ouratea valerioi,4374860,GBIF,,Manuel Vargas,,8.681806,-83.57458299999999,"Península de Osa, Rancho Quemado, bosque alrededor del puesto operativo, sendero al Cerro Brujo.",2013.0,1,1,1,,WGS84,2020,Reinaldo Aguilar; Nelson A. Zamora Villalobos ; Soo-Yong Kim ; Guillermo Villalobos ; Alejandro Azofeifa Zúñiga ; D. Solorzano
17182,PRESERVED_SPECIMEN,Ouratea valerioi,4374859,GBIF,,Manuel Vargas,,8.681806,-83.57458299999999,"Península de Osa, Rancho Quemado, bosque alrededor del puesto operativo, sendero al Cerro Brujo.",2013.0,1,1,1,,WGS84,2020,Reinaldo Aguilar; Nelson A. Zamora Villalobos ; Soo-Yong Kim ; Guillermo Villalobos ; Alejandro Azofeifa Zúñiga ; D. Solorzano
18066,PRESERVED_SPECIMEN,Ouratea valerioi,4151129,GBIF,,Manuel Vargas,,8.695833,-83.568333,Rancho Quemado.,2001.0,1,1,1,,WGS84,2020,Reinaldo Aguilar
20576,PRESERVED_SPECIMEN,Ouratea valerioi,3426495,GBIF,,Manuel Vargas,,9.660515,-83.019777,"Q. Las Gemelas, R. B. Hitoy Cerere",2000.0,1,1,1,,WGS84,2020,L. Acosta; Victor Ramírez ; Gerardo Soto ; Geovanny Sancho
20577,PRESERVED_SPECIMEN,Ouratea valerioi,3426493,GBIF,,Manuel Vargas,,9.660515,-83.019777,"Q. Las Gemelas, R. B. Hitoy Cerere",2000.0,1,1,1,,WGS84,2020,L. Acosta; Victor Ramírez ; Gerardo Soto ; Geovanny Sancho
20579,PRESERVED_SPECIMEN,Ouratea valerioi,3426494,GBIF,,Manuel Vargas,,9.660515,-83.019777,"Q. Las Gemelas, R. B. Hitoy Cerere",2000.0,1,1,1,,WGS84,2020,L. Acosta; Victor Ramírez ; Gerardo Soto ; Geovanny Sancho
21399,PRESERVED_SPECIMEN,Ouratea valerioi,2911290,GBIF,,Manuel Vargas,,10.366667,-83.516667,"Estacion Sierpe. 5 Km N de La Aurora, Guapiles. Limite sur del parque, junto al Rio Sierpe. Bosque primario.",1990.0,1,1,1,,WGS84,2020,Abelardo Chacon
21410,PRESERVED_SPECIMEN,Ouratea valerioi,2910749,GBIF,,Manuel Vargas,,9.502778,-82.963889,"Quebrada Amubri, Amubri.",1989.0,1,1,1,,WGS84,2020,Abelardo Chacon
21569,PRESERVED_SPECIMEN,Ouratea valerioi,2924688,GBIF,,Manuel Vargas,,8.466667,-83.583337,"Sirena, Corcovado Basin Trail. 10 msnm",1989.0,1,1,1,,WGS84,2020,C. Kernan
21623,PRESERVED_SPECIMEN,Ouratea valerioi,2921230,GBIF,,Manuel Vargas,,9.638889,-83.008333,"Valle de las Rosas, Miramar. Afluentes de Rio Moin, margen izquierda.",1989.0,1,1,1,,WGS84,2020,Gerardo Herrera
22261,PRESERVED_SPECIMEN,Ouratea valerioi,2817254,GBIF,,Manuel Vargas,,9.677778,-83.023611,Sendero Chato.,1997.0,1,1,1,,WGS84,2020,Alexánder Francisco Rodríguez González; Armando Soto
22262,PRESERVED_SPECIMEN,Ouratea valerioi,2817256,GBIF,,Manuel Vargas,,9.677778,-83.023611,Sendero Chato.,1997.0,1,1,1,,WGS84,2020,Alexánder Francisco Rodríguez González; Armando Soto
22263,PRESERVED_SPECIMEN,Ouratea valerioi,2817255,GBIF,,Manuel Vargas,,9.677778,-83.023611,Sendero Chato.,1997.0,1,1,1,,WGS84,2020,Alexánder Francisco Rodríguez González; Armando Soto
22499,PRESERVED_SPECIMEN,Ouratea valerioi,1582951,GBIF,,Manuel Vargas,,8.665278,-83.554167,"Rancho Quemado, Chiqueron, Finca de Abelino Obando.",1993.0,1,1,1,,WGS84,2020,Reinaldo Aguilar
22542,PRESERVED_SPECIMEN,Ouratea valerioi,1580648,GBIF,,Manuel Vargas,,8.716667,-83.580556,"Rancho Quemado, junto a la Estacion de conservacion.",1993.0,1,1,1,,WGS84,2020,Reinaldo Aguilar
23027,PRESERVED_SPECIMEN,Ouratea valerioi,1589059,GBIF,,Manuel Vargas,,9.123056,-83.705,Bosque primario en el camino a Pinuelas cerca de Quebrada Ballena.,1995.0,1,1,1,,WGS84,2020,Juan Francisco Morales Quirós
23379,PRESERVED_SPECIMEN,Ouratea valerioi,1568316,GBIF,,Manuel Vargas,,9.68,-84.373611,"Mastatal de Puriscal; bosque primario en la Quebrada Grande, por la fila y el rio",1994.0,1,1,1,,WGS84,2020,Juan Francisco Morales Quirós
23535,PRESERVED_SPECIMEN,Ouratea valerioi,1563475,GBIF,,Manuel Vargas,,8.7,-83.56666700000001,Rancho Quemado. Finca de Marvin Marin. Bosque primario. Rincon.,1991.0,1,1,1,,WGS84,2020,Javier Quesada
23554,PRESERVED_SPECIMEN,Ouratea valerioi,1562792,GBIF,,Manuel Vargas,,8.655555999999999,-83.55,Rancho Quemado. Sector sur. Chiqueron.,1991.0,1,1,1,,WGS84,2020,Juan Marin
23555,PRESERVED_SPECIMEN,Ouratea valerioi,1562793,GBIF,,Manuel Vargas,,8.680556,-83.575,"Rancho Quemado, Sector Norte.",1992.0,1,1,1,,WGS84,2020,Juan Marin
23647,PRESERVED_SPECIMEN,Ouratea valerioi,1555730,GBIF,,Manuel Vargas,,8.730556,-83.536111,"San Juan, cuenca media del Rio San Juan, aguas arriba.",1990.0,1,1,1,,WGS84,2020,Gerardo Herrera
24032,PRESERVED_SPECIMEN,Ouratea valerioi,1527295,GBIF,,Manuel Vargas,,8.481076,-83.595012,Sendero Espaveles,1997.0,1,1,1,,WGS84,2020,Reinaldo Aguilar
28047,PRESERVED_SPECIMEN,Ouratea valerioi,205611,GBIF,,Manuel Vargas,,9.12,-83.7,"P.N. Marino Ballena Faja Costeña del Valle de Parrita. Bosque primario en el camino a Piñuelas, ceca de Quebrada Ballena.",1995.0,1,1,1,,WGS84,2020,"Morales, Juan Francisco"
28053,PRESERVED_SPECIMEN,Ouratea valerioi,187486,GBIF,,Manuel Vargas,,8.71,-83.58,"R.F. Golfo Dulce Península de Osa. Rancho quemado, junto a la Estación de conservación.",1993.0,1,1,1,,WGS84,2020,"Aguilar, Reinaldo"
28054,PRESERVED_SPECIMEN,Ouratea valerioi,185730,GBIF,,Manuel Vargas,,8.68,-83.21,"Sección ""Bosque de los Austriacos"", Primary forest - Research Plto- La Gamba.",1994.0,1,1,1,,WGS84,2020,"Huber, Werner"
28056,PRESERVED_SPECIMEN,Ouratea valerioi,184837,GBIF,,Manuel Vargas,,8.66,-83.55,"R.F. Golfo Dulce Península de Osa. Rancho Quemado, Chiquerón, Finca de Abelino Obando.",1993.0,1,1,1,,WGS84,2020,"Aguilar, Reinaldo"
28060,PRESERVED_SPECIMEN,Ouratea valerioi,180222,GBIF,,Manuel Vargas,,8.65,-83.16,R.V.S. Golfito,1994.0,1,1,1,,WGS84,2020,"Rivera, Gerardo"
28061,PRESERVED_SPECIMEN,Ouratea valerioi,179831,GBIF,,Manuel Vargas,,8.73,-83.53,"San Juan, cerca media del Río San Juan, aguas arriba.",1990.0,1,1,1,,WGS84,2020,"Herrera, Gerardo"
28062,PRESERVED_SPECIMEN,Ouratea valerioi,178728,GBIF,,Manuel Vargas,,10.33,-83.6,"Pueblo nuevo, 17 km NE of Guácimo, on the farm of Bernanrdo Herrera m. One - ha sample plot in rather open forest on level, clayey ground, dominated by Pentaclethra macroloba (50% of basal area). Understorey dominated by Simira maxonii, Socratea and Rin",1994.0,1,1,1,,WGS84,2020,"Thomsen, Karsten"
28063,PRESERVED_SPECIMEN,Ouratea valerioi,177729,GBIF,,Manuel Vargas,,8.69,-83.21,R.V.S. Golfito Cerro Nicuesa.,1994.0,1,1,1,,WGS84,2020,"Rivera, Gerardo"
28070,PRESERVED_SPECIMEN,Ouratea valerioi,171516,GBIF,,Manuel Vargas,,8.7,-83.5,"Península de Osa, Aguabuena, 3 km  W of  Rincón. One-hectare permanent sample plot 800 m N of the      houseof Henry Monge in well-drained, moderately sopling terrain. Tall forest along timber road, left after selective logging March 1992. Characteristi",1993.0,1,1,1,,WGS84,2020,"Thomsen, Karsten"
28073,PRESERVED_SPECIMEN,Ouratea valerioi,170414,GBIF,,Manuel Vargas,,8.7,-83.56,Rancho Quemado. Finca Marvin Marín. Bosque Primario. Rincón.,1991.0,1,1,1,,WGS84,2020,"Quesada, Javier Francisco"
28076,PRESERVED_SPECIMEN,Ouratea valerioi,160399,GBIF,,Manuel Vargas,,8.65,-83.55,Rancho Quemado. Sector Sur. Chiquerón.,1991.0,1,1,1,,WGS84,2020,"Marín, Juan"
28077,PRESERVED_SPECIMEN,Ouratea valerioi,160233,GBIF,,Manuel Vargas,,8.68,-83.57,"Rancho Quemado, Sector Norte.",1992.0,1,1,1,,WGS84,2020,"Marín, Juan"
28081,PRESERVED_SPECIMEN,Ouratea valerioi,150445,GBIF,,Manuel Vargas,,10.36,-83.51,"P.N. Tortuguero Estación Sierpe. 5 km N de La Aurora, Guápiles. Límite sur del parque, junto al Río Sierpe. Bosque Primario.",1990.0,1,1,1,,WGS84,2020,"Chacón, Abelardo M."
28082,PRESERVED_SPECIMEN,Ouratea valerioi,149752,GBIF,,Manuel Vargas,,8.46,-83.58,"P.N. Corcovado Sirena, Corcovado Basin Trail.",1989.0,1,1,1,,WGS84,2020,"Kernan, C."
28083,PRESERVED_SPECIMEN,Ouratea valerioi,146015,GBIF,,Manuel Vargas,,9.5,-82.96,"Quebrada Amubri, Amubri.",1989.0,1,1,1,,WGS84,2020,"Chacón, Abelardo M."
28088,PRESERVED_SPECIMEN,Ouratea valerioi,136852,GBIF,,Manuel Vargas,,9.63,-83.0,"Cordillera de Talamanca. Valle de las Rosas, Miramar. Afluentes de Río Moín, margen izquierda.",1989.0,1,1,1,,WGS84,2020,"Herrera, Gerardo"
28096,PRESERVED_SPECIMEN,Ouratea valerioi,119806,GBIF,,Manuel Vargas,,9.58,-82.65,"Finca Anaí, at headwaters of Quebrada, Mata Limón, west of Mata de Limón. Forest along upper central fork of Quebrada.",1985.0,1,1,1,,WGS84,2020,"Grayum, Michael"
28097,PRESERVED_SPECIMEN,Ouratea valerioi,119805,GBIF,,Manuel Vargas,,9.58,-82.65,"Finca Anaí, at headwaters of Quebrada, Mata Limón, west of Mata de Limón. Forest along upper central fork of Quebrada.",1985.0,1,1,1,,WGS84,2020,"Grayum, Michael"
28107,PRESERVED_SPECIMEN,Ouratea valerioi,55824,GBIF,,Manuel Vargas,,8.7,-83.51,"Osa Península. Moist forest in valley bottoms, tropical wet forest with open understory on steeps slopes and rifges, and areas of secondary vegetation north and west of the air field , about 5 km west of Rincón de Osa.",1973.0,1,1,1,,WGS84,2020,"Burger, William"
