,BasisOfRec,Binomial,CatalogNo,Citation,CollectID,Compiler,Data_sens,Dec_Lat,Dec_Long,Dist_comm,Event_Year,Origin,Presence,Seasonal,Sens_comm,SpatialRef,YrCompiled,recordedBy
112,PRESERVED_SPECIMEN,Palicourea albocaerulea,CM511125,GBIF,1010,Manuel Vargas,,10.316667,-84.8,"Estación Biológica Monteverde, Monteverde, below Sendero Principal on moderate slope",2005.0,1,1,1,,WGS84,2020,"Paul, J."
5870,PRESERVED_SPECIMEN,Palicourea albocaerulea,0088145,GBIF,,Manuel Vargas,,10.34639,-84.79444000000001,"Costa Rica, Puntarenas Province, Canton Puntarenas. Monteverde region, Santa Elena Cloud Forest Reserve. Loop trail.",2015.0,1,1,1,,WGS84,2020,"Berger,A."
7596,PRESERVED_SPECIMEN,Palicourea albocaerulea,903900,GBIF,Rodríguez Ramírez 45,Manuel Vargas,,10.61,-84.99,Z.P. Tenorio; Cordillera de Tilarán. Tierras Morenas; Río San Lorenzo.,1992.0,1,1,1,,WGS84,2020,Gladys Rodríguez
7723,PRESERVED_SPECIMEN,Palicourea albocaerulea,898271,GBIF,Bello Carranza 4240,Manuel Vargas,,10.3,-84.78,"Reserva Biológica Monteverde, Cordillera de Tilarán, Sendero Pantanoso, Valle Torre.",1991.0,1,1,1,,WGS84,2020,Erick Bello C.
8762,PRESERVED_SPECIMEN,Palicourea albocaerulea,539777,GBIF,Taylor 9747,Manuel Vargas,,10.3,-84.81,Reserva Biológica Monteverde Near continental divide. Wet forest.,1989.0,1,1,1,,WGS84,2020,Charlotte M. Taylor|Roy E. Gereau
8866,PRESERVED_SPECIMEN,Palicourea albocaerulea,537118,GBIF,Bello Carranza 1331,Manuel Vargas,,10.23,-84.73,Reserva Biológica Monteverde Ojo de Agua de Arancibia.,1989.0,1,1,1,,WGS84,2020,Erick Bello C.
9374,PRESERVED_SPECIMEN,Palicourea albocaerulea,514524,GBIF,Haber 2985,Manuel Vargas,,10.350278,-84.806944,"Río Negro de Tilarán, quebrada San Bosco.",1985.0,1,1,1,,WGS84,2020,William A. Haber|Erick Bello C.
9394,PRESERVED_SPECIMEN,Palicourea albocaerulea,514174,GBIF,Haber 5603,Manuel Vargas,,10.333333,-84.833333,Monteverde Reserve and upper San Luis valley below Monteverde; Pacific slope.,1986.0,1,1,1,,WGS84,2020,William A. Haber|Erick Bello C.|Michelle Powell
9437,PRESERVED_SPECIMEN,Palicourea albocaerulea,512918,GBIF,Haber 3342,Manuel Vargas,,10.333333,-84.833333,"Monteverde Reserve, Chomogo trail to Chomogo peak, Pacific slope and conti- nental divide, cloud forest. 10º20'N, 84º50'W",1985.0,1,1,1,,WGS84,2020,William A. Haber|Erick Bello C.
9441,PRESERVED_SPECIMEN,Palicourea albocaerulea,512870,GBIF,Haber 7372,Manuel Vargas,,10.25,-84.783333,"Guacimal, Río Veracruz Zona Monteverde, Vertiente Pacífica Finca Romain Quesada.",1987.0,1,1,1,,WGS84,2020,William A. Haber|Erick Bello C.
