,BasisOfRec,Binomial,CatalogNo,Citation,CollectID,Compiler,Data_sens,Dec_Lat,Dec_Long,Dist_comm,Event_Year,Origin,Presence,Seasonal,Sens_comm,SpatialRef,YrCompiled,recordedBy
7544,PRESERVED_SPECIMEN,Palicourea chiriquina,905674,GBIF,Herrera Chacón 6263,Manuel Vargas,,9.39,-83.15,"P.N. Cordillera de Talamanca; Cordillera de Talamanca. Flanco SE Cerro Biricuacua, Río Dapari. Entre Ujarrás y San José Cabécar.",1993.0,1,1,1,,WGS84,2020,Gerardo Herrera Ch.|William Gamboa E.
8740,PRESERVED_SPECIMEN,Palicourea chiriquina,541088,GBIF,D'Arcy 16309,Manuel Vargas,,8.508333,-81.80833299999999,7.2 miles beyond Campamento Chami (12+12 miles from Río San Félix).,1986.0,1,1,1,,WGS84,2020,William G. D'Arcy
8778,PRESERVED_SPECIMEN,Palicourea chiriquina,539138,GBIF,van der Werff 7250,Manuel Vargas,,8.833333,-82.733333,"Santa Clara, to Cerro Pando.",1985.0,1,1,1,,WGS84,2020,H. van der Werff|Juan Herrera
8841,PRESERVED_SPECIMEN,Palicourea chiriquina,537636,GBIF,van der Werff 6334,Manuel Vargas,,8.866667,-82.55,Cerro Punta. From STRI house to edge of mountain across the river.,1985.0,1,1,1,,WGS84,2020,H. van der Werff|Juan Herrera
8863,PRESERVED_SPECIMEN,Palicourea chiriquina,537187,GBIF,van der Werff 7280,Manuel Vargas,,8.833333,-82.733333,"Santa Clara, to Cerro Pando.",1985.0,1,1,1,,WGS84,2020,H. van der Werff|Juan Herrera
11572,PRESERVED_SPECIMEN,Palicourea chiriquina,2402098,GBIF,Knapp 4764,Manuel Vargas,,8.828333,-82.398333,"Along ridge of Continantal Divide NE of Cerro Pate Alto.  [Coordinates on orginal label: 08º47'N, 082º21'W]",1982.0,1,1,1,,WGS84,2020,Sandy Knapp|Robert J. Schmalzel
11812,PRESERVED_SPECIMEN,Palicourea chiriquina,2370735,GBIF,Knapp 4231,Manuel Vargas,,8.78333,-82.35,"Bocas del Toro border along Continental Divide NE of Cerro Pate Macho, above Palo Alto. Windswept elfin forest.",1982.0,1,1,1,,WGS84,2020,Sandy Knapp|W. John Kress|Barry E. Hammel
12206,PRESERVED_SPECIMEN,Palicourea chiriquina,2311607,GBIF,Aranda B. 3105,Manuel Vargas,,8.91,-82.708333,"Jurutungo, alrededores de Cerro Pando. De Fca. Los Quetzales hasta el hito fronterizo PMA/CR (Monumento).",1996.0,1,1,1,,WGS84,2020,Jorge E. Aranda B.|Carmen Galdames|Blanca Araúz|L. Guillén|A. Fuentes
12229,PRESERVED_SPECIMEN,Palicourea chiriquina,2311135,GBIF,Taylor 3168,Manuel Vargas,,8.81666,-82.45,"Near Boquete, along the road to Finca Horqueta to the NW, and in hills above the farm fields. Oak forest on steep slopes.",1984.0,1,1,1,,WGS84,2020,Charlotte M. Taylor
12230,PRESERVED_SPECIMEN,Palicourea chiriquina,2311258,GBIF,Croat 48511,Manuel Vargas,,8.825,-82.391667,"Cerro Pate Macho, along the Continental Divide, on trail which leads to Finca Serrano NE of Boquete ca. 5 miles above Boquete.",1979.0,1,1,1,,WGS84,2020,Thomas B. Croat
12268,PRESERVED_SPECIMEN,Palicourea chiriquina,2310262,GBIF,Croat 48527,Manuel Vargas,,8.825,-82.391667,"Cerro Pate Macho, along the Continental Divide, on trail which leads to Finca Serrano NE of Boquete ca. 5 miles above Boquete.",1979.0,1,1,1,,WGS84,2020,Thomas B. Croat
12280,PRESERVED_SPECIMEN,Palicourea chiriquina,2309812,GBIF,Proctor 31914,Manuel Vargas,,8.833333,-82.45,On trail to Cerro Horqueta.,1971.0,1,1,1,,WGS84,2020,George R. Proctor
12306,PRESERVED_SPECIMEN,Palicourea chiriquina,2309257,GBIF,Taylor 3309,Manuel Vargas,,8.58333,-82.6,"N of Cerro Punta at the end of the road to Las Nubes, in the hills above the cabbage farms. Forest and thickets on steep hillsides.",1984.0,1,1,1,,WGS84,2020,Charlotte M. Taylor
12309,PRESERVED_SPECIMEN,Palicourea chiriquina,2309150,GBIF,Galdames 2946,Manuel Vargas,,8.88333,-82.6,Parque Nacional La Amistad. Alrededores de La Nubes. Bosque muy humedo montano bajo. Secundario.,1996.0,1,1,1,,WGS84,2020,Carmen Galdames|Mireya D. Correa A.|L. Guillén|Blanca Araúz|José Deago|Carlos Guerra
12312,PRESERVED_SPECIMEN,Palicourea chiriquina,2309149,GBIF,Murphy 1078,Manuel Vargas,,8.88333,-82.6,"Cerro Punta, on road to Las Nubes, Hillside forest.",1984.0,1,1,1,,WGS84,2020,Honora Murphy
12314,PRESERVED_SPECIMEN,Palicourea chiriquina,2309044,GBIF,Dwyer 8739,Manuel Vargas,,8.813333,-82.45,Cerro Horqueta.,1968.0,1,1,1,,WGS84,2020,John D. Dwyer|B. R. Lallathin
12334,PRESERVED_SPECIMEN,Palicourea chiriquina,2308600,GBIF,Taylor 3331,Manuel Vargas,,8.58333,-82.6,"N of Cerro Punta at the end of the road to Las Nubes, in the hills above the cabbage farms. Forest and thickets on steep hillsides.",1984.0,1,1,1,,WGS84,2020,Charlotte M. Taylor
12365,PRESERVED_SPECIMEN,Palicourea chiriquina,2307742,GBIF,Taylor 3160,Manuel Vargas,,8.81666,-82.45,"Near Boquete, along the road to Finca Horqueta to the NW, and in hills above the farm fields. Oak forest on steep slopes.",1984.0,1,1,1,,WGS84,2020,Charlotte M. Taylor
12367,PRESERVED_SPECIMEN,Palicourea chiriquina,2307637,GBIF,Murphy 1086,Manuel Vargas,,8.883333,-82.6,"Cerro Punta, on road to Las Nubes, Hillside forest.",1984.0,1,1,1,,WGS84,2020,Honora Murphy
12379,PRESERVED_SPECIMEN,Palicourea chiriquina,2307428,GBIF,Wilbur 13212,Manuel Vargas,,8.9,-82.583333,On the north-west side of the mountain of Cerro Punta beyond Las Nubes.,1971.0,1,1,1,,WGS84,2020,Robert L. Wilbur|James A. Teeri|Robin B. Foster
12419,PRESERVED_SPECIMEN,Palicourea chiriquina,2306325,GBIF,Galdames 3406,Manuel Vargas,,8.9,-82.71666,Jurutungo. Filo entre La Quijada del Diablo y la cima de Cerro Pando. Bosque nuboso,1996.0,1,1,1,,WGS84,2020,Carmen Galdames|Jorge E. Aranda B.|L. Guillén|Blanca Araúz|A. Fuentes
12420,PRESERVED_SPECIMEN,Palicourea chiriquina,2306322,GBIF,Taylor 3314,Manuel Vargas,,8.58333,-82.6,"N of Cerro Punta at the end of the road to Las Nubes, in the hills above the cabbage farms. Forest and thickets on steep hillsides.",1984.0,1,1,1,,WGS84,2020,Charlotte M. Taylor
14704,PRESERVED_SPECIMEN,Palicourea chiriquina,1415350,GBIF,Wilbur 13478,Manuel Vargas,,8.833333,-82.45,"Southern slopes of Cerro Horqueta, north of Boquete.",1971.0,1,1,1,,WGS84,2020,Robert L. Wilbur|James A. Teeri|Robin B. Foster
15860,PRESERVED_SPECIMEN,Palicourea chiriquina,100572199,GBIF,Solano Peralta 5524,Manuel Vargas,,8.893333,-82.61694399999999,"Cerro Punta. Estación Las Nubes, Parque Internacional La Amistad. Colectando sobre el sendero La Cascada y hacia el mirador.",2008.0,1,1,1,,WGS84,2020,Daniel Solano|Eduardo Boza
17526,PRESERVED_SPECIMEN,Palicourea chiriquina,4277121,GBIF,,Manuel Vargas,,9.686833,-83.92330799999999,"Carretera Interamericana Cañon del Guarco, cerca de La Escuela.",2010.0,1,1,1,,WGS84,2020,Frank  Alonso González Brenes; Daniel Santamaría ; Juan Francisco Morales Quirós
17527,PRESERVED_SPECIMEN,Palicourea chiriquina,4277123,GBIF,,Manuel Vargas,,9.686833,-83.92330799999999,"Carretera Interamericana Cañon del Guarco, cerca de La Escuela.",2010.0,1,1,1,,WGS84,2020,Frank  Alonso González Brenes; Daniel Santamaría ; Juan Francisco Morales Quirós
17528,PRESERVED_SPECIMEN,Palicourea chiriquina,4277122,GBIF,,Manuel Vargas,,9.686833,-83.92330799999999,"Carretera Interamericana Cañon del Guarco, cerca de La Escuela.",2010.0,1,1,1,,WGS84,2020,Frank  Alonso González Brenes; Daniel Santamaría ; Juan Francisco Morales Quirós
17529,PRESERVED_SPECIMEN,Palicourea chiriquina,4277120,GBIF,,Manuel Vargas,,9.686833,-83.92330799999999,"Carretera Interamericana Cañon del Guarco, cerca de La Escuela.",2010.0,1,1,1,,WGS84,2020,Frank  Alonso González Brenes; Daniel Santamaría ; Juan Francisco Morales Quirós
18675,PRESERVED_SPECIMEN,Palicourea chiriquina,4069737,GBIF,,Manuel Vargas,,9.331380000000001,-83.22815,Talamanca.,2007.0,1,1,1,,WGS84,2020,Alexánder Francisco Rodríguez González; Daniel Solano ; Ronny Samaniego ; Oscar Chacón Chavarría ; William Gamboa
18676,PRESERVED_SPECIMEN,Palicourea chiriquina,4069735,GBIF,,Manuel Vargas,,9.331380000000001,-83.22815,Talamanca.,2007.0,1,1,1,,WGS84,2020,Alexánder Francisco Rodríguez González; Daniel Solano ; Ronny Samaniego ; Oscar Chacón Chavarría ; William Gamboa
18677,PRESERVED_SPECIMEN,Palicourea chiriquina,4069736,GBIF,,Manuel Vargas,,9.331380000000001,-83.22815,Talamanca.,2007.0,1,1,1,,WGS84,2020,Alexánder Francisco Rodríguez González; Daniel Solano ; Ronny Samaniego ; Oscar Chacón Chavarría ; William Gamboa
22870,PRESERVED_SPECIMEN,Palicourea chiriquina,1599226,GBIF,,Manuel Vargas,,9.395833,-83.156944,"Flanco SE Cerro Biricuacua, Rio Dapari. Entre Ujarras y San Jose Cabecar.",1993.0,1,1,1,,WGS84,2020,Gerardo Herrera
24566,PRESERVED_SPECIMEN,Palicourea chiriquina,,GBIF,13478,Manuel Vargas,,8.5,-82.25,,1971.0,1,1,1,,WGS84,2020,R. L. Wilbur et al.
28044,PRESERVED_SPECIMEN,Palicourea chiriquina,210439,GBIF,,Manuel Vargas,,9.39,-83.15,"P.I. La Amistad Cordillera de Talamanca. Flanco SE Cerro Biricuacua, Rìo Dapari. Entre Ujarràs y San Josè Cabècar.",1993.0,1,1,1,,WGS84,2020,"Herrera, Gerardo"
