,BasisOfRec,Binomial,CatalogNo,Citation,CollectID,Compiler,Data_sens,Dec_Lat,Dec_Long,Dist_comm,Event_Year,Origin,Presence,Seasonal,Sens_comm,SpatialRef,YrCompiled,recordedBy
3829,PRESERVED_SPECIMEN,Palicourea lancifera,95538,GBIF,1549,Manuel Vargas,,3.81,-67.8,"comunidad indígena de Caño Vitina, cercanías PPV, bosque de llanura aluvial de 15-18m de alt, abierto, bajo epifitismo, sotobosque denso, alta presencia de hojarasca",2014.0,1,1,1,,WGS84,2020,"Rodríguez, M."
3831,PRESERVED_SPECIMEN,Palicourea lancifera,93246,GBIF,852,Manuel Vargas,,3.8,-67.82,"comunidad indígena de Caño Vitina, bosque de 18-20m de alt., abierto, epifitismo medio, sotobosque denso con mal drenaje y temporalmente encharcado en la época de lluvias, suelo con capa de hojarasca de hasta 20cm",2015.0,1,1,1,,WGS84,2020,"Barona, A."
3843,PRESERVED_SPECIMEN,Palicourea lancifera,63075,GBIF,20745,Manuel Vargas,,3.8,-67.82,"comunidad indígena de Caño Vitina, vegetación de sabana de arena blanca, bosque y catinga aledaña",2007.0,1,1,1,,WGS84,2020,"Cárdenas, D."
4032,PRESERVED_SPECIMEN,Palicourea lancifera,02694472,GBIF,22595,Manuel Vargas,,0.70822,-70.237222,"Comunidad Indígena Acaricuara, caño Paca.",2009.0,1,1,1,,WGS84,2020,D. Cárdenas-López
6260,PRESERVED_SPECIMEN,Palicourea lancifera,0088160,GBIF,,Manuel Vargas,,10.185,-84.67778,"Costa Rica, Puntarenas Province, Canton Montes de Oro. Zapotal de Miramar, Reserva Ecologica Bosque Nuboso La Mancuerna. On main trail to viewpoint.",2013.0,1,1,1,,WGS84,2020,"Berger,A. & Schinnerl,J."
6781,PRESERVED_SPECIMEN,Palicourea lancifera,71957,GBIF,22595,Manuel Vargas,,0.7,-70.23,"comunidad indígena de Acaricuara, cñ. Paca, sector sabaneta y catinga de 6 a 8 m de altura",2009.0,1,1,1,,WGS84,2020,"Cárdenas, D."
8704,PRESERVED_SPECIMEN,Palicourea lancifera,543297,GBIF,de Nevers 6825,Manuel Vargas,,8.816667,-82.4,Trail to Cerro Pate Macho.,1986.0,1,1,1,,WGS84,2020,Greg C. de Nevers|Gordon McPherson
9043,PRESERVED_SPECIMEN,Palicourea lancifera,525638,GBIF,Stein 1240,Manuel Vargas,,8.83333,-82.41666,Trail up Cerro Pate Macho. Premontane wet forest.,1983.0,1,1,1,,WGS84,2020,Bruce A. Stein|Robert J. Schmalzel|David W. Roubik
9082,PRESERVED_SPECIMEN,Palicourea lancifera,523382,GBIF,Herrera Chacón 1391,Manuel Vargas,,10.8,-85.32,Parque Rincón de La Vieja Liberia. Del Mirador siguiendo la Fila al Volcán Santa María.,1987.0,1,1,1,,WGS84,2020,Gerardo Herrera Ch.
9979,PRESERVED_SPECIMEN,Palicourea lancifera,3471702,GBIF,Penneys 561,Manuel Vargas,,10.366667,-84.8,"Cordillera de Guanacaste. Monteverde. San Gerardo Biological Station. Trail to Garden, 500 m E of Station. Premontane rain forest.",1995.0,1,1,1,,WGS84,2020,Darin S. Penneys
10098,PRESERVED_SPECIMEN,Palicourea lancifera,3349216,GBIF,Grayum 12729,Manuel Vargas,,10.95,-85.45,"N (Caribbean) slope of Cerro Cacao, E to near Río Las Haciendas (Prov. Alajuela boundary), Cordillera de Guanacaste.",2007.0,1,1,1,,WGS84,2020,Michael H. Grayum|Armando Soto|Alexander Rojas|Daniel García|J. Á. Calvo|Gabriel Araya
11194,PRESERVED_SPECIMEN,Palicourea lancifera,2750488,GBIF,Herrera Chacón 7936,Manuel Vargas,,9.784722,-83.544444,"Tayutic, Jicotea",1995.0,1,1,1,,WGS84,2020,Gerardo Herrera Ch.|A. Cedeño
12350,PRESERVED_SPECIMEN,Palicourea lancifera,2308190,GBIF,Sytsma 4862,Manuel Vargas,,8.816667,-82.383333,SE slopes and summit of Cerro Pate Macho; trail from Rio Palo Alto; 4 km NE of Boquete.,1981.0,1,1,1,,WGS84,2020,Kenneth J. Sytsma|Sandy Knapp|Lennart Andersson
12430,PRESERVED_SPECIMEN,Palicourea lancifera,2305266,GBIF,Loiselle 137,Manuel Vargas,,10.266667,-84.083333,9 km south of San Ramon; premontane rainforest.,1985.0,1,1,1,,WGS84,2020,B. A. Loiselle
12447,PRESERVED_SPECIMEN,Palicourea lancifera,2303465,GBIF,Smith 2794,Manuel Vargas,,10.185556,-84.390555,Zarcero,1941.0,1,1,1,,WGS84,2020,Austin Smith
