,BasisOfRec,Binomial,CatalogNo,Citation,CollectID,Compiler,Data_sens,Dec_Lat,Dec_Long,Dist_comm,Event_Year,Origin,Presence,Seasonal,Sens_comm,SpatialRef,YrCompiled,recordedBy
8836,PRESERVED_SPECIMEN,Palicourea palustris,537704,GBIF,Boyle 972,Manuel Vargas,,10.182777999999999,-84.106667,"Parque Nacional Braulio Carrillo, Sendero del Transecto, flat area to right of trail, Treeplot 2000 - 1",1992.0,1,1,1,,WGS84,2020,Brad Boyle|Peter Hibbs
9878,PRESERVED_SPECIMEN,Palicourea palustris,3583118,GBIF,Gilman 6,Manuel Vargas,,10.183333,-84.1,"Parque Nacional Braulio Carrillo, Atlantic slope of Cordillera Central, N on main trail for 20 minute walk from Chateaux Barva (2060 m).",2004.0,1,1,1,,WGS84,2020,Alex Gilman
9879,PRESERVED_SPECIMEN,Palicourea palustris,3583115,GBIF,Gilman 168,Manuel Vargas,,10.2,-84.1,"Parque Nacional Braulio Carrillo, Atlantic slope of Cordillera Central from Finca Gurdian (1700 m) hike 4 hours to tent at 1740 m, the final hour in the park, then ca. 45 min N on main trail.",2004.0,1,1,1,,WGS84,2020,Alex Gilman
9880,PRESERVED_SPECIMEN,Palicourea palustris,3583119,GBIF,Gilman 38,Manuel Vargas,,10.183333,-84.1,"Parque Nacional Braulio Carrillo, Atlantic slope of Cordillera Central, S on main trail for 2 hours walk from Chateaux Barva (2060 m).",2004.0,1,1,1,,WGS84,2020,Alex Gilman
9882,PRESERVED_SPECIMEN,Palicourea palustris,3583116,GBIF,Gilman 434,Manuel Vargas,,10.233333,-84.1,"Parque Nacional Braulio Carrillo, Atlantic slope of the Cordillera Central, from Finca Gurdian (1700 m) hike 4 hours to tent at 1740 m, then ca. 1 hour S on main trail.",2006.0,1,1,1,,WGS84,2020,Alex Gilman
9884,PRESERVED_SPECIMEN,Palicourea palustris,3583117,GBIF,Gilman 433,Manuel Vargas,,10.216667,-84.1,"Parque Nacional Braulio Carrillo, Atlantic slope of Cordillera Central from Finca Gurdian (1700 m) hike 4 hours to tent at 1740 m, then ca. 20 minutes S on main trail.",2006.0,1,1,1,,WGS84,2020,Alex Gilman
10976,PRESERVED_SPECIMEN,Palicourea palustris,2848908,GBIF,Gilman 430,Manuel Vargas,,10.226944999999999,-84.094167,"Parque Nacional Braulio Carrillo, Atlantic slope of the Cordillera Central, from Finca Gurdian hike 4 hrs to tentsite at 1740 m, then hike ca. 1 hr S on main trail.",2005.0,1,1,1,,WGS84,2020,Alex Gilman
10977,PRESERVED_SPECIMEN,Palicourea palustris,2848891,GBIF,Gilman 420,Manuel Vargas,,10.191389,-84.10333299999999,"Parque Nacional Braulio Carrillo, Atlantic slope of the Cordillera Central, from Finca Gurdian hike 4 hrs to tentsite at 1740 m, then hike ca. 1.5 hrs up on main trail.",2005.0,1,1,1,,WGS84,2020,Alex Gilman
10981,PRESERVED_SPECIMEN,Palicourea palustris,2848814,GBIF,Gilman 405,Manuel Vargas,,10.213611,-84.10055600000001,"Parque Nacional Braulio Carrillo, Atlantic slope of the Cordillera Central, from Finca Gurdian hike 4 hrs to tentsite at 1740 m, then hike ca. 20 min S on main trail.",2005.0,1,1,1,,WGS84,2020,Alex Gilman
10982,PRESERVED_SPECIMEN,Palicourea palustris,2848810,GBIF,Gilman 404,Manuel Vargas,,10.218611,-84.099722,"Parque Nacional Braulio Carrillo, Atlantic slope of the Cordillera Central, from Finca Gurdian hike 4 hrs to tentsite at 1740 m, then hike ca. 25 min S on main trail.",2004.0,1,1,1,,WGS84,2020,Alex Gilman
10991,PRESERVED_SPECIMEN,Palicourea palustris,2844701,GBIF,Gilman 22,Manuel Vargas,,10.186111,-84.105,"Parque Nacional Braulio Carrillo, Atlantic slope of the Cordillera Central, S on main trail for 50 min to 1 hr walk from Chateaux Barva.",2004.0,1,1,1,,WGS84,2020,Alex Gilman
10992,PRESERVED_SPECIMEN,Palicourea palustris,2844887,GBIF,Gilman 156,Manuel Vargas,,10.218611,-84.099722,"Parque Nacional Braulio Carrillo, Atlantic slope of the Cordillera Central, from Finca Gurdian hike 4 hrs to tentsite at 1740 m, then hike ca. 25 min S on main trail.",2004.0,1,1,1,,WGS84,2020,Alex Gilman
