,BasisOfRec,Binomial,CatalogNo,Citation,CollectID,Compiler,Data_sens,Dec_Lat,Dec_Long,Dist_comm,Event_Year,Origin,Presence,Seasonal,Sens_comm,SpatialRef,YrCompiled,recordedBy
8725,PRESERVED_SPECIMEN,Palicourea pereziana,541799,GBIF,Croat 66253,Manuel Vargas,,8.85,-82.75,Protected due to name conservation status,1987.0,1,1,1,,WGS84,2020,Thomas B. Croat
10576,PRESERVED_SPECIMEN,Palicourea pereziana,2945716,GBIF,Paul 1104,Manuel Vargas,,8.78,-82.95,Protected due to name conservation status,2005.0,1,1,1,,WGS84,2020,John R. Paul
12153,PRESERVED_SPECIMEN,Palicourea pereziana,2325004,GBIF,Gómez Pignataro 21973,Manuel Vargas,,8.89,-82.78,Protected due to name conservation status,1983.0,1,1,1,,WGS84,2020,Luis Diego Gómez P.|Rafael Chacón|Isidro A. Chacón G.|Gerardo Herrera Ch.
12752,PRESERVED_SPECIMEN,Palicourea pereziana,2245353,GBIF,Navarro Valverde 266,Manuel Vargas,,8.9,-82.79,Protected due to name conservation status,1996.0,1,1,1,,WGS84,2020,Enia Navarro V.
12948,PRESERVED_SPECIMEN,Palicourea pereziana,2164265,GBIF,Knapp 1582,Manuel Vargas,,8.85,-82.77,Protected due to name conservation status,1981.0,1,1,1,,WGS84,2020,Sandy Knapp
14538,PRESERVED_SPECIMEN,Palicourea pereziana,1450372,GBIF,Navarro Valverde 701,Manuel Vargas,,8.91,-82.78,Protected due to name conservation status,1997.0,1,1,1,,WGS84,2020,Enia Navarro V.
15981,PRESERVED_SPECIMEN,Palicourea pereziana,100521527,GBIF,Solano Peralta 795,Manuel Vargas,,8.91,-82.8,Protected due to name conservation status,2003.0,1,1,1,,WGS84,2020,Daniel Solano|Ricardo Kriebel
16551,PRESERVED_SPECIMEN,Palicourea pereziana,100314084,GBIF,Alfaro Vindas 3927,Manuel Vargas,,8.9,-82.77,Protected due to name conservation status,2002.0,1,1,1,,WGS84,2020,Evelio Alfaro
16765,PRESERVED_SPECIMEN,Palicourea pereziana,100227606,GBIF,Kriebel Haehner 103,Manuel Vargas,,8.91,-82.8,Protected due to name conservation status,2002.0,1,1,1,,WGS84,2020,Ricardo Kriebel
18371,PRESERVED_SPECIMEN,Palicourea pereziana,4106987,GBIF,,Manuel Vargas,,8.9168,-82.79650500000001,"Z. P. Las Tablas, camino a los Portones por el tajo.",1998.0,1,1,1,,WGS84,2020,Enia Navarro
19174,PRESERVED_SPECIMEN,Palicourea pereziana,4029244,GBIF,,Manuel Vargas,,8.912291999999999,-82.801979,"Finca Cafrosa, 1 Km NNE. de Escuela Progreso",2003.0,1,1,1,,WGS84,2020,Daniel Solano; Ricardo Kriebel
19176,PRESERVED_SPECIMEN,Palicourea pereziana,4029242,GBIF,,Manuel Vargas,,8.912291999999999,-82.801979,"Finca Cafrosa, 1 Km NNE. de Escuela Progreso",2003.0,1,1,1,,WGS84,2020,Daniel Solano; Ricardo Kriebel
19180,PRESERVED_SPECIMEN,Palicourea pereziana,4029243,GBIF,,Manuel Vargas,,8.912291999999999,-82.801979,"Finca Cafrosa, 1 Km NNE. de Escuela Progreso",2003.0,1,1,1,,WGS84,2020,Daniel Solano; Ricardo Kriebel
19496,PRESERVED_SPECIMEN,Palicourea pereziana,3912594,GBIF,,Manuel Vargas,,8.951113000000001,-82.77641700000001,Camino a Cotoncito.,2003.0,1,1,1,,WGS84,2020,Ricardo Kriebel; Daniel Solano
19500,PRESERVED_SPECIMEN,Palicourea pereziana,3912593,GBIF,,Manuel Vargas,,8.951113000000001,-82.77641700000001,Camino a Cotoncito.,2003.0,1,1,1,,WGS84,2020,Ricardo Kriebel; Daniel Solano
19502,PRESERVED_SPECIMEN,Palicourea pereziana,3912592,GBIF,,Manuel Vargas,,8.951113000000001,-82.77641700000001,Camino a Cotoncito.,2003.0,1,1,1,,WGS84,2020,Ricardo Kriebel; Daniel Solano
20073,PRESERVED_SPECIMEN,Palicourea pereziana,3759345,GBIF,,Manuel Vargas,,8.899998,-82.76563900000001,"Coto Brus, Zona Prot Las Tablas, Camino Fca Santa Martha",2002.0,1,1,1,,WGS84,2020,Evelio Alfaro
20074,PRESERVED_SPECIMEN,Palicourea pereziana,3759347,GBIF,,Manuel Vargas,,8.899998,-82.76563900000001,"Coto Brus, Zona Prot Las Tablas, Camino Fca Santa Martha",2002.0,1,1,1,,WGS84,2020,Evelio Alfaro
20076,PRESERVED_SPECIMEN,Palicourea pereziana,3759343,GBIF,,Manuel Vargas,,8.899998,-82.76563900000001,"Coto Brus, Zona Prot Las Tablas, Camino Fca Santa Martha",2002.0,1,1,1,,WGS84,2020,Evelio Alfaro
20077,PRESERVED_SPECIMEN,Palicourea pereziana,3759344,GBIF,,Manuel Vargas,,8.899998,-82.76563900000001,"Coto Brus, Zona Prot Las Tablas, Camino Fca Santa Martha",2002.0,1,1,1,,WGS84,2020,Evelio Alfaro
20078,PRESERVED_SPECIMEN,Palicourea pereziana,3759348,GBIF,,Manuel Vargas,,8.899998,-82.76563900000001,"Coto Brus, Zona Prot Las Tablas, Camino Fca Santa Martha",2002.0,1,1,1,,WGS84,2020,Evelio Alfaro
20079,PRESERVED_SPECIMEN,Palicourea pereziana,3759346,GBIF,,Manuel Vargas,,8.899998,-82.76563900000001,"Coto Brus, Zona Prot Las Tablas, Camino Fca Santa Martha",2002.0,1,1,1,,WGS84,2020,Evelio Alfaro
