,BasisOfRec,Binomial,CatalogNo,Citation,CollectID,Compiler,Data_sens,Dec_Lat,Dec_Long,Dist_comm,Event_Year,Origin,Presence,Seasonal,Sens_comm,SpatialRef,YrCompiled,recordedBy
2442,PRESERVED_SPECIMEN,Palicourea salicifolia,,GBIF,,Manuel Vargas,,10.92,-85.47,"Costa Rica:Area de Conservacion Guanacaste, Sector Cacao, Estacion Biologica Cacao, Sendero Arenales",2008.0,1,1,1,,WGS84,2020,Adrian Guadamuz
2460,PRESERVED_SPECIMEN,Palicourea salicifolia,,GBIF,,Manuel Vargas,,10.92,-85.47,"Costa Rica:Area de Conservacion Guanacaste, Sector Cacao, Estacion Biologica Cacao, Sendero Arenales",2008.0,1,1,1,,WGS84,2020,Adrian Guadamuz
2480,PRESERVED_SPECIMEN,Palicourea salicifolia,,GBIF,,Manuel Vargas,,10.92,-85.47,"Costa Rica:Area de Conservacion Guanacaste, Sector Cacao, Estacion Biologica Cacao, Sendero Arenales",2008.0,1,1,1,,WGS84,2020,Adrian Guadamuz
2503,PRESERVED_SPECIMEN,Palicourea salicifolia,,GBIF,,Manuel Vargas,,10.92,-85.47,"Costa Rica:Area de Conservacion Guanacaste, Sector Cacao, Estacion Biologica Cacao, Sendero Arenales",2008.0,1,1,1,,WGS84,2020,Adrian Guadamuz
2509,PRESERVED_SPECIMEN,Palicourea salicifolia,,GBIF,,Manuel Vargas,,10.92,-85.47,"Costa Rica:Area de Conservacion Guanacaste, Sector Cacao, Estacion Biologica Cacao, Sendero Arenales",2008.0,1,1,1,,WGS84,2020,Adrian Guadamuz
2537,PRESERVED_SPECIMEN,Palicourea salicifolia,,GBIF,,Manuel Vargas,,10.92,-85.47,"Costa Rica:Area de Conservacion Guanacaste, Sector Cacao, Estacion Biologica Cacao, Sendero Arenales",2008.0,1,1,1,,WGS84,2020,Adrian Guadamuz
2890,PRESERVED_SPECIMEN,Palicourea salicifolia,100954848,GBIF,Sánchez-González 2038,Manuel Vargas,,9.827222,-84.041528,"San Miguel. Area no protegida, aprox. 1 KM Oeste del pueblo de Jerico. Potrero arbolado y pequenos parchas de bosque de robles.",2008.0,1,1,1,,WGS84,2020,Joaquín Sánchez González|et al.
2972,MATERIAL_SAMPLE,Palicourea salicifolia,BioBot10137,GBIF,,Manuel Vargas,,10.923,-85.465,"Area de Conservacion Guanacaste, Sector Cacao, Estacion Biologica Cacao, Sendero Arenales",2008.0,1,1,1,,WGS84,2020,Adrian Guadamuz
2982,MATERIAL_SAMPLE,Palicourea salicifolia,BioBot10138,GBIF,,Manuel Vargas,,10.923,-85.465,"Area de Conservacion Guanacaste, Sector Cacao, Estacion Biologica Cacao, Sendero Arenales",2008.0,1,1,1,,WGS84,2020,Adrian Guadamuz
3014,MATERIAL_SAMPLE,Palicourea salicifolia,BioBot10139,GBIF,,Manuel Vargas,,10.923,-85.465,"Area de Conservacion Guanacaste, Sector Cacao, Estacion Biologica Cacao, Sendero Arenales",2008.0,1,1,1,,WGS84,2020,Adrian Guadamuz
3623,PRESERVED_SPECIMEN,Palicourea salicifolia,MA-01-00762700,GBIF,231,Manuel Vargas,,9.7092,-83.9475,"Cartago: El Guarco. No protegida. Cuenca del Reventazón. La Chonta, 3km al sur del Empalme, a mano derecha de la Interamericana Sur",2000.0,1,1,1,,WGS84,2020,B. Brak & M. Vroklage
3925,PRESERVED_SPECIMEN,Palicourea salicifolia,132447,GBIF,NY1034,Manuel Vargas,,10.211761,-84.380936,Canton Alfaro Ruiz. Palmira. Zone subtropical.,1938.0,1,1,1,,WGS84,2020,A. F. Smith
5642,PRESERVED_SPECIMEN,Palicourea salicifolia,266918,GBIF,2702,Manuel Vargas,,8.75,-82.25,"Noreste del campamento Fortuna, Hornito sitio de presa.",1976.0,1,1,1,,WGS84,2020,M. D Correa | R. Dressler | N. Salazar
5862,PRESERVED_SPECIMEN,Palicourea salicifolia,0088177,GBIF,,Manuel Vargas,,9.67833,-83.87917,"Costa Rica, Cartago Province, Canton El Guarco. Cerro de la Muerte nr. Trinidad de Dota, 2 km north of km 64 of Interamericana highway, Finca Truchas Selva Madre.",2015.0,1,1,1,,WGS84,2020,"Berger,A."
5865,PRESERVED_SPECIMEN,Palicourea salicifolia,0088178,GBIF,,Manuel Vargas,,9.671669999999999,-83.89416999999999,"Costa Rica, San José Province, Canton Dota. Cerro de la Muerte nr. Trinidad de Dota/km 64 on Interamericana highway. Trail surrounding apartment belonging to Finca Truchas Selva Madre.",2015.0,1,1,1,,WGS84,2020,"Berger,A."
7353,PRESERVED_SPECIMEN,Palicourea salicifolia,982700,GBIF,Morales Quirós 4511,Manuel Vargas,,9.71,-84.1,"Z.P. Cerros de Caraigres; Fila Bustamante. Cerro Caraigres, Fila El Alto, bosque primario y paredones cerca del cruce del camino viejo a Bijagual.",1995.0,1,1,1,,WGS84,2020,J. F. Morales
7506,PRESERVED_SPECIMEN,Palicourea salicifolia,907666,GBIF,Morales Quirós 1608,Manuel Vargas,,9.67,-83.87276999999999,"Reserva Forestal Río Macho, Cordillera de Talamanca, Madreselva, robledales y parches alterados en los alrededores de Trinidad",1993.0,1,1,1,,WGS84,2020,J. F. Morales|Eduardo Lépiz|Víctor H. Ramírez|E. Ureña
7830,PRESERVED_SPECIMEN,Palicourea salicifolia,894061,GBIF,Hammel 19506,Manuel Vargas,,9.55,-83.69,"Cordillera de Talamanca, Villa Mills, camino entre Siberia y Alta Piedra, robledales",1994.0,1,1,1,,WGS84,2020,Barry E. Hammel|Eduardo Lépiz|Víctor H. Ramírez|Michael Garita
7937,PRESERVED_SPECIMEN,Palicourea salicifolia,888674,GBIF,Morales Quirós 2597,Manuel Vargas,,9.63,-83.84,"Reserva Forestal Río Macho, Cordillera de Talamanca, Salsipuedes, en las cabeceras del Río Humo.",1994.0,1,1,1,,WGS84,2020,J. F. Morales
9395,PRESERVED_SPECIMEN,Palicourea salicifolia,514179,GBIF,Davidse 23830,Manuel Vargas,,9.0,-82.81666700000001,"Cordillera de Talamanca, forested upper slopes of Cerro Burú.",1983.0,1,1,1,,WGS84,2020,Gerrit Davidse|Luis Diego Gómez P.|Alfredo Grijalva P.|Isidro A. Chacón G.|Rafael Chacón|Gerardo Herrera Ch.
9810,PRESERVED_SPECIMEN,Palicourea salicifolia,3593971,GBIF,Angulo Angulo 262,Manuel Vargas,,9.05,-82.988889,P.I. La Amistad. Cordillera de Talamanca. Estación Altamira. Sendero casa de Coca. Faldas Cerro Frantzius.,1995.0,1,1,1,,WGS84,2020,Luis Angulo
9852,PRESERVED_SPECIMEN,Palicourea salicifolia,3584601,GBIF,Picado Calvo 306,Manuel Vargas,,9.538889,-83.661111,"Cordillera de Talamanca. Cuericí, camino a quebrada Los Leones, bosque secundario.",1995.0,1,1,1,,WGS84,2020,Annia Picado|Billen Gamboa R.
9986,PRESERVED_SPECIMEN,Palicourea salicifolia,3471086,GBIF,Picado Calvo 346,Manuel Vargas,,9.575,-83.686111,Cordillera de Talamancai. Finca el sitio. Sendero a la catarata. Bosque primario y potreros 3 km este Villa Mills.,1996.0,1,1,1,,WGS84,2020,Annia Picado
10644,PRESERVED_SPECIMEN,Palicourea salicifolia,2881140,GBIF,Mori 7848,Manuel Vargas,,8.531945,-81.813889,"Cerro Colorado, 50 km N of San Félix on the continental divide.",1975.0,1,1,1,,WGS84,2020,Scott A. Mori|Robert L. Dressler
11116,PRESERVED_SPECIMEN,Palicourea salicifolia,2784037,GBIF,Navarro 691,Manuel Vargas,,8.923333,-82.714167,Z.P. Las Tablas. Cuenca Terraba-Sierpe. Jurutungo.,1997.0,1,1,1,,WGS84,2020,E. Navarro|Annia Picado
11119,PRESERVED_SPECIMEN,Palicourea salicifolia,2782729,GBIF,Alfaro Vindas 1534,Manuel Vargas,,9.71388,-83.83610999999999,"Reserva Forestal Río Macho, Cuenca del Reventazó, Río Queveri, camino a el ICE",1998.0,1,1,1,,WGS84,2020,Evelio Alfaro
11197,PRESERVED_SPECIMEN,Palicourea salicifolia,2750435,GBIF,Morales Quirós 2597,Manuel Vargas,,9.6375,-83.844444,"Cord. de Talamanca, Salsipuedes, bosque secundario y turberas en las cabeceras del río Humo.",1994.0,1,1,1,,WGS84,2020,J. F. Morales
11198,PRESERVED_SPECIMEN,Palicourea salicifolia,2750422,GBIF,Morales Quirós 4511,Manuel Vargas,,9.7125,-84.10583299999999,"Z.P. Cerros de Caraigres, Fila Bustamante, Cerro Caraigres, Fila El Alto, bosque primario y paredones cerca del cruce del camino viejo a Bijagual.",1995.0,1,1,1,,WGS84,2020,J. F. Morales
11536,PRESERVED_SPECIMEN,Palicourea salicifolia,2418525,GBIF,Alfaro Vindas 1969,Manuel Vargas,,8.975,-82.770833,Z.P. Las Tablas. Cuenca Terraba-Sierpe. Colectado a orilla del potrero y orillas del río.,1999.0,1,1,1,,WGS84,2020,Evelio Alfaro
11551,PRESERVED_SPECIMEN,Palicourea salicifolia,2418139,GBIF,Alfaro Vindas 2394,Manuel Vargas,,8.962778,-82.828056,"Z.P. Las Tablas. Cuenca Terraba-Sierpe. Zona protectora Las Tablas, Est. Biológica Las Alturas, sendero a cerro Chai, colectando en bosque.",1999.0,1,1,1,,WGS84,2020,Evelio Alfaro
11559,PRESERVED_SPECIMEN,Palicourea salicifolia,2412661,GBIF,Gamboa Romero 1990,Manuel Vargas,,8.966667,-82.830556,Z.P. Las tablas. Cuenca Térraba-Sierpe. Estación Biológica Las Alturas. Cerero Chai.,1997.0,1,1,1,,WGS84,2020,Billen Gamboa R.
