,BasisOfRec,Binomial,CatalogNo,Citation,CollectID,Compiler,Data_sens,Dec_Lat,Dec_Long,Dist_comm,Event_Year,Origin,Presence,Seasonal,Sens_comm,SpatialRef,YrCompiled,recordedBy
3642,PRESERVED_SPECIMEN,Palicourea skotakii,MA-01-00759815,GBIF,3472,Manuel Vargas,,9.1375,-82.9519,Limón: Talamanca. P.N. La Amistad. Tararia. Valle del Silencio,2000.0,1,1,1,,WGS84,2020,E. Alfaro
3672,PRESERVED_SPECIMEN,Palicourea skotakii,MA-01-00734786,GBIF,3472,Manuel Vargas,,9.1375,-82.9519,Limón: Talamanca. P.N. La amistad. Tararia. Valle del Silencio,2000.0,1,1,1,,WGS84,2020,E. Alfaro
5868,PRESERVED_SPECIMEN,Palicourea skotakii,0088180,GBIF,,Manuel Vargas,,9.67861,-83.86944,"Costa Rica, Cartago Province, Canton El Guarco. Cerro de la Muerte nr. Trinidad de Dota, 2 km north of km 64 of Interamericana highway. Finca Truchas Selva Madre, on trail between first and second cascada.",2015.0,1,1,1,,WGS84,2020,"Berger,A."
5879,PRESERVED_SPECIMEN,Palicourea skotakii,0088179,GBIF,,Manuel Vargas,,9.67861,-83.86944,"Costa Rica, Cartago Province, Canton El Guarco. Cerro de la Muerte nr. Trinidad de Dota, 2 km north of km 64 of Interamericana highway. Finca Truchas Selva Madre, on trail between first and second cascada.",2015.0,1,1,1,,WGS84,2020,"Berger,A."
5943,PRESERVED_SPECIMEN,Palicourea skotakii,FMB-98352,GBIF,464,Manuel Vargas,,5.263056,-73.24333299999999,"Vereda Guanatá, Bosque al lado izquierdo de poliducto de ECOPETROL. Kilometro 67",2009.0,1,1,1,,WGS84,2020,"Zabala-Rivera, J. | Gil-L., P. | Garzón-Peña, O. | Manrique-Valderrama, N. | Arias-Sanabria, S. | Bravo, W. | Gómez, C. | Suárez, I."
9314,PRESERVED_SPECIMEN,Palicourea skotakii,515625,GBIF,Davidse 29004,Manuel Vargas,,9.0,-82.966667,"Cordillera de Talamanca, Atlantic slope, unnamed cordillera between the Río Terbi and the Río Siní.",1984.0,1,1,1,,WGS84,2020,Gerrit Davidse|Gerardo Herrera Ch.|Michael H. Grayum
9315,PRESERVED_SPECIMEN,Palicourea skotakii,515600,GBIF,Davidse 28879,Manuel Vargas,,9.15,-82.966667,"Cordillera de Talamanca, Atlantic slope, Cerros Tararia (locally known as Tres Picos).",1984.0,1,1,1,,WGS84,2020,Gerrit Davidse|Gerardo Herrera Ch.|Michael H. Grayum
9368,PRESERVED_SPECIMEN,Palicourea skotakii,514603,GBIF,Davidse 25125,Manuel Vargas,,9.05,-82.833333,"Cordillera de Talamanca, 2-5 airline km NW of the peak of Cerro Echandi on the Costa Rican-Panamanian international border.",1984.0,1,1,1,,WGS84,2020,Gerrit Davidse|Luis Diego Gómez P.|Gerardo Herrera Ch.|C.R. Chacón|Isidro A. Chacón G.|Abelardo Chacón
9947,PRESERVED_SPECIMEN,Palicourea skotakii,3495180,GBIF,Angulo Angulo 237,Manuel Vargas,,9.116667,-82.966667,P.I. La Amistad. Cordillera de Talamanca. Estación Altamira. Sendero del Valle del Silencio. Hacia el Jardín Natural la Amistad. Margenes del Río Terbi.,1995.0,1,1,1,,WGS84,2020,Luis Angulo
12291,PRESERVED_SPECIMEN,Palicourea skotakii,2309586,GBIF,Gómez Pignataro 21915,Manuel Vargas,,9.08,-82.869722,Upper Río Colubre.,1983.0,1,1,1,,WGS84,2020,Luis Diego Gómez P.|Rafael Chacón|Isidro A. Chacón G.|Gerardo Herrera Ch.
