,BasisOfRec,Binomial,CatalogNo,Citation,CollectID,Compiler,Data_sens,Dec_Lat,Dec_Long,Dist_comm,Event_Year,Origin,Presence,Seasonal,Sens_comm,SpatialRef,YrCompiled,recordedBy
1803,PRESERVED_SPECIMEN,Palicourea spathacea,U.1567629,GBIF,"Maas, PJM; Maas-van de Kamer, H  7991 ",Manuel Vargas,,9.747222,-83.783333,"Cartago: Refugio Fauna Silv. Tapanti. Forest along road, 6 km from entrance.",1991.0,1,1,1,,WGS84,2020,Maas PJM; Maas-van de Kamer H
3678,PRESERVED_SPECIMEN,Palicourea spathacea,MA-01-00734360,GBIF,3917,Manuel Vargas,,9.6756,-83.7472,Cartago: Paraíso. P.N. Tapantí-Macizo de La Muerte. Cuenca del Reventazón. Cerca de la Repres del Humo,2002.0,1,1,1,,WGS84,2020,E. Alfaro
5869,PRESERVED_SPECIMEN,Palicourea spathacea,0088181,GBIF,,Manuel Vargas,,9.72056,-83.77444,"Costa Rica, Cartago Province, Canton Paraíso. Tapanti National Park, beyond gate on property of ICE Hydroelectric Plant, along road bordering the Río Grande de Orosi.",2015.0,1,1,1,,WGS84,2020,"Berger,A."
7514,PRESERVED_SPECIMEN,Palicourea spathacea,907492,GBIF,Lépiz Villalobos 517,Manuel Vargas,,9.75,-83.78,"Parque Nacional Tapantí, Valle del Reventazón, Sendero Arboles Caídos",1994.0,1,1,1,,WGS84,2020,Eduardo Lépiz|J. F. Morales|José Á. González R.
7522,PRESERVED_SPECIMEN,Palicourea spathacea,907086,GBIF,Lépiz Villalobos 280,Manuel Vargas,,9.73,-83.78,"Parque Nacional Tapantí, Valle del Reventazón, 2-3 km al Sur de la Administración",1994.0,1,1,1,,WGS84,2020,Eduardo Lépiz|J. F. Morales
7932,PRESERVED_SPECIMEN,Palicourea spathacea,889203,GBIF,Morales Quirós 2872,Manuel Vargas,,9.76,-83.78,"Parque Nacional Tapantí, Valle del Reventazón, bosque primario y secundario en las filas adyacente al río",1994.0,1,1,1,,WGS84,2020,J. F. Morales|Germán Carnevali
8649,PRESERVED_SPECIMEN,Palicourea spathacea,544776,GBIF,Grayum 5098,Manuel Vargas,,9.716667,-83.783333,"In forest along creek debouching into Río Grande de Orosi from the east, ca. 1 km upstream from confluence of Quebrada Salto, Tapantí.",1985.0,1,1,1,,WGS84,2020,Michael H. Grayum
8713,PRESERVED_SPECIMEN,Palicourea spathacea,542810,GBIF,Croat 68269,Manuel Vargas,,9.716667,-83.783333,"Tapantí Reserve, ca. 1 km south of junction of Quebrada Salto and Río Grande de Orosí, along trail leading eastward into mountains from road.",1987.0,1,1,1,,WGS84,2020,Thomas B. Croat|Michael H. Grayum
9154,PRESERVED_SPECIMEN,Palicourea spathacea,521307,GBIF,Maas 7991,Manuel Vargas,,9.74,-83.78,"Refugio Fauna Silvestre Tapantí, forest along road, 6 km from entrance",1991.0,1,1,1,,WGS84,2020,Paul J. M. Maas|Hiltje Maas
11183,PRESERVED_SPECIMEN,Palicourea spathacea,2750740,GBIF,Mora Chavarría 514,Manuel Vargas,,9.763889,-83.7875,"P.N. Tapantí, Valle del Reventazón, sector Quebrada Segunda.",1995.0,1,1,1,,WGS84,2020,Gerardo Mora
11538,PRESERVED_SPECIMEN,Palicourea spathacea,2418515,GBIF,Alfaro Vindas 1795,Manuel Vargas,,9.676389,-83.727222,"Reserva Forestal Río Macho, Cuenca del Reventazón, Río Pejibaye",1998.0,1,1,1,,WGS84,2020,Evelio Alfaro
11539,PRESERVED_SPECIMEN,Palicourea spathacea,2418483,GBIF,Acosta Vargas 347,Manuel Vargas,,9.731667,-83.78,"Parque Nacional Tapantí, Macizo de La Muerte, cuenca del Reventazón, entrada al sendero de los árboles caidos",2000.0,1,1,1,,WGS84,2020,Luis Acosta|Víctor H. Ramírez
11556,PRESERVED_SPECIMEN,Palicourea spathacea,2413841,GBIF,Mora Castro 1928,Manuel Vargas,,9.920833,-83.398611,"Parque Nacional Barbilla, Cuenca del Matina, Sendero Barthon, Cerro Tigre.",2001.0,1,1,1,,WGS84,2020,Edgar Mora Castro
11567,PRESERVED_SPECIMEN,Palicourea spathacea,2412506,GBIF,Salas Leal 221,Manuel Vargas,,9.744722,-83.781944,"Parque Nacional Tapantí, Cuenca del Reventazón, Orosí, Sendero Oropendula",1997.0,1,1,1,,WGS84,2020,Sandy Salas
