,BasisOfRec,Binomial,CatalogNo,Citation,CollectID,Compiler,Data_sens,Dec_Lat,Dec_Long,Dist_comm,Event_Year,Origin,Presence,Seasonal,Sens_comm,SpatialRef,YrCompiled,recordedBy
2899,PRESERVED_SPECIMEN,Pentagonia hirsuta,100937716,GBIF,Hammel 27230,Manuel Vargas,,9.614722,-82.73944399999999,Camino entre Margarita y Punta Cocles.,2016.0,1,1,1,,WGS84,2020,Barry E. Hammel|Isabel Pérez
2900,PRESERVED_SPECIMEN,Pentagonia hirsuta,100937725,GBIF,Hammel 27228,Manuel Vargas,,9.614722,-82.73944399999999,Camino entre Margarita y Punta Cocles.,2016.0,1,1,1,,WGS84,2020,Barry E. Hammel|Isabel Pérez
9316,PRESERVED_SPECIMEN,Pentagonia hirsuta,515589,GBIF,Herrera 1317,Manuel Vargas,,8.9,-77.766667,"Cordillera de San Blas, Cerro Bo Yala; frente a la Isla de Tubualá",1993.0,1,1,1,,WGS84,2020,Heraclio Herrera|Prudencio González
12223,PRESERVED_SPECIMEN,Pentagonia hirsuta,2311184,GBIF,"Kirkbride, Jr. 425",Manuel Vargas,,9.366667,-82.666667,Quebrada Huron.,1968.0,1,1,1,,WGS84,2020,"Joseph H. Kirkbride, Jr.|James A. Duke"
12332,PRESERVED_SPECIMEN,Pentagonia hirsuta,2308649,GBIF,"Kirkbride, Jr. 425",Manuel Vargas,,9.366667,-82.666667,Quebrada Huron.,1968.0,1,1,1,,WGS84,2020,"Joseph H. Kirkbride, Jr.|James A. Duke"
16131,PRESERVED_SPECIMEN,Pentagonia hirsuta,100500790,GBIF,Solano Peralta 3545,Manuel Vargas,,9.664664,-83.02469,R.B. Hitoy Cerere. Cuenca del Estrella. Valle de la Estrella. R. B. Hitoy Cerere. Sendero Espavel.,2006.0,1,1,1,,WGS84,2020,Daniel Solano|Daniel Santamaría|Billen Gamboa R.|Marcos Moraga
18059,PRESERVED_SPECIMEN,Pentagonia hirsuta,4152807,GBIF,,Manuel Vargas,,9.715778,-82.819833,"Puerto Vargas, Junto a la caseta de entrada.",2008.0,1,1,1,,WGS84,2020,Luis Diego Vargas; Jorge Blanco
18706,PRESERVED_SPECIMEN,Pentagonia hirsuta,4094901,GBIF,,Manuel Vargas,,9.664664,-83.02469,"Valle de la Estrella, Reserva Biol. Hitoy Cerere, Sendero Espavel.",2006.0,1,1,1,,WGS84,2020,Daniel Solano; Daniel Santamaría ; Billen Gamboa R. ; Marcos Moraga
18707,PRESERVED_SPECIMEN,Pentagonia hirsuta,4094902,GBIF,,Manuel Vargas,,9.664664,-83.02469,"Valle de la Estrella, Reserva Biol. Hitoy Cerere, Sendero Espavel.",2006.0,1,1,1,,WGS84,2020,Daniel Solano; Daniel Santamaría ; Billen Gamboa R. ; Marcos Moraga
18708,PRESERVED_SPECIMEN,Pentagonia hirsuta,4094903,GBIF,,Manuel Vargas,,9.664664,-83.02469,"Valle de la Estrella, Reserva Biol. Hitoy Cerere, Sendero Espavel.",2006.0,1,1,1,,WGS84,2020,Daniel Solano; Daniel Santamaría ; Billen Gamboa R. ; Marcos Moraga
19783,PRESERVED_SPECIMEN,Pentagonia hirsuta,3902565,GBIF,,Manuel Vargas,,9.588583999999999,-82.604965,"Sector Gandoca, entrada al muelle de la laguna Gandoca",1999.0,1,1,1,,WGS84,2020,Barry Hammel; Reinaldo Aguilar
19945,PRESERVED_SPECIMEN,Pentagonia hirsuta,3802346,GBIF,,Manuel Vargas,,9.639339999999999,-82.650835,"Talamanca, Res Vida Silvestre Manzanillo",2003.0,1,1,1,,WGS84,2020,Jose González; Luis González ; Alfonso Garita
20105,PRESERVED_SPECIMEN,Pentagonia hirsuta,3562974,GBIF,,Manuel Vargas,,9.613889,-82.65,"Al Sur de Manzanillo, moist forest, in forest on slope.",1999.0,1,1,1,,WGS84,2020,Barry Hammel
20106,PRESERVED_SPECIMEN,Pentagonia hirsuta,3562973,GBIF,,Manuel Vargas,,9.613889,-82.65,"Al Sur de Manzanillo, moist forest, in forest on slope.",1999.0,1,1,1,,WGS84,2020,Barry Hammel
20107,PRESERVED_SPECIMEN,Pentagonia hirsuta,3562831,GBIF,,Manuel Vargas,,9.588583999999999,-82.604965,"Sector Gandoca, entrada al muelle de la laguna Gandoca",1999.0,1,1,1,,WGS84,2020,Barry Hammel; Reinaldo Aguilar
