,BasisOfRec,Binomial,CatalogNo,Citation,CollectID,Compiler,Data_sens,Dec_Lat,Dec_Long,Dist_comm,Event_Year,Origin,Presence,Seasonal,Sens_comm,SpatialRef,YrCompiled,recordedBy
1361,PRESERVED_SPECIMEN,Phyllanthus valerioi,V0521252F,GBIF,2670,Manuel Vargas,,10.0114,-83.9519,,1997.0,1,1,1,,WGS84,2020,A. Rodríguez González & et al.
1396,PRESERVED_SPECIMEN,Phyllanthus valerioi,V0521250F,GBIF,1099,Manuel Vargas,,10.0114,-83.9519,,1977.0,1,1,1,,WGS84,2020,V. J. Dryer
1404,PRESERVED_SPECIMEN,Phyllanthus valerioi,V0521258F,GBIF,4534,Manuel Vargas,,10.0114,-83.9519,,1984.0,1,1,1,,WGS84,2020,M. H. Grayum & et al.
1411,PRESERVED_SPECIMEN,Phyllanthus valerioi,V0521247F,GBIF,6061,Manuel Vargas,,10.0114,-83.9519,,1993.0,1,1,1,,WGS84,2020,G. Herrera C.
1421,PRESERVED_SPECIMEN,Phyllanthus valerioi,V0521255F,GBIF,2165,Manuel Vargas,,10.0114,-83.9519,,1990.0,1,1,1,,WGS84,2020,E. Bello C. & et al.
1469,PRESERVED_SPECIMEN,Phyllanthus valerioi,V0521249F,GBIF,13933,Manuel Vargas,,10.0114,-83.9519,,1979.0,1,1,1,,WGS84,2020,W. D. Stevens
1489,PRESERVED_SPECIMEN,Phyllanthus valerioi,V0521251F,GBIF,9648,Manuel Vargas,,10.0114,-83.9519,,1983.0,1,1,1,,WGS84,2020,J. Gómez-Laurito
1490,PRESERVED_SPECIMEN,Phyllanthus valerioi,V0521257F,GBIF,8727,Manuel Vargas,,10.0114,-83.9519,,1973.0,1,1,1,,WGS84,2020,"W. C. Burger & J. L. Gentry, Jr."
1510,PRESERVED_SPECIMEN,Phyllanthus valerioi,V0521256F,GBIF,21041,Manuel Vargas,,10.0114,-83.9519,,1984.0,1,1,1,,WGS84,2020,L. D. Gómez P. & et al.
1519,PRESERVED_SPECIMEN,Phyllanthus valerioi,V0521248F,GBIF,8939,Manuel Vargas,,10.0114,-83.9519,,1996.0,1,1,1,,WGS84,2020,G. Herrera C. & G. Valverde
1524,PRESERVED_SPECIMEN,Phyllanthus valerioi,V0521254F,GBIF,1219,Manuel Vargas,,10.0114,-83.9519,,1986.0,1,1,1,,WGS84,2020,N. Zamora V. & et al.
1566,PRESERVED_SPECIMEN,Phyllanthus valerioi,V0521253F,GBIF,9361,Manuel Vargas,,10.0114,-83.9519,,1983.0,1,1,1,,WGS84,2020,J. Gómez-Laurito
17138,PRESERVED_SPECIMEN,Phyllanthus valerioi,4398525,GBIF,,Manuel Vargas,,9.748056,-83.781944,Sendero Oropéndula.,2014.0,1,1,1,,WGS84,2020,Nelson A. Zamora Villalobos; Soo-Yong Kim ; Guillermo Villalobos
17139,PRESERVED_SPECIMEN,Phyllanthus valerioi,4398526,GBIF,,Manuel Vargas,,9.748056,-83.781944,Sendero Oropéndula.,2014.0,1,1,1,,WGS84,2020,Nelson A. Zamora Villalobos; Soo-Yong Kim ; Guillermo Villalobos
17140,PRESERVED_SPECIMEN,Phyllanthus valerioi,4398524,GBIF,,Manuel Vargas,,9.748056,-83.781944,Sendero Oropéndula.,2014.0,1,1,1,,WGS84,2020,Nelson A. Zamora Villalobos; Soo-Yong Kim ; Guillermo Villalobos
17818,PRESERVED_SPECIMEN,Phyllanthus valerioi,4223298,GBIF,,Manuel Vargas,,9.697778,-83.781667,Tapantí. Cercanías de la represa hidroeléctrica.,2009.0,1,1,1,,WGS84,2020,Luis Diego Vargas; L. Acosta
17819,PRESERVED_SPECIMEN,Phyllanthus valerioi,4223299,GBIF,,Manuel Vargas,,9.697778,-83.781667,Tapantí. Cercanías de la represa hidroeléctrica.,2009.0,1,1,1,,WGS84,2020,Luis Diego Vargas; L. Acosta
17820,PRESERVED_SPECIMEN,Phyllanthus valerioi,4223297,GBIF,,Manuel Vargas,,9.697778,-83.781667,Tapantí. Cercanías de la represa hidroeléctrica.,2009.0,1,1,1,,WGS84,2020,Luis Diego Vargas; L. Acosta
17821,PRESERVED_SPECIMEN,Phyllanthus valerioi,4223295,GBIF,,Manuel Vargas,,9.697778,-83.781667,Tapantí. Cercanías de la represa hidroeléctrica.,2009.0,1,1,1,,WGS84,2020,Luis Diego Vargas; L. Acosta
17822,PRESERVED_SPECIMEN,Phyllanthus valerioi,4223296,GBIF,,Manuel Vargas,,9.697778,-83.781667,Tapantí. Cercanías de la represa hidroeléctrica.,2009.0,1,1,1,,WGS84,2020,Luis Diego Vargas; L. Acosta
18033,PRESERVED_SPECIMEN,Phyllanthus valerioi,4156290,GBIF,,Manuel Vargas,,10.052194,-84.023472,Entrando por Santa Elena.,2008.0,1,1,1,,WGS84,2020,Luis Diego Vargas; Diego Castillo
18034,PRESERVED_SPECIMEN,Phyllanthus valerioi,4156289,GBIF,,Manuel Vargas,,10.052194,-84.023472,Entrando por Santa Elena.,2008.0,1,1,1,,WGS84,2020,Luis Diego Vargas; Diego Castillo
18036,PRESERVED_SPECIMEN,Phyllanthus valerioi,4156288,GBIF,,Manuel Vargas,,10.052194,-84.023472,Entrando por Santa Elena.,2008.0,1,1,1,,WGS84,2020,Luis Diego Vargas; Diego Castillo
18668,PRESERVED_SPECIMEN,Phyllanthus valerioi,4070149,GBIF,,Manuel Vargas,,9.38617,-83.21145,"Transecto Transtalamanca, Ujarrás-San José Cabécar.",2007.0,1,1,1,,WGS84,2020,Alexánder Francisco Rodríguez González; Daniel Solano ; William Gamboa ; Oscar Chacón Chavarría ; Ronny Samaniego ; David Salvador Mitre Bethancourt
18669,PRESERVED_SPECIMEN,Phyllanthus valerioi,4070150,GBIF,,Manuel Vargas,,9.38617,-83.21145,"Transecto Transtalamanca, Ujarrás-San José Cabécar.",2007.0,1,1,1,,WGS84,2020,Alexánder Francisco Rodríguez González; Daniel Solano ; William Gamboa ; Oscar Chacón Chavarría ; Ronny Samaniego ; David Salvador Mitre Bethancourt
18670,PRESERVED_SPECIMEN,Phyllanthus valerioi,4070148,GBIF,,Manuel Vargas,,9.38617,-83.21145,"Transecto Transtalamanca, Ujarrás-San José Cabécar.",2007.0,1,1,1,,WGS84,2020,Alexánder Francisco Rodríguez González; Daniel Solano ; William Gamboa ; Oscar Chacón Chavarría ; Ronny Samaniego ; David Salvador Mitre Bethancourt
18671,PRESERVED_SPECIMEN,Phyllanthus valerioi,4070147,GBIF,,Manuel Vargas,,9.38617,-83.21145,"Transecto Transtalamanca, Ujarrás-San José Cabécar.",2007.0,1,1,1,,WGS84,2020,Alexánder Francisco Rodríguez González; Daniel Solano ; William Gamboa ; Oscar Chacón Chavarría ; Ronny Samaniego ; David Salvador Mitre Bethancourt
20192,PRESERVED_SPECIMEN,Phyllanthus valerioi,3520771,GBIF,,Manuel Vargas,,10.086797,-84.05899699999999,"Vara Blanca, Cerro Chompipe",2002.0,1,1,1,,WGS84,2020,Ricardo Kriebel
20195,PRESERVED_SPECIMEN,Phyllanthus valerioi,3520769,GBIF,,Manuel Vargas,,10.086797,-84.05899699999999,"Vara Blanca, Cerro Chompipe",2002.0,1,1,1,,WGS84,2020,Ricardo Kriebel
20196,PRESERVED_SPECIMEN,Phyllanthus valerioi,3520768,GBIF,,Manuel Vargas,,10.086797,-84.05899699999999,"Vara Blanca, Cerro Chompipe",2002.0,1,1,1,,WGS84,2020,Ricardo Kriebel
20197,PRESERVED_SPECIMEN,Phyllanthus valerioi,3520770,GBIF,,Manuel Vargas,,10.086797,-84.05899699999999,"Vara Blanca, Cerro Chompipe",2002.0,1,1,1,,WGS84,2020,Ricardo Kriebel
20856,PRESERVED_SPECIMEN,Phyllanthus valerioi,3371737,GBIF,,Manuel Vargas,,9.702778,-83.788889,Sector Dos Amigos.,2000.0,1,1,1,,WGS84,2020,L. Acosta; Victor Ramírez
