,BasisOfRec,Binomial,CatalogNo,Citation,CollectID,Compiler,Data_sens,Dec_Lat,Dec_Long,Dist_comm,Event_Year,Origin,Presence,Seasonal,Sens_comm,SpatialRef,YrCompiled,recordedBy
2317,PRESERVED_SPECIMEN,Piper biolleyi,4128254,GBIF,3212,Manuel Vargas,,9.352396,-83.692948,Vicinity of El General,1935.0,1,1,1,,WGS84,2020,A. F. Skutch
2321,PRESERVED_SPECIMEN,Piper biolleyi,4128252,GBIF,12410,Manuel Vargas,,10.2,-83.88,"Along the Rio Corinto, near Flores and the road to Guapiles.",1988.0,1,1,1,,WGS84,2020,W. C. Burger
2326,PRESERVED_SPECIMEN,Piper biolleyi,4128253,GBIF,3111,Manuel Vargas,,9.352396,-83.692948,Vicinity of El General,1937.0,1,1,1,,WGS84,2020,A. F. Skutch
2329,PRESERVED_SPECIMEN,Piper biolleyi,4128247,GBIF,4787,Manuel Vargas,,9.352396,-83.692948,Basin of El General,1940.0,1,1,1,,WGS84,2020,A. F. Skutch
2340,PRESERVED_SPECIMEN,Piper biolleyi,4128251,GBIF,26224,Manuel Vargas,,9.075,-83.08,"Cordillera de Talamanca, vicinity of Helechales, along the Rio Guineal.",1984.0,1,1,1,,WGS84,2020,G. Davidse
2343,PRESERVED_SPECIMEN,Piper biolleyi,4128250,GBIF,7037,Manuel Vargas,,9.42,-83.9444,"Pérez Zeledón. Cuenca del Savegre. Río Nuevo, Cercanías de Viento Fresco.",2001.0,1,1,1,,WGS84,2020,A. Rodríguez
2346,PRESERVED_SPECIMEN,Piper biolleyi,barcode-01979609,GBIF,4330,Manuel Vargas,,10.466667,-83.966667,about 5 km. north of Puerto Viejo along the road to El Muelle,1967.0,1,1,1,,WGS84,2020,W. C. Burger & G. Matta U.
2519,PRESERVED_SPECIMEN,Piper biolleyi,,GBIF,,Manuel Vargas,,10.87,-85.39,"Costa Rica:Area de Conservacion Guanacaste, Sector San Cristobal, San Cristobal",2011.0,1,1,1,,WGS84,2020,Adrian Guadamuz
3052,MATERIAL_SAMPLE,Piper biolleyi,BioBot12172,GBIF,,Manuel Vargas,,10.87,-85.387,"Area de Conservacion Guanacaste, Sector  San Cristobal, San Cristobal",2011.0,1,1,1,,WGS84,2020,Adrian Guadamuz
3054,MATERIAL_SAMPLE,Piper biolleyi,BioBot12171,GBIF,,Manuel Vargas,,10.87,-85.387,"Area de Conservacion Guanacaste, Sector  San Cristobal, San Cristobal",2011.0,1,1,1,,WGS84,2020,Adrian Guadamuz
3056,MATERIAL_SAMPLE,Piper biolleyi,BioBot12173,GBIF,,Manuel Vargas,,10.87,-85.387,"Area de Conservacion Guanacaste, Sector  San Cristobal, San Cristobal",2011.0,1,1,1,,WGS84,2020,Adrian Guadamuz
3164,PRESERVED_SPECIMEN,Piper biolleyi,V0508847F,GBIF,14,Manuel Vargas,,12.8614,-84.8978,,1980.0,1,1,1,,WGS84,2020,J. C. Sandino
3165,PRESERVED_SPECIMEN,Piper biolleyi,V0508862F,GBIF,6271,Manuel Vargas,,12.8614,-84.8978,,1980.0,1,1,1,,WGS84,2020,J. J. Pipoly
3166,PRESERVED_SPECIMEN,Piper biolleyi,V0508849F,GBIF,4884,Manuel Vargas,,12.8614,-84.8978,,1951.0,1,1,1,,WGS84,2020,P. J. Shank & A. Molina R.
3169,PRESERVED_SPECIMEN,Piper biolleyi,V0508857F,GBIF,12410,Manuel Vargas,,10.0114,-83.9519,,1988.0,1,1,1,,WGS84,2020,W. C. Burger & K. A. Swagel
3171,PRESERVED_SPECIMEN,Piper biolleyi,V0508860F,GBIF,240,Manuel Vargas,,10.0114,-83.9519,,1935.0,1,1,1,,WGS84,2020,F. Solís
3172,PRESERVED_SPECIMEN,Piper biolleyi,V0508840F,GBIF,5360,Manuel Vargas,,12.8614,-84.8978,,1971.0,1,1,1,,WGS84,2020,J. T. Atwood
3174,PRESERVED_SPECIMEN,Piper biolleyi,V0508848F,GBIF,4831,Manuel Vargas,,12.8614,-84.8978,,1951.0,1,1,1,,WGS84,2020,P. J. Shank & A. Molina R.
3175,PRESERVED_SPECIMEN,Piper biolleyi,V0508852F,GBIF,4787,Manuel Vargas,,10.0114,-83.9519,,1940.0,1,1,1,,WGS84,2020,A. F. Skutch
3176,PRESERVED_SPECIMEN,Piper biolleyi,V0508859F,GBIF,2632,Manuel Vargas,,10.0114,-83.9519,,1989.0,1,1,1,,WGS84,2020,G. Herrera C. & A. Chacón
3177,PRESERVED_SPECIMEN,Piper biolleyi,V0508851F,GBIF,3748,Manuel Vargas,,10.0114,-83.9519,,1966.0,1,1,1,,WGS84,2020,A. Jiménez M.
3178,PRESERVED_SPECIMEN,Piper biolleyi,V0508843F,GBIF,13555,Manuel Vargas,,10.0114,-83.9519,,1979.0,1,1,1,,WGS84,2020,W. D. Stevens
3180,PRESERVED_SPECIMEN,Piper biolleyi,V0508858F,GBIF,28457,Manuel Vargas,,10.0114,-83.9519,,1965.0,1,1,1,,WGS84,2020,L. O. Williams et al.
3183,PRESERVED_SPECIMEN,Piper biolleyi,V0508855F,GBIF,9266,Manuel Vargas,,10.0114,-83.9519,,1973.0,1,1,1,,WGS84,2020,"W. C. Burger & J. L. Gentry, Jr."
3184,PRESERVED_SPECIMEN,Piper biolleyi,V0508854F,GBIF,49A,Manuel Vargas,,10.0114,-83.9519,,1990.0,1,1,1,,WGS84,2020,C. Chávez
3186,PRESERVED_SPECIMEN,Piper biolleyi,V0508846F,GBIF,4787,Manuel Vargas,,10.0114,-83.9519,,1940.0,1,1,1,,WGS84,2020,A. F. Skutch
3187,PRESERVED_SPECIMEN,Piper biolleyi,V0508841F,GBIF,378,Manuel Vargas,,10.0114,-83.9519,,1989.0,1,1,1,,WGS84,2020,A. Chacón
3188,PRESERVED_SPECIMEN,Piper biolleyi,V0508845F,GBIF,676,Manuel Vargas,,10.0114,-83.9519,,1941.0,1,1,1,,WGS84,2020,J. León A.
3189,PRESERVED_SPECIMEN,Piper biolleyi,V0508837F,GBIF,6210,Manuel Vargas,,12.8614,-84.8978,,1980.0,1,1,1,,WGS84,2020,J. J. Pipoly
3190,PRESERVED_SPECIMEN,Piper biolleyi,V0508853F,GBIF,1880,Manuel Vargas,,10.0114,-83.9519,,1993.0,1,1,1,,WGS84,2020,J. F. Morales & E. Lépiz
3192,PRESERVED_SPECIMEN,Piper biolleyi,V0508850F,GBIF,4330,Manuel Vargas,,10.0114,-83.9519,,1967.0,1,1,1,,WGS84,2020,W. C. Burger & G. Matta U.
3193,PRESERVED_SPECIMEN,Piper biolleyi,V0508838F,GBIF,6967,Manuel Vargas,,12.8614,-84.8978,,1978.0,1,1,1,,WGS84,2020,W. D. Stevens
3195,PRESERVED_SPECIMEN,Piper biolleyi,V0508842F,GBIF,9999,Manuel Vargas,,10.0114,-83.9519,,1984.0,1,1,1,,WGS84,2020,J. Gómez-Laurito
3196,PRESERVED_SPECIMEN,Piper biolleyi,V0508836F,GBIF,7099,Manuel Vargas,,12.8614,-84.8978,,1978.0,1,1,1,,WGS84,2020,W. D. Stevens
3197,PRESERVED_SPECIMEN,Piper biolleyi,V0508844F,GBIF,232,Manuel Vargas,,12.8614,-84.8978,,1980.0,1,1,1,,WGS84,2020,J. C. Sandino
3199,PRESERVED_SPECIMEN,Piper biolleyi,V0508861F,GBIF,9266,Manuel Vargas,,10.0114,-83.9519,,1973.0,1,1,1,,WGS84,2020,"W. C. Burger & J. L. Gentry, Jr."
3200,PRESERVED_SPECIMEN,Piper biolleyi,V0508839F,GBIF,6832,Manuel Vargas,,12.8614,-84.8978,,1978.0,1,1,1,,WGS84,2020,W. D. Stevens
3201,PRESERVED_SPECIMEN,Piper biolleyi,V0508856F,GBIF,3989,Manuel Vargas,,10.0114,-83.9519,,1966.0,1,1,1,,WGS84,2020,W. C. Burger & W. Ramirez B.
7068,UNKNOWN,Piper biolleyi,2422603,GBIF,1723486,Manuel Vargas,,10.5,-84.0,,1972.0,1,1,1,,WGS84,2020,P. Opler
7214,PRESERVED_SPECIMEN,Piper biolleyi,165659,GBIF,8160,Manuel Vargas,,10.430278,-84.00694399999999,,2007.0,1,1,1,,WGS84,2020,Moran R. | Quijano M.
10010,PRESERVED_SPECIMEN,Piper biolleyi,3468041,GBIF,Aguilar Fernández RA007871,Manuel Vargas,,10.43138,-84.00361,La Selva Biological Station. Sendero: SAZ 0m.,2003.0,1,1,1,,WGS84,2020,Reinaldo Aguilar
10012,PRESERVED_SPECIMEN,Piper biolleyi,3467913,GBIF,Aguilar Fernández RA007681,Manuel Vargas,,10.43138,-84.00361,La Selva Biological Station. Sendero: SAZ 0m.,2003.0,1,1,1,,WGS84,2020,Reinaldo Aguilar
10066,PRESERVED_SPECIMEN,Piper biolleyi,3425494,GBIF,Sperry 1035,Manuel Vargas,,10.43138,-84.00361,La Selva Biological Station.,1979.0,1,1,1,,WGS84,2020,John Sperry
10067,PRESERVED_SPECIMEN,Piper biolleyi,3425493,GBIF,Gómez D. 29,Manuel Vargas,,10.43138,-84.00361,La Selva Biological Station.,1983.0,1,1,1,,WGS84,2020,A. Gómez D.|W. S. Alverson
10068,PRESERVED_SPECIMEN,Piper biolleyi,3425492,GBIF,Sperry 1139,Manuel Vargas,,10.43138,-84.00361,La Selva Biological Station.,1979.0,1,1,1,,WGS84,2020,John Sperry
10156,PRESERVED_SPECIMEN,Piper biolleyi,3251334,GBIF,Grayum 1224,Manuel Vargas,,10.43138,-84.00361,La Selva Biological Station.,1978.0,1,1,1,,WGS84,2020,Michael H. Grayum
10157,PRESERVED_SPECIMEN,Piper biolleyi,3250806,GBIF,Urbina 1269,Manuel Vargas,,11.239444,-84.237778,"Municipio El Castillo, Comunidad Aguas Zarcas, 1 km al norte del puesto de guardaparques",2005.0,1,1,1,,WGS84,2020,A. Urbina
10207,PRESERVED_SPECIMEN,Piper biolleyi,3186560,GBIF,Hammel 8866,Manuel Vargas,,10.43138,-84.00361,La Selva Biological Station.,1980.0,1,1,1,,WGS84,2020,Barry E. Hammel
10238,PRESERVED_SPECIMEN,Piper biolleyi,3173340,GBIF,Hammel 8454,Manuel Vargas,,10.43138,-84.00361,La Selva Biological Station.,1980.0,1,1,1,,WGS84,2020,Barry E. Hammel
10622,PRESERVED_SPECIMEN,Piper biolleyi,2925149,GBIF,Shank 4884,Manuel Vargas,,11.433333,-84.6,Montañas Esquipulas y Alemán; bosque lluvioso [Molina number series],1951.0,1,1,1,,WGS84,2020,Paul J. Shank|Antonio Molina R.
10649,PRESERVED_SPECIMEN,Piper biolleyi,2875403,GBIF,Wilbur 39165,Manuel Vargas,,10.43138,-84.00361,La Selva Biological Station.,1986.0,1,1,1,,WGS84,2020,Robert L. Wilbur
10650,PRESERVED_SPECIMEN,Piper biolleyi,2875350,GBIF,Wilbur 39158,Manuel Vargas,,10.43138,-84.00361,La Selva Biological Station.,1986.0,1,1,1,,WGS84,2020,Robert L. Wilbur
10966,PRESERVED_SPECIMEN,Piper biolleyi,2857952,GBIF,Wilbur 38902,Manuel Vargas,,10.43138,-84.00361,La Selva Biological Station.,1986.0,1,1,1,,WGS84,2020,Robert L. Wilbur
10999,PRESERVED_SPECIMEN,Piper biolleyi,2844363,GBIF,Wilbur 38725,Manuel Vargas,,10.43138,-84.00361,La Selva Biological Station.,1986.0,1,1,1,,WGS84,2020,Robert L. Wilbur
11000,PRESERVED_SPECIMEN,Piper biolleyi,2844285,GBIF,Wilbur 38713,Manuel Vargas,,10.43138,-84.00361,La Selva Biological Station.,1986.0,1,1,1,,WGS84,2020,Robert L. Wilbur
11017,PRESERVED_SPECIMEN,Piper biolleyi,2823057,GBIF,Wilbur 38532,Manuel Vargas,,10.43138,-84.00361,La Selva Biological Station.,1986.0,1,1,1,,WGS84,2020,Robert L. Wilbur|Robert J. Marquis
11498,PRESERVED_SPECIMEN,Piper biolleyi,2512557,GBIF,Smith 534,Manuel Vargas,,10.43138,-84.00361,La Selva Biological Station.,1981.0,1,1,1,,WGS84,2020,Damon A. Smith
12745,PRESERVED_SPECIMEN,Piper biolleyi,2256729,GBIF,Hammel 12602,Manuel Vargas,,10.43138,-84.00361,"Finca La Selva, the OTS field station on the Río Puerto Viejo just E of its junction with the Río Sarapiquí.",1982.0,1,1,1,,WGS84,2020,Barry E. Hammel
12746,PRESERVED_SPECIMEN,Piper biolleyi,2246430,GBIF,Hammel 12522,Manuel Vargas,,10.43138,-84.00361,"Finca La Selva, the OTS field station on the Río Puerto Viejo just E of its junction with the Río Sarapiquí.",1982.0,1,1,1,,WGS84,2020,Barry E. Hammel
13423,PRESERVED_SPECIMEN,Piper biolleyi,1958568,GBIF,Wilbur 70070,Manuel Vargas,,10.43138,-84.00361,La Selva Biological Station in the vicinity of the tree nursery by the house of the guard and near the front gate by the Puerto Viejo highway.,1998.0,1,1,1,,WGS84,2020,Robert L. Wilbur|Gerry Moore
13858,PRESERVED_SPECIMEN,Piper biolleyi,1787698,GBIF,Neill 69,Manuel Vargas,,13.333329999999998,-85.63333,NE of Peñas Blancas,1975.0,1,1,1,,WGS84,2020,David A. Neill
16798,PRESERVED_SPECIMEN,Piper biolleyi,100179823,GBIF,Arias Garzón 419,Manuel Vargas,,10.433333,-83.983333,"Estación Biológica La Selva, Organización para Estudios Tropicales, Puerto Viejo de Sarapiquí.",2008.0,1,1,1,,WGS84,2020,Tatiana Arias
25314,PRESERVED_SPECIMEN,Piper biolleyi,G-DC-275530/3,GBIF,,Manuel Vargas,,9.97028,-84.18806,Costa Rica - Bord de la route à Carillo (300 m; vers. atlant.),1890.0,1,1,1,,WGS84,2020,"Pittier, H."
26415,PRESERVED_SPECIMEN,Piper biolleyi,789,GBIF,,Manuel Vargas,,8.758056,-82.923056,,,1,1,1,,WGS84,2020,
27806,PRESERVED_SPECIMEN,Piper biolleyi,231224,GBIF,,Manuel Vargas,,9.42,-83.94,"Río Nuevo, Cercanías de Viento  Fresco.",2001.0,1,1,1,,WGS84,2020,"Rodríguez, Alexánder"
27809,PRESERVED_SPECIMEN,Piper biolleyi,229961,GBIF,,Manuel Vargas,,8.78,-82.97,E.B. Las Cruces Río Java,2002.0,1,1,1,,WGS84,2020,"Boyle, Brad"
27810,PRESERVED_SPECIMEN,Piper biolleyi,214531,GBIF,,Manuel Vargas,,9.78,-83.34,"Cordillera de Talamanca. Headwaters of Quebrada Kakébeta, below divide between Río Xikiari and Río Boyei.",1995.0,1,1,1,,WGS84,2020,"Grayum, Michael"
27811,PRESERVED_SPECIMEN,Piper biolleyi,213727,GBIF,,Manuel Vargas,,9.49,-84.01,Z.P. Cerro Nara Faldas del Cerro.,1998.0,1,1,1,,WGS84,2020,"Valverde, Oscar"
27824,PRESERVED_SPECIMEN,Piper biolleyi,208982,GBIF,,Manuel Vargas,,10.43,-84.03,"Finca La Selva, the OTS Field Station on the Río Puerto Viejo just E of its junction with the Río Sarapiquí.  Secondary growth at very end of W River Road.",1980.0,1,1,1,,WGS84,2020,"Grayum, Michael"
27825,PRESERVED_SPECIMEN,Piper biolleyi,208980,GBIF,,Manuel Vargas,,10.43,-84.03,"Finca La Selva, the OTS Field Station on the Río Puerto Viejo just E of its junction with the Río Sarapiquí. In  secondary woods on point of land at the confluence of the Río Sarapiquí and Puerto Viejo.",1982.0,1,1,1,,WGS84,2020,"Hammel, Barry E."
27826,PRESERVED_SPECIMEN,Piper biolleyi,208979,GBIF,,Manuel Vargas,,10.43,-84.03,"Finca La Selva, the OTS Field Station on the Río Puerto Viejo just E of its junction with the Río Sarapiquí.  In pasture land across river from station.",1980.0,1,1,1,,WGS84,2020,"Hammel, Barry E."
27828,PRESERVED_SPECIMEN,Piper biolleyi,203169,GBIF,,Manuel Vargas,,9.95,-83.44,"Margen derecha de Río Barbilla, entre quebrada San Miguel y quebrada Jesús.",1996.0,1,1,1,,WGS84,2020,"Kuss, Patrick"
27829,PRESERVED_SPECIMEN,Piper biolleyi,196960,GBIF,,Manuel Vargas,,10.43,-84.01,"La Selva Biological Station of OTS, 2 kms (by air) of Puerto Viejo de Sarapiquí. Tropical wet forest vegetation with ca. 4000 mm rainfall anually.",1994.0,1,1,1,,WGS84,2020,"Alverson, William S."
27830,PRESERVED_SPECIMEN,Piper biolleyi,167226,GBIF,,Manuel Vargas,,9.67,-83.02,R. B. Hitoy Cerere Alrededores de la Estación. Valle de la Estrella. Bosque primario.,1991.0,1,1,1,,WGS84,2020,"Moreno, Alberth"
27831,PRESERVED_SPECIMEN,Piper biolleyi,164569,GBIF,,Manuel Vargas,,9.79,-83.1,"El Pogreso, entre Cerro Muchilla y Cerro Avioneta, cabeceras de Río Suruy. Fila Matama, Valle de la Estrella.",1989.0,1,1,1,,WGS84,2020,"Herrera, Gerardo"
27832,PRESERVED_SPECIMEN,Piper biolleyi,163986,GBIF,,Manuel Vargas,,10.31,-83.93,Río Corinto. Sendero paralelo al Río Corinto y riberas del mismo.,1990.0,1,1,1,,WGS84,2020,"Chávez, Carlos"
27833,PRESERVED_SPECIMEN,Piper biolleyi,150963,GBIF,,Manuel Vargas,,9.4,-82.96,"Sukut. De las juntas de Río Urén y Río Sukut 1.5 km aguas arriba sobre éste, margen derecha.",1989.0,1,1,1,,WGS84,2020,"Herrera, Gerardo"
27834,PRESERVED_SPECIMEN,Piper biolleyi,150797,GBIF,,Manuel Vargas,,9.29,-83.24,"Ujarrás, cabeceras del Río Kuiyé, siguiendo la fila que llega a Olán.",1989.0,1,1,1,,WGS84,2020,"Chacón, Abelardo M."
27836,PRESERVED_SPECIMEN,Piper biolleyi,143862,GBIF,,Manuel Vargas,,10.03,-83.4,"Cordillera de Talamanca. Along Quebrada Cañabral, from Río Barbilla to ca. 1.5 km upstream.",1988.0,1,1,1,,WGS84,2020,"Grayum, Michael"
27838,PRESERVED_SPECIMEN,Piper biolleyi,132241,GBIF,,Manuel Vargas,,10.2,-83.88,"Evergreen lowland rain forest with many epiphytes, along the Río Corinto, near Flores and the road to Guapiles.",1988.0,1,1,1,,WGS84,2020,"Burger, William"
27843,PRESERVED_SPECIMEN,Piper biolleyi,120409,GBIF,,Manuel Vargas,,10.43,-84.05,"Zona Protectora La Selva, just to the W of La Selva Biological Station along the flat floodplain of the Río Peje.",1985.0,1,1,1,,WGS84,2020,"Schatz, George E."
27846,PRESERVED_SPECIMEN,Piper biolleyi,106256,GBIF,,Manuel Vargas,,9.07,-83.08,"Foothills of the Cordillera de Talamanca, vicinity of Helechales, along the Río Guineal. Premontane wet forest along river.",1984.0,1,1,1,,WGS84,2020,"Davidse, Gerrit"
27850,PRESERVED_SPECIMEN,Piper biolleyi,99619,GBIF,,Manuel Vargas,,10.48,-84.71,13 km W of Fortuna on road to the Arenal Dam; near crossing of Río Tabacón. Primary forest and roadside.,1983.0,1,1,1,,WGS84,2020,"Liesner, Ronald"
27851,PRESERVED_SPECIMEN,Piper biolleyi,92595,GBIF,,Manuel Vargas,,10.25,-84.16,"Along road to Colonia Virgen del Socorro, barranca of Río Sarapiquí. Evergreen forest on steep slopes.",1979.0,1,1,1,,WGS84,2020,"Stevens, Warren D."
27855,PRESERVED_SPECIMEN,Piper biolleyi,45961,GBIF,,Manuel Vargas,,9.83,-83.5,Streams and cultivated fields with borders of wild vegetation between Jicotea and the Río Pacuare along the road from Turrialba to Moravia.,,1,1,1,,WGS84,2020,"Burger, William"
27863,PRESERVED_SPECIMEN,Piper biolleyi,9959,GBIF,,Manuel Vargas,,8.53,-83.3,Forêts du Santo Domingo de Golfo Dulce.,,1,1,1,,WGS84,2020,"Tonduz, Adolphe"
