,BasisOfRec,Binomial,CatalogNo,Citation,CollectID,Compiler,Data_sens,Dec_Lat,Dec_Long,Dist_comm,Event_Year,Origin,Presence,Seasonal,Sens_comm,SpatialRef,YrCompiled,recordedBy
10,PRESERVED_SPECIMEN,Piper carpunya,101232619,GBIF,Jijón 17,Manuel Vargas,,0.966667,-79.133333,Parroquia Gualchán.  Sitio El Carmen.  Bosque húmedo tropical en via que conduca a Maldonado.,2009.0,1,1,1,,WGS84,2020,Renato Jijón
11,PRESERVED_SPECIMEN,Piper carpunya,101232613,GBIF,Tepe 1635,Manuel Vargas,,-0.116667,-77.416667,"Cascada San Rafael, ca. 3 km SW of Manuel Galindo on the Río Quijos.",2006.0,1,1,1,,WGS84,2020,Eric J. Tepe|et al.
1318,PRESERVED_SPECIMEN,Piper carpunya,,GBIF,31909,Manuel Vargas,,0.058333,-78.65,"Cerro Negro, c. 3.5 km (airline) E of Nanegalito, secondary lower montane rain forest on steep western slopes; at edge of forest; tree 5 m high, foliage strongly aromatic; spikes erect, yellowish.",1996.0,1,1,1,,WGS84,2020,"Dean Kelch; Alfonso del Hierro, Michael Canfield, Alice Hunter"
1419,PRESERVED_SPECIMEN,Piper carpunya,V0509318F,GBIF,955,Manuel Vargas,,10.0114,-83.9519,,1975.0,1,1,1,,WGS84,2020,L. J. Poveda
1569,PRESERVED_SPECIMEN,Piper carpunya,V0509319F,GBIF,12294,Manuel Vargas,,10.0114,-83.9519,,1962.0,1,1,1,,WGS84,2020,G. L. Webster
1718,PRESERVED_SPECIMEN,Piper carpunya,101170203,GBIF,Callejas Posada 13603,Manuel Vargas,,2.475,-76.883333,"Mpio. Tambo, Parque Nacional Munchique, 26 km del Tambo, 2 km de la cabaña de Inderena, bosque pluvial primario, a orilla de la vía.",2005.0,1,1,1,,WGS84,2020,Ricardo Callejas|et al.
2047,PRESERVED_SPECIMEN,Piper carpunya,U.1483149,GBIF,"Croat, TB  69955 ",Manuel Vargas,,5.95,-75.866667,"Antioquia. Along road between Pueblorico and Jerico; c. 2 km above bridge over Rio San Juan, near Peñalisa.",1990.0,1,1,1,,WGS84,2020,Croat TB
2266,PRESERVED_SPECIMEN,Piper carpunya,4136673,GBIF,2232,Manuel Vargas,,-1.58,-78.75,"Carretera Puyo-Macas, km 22 desvío a Canelos. Colecciones en km 3-10 del desvío",1992.0,1,1,1,,WGS84,2020,A. Freire Fierro
2267,PRESERVED_SPECIMEN,Piper carpunya,4136674,GBIF,3209,Manuel Vargas,,0.08,-78.67,"carretera Nanegalito-Armenia-Loma de San José. Colecciones en la zona denminada ""La Vuelta Brava"".",1987.0,1,1,1,,WGS84,2020,V. Zak
2268,PRESERVED_SPECIMEN,Piper carpunya,4136670,GBIF,22566,Manuel Vargas,,-12.664916,-73.86091400000001,"Aina, between Huanta and Río Apurimac",1929.0,1,1,1,,WGS84,2020,E. P. Killip
2275,PRESERVED_SPECIMEN,Piper carpunya,4136677,GBIF,7506,Manuel Vargas,,-0.2314,-78.8028,"Reserva Florística-Ecológica ""Rio Guajalito"", Km. 59 de la carretera antigua Quito-Sto. Domingo de los Colorados, a 3.5 km al NE de la carretera,  estribaciones occidentales del Volcán Pichincha",1985.0,1,1,1,,WGS84,2020,J. Jaramillo
2280,PRESERVED_SPECIMEN,Piper carpunya,4136676,GBIF,8063,Manuel Vargas,,-0.2314,-78.8028,"Reserva Florística-Ecológica ""Rio Guajalito"", Km. 59 de la carretera antigua Quito-Sto. Domingo de los Colorados, a 3.5 km al NE de la carretera,  estribaciones occidentales del Volcán Pichincha",1985.0,1,1,1,,WGS84,2020,J. Jaramillo
3719,PRESERVED_SPECIMEN,Piper carpunya,597507,GBIF,71709,Manuel Vargas,,1.283333,-78.06666700000001,"Along road between Altaquer and Junin, viciity of Altaquer",1990.0,1,1,1,,WGS84,2020,"Croat, Thomas B."
5736,PRESERVED_SPECIMEN,Piper carpunya,V0462814F,GBIF,E-3525,Manuel Vargas,,-1.4628,-78.1869,,1945.0,1,1,1,,WGS84,2020,W. H. Camp
5737,PRESERVED_SPECIMEN,Piper carpunya,V0462808F,GBIF,4804,Manuel Vargas,,-9.1839,-74.14,,1997.0,1,1,1,,WGS84,2020,J. Campos
5738,PRESERVED_SPECIMEN,Piper carpunya,V0462821F,GBIF,10957,Manuel Vargas,,-1.4628,-78.1869,,1945.0,1,1,1,,WGS84,2020,M. Acosta Solis
5739,PRESERVED_SPECIMEN,Piper carpunya,V0462819F,GBIF,22507,Manuel Vargas,,3.8811,-72.8667,,1960.0,1,1,1,,WGS84,2020,R. E. Schultes
