,BasisOfRec,Binomial,CatalogNo,Citation,CollectID,Compiler,Data_sens,Dec_Lat,Dec_Long,Dist_comm,Event_Year,Origin,Presence,Seasonal,Sens_comm,SpatialRef,YrCompiled,recordedBy
1356,PRESERVED_SPECIMEN,Piper cordulatum,V0510933F,GBIF,23060,Manuel Vargas,,8.5714,-79.9106,,1973.0,1,1,1,,WGS84,2020,T. B. Croat
1360,PRESERVED_SPECIMEN,Piper cordulatum,V0510931F,GBIF,5981,Manuel Vargas,,8.5714,-79.9106,,1968.0,1,1,1,,WGS84,2020,T. B. Croat
1374,PRESERVED_SPECIMEN,Piper cordulatum,V0510935F,GBIF,4526,Manuel Vargas,,8.5714,-79.9106,,1968.0,1,1,1,,WGS84,2020,T. B. Croat
1394,PRESERVED_SPECIMEN,Piper cordulatum,V0510919F,GBIF,4477,Manuel Vargas,,8.5714,-79.9106,,1983.0,1,1,1,,WGS84,2020,E. J. Judziewicz
1401,PRESERVED_SPECIMEN,Piper cordulatum,V0510920F,GBIF,5557,Manuel Vargas,,10.0114,-83.9519,,1986.0,1,1,1,,WGS84,2020,F. Almeda et al.
1410,PRESERVED_SPECIMEN,Piper cordulatum,V0510928F,GBIF,114,Manuel Vargas,,8.5714,-79.9106,,1931.0,1,1,1,,WGS84,2020,O. Shattuck
1444,PRESERVED_SPECIMEN,Piper cordulatum,V0510924F,GBIF,827,Manuel Vargas,,10.0114,-83.9519,,1983.0,1,1,1,,WGS84,2020,N. C. Garwood et al.
1445,PRESERVED_SPECIMEN,Piper cordulatum,V0510925F,GBIF,216,Manuel Vargas,,10.0114,-83.9519,,1985.0,1,1,1,,WGS84,2020,N. Greig
1449,PRESERVED_SPECIMEN,Piper cordulatum,V0510923F,GBIF,2374A,Manuel Vargas,,8.5714,-79.9106,,1988.0,1,1,1,,WGS84,2020,N. C. Garwood
1455,PRESERVED_SPECIMEN,Piper cordulatum,V0510918F,GBIF,678,Manuel Vargas,,8.5714,-79.9106,,1932.0,1,1,1,,WGS84,2020,O. Shattuck
1476,PRESERVED_SPECIMEN,Piper cordulatum,V0510932F,GBIF,116,Manuel Vargas,,8.5714,-79.9106,,1929.0,1,1,1,,WGS84,2020,S. W. Frost
1500,PRESERVED_SPECIMEN,Piper cordulatum,V0510930F,GBIF,23,Manuel Vargas,,8.5714,-79.9106,,1931.0,1,1,1,,WGS84,2020,R. H. Wetmore & E. C. Abbe
1513,PRESERVED_SPECIMEN,Piper cordulatum,V0510927F,GBIF,122,Manuel Vargas,,8.5714,-79.9106,,1931.0,1,1,1,,WGS84,2020,O. Shattuck
1514,PRESERVED_SPECIMEN,Piper cordulatum,V0510934F,GBIF,5322,Manuel Vargas,,8.5714,-79.9106,,1969.0,1,1,1,,WGS84,2020,W. H. Lewis et al.
