,BasisOfRec,Binomial,CatalogNo,Citation,CollectID,Compiler,Data_sens,Dec_Lat,Dec_Long,Dist_comm,Event_Year,Origin,Presence,Seasonal,Sens_comm,SpatialRef,YrCompiled,recordedBy
7722,PRESERVED_SPECIMEN,Piper curvipilum,898290,GBIF,Fuentes Alvarado 514,Manuel Vargas,,10.27,-84.79,Cordillera de Tilarán. San Luis; Finca Buen Amigo. Monteverde.,1993.0,1,1,1,,WGS84,2020,Zobeida Fuentes
8425,PRESERVED_SPECIMEN,Piper curvipilum,694524,GBIF,Liesner 15254,Manuel Vargas,,10.48,-84.71,"13 km west of Fortuna on road to the Arenal Dam, near crossing of Río Tabacón, primary forest and roadside",1983.0,1,1,1,,WGS84,2020,Ronald L. Liesner|Emmet J. Judziewicz|Blanca Pérez G.
8433,PRESERVED_SPECIMEN,Piper curvipilum,693861,GBIF,Liesner 14311,Manuel Vargas,,9.8,-83.7,"12 km south of Turrialba by air, 4 km southeast of Pejibaye along Río Gato.",1983.0,1,1,1,,WGS84,2020,Ronald L. Liesner
8437,PRESERVED_SPECIMEN,Piper curvipilum,693436,GBIF,Haber 805,Manuel Vargas,,10.299722000000001,-84.750833,"Monteverde Reserve, Atlantic slope, Río Peñas Blancas valley",1984.0,1,1,1,,WGS84,2020,William A. Haber
8457,PRESERVED_SPECIMEN,Piper curvipilum,691689,GBIF,Croat 46938,Manuel Vargas,,10.38,-84.39,"Along Highway 15 between Naranjo and Aguas Zarcas, 8 km NE of Quesada",1979.0,1,1,1,,WGS84,2020,Thomas B. Croat
8470,PRESERVED_SPECIMEN,Piper curvipilum,690933,GBIF,Herrera Chacón 112,Manuel Vargas,,10.079445,-84.44166700000001,San Isidro de San Ramón.,1986.0,1,1,1,,WGS84,2020,Gerardo Herrera Ch.
8495,PRESERVED_SPECIMEN,Piper curvipilum,687424,GBIF,Hamilton 738,Manuel Vargas,,8.858333,-82.59,"Nueva Suiza, open field along road to Cerro Punta. [Coordinates on orginal label: 82º40'W, 8º52'N, and elev. ca 1300 m.]",1982.0,1,1,1,,WGS84,2020,Clem W. Hamilton|Henry Stockwell|Annette Aiello
8504,PRESERVED_SPECIMEN,Piper curvipilum,686786,GBIF,Croat 68396,Manuel Vargas,,10.391667,-83.80833299999999,"Along road between Puerto Viejo and Guapiles, along Río Puerto Viejo, 7 km N of Buenos Aires",1987.0,1,1,1,,WGS84,2020,Thomas B. Croat
8506,PRESERVED_SPECIMEN,Piper curvipilum,686732,GBIF,Croat 68299,Manuel Vargas,,10.26,-84.18,"Río Sarapiquí at bridge on road to Colonia Virgen del Socorro, 0.9 mi SE of San José-Puerto Viejo Highway.",1987.0,1,1,1,,WGS84,2020,Thomas B. Croat
8508,PRESERVED_SPECIMEN,Piper curvipilum,686684,GBIF,Croat 68116,Manuel Vargas,,10.21,-84.26,"Cordillera de Tilarán. Along road from San Ramón to Bajo Rodríguez, at Río Cataratas [coordinates on original label 10.13N 84.16W]",1987.0,1,1,1,,WGS84,2020,Thomas B. Croat
