,BasisOfRec,Binomial,CatalogNo,Citation,CollectID,Compiler,Data_sens,Dec_Lat,Dec_Long,Dist_comm,Event_Year,Origin,Presence,Seasonal,Sens_comm,SpatialRef,YrCompiled,recordedBy
2944,PRESERVED_SPECIMEN,Piper longepetiolatum,100913812,GBIF,Acosta Vargas 1072,Manuel Vargas,,10.911111,-85.466667,"P.N. Guanacaste.  Cuenca del Tempisque.  Sector Cacao hacia la Estación 2.5 Km después del río Góngora, en bosque remanente.",2000.0,1,1,1,,WGS84,2020,Luis Acosta|Víctor H. Ramírez|Gerardo Soto|Geovanny Sancho
5688,HUMAN_OBSERVATION,Piper longepetiolatum,,GBIF,,Manuel Vargas,,5.892682,-75.199412,Vereda El Porvenir,2015.0,1,1,1,,WGS84,2020,Natali Ospina | Julieth Velasquez | Oscar Galeano
5689,HUMAN_OBSERVATION,Piper longepetiolatum,,GBIF,,Manuel Vargas,,5.892682,-75.199412,Vereda El Porvenir,2015.0,1,1,1,,WGS84,2020,Natali Ospina | Julieth Velasquez | Oscar Galeano
8447,PRESERVED_SPECIMEN,Piper longepetiolatum,692218,GBIF,Davidse 25572,Manuel Vargas,,8.9,-82.766667,"Foothills of the Cordillera de Talamanca, between Sitio Cotón (Cotonsito) and Mellizas.",1984.0,1,1,1,,WGS84,2020,Gerrit Davidse|Luis Diego Gómez P.|Gerardo Herrera Ch.|C.R. Chacón|Isidro A. Chacón G.
8455,PRESERVED_SPECIMEN,Piper longepetiolatum,691759,GBIF,Davidse 24396,Manuel Vargas,,8.941667,-82.8,"Forest along trail between Las Alturas and Cotonsito, along the Río Cotón.",1983.0,1,1,1,,WGS84,2020,Gerrit Davidse
8469,PRESERVED_SPECIMEN,Piper longepetiolatum,690943,GBIF,Herrera Chacón 1122,Manuel Vargas,,10.91,-85.33,"Dos Ríos, Siguiendo la margen izquierda del Río Cucaracho 1 Km aguas abajo a partir del puente camino a Brasilia.  [Original Label Coordinates 10°55' N 85°20' W]",1987.0,1,1,1,,WGS84,2020,Gerardo Herrera Ch.
8491,PRESERVED_SPECIMEN,Piper longepetiolatum,687527,GBIF,Hamilton 1004,Manuel Vargas,,8.916667,-82.716667,"Cerro Pando area. [Coordinates on orginal label: 82°43'W, 8°52'N].",1982.0,1,1,1,,WGS84,2020,Clem W. Hamilton|Henry Stockwell|Annette Aiello
8509,PRESERVED_SPECIMEN,Piper longepetiolatum,686673,GBIF,Meave 1134,Manuel Vargas,,16.935833,-88.987222,"Mollejon Creek, on Inner Circle road. 5 km S of Augustine, Mountain Pine Ridge Forest Reserve. Broadleaved riparian forest",1988.0,1,1,1,,WGS84,2020,Jorge A. Meave|Augustine How
8524,PRESERVED_SPECIMEN,Piper longepetiolatum,685399,GBIF,Davidse 26285,Manuel Vargas,,9.075,-83.083333,"Foothills of the Cordillera de Talamanca, vicinity of Helechales, along the Río Guineal. Premontane wet forest along river.",1984.0,1,1,1,,WGS84,2020,Gerrit Davidse|Gerardo Herrera Ch.
8527,PRESERVED_SPECIMEN,Piper longepetiolatum,684960,GBIF,Grijalva Pineda 3475,Manuel Vargas,,12.283333,-85.083333,"Cerro Las Nubes, El Tamagás y Loma San Gregorio, ca 2 km al N de Santo Domingo; bosque húmedo tropical",1984.0,1,1,1,,WGS84,2020,Alfredo Grijalva P.|D.E. Ríos
