,BasisOfRec,Binomial,CatalogNo,Citation,CollectID,Compiler,Data_sens,Dec_Lat,Dec_Long,Dist_comm,Event_Year,Origin,Presence,Seasonal,Sens_comm,SpatialRef,YrCompiled,recordedBy
210,PRESERVED_SPECIMEN,Piper psilorhachis,00046091,GBIF,,Manuel Vargas,,18.53722,-89.89860999999999,"Camino a Calakmul, al N de la carr Conhuas y entronque",1995.0,1,1,1,,WGS84,2020,P. Zamora C.
217,PRESERVED_SPECIMEN,Piper psilorhachis,00252342,GBIF,,Manuel Vargas,,17.33,-91.69833,Alrededores de las Ruinas de Lacanja,1984.0,1,1,1,,WGS84,2020,F. Vázquez B.|S. Avendaño R.
230,PRESERVED_SPECIMEN,Piper psilorhachis,00238614,GBIF,,Manuel Vargas,,18.08333,-89.06667,"3.2-6.4 Km N of Tomás Garrido, on the rd which joins Hwy 186 W of Nicolás Bravo; Mpio Chetumal",1990.0,1,1,1,,WGS84,2020,Andrew C. Sanders|J. C. Lyman|B. Phillips|B. Pitzer|E. Ek Ucan
231,PRESERVED_SPECIMEN,Piper psilorhachis,00238612,GBIF,,Manuel Vargas,,19.93889,-90.36721999999999,Unidad de Evaluación y Monitoreo de la Biodiversidad de Hampolol,1996.0,1,1,1,,WGS84,2020,P. Zamora C.
237,PRESERVED_SPECIMEN,Piper psilorhachis,00417166,GBIF,,Manuel Vargas,,21.21667,-87.18333,No locality name provided.,1999.0,1,1,1,,WGS84,2020,J. G. Schultz|H. Violi|Wayne Law|S. Fedick
240,PRESERVED_SPECIMEN,Piper psilorhachis,00238613,GBIF,,Manuel Vargas,,18.47639,-90.11667,"Conhuas viejo, en solares antiguos (albarrdas)",1995.0,1,1,1,,WGS84,2020,P. Zamora C.|J. A. Hernández
245,PRESERVED_SPECIMEN,Piper psilorhachis,00238611,GBIF,,Manuel Vargas,,17.231939999999998,-92.07222,50 Km SW of Palenque on rd to Ocosingo near Colonia Ursulo Galvano,1980.0,1,1,1,,WGS84,2020,Dennis Breedlove|F. S. Kawahara
248,PRESERVED_SPECIMEN,Piper psilorhachis,00444843,GBIF,,Manuel Vargas,,17.95833,-88.885,No locality name provided.,1992.0,1,1,1,,WGS84,2020,J. Granados
701,PRESERVED_SPECIMEN,Piper psilorhachis,NO DISPONIBLE,GBIF,,Manuel Vargas,,16.898761107677533,-90.973541443888,"Porción N de la omega, Monumento Natural Yaxchilán.",1996.0,1,1,1,,WGS84,2020,AVD
710,PRESERVED_SPECIMEN,Piper psilorhachis,NO DISPONIBLE,GBIF,,Manuel Vargas,,20.8625,-86.869444,2 km al N de Puerto Morelos,1980.0,1,1,1,,WGS84,2020,E. Cabrera C.
722,PRESERVED_SPECIMEN,Piper psilorhachis,XAL0111426,GBIF,,Manuel Vargas,,19.8,-90.522222,"Crucero de Avenida P. Trueba y Autopista, Ciudad Campeche",1998.0,1,1,1,,WGS84,2020,C. Gutiérrez-Báez
758,PRESERVED_SPECIMEN,Piper psilorhachis,XAL0116757,GBIF,,Manuel Vargas,,19.355,-97.11833299999999,Ixhuacán de los Reyes,1976.0,1,1,1,,WGS84,2020,V. Vázquez T.
774,PRESERVED_SPECIMEN,Piper psilorhachis,Y008670,GBIF,,Manuel Vargas,,19.483333,-88.033333,15 km al S de Felipe Carrillo Puerto,1980.0,1,1,1,,WGS84,2020,O. Téllez V.; E. Cabrera C.
811,PRESERVED_SPECIMEN,Piper psilorhachis,V056374,GBIF,,Manuel Vargas,,19.588055999999998,-96.94694399999999,"Rancho La Martinica, N de Banderilla",1981.0,1,1,1,,WGS84,2020,J.I. Calzada
852,PRESERVED_SPECIMEN,Piper psilorhachis,V008162,GBIF,,Manuel Vargas,,19.602778,-96.955555,3 km al N de Banderilla,1971.0,1,1,1,,WGS84,2020,J. Dorantes L.
876,PRESERVED_SPECIMEN,Piper psilorhachis,K400064,GBIF,,Manuel Vargas,,16.708333,-91.065,Centro Arqueológico Bonampak,1982.0,1,1,1,,WGS84,2020,J. Meave del C.
889,PRESERVED_SPECIMEN,Piper psilorhachis,K403867,GBIF,,Manuel Vargas,,18.527778,-89.902778,2 km al S de la desviación de Calakmul,1995.0,1,1,1,,WGS84,2020,C. Gutiérrez-Báez
895,PRESERVED_SPECIMEN,Piper psilorhachis,103389,GBIF,,Manuel Vargas,,19.527778,-96.975,"San Antonio, 1 km al S",1993.0,1,1,1,,WGS84,2020,P. Zamora C.; V.E. Luna M.
914,PRESERVED_SPECIMEN,Piper psilorhachis,91106,GBIF,,Manuel Vargas,,17.958333,-88.885,"Paso del Danto, 150 m al N, frente al rancho de Don Crescencio Cruz, camino La Unión-Ucum",1992.0,1,1,1,,WGS84,2020,J. Granados
921,PRESERVED_SPECIMEN,Piper psilorhachis,82012,GBIF,,Manuel Vargas,,16.925,-93.641667,"6.2 km al NW de Emilio Rabasa, 2 km al NW de El Cielito",1991.0,1,1,1,,WGS84,2020,S. Ochoa-Gaona
922,PRESERVED_SPECIMEN,Piper psilorhachis,81962,GBIF,,Manuel Vargas,,20.4,-97.44166700000001,Plan de Hidalgo,1986.0,1,1,1,,WGS84,2020,S.G. Medellín M.
