,BasisOfRec,Binomial,CatalogNo,Citation,CollectID,Compiler,Data_sens,Dec_Lat,Dec_Long,Dist_comm,Event_Year,Origin,Presence,Seasonal,Sens_comm,SpatialRef,YrCompiled,recordedBy
1423,PRESERVED_SPECIMEN,Plinia povedae,V0563378F,GBIF,,Manuel Vargas,,-2.5861110000000003,-74.4925,Campsite #1 (Alto Mazán) on Rapid Biological Inventory #18.,2006.0,1,1,1,,WGS84,2020,N. Dávila et al.
1484,PRESERVED_SPECIMEN,Plinia povedae,V0563379F,GBIF,,Manuel Vargas,,-2.5861110000000003,-74.4925,Campsite #1 (Alto Mazán) on Rapid Biological Inventory #18.,2006.0,1,1,1,,WGS84,2020,N. Dávila et al.
1812,PRESERVED_SPECIMEN,Plinia povedae,U.1452563,GBIF,"Maas, PJM; Maas-van de Kamer, H; Hammel, BE; Chavarr¡a, MM  7873 ",Manuel Vargas,,8.7,-83.6,Puntarenas: Cantón de Sierpe. High forest W of Rancho Quemada on road to Drake and new logging road.,1991.0,1,1,1,,WGS84,2020,Maas PJM; Maas-van de Kamer H; Hammel BE; Chavarr¡a MM
2141,PRESERVED_SPECIMEN,Plinia povedae,RB01423699,GBIF,2315,Manuel Vargas,,-7.879444,-63.874444,"Parque Nacional Mapinguari, próximo a sede campos do Norte, trilha iniciando o ramal Mississípi (Fazenda Santo Antônio) ca. de 3 km ao Sul da base.",2014.0,1,1,1,,WGS84,2020,L.L. Giacomin; Y.F. Gouvêa
3151,PRESERVED_SPECIMEN,Plinia povedae,3655650,GBIF,16988,Manuel Vargas,,8.67,-83.57,"Reserva Florestal Golfo Dulce Osa Península, Rancho Quemado, ca. 15 km W of Rincón; in bottom of S end of valley along Río Riyito and Quebrada Quebradón.",1988.0,1,1,1,,WGS84,2020,"B. Hammel, G. Herrera & M. Chavarría"
3156,PRESERVED_SPECIMEN,Plinia povedae,3487189,GBIF,2643,Manuel Vargas,,9.7903,-83.1083,"Cantón de Limón, El Progreso, entre Cerro Muchilla y Cerro Avioneta, cabeceras de Río Suruy. Fila Matama, Valle de la Estrella.",1989.0,1,1,1,,WGS84,2020,G. Herrera & A. Chacon
6496,PRESERVED_SPECIMEN,Plinia povedae,RB00652369,GBIF,4039,Manuel Vargas,,-8.063333,-71.17805600000001,Floresta densa e manchas de floresta com bambu regenerando. Rio Acuraua.,2006.0,1,1,1,,WGS84,2020,"M. Silveira; F. Obermuller, C. S. Pessoa, E. C. de Oliveira et al."
6516,PRESERVED_SPECIMEN,Plinia povedae,RB01204683,GBIF,452,Manuel Vargas,,-9.138889,-64.5025,"Módulo Búfalo, Módulo Búfalo-T1 1000",2015.0,1,1,1,,WGS84,2020,D.M. Torres; M.P.P. do Nascimento; R. Nascimento; A.E. Brina
6966,PRESERVED_SPECIMEN,Plinia povedae,MG007642,GBIF,s.n.,Manuel Vargas,,-4.566667,-44.0,Maranhão,1906.0,1,1,1,,WGS84,2020,"Ducke, A."
7296,PRESERVED_SPECIMEN,Plinia povedae,V0324327F,GBIF,,Manuel Vargas,,-1.517611,-73.81616700000001,Campsite #3 (Medio Campuya) on Rapid Biological and Social Inventory #25.,2012.0,1,1,1,,WGS84,2020,M. A. Ríos Paredes et al.
10320,PRESERVED_SPECIMEN,Plinia povedae,3160743,GBIF,Rodríguez-Reyes 122JR,Manuel Vargas,,7.64305,-81.71333,"Parque Nacional Coiba, Ranchería, bajada a costa N de la isla, borde costero",2004.0,1,1,1,,WGS84,2020,Oris Rodríguez-Reyes|Alicia Ibáñez
10358,PRESERVED_SPECIMEN,Plinia povedae,312266,GBIF,Hammel 16988,Manuel Vargas,,8.666667,-83.56666700000001,"Reserva Forestal Golfo Dulce Osa Península, Rancho Quemado, ca. 15 km W of Rincón; in bottom of S end of valley along Río Riyito and Quebrada Quebradón.",1988.0,1,1,1,,WGS84,2020,Barry E. Hammel|Gerardo Herrera Ch.|María Marta Chavarría
10366,PRESERVED_SPECIMEN,Plinia povedae,312022,GBIF,Maas 7873,Manuel Vargas,,8.7,-83.6,Cantón de Sierpe. High forest W of Rancho Quemada on road to Drake and new logging road.,1991.0,1,1,1,,WGS84,2020,Paul J. M. Maas|Hiltje Maas|Barry E. Hammel|María Marta Chavarría
10410,PRESERVED_SPECIMEN,Plinia povedae,309750,GBIF,Herrera Chacón 2643,Manuel Vargas,,9.79,-83.1,"Cantón de Limón El Progreso, entre Cerro Muchilla y Cerro Avioneta, cabeceras de Río Suruy. Fila Matama, Valle de la Estrella.",1989.0,1,1,1,,WGS84,2020,Gerardo Herrera Ch.|Abelardo Chacón
10417,PRESERVED_SPECIMEN,Plinia povedae,309435,GBIF,Hammel 16886,Manuel Vargas,,8.55,-83.58,"Reserva Forestal Golfo Dulce Osa Península, Rancho Quemado, ca. 15 km W of Rincón; on forested slopes at NW end of valley, near Fila Ganado.",1988.0,1,1,1,,WGS84,2020,Barry E. Hammel|Gerardo Herrera Ch.|María Marta Chavarría|Ángel Solís
