,BasisOfRec,Binomial,CatalogNo,Citation,CollectID,Compiler,Data_sens,Dec_Lat,Dec_Long,Dist_comm,Event_Year,Origin,Presence,Seasonal,Sens_comm,SpatialRef,YrCompiled,recordedBy
7112,PRESERVED_SPECIMEN,Posoqueria robusta,4461980,GBIF,,Manuel Vargas,,10.396942,-84.049161,"Heredia. San Ramón de la Virgen de Sarapiquí, Área de Conservación Cordillera Volcánica Central, Estación Magsasay, orillas del Río Peje, Sendero hacia el río.",2016.0,1,1,1,,WGS84,2020,Nelson A. Zamora Villalobos; Braulio Hernández
7113,PRESERVED_SPECIMEN,Posoqueria robusta,4461981,GBIF,,Manuel Vargas,,10.396942,-84.049161,"Heredia. San Ramón de la Virgen de Sarapiquí, Área de Conservación Cordillera Volcánica Central, Estación Magsasay, orillas del Río Peje, Sendero hacia el río.",2016.0,1,1,1,,WGS84,2020,Nelson A. Zamora Villalobos; Braulio Hernández
7115,PRESERVED_SPECIMEN,Posoqueria robusta,4461979,GBIF,,Manuel Vargas,,10.396942,-84.049161,"Heredia. San Ramón de la Virgen de Sarapiquí, Área de Conservación Cordillera Volcánica Central, Estación Magsasay, orillas del Río Peje, Sendero hacia el río.",2016.0,1,1,1,,WGS84,2020,Nelson A. Zamora Villalobos; Braulio Hernández
7391,PRESERVED_SPECIMEN,Posoqueria robusta,957443,GBIF,Hammel 17744,Manuel Vargas,,10.45,-84.06,"Llanura de San Carlos. Cerros Sardinales, Chilamate, Finca Bejuco.",1990.0,1,1,1,,WGS84,2020,Barry E. Hammel|Randall J. Evans|Barry O'Connor
7553,PRESERVED_SPECIMEN,Posoqueria robusta,905265,GBIF,Ramírez Villalobos 216,Manuel Vargas,,10.4,-84.08,Llanura de San Carlos. Bijagual. Camino a la Estación Magsasay.,1994.0,1,1,1,,WGS84,2020,Víctor H. Ramírez|Quírico Jiménez|Barry E. Hammel
7828,PRESERVED_SPECIMEN,Posoqueria robusta,894133,GBIF,Hammel 19531,Manuel Vargas,,10.56,-84.04,,1994.0,1,1,1,,WGS84,2020,Barry E. Hammel|Michael Garita
7900,PRESERVED_SPECIMEN,Posoqueria robusta,891358,GBIF,Boyle 3756,Manuel Vargas,,10.32,-84.08,"Parque Nacional Braulio Carrillo, Cordillera Central, Estación El Ceibo, gently sloping area just above the steep west rim of the Río Peje canyon, primary premontane wet forest, beside path that goes from guard house",,1,1,1,,WGS84,2020,Brad Boyle
7954,PRESERVED_SPECIMEN,Posoqueria robusta,887630,GBIF,Jiménez Madrigal 1445,Manuel Vargas,,10.4,-84.08,"Llanura de San Carlos. Bijagual, camino a Magsasay.",1994.0,1,1,1,,WGS84,2020,Quírico Jiménez|et al.
8052,PRESERVED_SPECIMEN,Posoqueria robusta,780728,GBIF,Acevedo Mendoza 173,Manuel Vargas,,10.405,-84.05833299999999,"Parque Nacional Braulio Carrillo Estación Magsasay, Sarapiquí, bosque secundario",1990.0,1,1,1,,WGS84,2020,Daniel Acevedo|Curso II de Parataxónomos
8058,PRESERVED_SPECIMEN,Posoqueria robusta,776855,GBIF,Moreno 14727,Manuel Vargas,,11.55,-83.8,"Caño Monte Cristo, La Grupera",1982.0,1,1,1,,WGS84,2020,P. P. Moreno|J. C. Sandino
8782,PRESERVED_SPECIMEN,Posoqueria robusta,538996,GBIF,Chacón Gamboa 704,Manuel Vargas,,10.459719999999999,-84.06527,"Chilamate, Finca El Bejuco",1990.0,1,1,1,,WGS84,2020,Abelardo Chacón
8923,PRESERVED_SPECIMEN,Posoqueria robusta,532999,GBIF,Aguilar Fernández 16,Manuel Vargas,,10.37472,-84.03611,"Parque Nacional Braulio Carrillo, Estación El Ceibo",1989.0,1,1,1,,WGS84,2020,Reinaldo Aguilar
9011,PRESERVED_SPECIMEN,Posoqueria robusta,527099,GBIF,Alcázar Barahona 124,Manuel Vargas,,10.400833,-84.050833,"Parque Nacional Braulio Carrillo, Estación Biológica Magsasay, bosque primario y orillas de potreros",1990.0,1,1,1,,WGS84,2020,E. Alcazar|Curso II de Parataxónomos
9542,PRESERVED_SPECIMEN,Posoqueria robusta,510527,GBIF,Fernández Zúñiga 88,Manuel Vargas,,10.234722,-84.052778,Parque Nac. Braulio Carrillo Estación Magsasay. Detrás de la Estación entre bosque y potreros.,1990.0,1,1,1,,WGS84,2020,Álvaro Fernández
9587,PRESERVED_SPECIMEN,Posoqueria robusta,507925,GBIF,Grayum 5324,Manuel Vargas,,10.45,-84.06,"Finca El Bejuco, S base of Cerros Sardinal, Chilamate de Sarapiquí. 10º27'N, 84º04'W. Elev. 70-100 m.",1985.0,1,1,1,,WGS84,2020,Michael H. Grayum|Brian Jacobs
9853,PRESERVED_SPECIMEN,Posoqueria robusta,3584608,GBIF,Jiménez Madrigal 2099,Manuel Vargas,,10.48333,-83.71666,"Llanura de Tortuguero. Cariari, Palmitas. El Triángulo, Las Brisas. Finca Guillermo Acosta.",1996.0,1,1,1,,WGS84,2020,Quírico Jiménez
9994,PRESERVED_SPECIMEN,Posoqueria robusta,3469286,GBIF,Vargas Ramírez 1769,Manuel Vargas,,10.43138,-84.00361,La Selva Biological Station. Sendero: SSA 2170m. Der. 2 m.,2007.0,1,1,1,,WGS84,2020,Orlando Vargas
11195,PRESERVED_SPECIMEN,Posoqueria robusta,2750472,GBIF,Riviere 328,Manuel Vargas,,10.78333,-83.78333,"1.5 km W of (above) and 0.5 km N of Delta, Río San Juan",1982.0,1,1,1,,WGS84,2020,Russ Riviere
11257,PRESERVED_SPECIMEN,Posoqueria robusta,2706727,GBIF,Vargas Salazar 38,Manuel Vargas,,10.391667,-84.052778,"Cuenca del Sarapiquí. Estación Magsasay, bosques y potreros a orilla del Río Peje.",1998.0,1,1,1,,WGS84,2020,Luis Diego Vargas|Alexánder Rodríguez|E. Ureña
11984,PRESERVED_SPECIMEN,Posoqueria robusta,2336734,GBIF,Folsom 9632,Manuel Vargas,,10.43138,-84.00361,La Selva Biological Station.,1981.0,1,1,1,,WGS84,2020,James P. Folsom
11985,PRESERVED_SPECIMEN,Posoqueria robusta,2336732,GBIF,Folsom 9172,Manuel Vargas,,10.43138,-84.00361,La Selva Biological Station.,1981.0,1,1,1,,WGS84,2020,James P. Folsom
12250,PRESERVED_SPECIMEN,Posoqueria robusta,2310751,GBIF,Thomsen 1180,Manuel Vargas,,10.51666,-83.71666,"El Cedral, 26 km N of Cariari, Provence, on the farm of Mario Chavarria P. One-ha sample plot in rather tall forest on undulating ground with swampy depressions, Dominance of Pentaclethra macroloba (41% of basal area). Also common:",1994.0,1,1,1,,WGS84,2020,Karsten Thomsen
12333,PRESERVED_SPECIMEN,Posoqueria robusta,2308659,GBIF,Smith 1214,Manuel Vargas,,10.466660000000001,-84.06666,"Catemaco, Finca el Bejuco, around dryish ridge on the west side of the property.",1984.0,1,1,1,,WGS84,2020,Damon A. Smith
12357,PRESERVED_SPECIMEN,Posoqueria robusta,2307911,GBIF,Burger 4275,Manuel Vargas,,10.43333,-84.03333,Second growth and forest remnants about 8 km. southwest of Puerto Viejo along the road to,1967.0,1,1,1,,WGS84,2020,William C. Burger|G. Mata U.
14177,PRESERVED_SPECIMEN,Posoqueria robusta,164390,GBIF,Alvarado Murillo 77,Manuel Vargas,,10.405,-84.05833299999999,Parque Nacional Braulio Carrillo Estación Magsasay.,1990.0,1,1,1,,WGS84,2020,Celso Alvarado
14888,PRESERVED_SPECIMEN,Posoqueria robusta,1332909,GBIF,Rueda 9626,Manuel Vargas,,11.01666,-84.2,"Municipio el Castillo, Reserva Indio-Maiz; Cerro el Diablo.",1998.0,1,1,1,,WGS84,2020,R. M. Rueda|I. Coronado G.|F. Flores|W. Velásquez|O. Caballero
14903,PRESERVED_SPECIMEN,Posoqueria robusta,1329077,GBIF,Rueda 9273,Manuel Vargas,,10.85,-84.166667,"Municipio el Castillo, Reserva Indio-Maiz, Cerro Bolívar.",1998.0,1,1,1,,WGS84,2020,R. M. Rueda|F. Flores|W. Velásquez|O. Caballero
14915,PRESERVED_SPECIMEN,Posoqueria robusta,1326529,GBIF,Rueda 8594,Manuel Vargas,,11.06666,-83.85,"Reserva Indio-Maiz, Municipio de San Juan del Norte, Río Indio, Cerro Canta Gallo",1998.0,1,1,1,,WGS84,2020,R. M. Rueda|I. Coronado G.|W. Velásquez|Y. Rubi
15309,PRESERVED_SPECIMEN,Posoqueria robusta,1180151,GBIF,Rueda 5642,Manuel Vargas,,11.01666,-84.23333000000001,"Reserva Indio-Maíz, Municipio de el Castillo, en los alrededores de la desembocadura del caño el Pavon, Río Bartola.",1997.0,1,1,1,,WGS84,2020,R. M. Rueda|I. Coronado G.
15326,PRESERVED_SPECIMEN,Posoqueria robusta,1179686,GBIF,Rueda 5434,Manuel Vargas,,11.01666,-84.2,"Reserva Indio-Maíz, Municipio de el Castillo, Cerro el Diablo.",1997.0,1,1,1,,WGS84,2020,R. M. Rueda|I. Coronado G.|O. Aráuz|F. Flores
15365,PRESERVED_SPECIMEN,Posoqueria robusta,1167071,GBIF,Rueda 4444,Manuel Vargas,,10.76666,-83.88333,"Reserva Indio-Maíz, Municipio de San Juan del Norte, Cerro El Gigante.",1996.0,1,1,1,,WGS84,2020,R. M. Rueda|I. Coronado G.|N. Tercero
15418,PRESERVED_SPECIMEN,Posoqueria robusta,1131693,GBIF,Moreno 14666A,Manuel Vargas,,11.55,-83.8,"Caño Monte Cristo, La Grupera",1982.0,1,1,1,,WGS84,2020,P. P. Moreno|J. C. Sandino
18721,PRESERVED_SPECIMEN,Posoqueria robusta,4093617,GBIF,,Manuel Vargas,,10.686111,-84.18055600000001,"ca. 7 km NE de Boca Tapada, Laguna del Lagarto Lodge.",2005.0,1,1,1,,WGS84,2020,Daniel Solano; Nelson A. Zamora Villalobos
19855,PRESERVED_SPECIMEN,Posoqueria robusta,3841530,GBIF,,Manuel Vargas,,10.333333,-84.06666700000001,Estación El Ceibo. Sendero Principal.,2003.0,1,1,1,,WGS84,2020,Jose González
19856,PRESERVED_SPECIMEN,Posoqueria robusta,3841529,GBIF,,Manuel Vargas,,10.333333,-84.06666700000001,Estación El Ceibo. Sendero Principal.,2003.0,1,1,1,,WGS84,2020,Jose González
20114,PRESERVED_SPECIMEN,Posoqueria robusta,3561980,GBIF,,Manuel Vargas,,10.556944,-84.052778,"Por el Cano Negro del Sur, rumbo a Lomas Sardinal; ca.  12 km linea recta N de Puerto Viejo.",1998.0,1,1,1,,WGS84,2020,Barry Hammel; Alexánder Francisco Rodríguez González ; Victor Ramírez
20115,PRESERVED_SPECIMEN,Posoqueria robusta,3561981,GBIF,,Manuel Vargas,,10.556944,-84.052778,"Por el Cano Negro del Sur, rumbo a Lomas Sardinal; ca.  12 km linea recta N de Puerto Viejo.",1998.0,1,1,1,,WGS84,2020,Barry Hammel; Alexánder Francisco Rodríguez González ; Victor Ramírez
21415,PRESERVED_SPECIMEN,Posoqueria robusta,2910227,GBIF,,Manuel Vargas,,10.332778,-84.078889,Estacion El Ceibo. Gently sloping area just above the steep west rim of the Rio Peje canyon. Primary premontane wet forest. Beside path that goes from guard house to water supply intake.,1992.0,1,1,1,,WGS84,2020,Brad Boyle
21682,PRESERVED_SPECIMEN,Posoqueria robusta,2918961,GBIF,,Manuel Vargas,,10.459133999999999,-84.06387600000001,"Cerros Sardinales, Chilamate, Finca Bejuco.",1990.0,1,1,1,,WGS84,2020,Barry Hammel
21780,PRESERVED_SPECIMEN,Posoqueria robusta,2842197,GBIF,,Manuel Vargas,,10.391667,-84.052778,"Estacion Magsasay, borde de Rio Peje.",1998.0,1,1,1,,WGS84,2020,Luis Diego Vargas; Alexánder Francisco Rodríguez González ; Esteban Uren~a
21781,PRESERVED_SPECIMEN,Posoqueria robusta,2842195,GBIF,,Manuel Vargas,,10.391667,-84.052778,"Estacion Magsasay, borde de Rio Peje.",1998.0,1,1,1,,WGS84,2020,Luis Diego Vargas; Alexánder Francisco Rodríguez González ; Esteban Uren~a
21782,PRESERVED_SPECIMEN,Posoqueria robusta,2842196,GBIF,,Manuel Vargas,,10.391667,-84.052778,"Estacion Magsasay, borde de Rio Peje.",1998.0,1,1,1,,WGS84,2020,Luis Diego Vargas; Alexánder Francisco Rodríguez González ; Esteban Uren~a
22526,PRESERVED_SPECIMEN,Posoqueria robusta,1581769,GBIF,,Manuel Vargas,,10.405,-84.05833299999999,Estacion Magsasay. Bosque primario y secundario.,1990.0,1,1,1,,WGS84,2020,Celso Alvarado
22579,PRESERVED_SPECIMEN,Posoqueria robusta,1579271,GBIF,,Manuel Vargas,,10.569444,-84.04722199999999,Lomas Sardinal; bosque intervenido y primario; ca. 15 km linea recta N de Puerto Viejo.,1994.0,1,1,1,,WGS84,2020,Barry Hammel
23224,PRESERVED_SPECIMEN,Posoqueria robusta,1574007,GBIF,,Manuel Vargas,,10.594444000000001,-83.75,Sector Corori.,1990.0,1,1,1,,WGS84,2020,Elias Rojas
23322,PRESERVED_SPECIMEN,Posoqueria robusta,1570074,GBIF,,Manuel Vargas,,10.4,-84.088889,Bijagual. Camino a la Estacion Magsasay.,1994.0,1,1,1,,WGS84,2020,Victor Ramírez
23403,PRESERVED_SPECIMEN,Posoqueria robusta,1567588,GBIF,,Manuel Vargas,,10.4,-84.088889,"Bijagual, camino a Magsasay.",1994.0,1,1,1,,WGS84,2020,Quirico Jiménez
23781,PRESERVED_SPECIMEN,Posoqueria robusta,1517196,GBIF,,Manuel Vargas,,10.332778,-84.078889,Estacion El Ceibo. Gently sloping area just above the steep west rim of the Rio Peje canyon. Primary premontane wet forest. Beside path that goes from guard house to water supply intake.,1992.0,1,1,1,,WGS84,2020,Brad Boyle
23895,PRESERVED_SPECIMEN,Posoqueria robusta,1509728,GBIF,,Manuel Vargas,,10.483333,-83.716667,"Cariari, Palmitas, El Triangulo, Las Brisas. Finca Guillermo Acosta.",1996.0,1,1,1,,WGS84,2020,Quirico Jiménez
