,BasisOfRec,Binomial,CatalogNo,Citation,CollectID,Compiler,Data_sens,Dec_Lat,Dec_Long,Dist_comm,Event_Year,Origin,Presence,Seasonal,Sens_comm,SpatialRef,YrCompiled,recordedBy
1689,PRESERVED_SPECIMEN,Pouteria foveolata,101176594,GBIF,Rodríguez González 14708,Manuel Vargas,,8.984306,-83.46780600000001,"Palmar.  Palmar Norte.  Entrando por Barrio Alemán, ruta por Quebrada Benjamín, sendero que lleva a Fila Retinto, ca. 3 km luego de la quebrada.",2017.0,1,1,1,,WGS84,2020,Alexánder Rodríguez|Daniel Solano|D. Camacho
1956,PRESERVED_SPECIMEN,Pouteria foveolata,U.1731677,GBIF,"McPherson, GD  11947 ",Manuel Vargas,,9.25,-79.416667,"Cerro Jefe region, along old road below Los Nubes.",1988.0,1,1,1,,WGS84,2020,McPherson GD
1981,PRESERVED_SPECIMEN,Pouteria foveolata,U.1731678,GBIF,"McPherson, GD  11947 ",Manuel Vargas,,9.25,-79.416667,"Cerro Jefe region, along old road below Los Nubes.",1988.0,1,1,1,,WGS84,2020,McPherson GD
4075,PRESERVED_SPECIMEN,Pouteria foveolata,985828,GBIF,9222,Manuel Vargas,,8.4083,-83.3111,"Distrito: Jiménez.  Refugio Nacional de Vida Silvestre Osa; Piro de la entrada de la casa de Adrian a la casa de Agustin, finca La Joya",2005.0,1,1,1,,WGS84,2020,R. Aguilar
5925,PRESERVED_SPECIMEN,Pouteria foveolata,3637613,GBIF,11947,Manuel Vargas,,9.25,-79.42,"Cerro Jefe region, along old road below Los Nubes.",1988.0,1,1,1,,WGS84,2020,G. D. McPherson
7630,PRESERVED_SPECIMEN,Pouteria foveolata,902358,GBIF,Gentry 79510,Manuel Vargas,,9.76,-84.53,"Reserva Biológica Carara, Valle del Tárcoles, Río Carara near Carara Guard Post.",1993.0,1,1,1,,WGS84,2020,Alwyn H. Gentry|Nelson Zamora|Quírico Jiménez|INBio Parataxonomy Course
7767,PRESERVED_SPECIMEN,Pouteria foveolata,896223,GBIF,Aguilar Fernández 2120,Manuel Vargas,,8.64,-83.46,"Península de Osa. La Palma, Guadalupe, Finca de Efraín González.",1993.0,1,1,1,,WGS84,2020,Reinaldo Aguilar
9706,PRESERVED_SPECIMEN,Pouteria foveolata,408583,GBIF,McPherson 11947,Manuel Vargas,,9.25,-79.41666,"Cerro Jefe region, along old road below Los Nubes.",1988.0,1,1,1,,WGS84,2020,Gordon McPherson
9758,PRESERVED_SPECIMEN,Pouteria foveolata,405989,GBIF,Harmon 13,Manuel Vargas,,9.37,-84.15,"Parque Nal. Manuel Antonio Woods near ANEP road, Punta Catedral, Puerto Escondido, and Espadilla Sur.",1989.0,1,1,1,,WGS84,2020,Patrick K. Harmon
9759,PRESERVED_SPECIMEN,Pouteria foveolata,405976,GBIF,Harmon 42,Manuel Vargas,,9.376667,-84.146389,"Parque Nac. Manuel Antonio.  Woods near ANEP road, Punta Catedral, Puerto Escondido, and Lotz Road.",1990.0,1,1,1,,WGS84,2020,Patrick K. Harmon
9763,PRESERVED_SPECIMEN,Pouteria foveolata,405881,GBIF,Hammel 17036,Manuel Vargas,,8.7,-83.56,"Reserva Forestal Golfo Dulce Osa Península, Rancho Quemado, ca. 15 km W of Rincón; in bottom of valley at N end and on ridge along road at entrance to valley.",1988.0,1,1,1,,WGS84,2020,Barry E. Hammel|Gerardo Herrera Ch.|María Marta Chavarría|Ángel Solís
9766,PRESERVED_SPECIMEN,Pouteria foveolata,405736,GBIF,Carballo Carvajal 278,Manuel Vargas,,9.675,-83.022222,"Reserva Biol. Hitoy Cerere, Valle de la Estrella.",1990.0,1,1,1,,WGS84,2020,Gerardo Carballo
10102,PRESERVED_SPECIMEN,Pouteria foveolata,3343528,GBIF,Little 21021,Manuel Vargas,,1.08,-78.98,Borbón.,,1,1,1,,WGS84,2020,Elbert L. Little
11141,PRESERVED_SPECIMEN,Pouteria foveolata,2768521,GBIF,Williams 17422,Manuel Vargas,,12.05,-84.96666,Villa Somoza,1951.0,1,1,1,,WGS84,2020,Llewelyn Williams
14107,PRESERVED_SPECIMEN,Pouteria foveolata,1727287,GBIF,Pennington 11363,Manuel Vargas,,9.39,-84.14,"LOC: NW0984; Quepos, Parque Nacional Manuel Antonio. Entrance to Parque, forest remnant.",1984.0,1,1,1,,WGS84,2020,T. D. Pennington|Luis J. Poveda Álvarez|Pablo E. Sánchez V.|Nelson Zamora
14301,PRESERVED_SPECIMEN,Pouteria foveolata,1545130,GBIF,Rueda 15026,Manuel Vargas,,11.116660000000001,-84.36666,"Reserva Indio-Maíz, Municipio del Castillo, Estación experimental La Lupe.",2000.0,1,1,1,,WGS84,2020,R. M. Rueda|W. Velásquez
14441,PRESERVED_SPECIMEN,Pouteria foveolata,1483592,GBIF,Rivera Elizondo 2217,Manuel Vargas,,8.65,-83.16,Refugio Nacional de Fauna Silvestre Golfito.,1994.0,1,1,1,,WGS84,2020,Gerardo Rivera|Gerardo Herrera Ch.|Judy Hoomans
14442,PRESERVED_SPECIMEN,Pouteria foveolata,1483590,GBIF,Chavarría Díaz 287,Manuel Vargas,,8.36,-83.14,Punta Banco.,1988.0,1,1,1,,WGS84,2020,María Marta Chavarría|Gilbert Barrantes|Á. Solís
14568,PRESERVED_SPECIMEN,Pouteria foveolata,1442038,GBIF,Galdames 2551,Manuel Vargas,,7.638610000000001,-81.75694,Isla Coiba. Playa Rosario,1996.0,1,1,1,,WGS84,2020,Carmen Galdames|Blanca Araúz|José Deago|Narciso Bastidas
17185,PRESERVED_SPECIMEN,Pouteria foveolata,4374697,GBIF,,Manuel Vargas,,8.681806,-83.57458299999999,"Península de Osa, Rancho Quemado, bosque alrededor del puesto operativo, sendero al Cerro Brujo.",2013.0,1,1,1,,WGS84,2020,Nelson A. Zamora Villalobos; Reinaldo Aguilar ; Guillermo Villalobos ; Alejandro Azofeifa Zúñiga ; Soo-Yong Kim ; D. Solorzano
17187,PRESERVED_SPECIMEN,Pouteria foveolata,4374696,GBIF,,Manuel Vargas,,8.681806,-83.57458299999999,"Península de Osa, Rancho Quemado, bosque alrededor del puesto operativo, sendero al Cerro Brujo.",2013.0,1,1,1,,WGS84,2020,Nelson A. Zamora Villalobos; Reinaldo Aguilar ; Guillermo Villalobos ; Alejandro Azofeifa Zúñiga ; Soo-Yong Kim ; D. Solorzano
17190,PRESERVED_SPECIMEN,Pouteria foveolata,4374698,GBIF,,Manuel Vargas,,8.681806,-83.57458299999999,"Península de Osa, Rancho Quemado, bosque alrededor del puesto operativo, sendero al Cerro Brujo.",2013.0,1,1,1,,WGS84,2020,Nelson A. Zamora Villalobos; Reinaldo Aguilar ; Guillermo Villalobos ; Alejandro Azofeifa Zúñiga ; Soo-Yong Kim ; D. Solorzano
17756,PRESERVED_SPECIMEN,Pouteria foveolata,4232001,GBIF,,Manuel Vargas,,9.379333,-84.136944,"P.N. Manuel Antonio, sendero a Puerto Escondido.",2006.0,1,1,1,,WGS84,2020,L. Acosta; Diego Castillo
21660,PRESERVED_SPECIMEN,Pouteria foveolata,2919592,GBIF,,Manuel Vargas,,9.4,-84.166667,"Woods near ANEP road, Punta Catedral, Puerto Escondido, and Lotz Road.",1990.0,1,1,1,,WGS84,2020,Patrick Harmon
21662,PRESERVED_SPECIMEN,Pouteria foveolata,2919569,GBIF,,Manuel Vargas,,9.4,-84.166667,"Woods near ANEP road, Punta Catedral, Puerto Escondido, and Espadilla Sur.",1989.0,1,1,1,,WGS84,2020,Patrick Harmon
21701,PRESERVED_SPECIMEN,Pouteria foveolata,2918541,GBIF,,Manuel Vargas,,8.7,-83.56666700000001,"Rancho Quemado, ca. 15 km W of Rincon; in bottom of valley at N end and on ridge along road at entrance to valley.",1988.0,1,1,1,,WGS84,2020,Barry Hammel
22473,PRESERVED_SPECIMEN,Pouteria foveolata,1583826,GBIF,,Manuel Vargas,,9.675,-83.022222,"Bosque primario, bosque secundario.",1990.0,1,1,1,,WGS84,2020,Gerardo Carballo
22516,PRESERVED_SPECIMEN,Pouteria foveolata,1582106,GBIF,,Manuel Vargas,,9.766667,-84.533333,Mature moist forest Rio Carara near Carara Guard Post. INBio parataxonomy course.,1993.0,1,1,1,,WGS84,2020,Alwyn Howard Gentry
22518,PRESERVED_SPECIMEN,Pouteria foveolata,1582025,GBIF,,Manuel Vargas,,8.641667,-83.466667,"La Palma. Guadalupe, 3 km O de Playa Blanca, Finca de Efrain Gonzalez.",1993.0,1,1,1,,WGS84,2020,Reinaldo Aguilar
22587,PRESERVED_SPECIMEN,Pouteria foveolata,1608140,GBIF,,Manuel Vargas,,8.369437,-83.142362,Punta Banco.,1988.0,1,1,1,,WGS84,2020,Maria M. Chavarría
24703,PRESERVED_SPECIMEN,Pouteria foveolata,,GBIF,2551,Manuel Vargas,,8.1667,-81.25,,1996.0,1,1,1,,WGS84,2020,C. Galdames
25819,PRESERVED_SPECIMEN,Pouteria foveolata,BM000090347,GBIF,11947,Manuel Vargas,,8.507188000000001,-80.102665,,,1,1,1,,WGS84,2020,Gordon Duane McPherson
27535,PRESERVED_SPECIMEN,Pouteria foveolata,224229,GBIF,,Manuel Vargas,,10.42,-84.36,"Aguas Zarcas, La Palmera.",2000.0,1,1,1,,WGS84,2020,"Estrada, Armando"
27541,PRESERVED_SPECIMEN,Pouteria foveolata,219910,GBIF,,Manuel Vargas,,9.29,-83.77,"Tinamaste, finca de los Suizos.",,1,1,1,,WGS84,2020,"Estrada, Armando"
27560,PRESERVED_SPECIMEN,Pouteria foveolata,180214,GBIF,,Manuel Vargas,,9.65,-83.16,R.V.S. Golfito,1994.0,1,1,1,,WGS84,2020,"Herrera, Gerardo"
27561,PRESERVED_SPECIMEN,Pouteria foveolata,179237,GBIF,,Manuel Vargas,,8.7,-83.51,"Aguabuena, 3.5 km W of Rincón. Four hectare permanent sample plot 1 km N of BOSCOSA, station in well-drained undulating terrain with slopes of 15-35 º. Tall primary forest with many palms and large lianas.",1992.0,1,1,1,,WGS84,2020,"Thomsen, Karsten"
27563,PRESERVED_SPECIMEN,Pouteria foveolata,178441,GBIF,,Manuel Vargas,,8.7,-83.5,"Aguabuena, 3 km W of Rincón. One hectare permanet sample plot 880 m N of the house Monge in well-drained, moderately sloping terrain. Tall forest along timber road, lef after selective logging march 1992.",1993.0,1,1,1,,WGS84,2020,"Thomsen, Karsten"
27567,PRESERVED_SPECIMEN,Pouteria foveolata,171268,GBIF,,Manuel Vargas,,10.76,-85.3,P.N. Rincón de la Vieja Alrededores de la administración.,1991.0,1,1,1,,WGS84,2020,"Rivera, Gerardo"
27568,PRESERVED_SPECIMEN,Pouteria foveolata,168531,GBIF,,Manuel Vargas,,10.8,-85.3,"P.N. Rincón de la Vieja Sendesro La Siembra, falda SE del volcán Santa María.",1991.0,1,1,1,,WGS84,2020,"Rivera, Gerardo"
27578,PRESERVED_SPECIMEN,Pouteria foveolata,154159,GBIF,,Manuel Vargas,,9.38,-84.14,"P.N. Manuel Antonio Woods near ANEP road Punta Catedral, punta Escondido, Espadilla Sur.",1989.0,1,1,1,,WGS84,2020,"Harmon, Patrick"
27579,PRESERVED_SPECIMEN,Pouteria foveolata,153886,GBIF,,Manuel Vargas,,9.38,-84.14,"P.N. Manuel Antonio Woods near ANEP road Punta Catedral, punta Escondido, , and Lotz road.",1990.0,1,1,1,,WGS84,2020,"Harmon, Patrick"
27586,PRESERVED_SPECIMEN,Pouteria foveolata,138145,GBIF,,Manuel Vargas,,8.7,-83.56,"R.F. Golfo Dulce Rancho Quemado, ca. 15 km W of Rincón, in bottom of valley at N end and ridge along road at entrance to valley.",1988.0,1,1,1,,WGS84,2020,"Hammel, Barry E."
27597,PRESERVED_SPECIMEN,Pouteria foveolata,131436,GBIF,,Manuel Vargas,,9.38,-84.15,P.N. Manuel Antonio,1983.0,1,1,1,,WGS84,2020,"Salas, Sergio"
27599,PRESERVED_SPECIMEN,Pouteria foveolata,130783,GBIF,,Manuel Vargas,,9.38,-84.14,"P.N. Manuel Antonio Entrance to Parque, forest remnant.",1984.0,1,1,1,,WGS84,2020,"Pennington, Terence D."
29144,UNKNOWN,Pouteria foveolata,100078968,GBIF,,Manuel Vargas,,8.664439999999999,-83.2522,"P.N. Esquinas, Forest behind the Golfo Dulce Lodge (research-plot on the coast)",2000.0,1,1,1,,WGS84,2020,"Huber Werner, Weissenhofer Anton"
29145,UNKNOWN,Pouteria foveolata,100078967,GBIF,,Manuel Vargas,,8.664439999999999,-83.2522,"P.N. Esquinas, Forest behind the Golfo Dulce Lodge (research-plot on the coast)",2000.0,1,1,1,,WGS84,2020,"Huber Werner, Weissenhofer Anton"
29146,UNKNOWN,Pouteria foveolata,100078951,GBIF,,Manuel Vargas,,8.68333,-83.2167,"""Bosque de Los Austriacos"" Primary Forest-Research Plot, La Gamba",1994.0,1,1,1,,WGS84,2020,"Huber Werner, Anonymous , Weissenhofer Anton"
