,BasisOfRec,Binomial,CatalogNo,Citation,CollectID,Compiler,Data_sens,Dec_Lat,Dec_Long,Dist_comm,Event_Year,Origin,Presence,Seasonal,Sens_comm,SpatialRef,YrCompiled,recordedBy
1617,HUMAN_OBSERVATION,Pouteria macrocarpa,,GBIF,,Manuel Vargas,,5.26,-52.95,,1999.0,1,1,1,,WGS84,2020,Biotope (Non renseigné)
1654,PRESERVED_SPECIMEN,Pouteria macrocarpa,MFSFR000039,GBIF,541,Manuel Vargas,,-2.9916669999999996,-47.406389000000004,Área atrás da EETEPA de Paragominas.,2011.0,1,1,1,,WGS84,2020,"Oliveira, JCL de"
1690,PRESERVED_SPECIMEN,Pouteria macrocarpa,101176589,GBIF,Acosta Vargas 2056,Manuel Vargas,,9.672661999999999,-83.027687,R.B. Hitoy Cerere.  Cuenca del Estrella.  Sendero Tepezcuintle.,2000.0,1,1,1,,WGS84,2020,Luis Acosta|Víctor H. Ramírez|Gerardo Soto|Geovanny Sancho
2189,PRESERVED_SPECIMEN,Pouteria macrocarpa,MFSFR000039,GBIF,541,Manuel Vargas,,-2.9916669999999996,-47.406389000000004,Área atrás da EETEPA de Paragominas.,2011.0,1,1,1,,WGS84,2020,"Oliveira, JCL de"
2566,PRESERVED_SPECIMEN,Pouteria macrocarpa,41883,GBIF,1053,Manuel Vargas,,-1.873056,-48.764444,Ao lado da ponte que dá acesso à cidade.,2015.0,1,1,1,,WGS84,2020,"Cruz, E.D.; Silva, M.V.F.; Nascimento, M.P."
3081,PRESERVED_SPECIMEN,Pouteria macrocarpa,8364,GBIF,409,Manuel Vargas,,-10.823611,-55.499444,Resgate da FLORA da UHE Colíder. Estrada de acesso à UHE Colíder.,2015.0,1,1,1,,WGS84,2020,"Lautert, M. ; Oliveira, V.F.; Thomé, R.S.; Virtuoso.V.S."
3778,UNKNOWN,Pouteria macrocarpa,FMB-92032,GBIF,206,Manuel Vargas,,3.2833300000000003,-73.91667,,,1,1,1,,WGS84,2020,"Carvajal, L."
3914,PRESERVED_SPECIMEN,Pouteria macrocarpa,01212036,GBIF,16265,Manuel Vargas,,0.17,-51.62,Camaipi. EMBRAPA reserve and vicinity,1983.0,1,1,1,,WGS84,2020,S. A. Mori
3949,PRESERVED_SPECIMEN,Pouteria macrocarpa,01252064,GBIF,4619,Manuel Vargas,,3.0794099999999998,-60.960081,"San Salvador, 40 km north west of Boa Vista.",1967.0,1,1,1,,WGS84,2020,G. T. Prance
3959,PRESERVED_SPECIMEN,Pouteria macrocarpa,01252073,GBIF,2059,Manuel Vargas,,-1.054011,-56.05175,"Rio Parú do Oeste, margem esquerda, ao lado da cachoeira Pancada. Mata de terra firme, solo argilo-pedregoso.",1980.0,1,1,1,,WGS84,2020,C. A. Cid Ferreira
