,BasisOfRec,Binomial,CatalogNo,Citation,CollectID,Compiler,Data_sens,Dec_Lat,Dec_Long,Dist_comm,Event_Year,Origin,Presence,Seasonal,Sens_comm,SpatialRef,YrCompiled,recordedBy
385,HUMAN_OBSERVATION,Pouteria spicata,47048836,GBIF,,Manuel Vargas,,8.407552,-83.297772,,2020.0,1,1,1,,WGS84,2020,Leonardo Álvarez
7659,PRESERVED_SPECIMEN,Pouteria spicata,901439,GBIF,Hammel 18402,Manuel Vargas,,8.68,-83.21,R.N.V.S. Golfito; Valle de Coto Colorado. Ca. 6 km NO of campo de aterrizaje de Golfito; bosque primario en fila.,1992.0,1,1,1,,WGS84,2020,Barry E. Hammel|Reinaldo Aguilar
7808,PRESERVED_SPECIMEN,Pouteria spicata,894998,GBIF,Aguilar Fernández 1701,Manuel Vargas,,8.64,-83.44,"Península de Osa. 1 Km antes de llegar a La Palma, camino Puerto Jiménez.",1993.0,1,1,1,,WGS84,2020,Reinaldo Aguilar
9685,PRESERVED_SPECIMEN,Pouteria spicata,409231,GBIF,Kernan 934,Manuel Vargas,,8.46,-83.58,"Parque Nacional Corcovado Sirena, Skyway Trail.",1989.0,1,1,1,,WGS84,2020,Christopher Kernan|Pamela Phillips
9710,PRESERVED_SPECIMEN,Pouteria spicata,408314,GBIF,Aguilar Fernández 1536,Manuel Vargas,,9.19,-83.75,"Cantón de Osa Uvita de Osa. Camino que sube a San Josecito, paralelo a Río Morete, (Río Higuerón en el mapa).",1992.0,1,1,1,,WGS84,2020,Reinaldo Aguilar|Álvaro Fernández|S. Bjarnadottir
16401,PRESERVED_SPECIMEN,Pouteria spicata,100427177,GBIF,Harmon 315,Manuel Vargas,,8.660833,-83.713889,R.F. Golfo Dulce. Península de Osa. Playa Campanario o San Josecito. Sierpe.,1993.0,1,1,1,,WGS84,2020,Patrick K. Harmon
16570,PRESERVED_SPECIMEN,Pouteria spicata,100308598,GBIF,Gentry 79352,Manuel Vargas,,9.75,-84.53,"Reserva Biológica Carara, Valle del Tárcoles, edge or park near Río del Sur, foothills of Montañas de Jamaica, ** INBio parataxonomy course",1993.0,1,1,1,,WGS84,2020,Alwyn H. Gentry|Barry E. Hammel|Michael H. Grayum|Nelson Zamora|INBio Parataxonomy Course
16572,PRESERVED_SPECIMEN,Pouteria spicata,100308577,GBIF,Rojas Mora 43,Manuel Vargas,,9.780555999999999,-84.6,R.B. Carara. Valle del Tárcoles. Estación Quebrada Bonita. Bosque Primario.,1990.0,1,1,1,,WGS84,2020,Elías Rojas
16800,PRESERVED_SPECIMEN,Pouteria spicata,100177407,GBIF,Anderberg 47,Manuel Vargas,,8.672222,-83.5075,"Osa Peninsula. Los Charcos, north of Corcovado National Park.",2006.0,1,1,1,,WGS84,2020,Arne A. Anderberg|J. Smedmark|Ulf Swenson|I. Bartish|J. Richardson|Reinaldo Aguilar
25529,PRESERVED_SPECIMEN,Pouteria spicata,S06-13088,GBIF,47,Manuel Vargas,,8.67,-83.51,"Costa Rica. Prov. Puntarenas. Osa Peninsula. Los Charcos, north of Corcovado National Park.",2006.0,1,1,1,,WGS84,2020,"Arne Anderberg, Jenny Smedmark, Ulf Swenson, Igor Bartish, James Richardson & Reinaldo Aguilar"
