,BasisOfRec,Binomial,CatalogNo,Citation,CollectID,Compiler,Data_sens,Dec_Lat,Dec_Long,Dist_comm,Event_Year,Origin,Presence,Seasonal,Sens_comm,SpatialRef,YrCompiled,recordedBy
2674,PRESERVED_SPECIMEN,Psychotria hamiltoniana,101076468,GBIF,Sánchez-González 2479,Manuel Vargas,,9.810917,-83.069694,"Valle La Estrella, Cuenca del río Bananito. Propiedad de Selva Bananito Lodge, sendero a Fila Muchilla, estribaciones NE.",2011.0,1,1,1,,WGS84,2020,Joaquín Sánchez González|Armando Estrada|Armando Ruiz Boyer|Rafael Chacón
8674,PRESERVED_SPECIMEN,Psychotria hamiltoniana,544403,GBIF,Grayum 8929,Manuel Vargas,,10.0,-83.408333,Cordillera de Talamanca Along ridge between Quebrada Camagre and Río Barbilla.,1988.0,1,1,1,,WGS84,2020,Michael H. Grayum|Gerardo Herrera Ch.|Rafael Robles|Ángel Martínez
9087,PRESERVED_SPECIMEN,Psychotria hamiltoniana,523312,GBIF,Herrera Chacón 2634,Manuel Vargas,,9.79,-83.1,"Cantón de Limón El Progreso, entre Cerro Muchilla y Cerro Avioneta, cabeceras de Río Suruy. Fila Matama, Valle de la Estrella.",1989.0,1,1,1,,WGS84,2020,Gerardo Herrera Ch.|Abelardo Chacón
9105,PRESERVED_SPECIMEN,Psychotria hamiltoniana,522865,GBIF,Herrera Chacón 2248,Manuel Vargas,,10.01,-83.41,"Cordillera de Talamanca Cantón de Matina. 0.5 Km aguas arriba de la desembocadura de la Quebrada Cañabral en Río Barbilla, margen izquierda.",1988.0,1,1,1,,WGS84,2020,Gerardo Herrera Ch.
10489,PRESERVED_SPECIMEN,Psychotria hamiltoniana,3044065,GBIF,Loredo 1823,Manuel Vargas,,11.10083,-84.28027,"Municipio El Castillo, Comunidad Nueva Samaria, 1 km adentro en la R.B.I.M.",2004.0,1,1,1,,WGS84,2020,R. Loredo
10495,PRESERVED_SPECIMEN,Psychotria hamiltoniana,3042419,GBIF,Toval 9,Manuel Vargas,,11.10083,-84.28027,"Municipio El Castillo, Comunidad Nueva Samaria, en los alrededores del Puesto de guardaparques, en los alrededores del parque",2005.0,1,1,1,,WGS84,2020,N. Toval|F. Guido
11543,PRESERVED_SPECIMEN,Psychotria hamiltoniana,2418316,GBIF,Mora Castro 1446,Manuel Vargas,,9.97222,-83.45277,"Parque Nacional Barbilla, Cuenca del Matina, Sendero Quebrada, saliendo por el sendero El Felino",2000.0,1,1,1,,WGS84,2020,Edgar Mora Castro
12188,PRESERVED_SPECIMEN,Psychotria hamiltoniana,2321967,GBIF,Rodríguez González 3833,Manuel Vargas,,9.97333,-83.45055,"Reserva Biológica Barbilla, Cuenca del Matina, Sendero que lleva a Río Danta",1996.0,1,1,1,,WGS84,2020,Alexánder Rodríguez|Luis Diego Vargas
12189,PRESERVED_SPECIMEN,Psychotria hamiltoniana,2319295,GBIF,Mora Castro 1164,Manuel Vargas,,9.991660000000001,-83.37777,Parque Nacional Barbilla. Cuenca del Matina. Sector Colonia Puriscaleña. Sendero Azul hasta Río Surubres.,2000.0,1,1,1,,WGS84,2020,Edgar Mora Castro
14894,PRESERVED_SPECIMEN,Psychotria hamiltoniana,1332773,GBIF,Rueda 9534,Manuel Vargas,,11.01666,-84.21666,"Municipio el Castillo, Reserva Indio-Maiz; Cerro el Diablo.",1998.0,1,1,1,,WGS84,2020,R. M. Rueda|I. Coronado G.|F. Flores|W. Velásquez|O. Caballero
14901,PRESERVED_SPECIMEN,Psychotria hamiltoniana,1329467,GBIF,Rueda 9365,Manuel Vargas,,10.91666,-84.28333,"Municipio el Castillo, Reserva biológica ""Indio-Maiz"", Caño el Sarnoso",1998.0,1,1,1,,WGS84,2020,R. M. Rueda|I. Coronado G.|F. Flores|W. Velásquez|O. Caballero
15310,PRESERVED_SPECIMEN,Psychotria hamiltoniana,1180108,GBIF,Rueda 5618,Manuel Vargas,,11.01666,-84.2,"Reserva Indio-Maíz, Municipio de el Castillo, Cerro el Diablo.",1997.0,1,1,1,,WGS84,2020,R. M. Rueda|I. Coronado G.|O. Aráuz|F. Flores
15320,PRESERVED_SPECIMEN,Psychotria hamiltoniana,1179862,GBIF,Rueda 5810,Manuel Vargas,,11.116660000000001,-84.2,"Reserva Indio-Maíz, Municipio de el Castillo, a lo largo del Caño Chontaleño.",1997.0,1,1,1,,WGS84,2020,R. M. Rueda|I. Coronado G.|O. Aráuz|F. Flores
15334,PRESERVED_SPECIMEN,Psychotria hamiltoniana,1179424,GBIF,Rueda 5322,Manuel Vargas,,11.016667,-84.233333,"Reserva Indio-Maíz, Municipio de el Castillo, a 8 km de la cabecera del Río Bartola, en dirección hacia el Cerro el Diablo.",1997.0,1,1,1,,WGS84,2020,R. M. Rueda|I. Coronado G.|O. Aráuz|F. Flores
15339,PRESERVED_SPECIMEN,Psychotria hamiltoniana,1179213,GBIF,Rueda 5140,Manuel Vargas,,11.016667,-84.266667,"Reserva Indio-Maíz, Municipio de el Castillo, a lo largo del caño el Pavon, a 3 km de su desembocadura en el Río Bartola.",1996.0,1,1,1,,WGS84,2020,R. M. Rueda|I. Coronado G.|O. Aráuz|F. Flores
15345,PRESERVED_SPECIMEN,Psychotria hamiltoniana,1178878,GBIF,Rueda 5266,Manuel Vargas,,11.01666,-84.23333000000001,"Reserva Indio-Maíz, Municipio de el Castillo, a 8 km de la cabecera del Río Bartola, en dirección hacia el Cerro el Diablo.",1997.0,1,1,1,,WGS84,2020,R. M. Rueda|I. Coronado G.|O. Aráuz|F. Flores
16564,PRESERVED_SPECIMEN,Psychotria hamiltoniana,100309116,GBIF,Mora Castro 1981,Manuel Vargas,,9.972222,-83.45277800000001,P.N. Barbilla. Cuenca del Matina. Sendero El Felino.,2001.0,1,1,1,,WGS84,2020,Edgar Mora Castro|W. Arana U.|Elías Rojas
