,BasisOfRec,Binomial,CatalogNo,Citation,CollectID,Compiler,Data_sens,Dec_Lat,Dec_Long,Dist_comm,Event_Year,Origin,Presence,Seasonal,Sens_comm,SpatialRef,YrCompiled,recordedBy
107,PRESERVED_SPECIMEN,Psychotria monteverdensis,CM511109,GBIF,1035,Manuel Vargas,,10.316667,-84.8,"Estación Biológica Monteverde, Monteverde, at entrance to forest by station",2005.0,1,1,1,,WGS84,2020,"Paul, J."
109,PRESERVED_SPECIMEN,Psychotria monteverdensis,CM511124,GBIF,1009,Manuel Vargas,,10.316667,-84.8,"Estación Biológica Monteverde, Monteverde, above Sendero Principal",2005.0,1,1,1,,WGS84,2020,"Paul, J."
6042,PRESERVED_SPECIMEN,Psychotria monteverdensis,3314117,GBIF,94-5249,Manuel Vargas,,10.9256,-85.4672,"Guanacaste, Liberia, V. biological station on the W flank of Volcan Cacao, area de Conservacion Guanacaste",,1,1,1,,WGS84,2020,W. J. Kress & R. Calderon
6837,PRESERVED_SPECIMEN,Psychotria monteverdensis,3315104,GBIF,9778,Manuel Vargas,,10.3,-84.8,"Canton de Puntarenas Monteverde, forest & pasture along Quebrada Maquina.",1990.0,1,1,1,,WGS84,2020,W. Haber
7884,PRESERVED_SPECIMEN,Psychotria monteverdensis,891852,GBIF,Espinoza Obando 705,Manuel Vargas,,10.77,-85.35,P.N. Rincón de la Vieja; Cordillera de Guanacaste. Estación Las Pailas.,1992.0,1,1,1,,WGS84,2020,Roberto Espinoza
8815,PRESERVED_SPECIMEN,Psychotria monteverdensis,538203,GBIF,Chávez Obando 444,Manuel Vargas,,10.92,-85.47,Parque Nacional Guanacaste Estación Cacao.,1990.0,1,1,1,,WGS84,2020,Carlos Chávez
8828,PRESERVED_SPECIMEN,Psychotria monteverdensis,537767,GBIF,Hammel 13835,Manuel Vargas,,10.283333,-84.8,Monte Verde; along Río Guacimal below Lechería.,1985.0,1,1,1,,WGS84,2020,Barry E. Hammel|Jill Trainer
8890,PRESERVED_SPECIMEN,Psychotria monteverdensis,536150,GBIF,Alvarado Murillo 16,Manuel Vargas,,10.92,-85.49,"Parque Nacional Guanacaste Estación Biológica Volcán Cacao. Bosque primario, secundario y potreros.",1990.0,1,1,1,,WGS84,2020,Celso Alvarado
8908,PRESERVED_SPECIMEN,Psychotria monteverdensis,533665,GBIF,Obando Arguedas 2,Manuel Vargas,,10.929167,-85.470833,Parque Nacional Guanacaste Cantón de Liberia. Estación Cacao.,1990.0,1,1,1,,WGS84,2020,Norman Obando|Curso II de Parataxónomos
9001,PRESERVED_SPECIMEN,Psychotria monteverdensis,527616,GBIF,Apú Gallo 34,Manuel Vargas,,10.929167,-85.470833,Parque Nacional Guanacaste Estación Cacao. Sendero Cerro Cacao.,1990.0,1,1,1,,WGS84,2020,Bernal Apú|Curso II de Parataxónomos
