,BasisOfRec,Binomial,CatalogNo,Citation,CollectID,Compiler,Data_sens,Dec_Lat,Dec_Long,Dist_comm,Event_Year,Origin,Presence,Seasonal,Sens_comm,SpatialRef,YrCompiled,recordedBy
71,PRESERVED_SPECIMEN,Psychotria panamensis,00430142,GBIF,,Manuel Vargas,,16.10361,-91.67556,0.5km desvío camino Lagunas Montebello-Tizcao a Buenavista.,1993.0,1,1,1,,WGS84,2020,S. Ochoa-Gaona|Mario González-Espinosa|Neptali Ramírez-Marcial|Miguel Martínez-Icó|et al.
81,PRESERVED_SPECIMEN,Psychotria panamensis,CM511214,GBIF,1116,Manuel Vargas,,10.3,-84.783333,"Monteverde Cloud Forest Preserve, on Sendero Chomogo, about 75 m from reception",2005.0,1,1,1,,WGS84,2020,"Paul, J."
86,PRESERVED_SPECIMEN,Psychotria panamensis,CM511075,GBIF,1070,Manuel Vargas,,10.433333,-83.766667,"La Suerte Biological Field Station, along trail near edge of the ""Small Forest""",2005.0,1,1,1,,WGS84,2020,"Paul, J."
87,PRESERVED_SPECIMEN,Psychotria panamensis,CM511226,GBIF,1128,Manuel Vargas,,10.433333,-84.0,"La Selva Biological Field Station, beside trail on slope above stream at about SHO 1600",2005.0,1,1,1,,WGS84,2020,"Paul, J."
88,PRESERVED_SPECIMEN,Psychotria panamensis,CM511189,GBIF,1091,Manuel Vargas,,8.7,-83.2,"Tropenstation La Gamba, Golfo Dulce region, on edge of Fila Trail",2005.0,1,1,1,,WGS84,2020,"Paul, J."
92,PRESERVED_SPECIMEN,Psychotria panamensis,CM511191,GBIF,1093,Manuel Vargas,,8.7,-83.2,"Tropenstation La Gamba, Golfo Dulce region",2005.0,1,1,1,,WGS84,2020,"Paul, J."
115,PRESERVED_SPECIMEN,Psychotria panamensis,CM511216,GBIF,1118,Manuel Vargas,,10.366667,-84.783333,"San Gerardo Field Station, Bosque Eterno de Los Niños, on flat portion of Sendero Saíno",2005.0,1,1,1,,WGS84,2020,"Paul, J."
226,PRESERVED_SPECIMEN,Psychotria panamensis,00040061,GBIF,,Manuel Vargas,,17.383329999999997,-93.0,"Along Hwy 195 between Chiapa de Corzo and Pichucalco, 10.7 mi S of Solosuchiapa, 27.8 mi SSE of Pichucalco",1987.0,1,1,1,,WGS84,2020,Thomas B. Croat|Dylan P. Hannon
234,PRESERVED_SPECIMEN,Psychotria panamensis,00047172,GBIF,,Manuel Vargas,,17.231939999999998,-92.07222,50 Km SW of Palenque on rd to Ocosingo near Colonia Ursulo Galvano,1980.0,1,1,1,,WGS84,2020,Dennis Breedlove|F. S. Kawahara
243,PRESERVED_SPECIMEN,Psychotria panamensis,00047060,GBIF,,Manuel Vargas,,16.085829999999998,-91.63583,"Ejido Cuauthemoc, Km 17",1984.0,1,1,1,,WGS84,2020,Alonso Méndez Girón
287,HUMAN_OBSERVATION,Psychotria panamensis,,GBIF,,Manuel Vargas,,10.954861,-85.29775,,2016.0,1,1,1,,WGS84,2020,
351,HUMAN_OBSERVATION,Psychotria panamensis,,GBIF,,Manuel Vargas,,10.863333,-85.326167,,2016.0,1,1,1,,WGS84,2020,
582,PRESERVED_SPECIMEN,Psychotria panamensis,HEM 30336,GBIF,,Manuel Vargas,,15.720556,-92.93777800000001,"Reserva de la Biósfera El Triunfo, polígono III, campamento El Quetzal, 50 km al sur de la colonia Independencia.",2001.0,1,1,1,,WGS84,2020,G.C.L.H.
