,BasisOfRec,Binomial,CatalogNo,Citation,CollectID,Compiler,Data_sens,Dec_Lat,Dec_Long,Dist_comm,Event_Year,Origin,Presence,Seasonal,Sens_comm,SpatialRef,YrCompiled,recordedBy
2887,PRESERVED_SPECIMEN,Psychotria turrubarensis,100954830,GBIF,Sánchez-González 1102,Manuel Vargas,,9.726389,-84.19111099999999,Cangrejal. Área no Protegida. Finca Tiquires. En Margen del Río Tiquires.,2001.0,1,1,1,,WGS84,2020,Joaquín Sánchez González|A. Ruíz|Rafael Chacón
6463,PRESERVED_SPECIMEN,Psychotria turrubarensis,4186,GBIF,935,Manuel Vargas,,9.791667,-84.475,Z.P. Cerros de Turrubares Faldas del Cerro Bares,1990.0,1,1,1,,WGS84,2020,"Jimenez Madrigal, Qurico; Zuniga, Ramon; Valera, G."
7511,PRESERVED_SPECIMEN,Psychotria turrubarensis,907587,GBIF,Jiménez Madrigal 1176,Manuel Vargas,,9.79,-84.46,"Zona Protectora Cerros de Turrubares, Cerros de Puriscal, vecindades de Llano Caite",1993.0,1,1,1,,WGS84,2020,Quírico Jiménez|R. Quesada
7963,PRESERVED_SPECIMEN,Psychotria turrubarensis,887606,GBIF,Jiménez Madrigal 1433,Manuel Vargas,,9.73,-84.38,"Cerros de Puriscal, Faldas Fila Vara Blanca, San Martín de Puriscal",1994.0,1,1,1,,WGS84,2020,Quírico Jiménez|J. F. Morales|Eduardo Lépiz|José Á. González R.|F. J. Quesada
8977,PRESERVED_SPECIMEN,Psychotria turrubarensis,529013,GBIF,Jiménez Madrigal 935,Manuel Vargas,,9.791667,-84.475,"Zona Protectora Cerros de Turrubares, Faldas del Cerro Bares.",1990.0,1,1,1,,WGS84,2020,Quírico Jiménez|Rodolfo Zúñiga|Gerardo Varela
9110,PRESERVED_SPECIMEN,Psychotria turrubarensis,522794,GBIF,Mora Chavarría 76,Manuel Vargas,,8.888889,-82.841667,Zona Protectora Las Tablas San Vito Coto Brus - Sabalito Finca Neblinas.,1990.0,1,1,1,,WGS84,2020,Gerardo Mora|Curso II de Parataxónomos
11148,PRESERVED_SPECIMEN,Psychotria turrubarensis,2765015,GBIF,Chinchilla Díaz 220,Manuel Vargas,,8.91,-82.81,Z.P. Las Tablas. Cordillera de Talamanca. Fila Los Suizos. Vecindades Quebrada 15,1995.0,1,1,1,,WGS84,2020,Mario Chinchilla
11150,PRESERVED_SPECIMEN,Psychotria turrubarensis,2765068,GBIF,Morales Quirós 2222,Manuel Vargas,,9.89,-84.38,Z.P. La Cangreja; Cerros de Puriscal. San Martín de Puriscal; Vara Blanca. Bosque primario falda N Cerro Cangreja,1994.0,1,1,1,,WGS84,2020,J. F. Morales
11537,PRESERVED_SPECIMEN,Psychotria turrubarensis,2418513,GBIF,Alfaro Vindas 1929,Manuel Vargas,,8.90333,-82.78472,"Cuenca terraba-Sierp. Las Mellizas, Cafrosa.",1999.0,1,1,1,,WGS84,2020,Evelio Alfaro
14361,PRESERVED_SPECIMEN,Psychotria turrubarensis,1499740,GBIF,Navarro Valverde 264,Manuel Vargas,,8.89,-82.79,Valle de El General. Finca Cafrosa.,1996.0,1,1,1,,WGS84,2020,Enia Navarro V.
