,BasisOfRec,Binomial,CatalogNo,Citation,CollectID,Compiler,Data_sens,Dec_Lat,Dec_Long,Dist_comm,Event_Year,Origin,Presence,Seasonal,Sens_comm,SpatialRef,YrCompiled,recordedBy
2475,PRESERVED_SPECIMEN,Randia pittieri,,GBIF,,Manuel Vargas,,10.9,-85.28,"Costa Rica:Area de Conservacion Guanacaste, Rincon Rainforest, Sendero Rincon",2011.0,1,1,1,,WGS84,2020,Jorge Hernandez
2510,PRESERVED_SPECIMEN,Randia pittieri,,GBIF,,Manuel Vargas,,10.9,-85.28,"Costa Rica:Area de Conservacion Guanacaste, Rincon Rainforest, Sendero Rincon",2011.0,1,1,1,,WGS84,2020,Jorge Hernandez
2516,PRESERVED_SPECIMEN,Randia pittieri,,GBIF,,Manuel Vargas,,10.9,-85.28,"Costa Rica:Area de Conservacion Guanacaste, Rincon Rainforest, Sendero Rincon",2011.0,1,1,1,,WGS84,2020,Jorge Hernandez
3058,MATERIAL_SAMPLE,Randia pittieri,BioBot06606,GBIF,,Manuel Vargas,,10.901,-85.27600000000001,"Area de Conservacion Guanacaste, Rincon Rainforest, Sendero Rincon",2011.0,1,1,1,,WGS84,2020,Jorge Hernandez
3062,MATERIAL_SAMPLE,Randia pittieri,BioBot06608,GBIF,,Manuel Vargas,,10.901,-85.27600000000001,"Area de Conservacion Guanacaste, Rincon Rainforest, Sendero Rincon",2011.0,1,1,1,,WGS84,2020,Jorge Hernandez
7777,PRESERVED_SPECIMEN,Randia pittieri,895778,GBIF,García García 188,Manuel Vargas,,10.88,-85.4,"Parque Nacional Guanacaste, Cordillera de Guanacaste, Estación San Ramón, Sendero la Tepescuintle, Dos Ríos",1994.0,1,1,1,,WGS84,2020,Dunia García
14659,PRESERVED_SPECIMEN,Randia pittieri,1416415,GBIF,Gómez-Laurito 10616,Manuel Vargas,,9.47,-82.93,Costa Rica/Panama,1985.0,1,1,1,,WGS84,2020,Jorge Gómez-Laurito
17765,PRESERVED_SPECIMEN,Randia pittieri,4231582,GBIF,,Manuel Vargas,,10.715278,-85.04,"Alajuela, Bijagua. Reserva privada Heliconias.",2001.0,1,1,1,,WGS84,2020,Reinaldo Aguilar
23287,PRESERVED_SPECIMEN,Randia pittieri,1571401,GBIF,,Manuel Vargas,,10.880556,-85.401389,Estacion San Ramon. Sendero la Tepescuintle. Dos Rios.,1994.0,1,1,1,,WGS84,2020,Dunia Garcia
24306,PRESERVED_SPECIMEN,Randia pittieri,,GBIF,4897,Manuel Vargas,,9.6667,-84.0,,1940.0,1,1,1,,WGS84,2020,A. F. Skutch
24544,PRESERVED_SPECIMEN,Randia pittieri,,GBIF,10616,Manuel Vargas,,9.6667,-84.0,,1985.0,1,1,1,,WGS84,2020,J. Gómez-Laurito
24600,PRESERVED_SPECIMEN,Randia pittieri,V0068487F,GBIF,16036,Manuel Vargas,,10.0114,-83.9519,,1900.0,1,1,1,,WGS84,2020,H. F. Pittier
24826,PRESERVED_SPECIMEN,Randia pittieri,,GBIF,776,Manuel Vargas,,10.0114,-83.9519,,,1,1,1,,WGS84,2020,M. Quirós C.
27323,PRESERVED_SPECIMEN,Randia pittieri,189387,GBIF,,Manuel Vargas,,10.88,-85.4,P. N. Guanacaste Cordillera de Guanacaste. Nueva Zelandia. Estaciòn San Ramòn. Sendero La Tepescuintle.,1994.0,1,1,1,,WGS84,2020,"García, Dunia"
